A	if you're not prepared to do any work in here then I can understand why you've been told you're not staying
B	oh right
A	and and he went no I can't stay to any of them and
C	mm
A	and
B	yeah yeah
A	sorry but
C	mm
A	I put it on the system
B	he put it on the system did he?
B	yeah
A	erm I'll have one please
B	you'll have one he'll have one don't walk away
A	thank you I'll have one
B	cor
A	thank you
C	I'll just and get mine
A	so yeah so they did the interviews for the er SLT team this week
B	did they?
A	mm three people didn't get jobs
B	didn't they? oh my goodness are you alright though?
A	don't know yet haven't done mine yet
B	okay three didn't get jobs
A	yeah
B	wow that's a bit heavy innit? mm
C	it's all cold no we've come back
A	yeah it is but it's changed weather has changed
C	yeah you had nice weather as well though didn't we?
B	oh we had lovely weather
A	we were we were really surprised weren't we?
B	mm
C	very windy all the time
B	yeah well that stick out into the channel there doesn't it?
C	just about all the time in fact
B	the most southerly part of Britain
C	mm
B	and that rip up the channel but this time it was coming from the east
A	it was coming off the land then?
B	well it coming down the channel from the east you see so and er the seas were really they were really fierce weren't they?
B	brilliant brilliant foams you know? and breakers
C	mm
B	and splashing up the cliffs brilliant it was
C	yeah cos we had one quite heavy gale one day wasn't it?
B	yeah we went walking and luckily that that gale was coming off the sea while we were on the cliffs and that blew you in in you know blew you over in the land into
C	mm
A	cor
C	mm
B	so it was lucky that didn't come off the land well we wouldn't have gone walking if it had would we?
C	yeah no but that happened to be the day we actually got one day which was a sort of free for us
B	yeah that was our one free day
C	cos it was a tenth wedding anniversary party there so we didn't have to be there for the evening did we?
B	no
C	which was handy so we didn't have to get back there early but it happened to be that
A	that day
C	not yeah well it was a bit droll really but well
B	it was alright
C	mm
B	we had the whole day off didn't we?
C	we did
A	so how was your journey going down?
B	very well really well er
C	mm
B	we got where was it on the M just the a slow up bit you know how how that suddenly slow down for no reason at all
A	yeah
B	and then you go what's going on? and you're crawling along at ten mile an hour and all of the sudden the roads clear again
C	yeah a lot of time it's feeding into the motorway isn't it?
B	yeah some of them feeding in yeah
C	we did pass a car that was on had been on fire
B	we did pass a car that had been on fire yeah
C	so they closed two lanes for that
B	they they closed two lanes off for that but other than that we had an easy journey home
C	yes we did
B	we got to a
C	nice journey wasn't it?
B	we got to the Wye Valley and stopped there the night so that was a four-hour journey
A	yeah
B	or four hours and then four hours there
C	mm
A	you said you went to the Beamish museum
B	no
A	that's what you put
B	where did you get Beamish from?
C	yeah
A	that's what you put
B	no
A	that's what you texted
C	no
B	no
C	I'll show you we thought unless you got one of the messages that never got sent to you before
B	oh yeah you might have got one of the messages that linked cos I had to call out and up up the cliff and hold it right up
A	oh I haven't got my phone
C	oh one unread you haven't read that we're home
A	yeah I've read that one
B	yeah
C	mm sound like you're having a good time Beamish that er
A	I got that one
C	yeah
A	but I got another one saying that you went to the Beamish museum haven't got my phone on me
C	oh that must have been one from way back
B	that must have been one from way back cos some em didn't go from at all from where we were up there
C	yeah
B	and er I these ones I had to go up up the hill and just go like that and let those message sent so that was it so you must have got a Beamish one
A	Beamish is in Northumberland
C	yeah we have got a few er
A	oh well
C	oh well
A	phone must be in the car so
C	yeah
B	that's weird
A	yeah
C	yeah
A	cos I thought oh they've got another one down there then
B	no
C	no that was we were in Northumberland wasn't it?
B	yeah
A	yeah
C	in August last year
B	pass me one of your biscuits please thank you
A	does that count then if you have one of
B	it doesn't count at all
A	doesn't count at all
B	no
A	okay
B	yeah I just say to
C	met some lovely people there didn't we? lovely guests
A	yeah yeah
C	we had American Canadian French
B	Australian
C	Australian
B	and New Zealand
C	Tasmanian New Zealand yeah
B	Tasmanian New Zealand yeah
C	yeah yeah
B	did we have any English?
C	yeah we did we did
B	yeah we did yeah
C	quite quite a few English as well
A	that's alright isn't it?
C	the one in Australia go have you got wi-fi or whatever you say however they say it
B	yeah
C	we said no there's no wi-fi you can't even get a signal for your phone oh that's
B	brilliant no one can get in touch with us then
A	the thing is they don't have to
B	no
A	log on do they?
C	no no
A	even if even if you have got wi-fi
C	no but they just said say oh our grown-up children won't be able to get in touch with us yes
B	yeah
A	it's like oh that's good yeah
C	you get some very sort of talkative and some very quiet ones
B	a couple of quiet ones weren't there? you talk to em and they say thank you and they slink off you know cos they're very shy
C	yeah a very a young couple and they they were very nervous weren't they?
B	they were weren't they yeah?
C	he was extremely nervous yeah
B	and others'll stand there and talk to you all the time
A	mm
C	we always wonder the stories though don't we?
A	mm
C	if someone just just come back he's from America he just come back from Rome and been in England before
B	oh yeah and stay in youth hostels
C	he's erm almost like a on a job somewhere
B	he like them
C	and that's why he picks the picks the
B	yeah some of the places that they have to go to don't even have hotels and stuff there's probably youth hostels there but there's
C	big variety innit? yeah that was was nice
B	plus they don't
C	that's a really nice hostel that one
B	it is yeah
C	cos there's erm there's there's two double bed ones with en suite aren't there?
B	yeah
C	and there's two other er double beds with single over and
B	yeah
C	and yeah it's a really and there's about a loo to every room anyway whether they're en suite or around the rest of the hostel
A	right
C	there's loads aren't there? loads of loos
B	yeah there is yeah
C	yeah we kind of had to count them up half the time go around mm
B	but it's a lovely
C	it was noisy wasn't it?
B	yeah and when that go off wow didn't it go off? but the light's going all the time
A	yeah
B	and that light can be seen for right across almost to to Spain at twenty twenty odd miles if that light go out they have a a halogen light to
C	it's just an ordinary light
A	just a light
B	yeah
C	because of the optic and it's only
B	because of the optic
A	mm
C	the light bulb that lights it was only four hundred watt
B	only four hundred watt light bulb
C	anyway
B	anyway yeah
C	it's amazing innit?
A	yeah
B	yeah and
C	I hadn't thought about that before I thought it was a really powerful light you know but because of the
A	so the like the reflectors on it make it
C	yeah
B	yeah the reflectors you ought to see them they're like they they were they
C	cos we actually went up there this time
B	yeah we went to see it and we were told all about the reflectors
C	wasn't wasn't that good really
B	well that was but it it's the shortest lighthouse in the country but it's the highest lighthouse in the country because
C	mm
B	it's right on top of the highest cliff
A	right okay so the cliff gives it its height
B	the cliff gives it its height and the lighthouse is the shortest one so
C	but it's
B	they don't have to have a very high
C	not much higher than an ordinary building
B	it's only a hundred steps up to the
C	mm
B	up to the top
A	yeah
B	yeah
C	we went to quite a few different beaches didn't we?
B	yeah we did we did we had a lovely time
C	yeah
B	and when we come back the budgie's sitting on eggs
A	yeah
B	she's on on on the day isn't she?
C	yeah
B	we got a thrushes nest up in the porch
A	as well
B	you know as you come in and a robin nest with babies
A	there's babies in the robin's nest now?
B	yeah
A	I had a quick look
B	did you?
A	I couldn't I saw it sitting on it sitting there but couldn't
B	yeah there's babies in there now yeah
C	mm
B	yeah till we go out again when's the next one?
A	it's only a few weeks isn't it? the next one
C	yeah end end of next month
B	yeah
A	only June time innit?
B	yeah
C	we have to let you know what it's like you might be
B	we did have one sort of semi emergency this poor woman she was six months pregnant
C	oh yeah German girl we didn't
B	yeah German girl and er she suddenly became ill
C	yeah she just said came down and she she had pains
B	and she was crying she had pains and she was crying
C	she was fine really wasn't you know we didn't been know she was expecting really
B	well I thought she was cos she had a big
C	she was so busy doing all the washing she did loads of washing and loads of oh she was running about all over the place wasn't she?
B	yeah
C	and then she suddenly said you know have you got
B	she's be walking round
C	the number of a hospital and we said why? yeah and so we looked one up for her and then
B	and she go straight away
C	said it's best to go to the doctor's first you know there's no doctor's open in
A	that's just silly
B	that stupid?
A	yeah
C	and erm yeah so there was not much there
B	but there was a health centre wasn't there?
C	there's er yeah it's a bit further away
B	at
C	about five miles away
B	about ten miles
C	that was that was the hospital
B	was that the hospital was it? oh right
C	mm and yeah so we we phoned up there for her cos she was
B	yeah she was in a bad way she was crying
C	and they got an appointment straight away which was brilliant actually
B	so we we've asked the hostel to let us know if they're if
C	no we didn't
B	we asked the hostel lady week
C	oh the hostel? I thought you said hospital sorry
B	hostel
C	mm yeah but we won't hear anything
B	we won't hear anything no
C	would have been nice to hear from them she did have someone with her which is good a cousin but she was basically the main driver as well
A	as well so a bit of stress in there and
B	yeah
A	over doing it type thing
B	and she'd done too much walking she's walked every day for miles
C	yeah
B	not just not just walking down the beach about eight mile a day of something like that you know that's for a pregnant woman that's a bit too much innit? I mean there's a lot of cliff
A	there's a lot of
B	up and down and bump bumping about you know well you don't you're not supposed to bump about are you when you're pregnant? well I didn't but there you go I didn't have any trouble
C	yeah it's difficult though when you're in a different country isn't it?
A	yeah
C	her English was good
B	yeah she
C	but she didn't want to speak on the phone
B	I only had one of your
A	I had two okay?
B	I had one cos she only brought three in
A	er yeah they're fine they're fine you know she rode last Sunday at the horse
B	did she?
A	and I went er on one yeah I went and watched her bride on one of them the thing is you go to these things and you ride once or ride twice and that's it
B	yeah
A	and it's a lot of hanging about so they they
C	oh right
A	erm I took
B	yeah
A	and
C	oh right
B	wow
A	so she got a clear round and she got third
B	did she?
C	oh
B	well that's good
C	yeah
A	erm which was which was alright
C	mm
B	did they?
C	right
B	yeah
A	and then
B	is she?
C	mm oh right
A	I said and it means that you know if your mum's picking you up at quarter to ten
B	yeah
A	half nine quarter to ten I said no you you need to be
B	yeah
A	think about it you know so it's that sort of I don't know how much revision she's done for her exams but she's got exams
B	is she?
C	oh yeah right yeah there's a lot of work coming up isn't there?
A	yeah yeah
C	mm
A	and it's like yeah okay but they seem alright it was it was Thursday he came back this week so and I had a late night Thursday at school until quarter to eight cos we put extra on for some of the kids that we wanted back
B	three teachers got the bullet
C	really?
B	three SL
A	three three SLT got the bullet yesterday
C	did you expect them to?
A	I knew that I knew they because of the structure you knew that there was gonna have to be three going
C	yeah
B	yeah
C	mm
A	so I don't know what's going to happen there
C	oh dear they got to find somewhere else now
A	I don't know what I don't know what's gonna well we'll know more next week probably cos next week the other positions the other areas decisions get made so like mine and other areas
B	mm
C	mm
B	it's a bit scary innit? you know a bit worrying innit?
C	yeah
B	yeah
A	it didn't it didn't help last
B	oh right
A	and er
C	yeah
B	oh
A	so she's she's like really mucked us up in the sense of
B	yeah
C	mm
A	what you got planned et cetera and but her job's protected
B	is it?
A	cos she's on maternity leave you can't touch her
B	oh right
C	oh
B	so that's why she's done it then?
A	can't can't
C	but she she should have been back earlier so
A	yeah so she should have been back earlier she should have been in the melting pot
C	yeah
B	yeah
C	yeah that seems a bit unfair doesn't it?
B	yeah
C	mm
B	mm is it why she extended it?
A	don't know don't know
C	mm
B	ah
B	she can get you earlier
A	yeah but you never know do you?
B	no you never know
C	no it
A	yeah so
B	well you got to
C	we came across a well yeah we we just arrived back yesterday and
B	oh yeah
C	and
B	we'd only then walked in the door
C	our sister-in-law
B	just finished off a cup of tea weren't we?
C	mm yeah
B	and my sister-in-law turned up
C	we haven't seen them for eleven years
B	eleven years we haven't seen them and they turned up yesterday
C	they turned up just as we arrived home just made a cup of tea
B	we thought who the hell is that then? didn't even recognise her hadn't seen her for eleven years she got out the car and walked over and started piping her eye a bit cos she hadn't seen us and gave her a cuddle
C	yeah she bought our
B	yeah nephew's wife
C	yeah who we'd never
B	never seen her before
C	seen us once before and her
B	daughter is a
C	yeah is a
A	what is
C	a
A	as a student?
C	yeah
B	yeah
C	I don't know how old they are or anything
B	they're probably in in the lower level school
A	year eleven year eleven if I remember
B	yeah
A	cos I
B	did you?
A	when I was at
C	mm just thought I'd tell you cos we said oh we used to teach there cos we happened to mention
B	yeah
C	watering the plants there dear
B	think they live in
C	they live in
B	they live in
C	oh yes they used to live in
A	yeah there's a lot of
C	yeah
A	but er I went and watched a football game the other week after school our year elevens playing
B	yeah
A	and I and there was only a couple of kids I recognised I didn't I couldn't recognise any of them
B	no
A	cos you cos you you don't see em change
B	no you don't do you? no cos they do change quite a bit at that age don't they?
C	mm
A	yeah yeah erm so I was asked this week by some kids at school do I know somebody called
A	and it was like well I know a lot of
B	no
A	name erm
B	does he?
A	and I'm thinking well how's he hanging around with them if they live in
B	yeah yeah
C	yeah
A	so
B	that's a bit weird innit?
A	yeah
B	that's rain?
C	yeah
B	you got your linen out haven't you?
C	that doesn't matter
A	so so that's that so but not much else has really happened
B	yeah
A	did you take lots of pictures?
B	we did yeah we took loads of pictures we haven't put them on the computer yet we're still
C	mm yeah
B	you can have a look on the on the camera can't he?
C	you can if you want yeah
A	I need my I need I actually need my glasses
C	can't see much though
B	oh yeah
C	wait till we've sorted them out
A	or I can put em on the computer put the on the puter
C	because you tend to go ah
A	oh yeah
C	there's a lot a lot we've got to delete
B	a lot we've got to get rid of yeah
C	yeah and er cos funnily enough each little cove was slightly different although mainly the rocks are all the same colour and that erm they were slightly different weren't they? in how they how they react and stuff yeah
B	and er I think in one of the coves we went to
A	all the big rocks?
B	big rocks
A	yeah
B	they got to the top of the cliff and tipped all these rocks down and they were a totally different colour to the normal rocks
C	oh like like concrete bits you know just
B	yeah
C	that's that's so silly I mean there's so many rocks there anyway
B	you'd have thought they'd have used those
C	why to have something different
B	tipped all these other ones down
C	it wasn't too much was there but?
B	no but that
C	it was obvious
B	that looked looked stupid
C	you know mm
A	I thought that was quite granite over on that
B	that is granite yeah
C	it is all black and
B	but some of the stones as as limestone so you get the caves don't you? you get all that
C	yeah
B	I mean it's where all the the pirates used to hide all their gear didn't they?
A	yeah
B	and the smugglers they used to smuggle stuff in didn't they?
A	yeah yeah
B	we couldn't get to any caves cos we when we get to the caves by boat you see
A	yeah
C	quite a lot of little
B	little ones yeah
C	yeah
A	did you see Secret Britain?
B	no we didn't no
A	oh you missed it
B	yeah
A	no you must have I've got it recorded so you can watch it if you come over to mine it was in Yorkshire
B	yeah yeah?
C	yeah?
A	in the Yorkshire dales and the Yorkshire moors
B	yeah of right yeah
A	but just just saying about the
B	yeah
A	but they were saying that there was a big like artesian is that the word I'm looking for? yeah but that's different and old French glass makers
B	oh right
A	in the North York moors
B	oh
A	who moved out
C	oh right
A	and came up to North Yorkshire and did their glassblowing and stuff all in North York moors and the and they if you look along this one track in Rosedale you can find bits of glass that they made and stuff
B	oh right
A	and how they made it
B	oh crikey
C	oh
A	but there is a at Rosedale now there is a glass making work erm
B	yeah
A	little business type thing
B	job yeah
A	and it all
B	no no we were we were in
C	yeah
A	so you were
B	we were
C	oh a long way down
A	is that towards Land's End?
B	yeah yeah
C	yeah we couldn't possibly have got to most places could we?
B	no you couldn't get out to most places
C	well you know
B	it's really out in the it's really well the lighthouse there
A	oh it on that cliff on that edge isn't it?
B	yeah
A	ah
C	but lots of people coming from the Eden project you know and things like that but
A	oh so you were that side okay yeah cos it's quite narrow isn't it that part of the country is quite
B	that is quite narrow
A	even though it's a big
B	that's right when we when we camped down there I mean you could go once you got in a certain place I think it was
A	yeah yeah I camped there once
C	yeah
A	I camped down there once
B	yeah
C	yeah
A	I remember it well well I don't remember it that well but I remember it I remember the tent was on it was only it was only a small tent
B	yeah
A	old fashioned type
B	yeah I know where you're going yeah rigs tent
C	yeah
A	it was alright
C	mm
B	we had a rigs tent as well
A	it is a nice area isn't it?
C	oh yeah yeah lovely yeah yeah nice
A	nice yeah but it's still not the same as
B	it's very windy down there very windy when when the wind can get up that
C	mm
B	that that's relentless
A	well you cos it because it's so open it's gonna come across the channel from the Atlantic to the channel isn't it?
B	yeah from the Atlantic to the channel and the Irish Sea and all that you got you got all the winds coming from everywhere
C	mm
A	it's also quite tropical as well isn't it? cos you got the
B	it is it
C	oh yeah
A	the warm gulf stream coming up
B	they never have well this really weird we went into the shop and this bloke said we never have snow here never and then he says
B	we had four inches of snow
