A	this pizza is spikey
C	the pizza is spikey?
A	yeah
C	oh my goodness you two
A	nothing
C	nothing?
A	I was being cannibal
C	a cannon ball?
A	cannibal
C	oh a cannibal
A	uhu
C	who were you eating?
C	I beg your pardon?
A	yeah but she but but she spiked me
C	well I think I would spike you if you were trying to eat me
A	whoa that was a bit harsh
C	so who is proud of mummy for doing
C	a freestanding handstand?
B	me
A	cricket cricket
C	cricket? what?
A	or is it grasshopper?
C	what?
C	why are you saying those things?
A	it's like you hear a pin drop
C	well I haven't seen evidence that I you two can do a handstand
A	what for three seconds? sure I can
C	really?
A	yeah
C	well how about after dinner
A	I'll throw up upside down
C	I suppose you might
A	I'll do it in the morning
C	alright how about in the morning before breakfast?
C	mm?
A	mm
C	bit quiet now aren't you?
B	he'll be the he'll be I can do a cartwheel
C	we're not talking about cartwheels
B	I know but you can't do a cartwheel
C	listen you doing a cartwheel does not take away how brilliant it is that I can do a handstand
A	maybe tomorrow morning I will prove you wrong
A	ah
C	uhu
B	typical
C	well my handstand teacher is very proud of me
A	it's because you've been failing for the past few weeks
C	no it isn't
C	you need erm come on you need to calm down
C	so
A	sure
C	erm school tomorrow
A	yay
C	are you guys really tired? it's been it's been hard to
B	no
C	adjust to school
B	I'm not I'm not tired at all
C	well
A	mm
C	but
C	oh so
C	yeah okay
B	and then it's only
C	yeah
B	asked
C	party clothes?
B	no some nice clothes for
A	yeah
C	for
A	yeah
B	yeah
A	not some very stupid clothes
C	well is
C	daddy buying any clothes for
B	I don't know
C	what is it that the
A	I will
B	er
A	wear the most embarrassing costume I have
B	some smart trousers
C	are you joking? he asked you to tell me that?
A	yeah
B	I think so
C	what did he say? did he ask you to tell me that?
B	nope
C	what did he say? because if he wants to speak to me he can text me himself can't he?
B	he wants to speak to you I think
C	about what did he say though?
C	well I'm a bit baffled that
A	baffled?
C	to remember the message
B	I
C	but
B	he
A	no I only own stupid ones
B	I wanted to tell you
B	I just wanted to tell you
C	you just wanted to tell me but is that because he asked you to tell me?
B	no
C	you can tell the truth
B	no
A	what you don't want to tell the truth or?
C	I can tell you're not telling the truth now
C	you are not in trouble
B	it's important cos it's for
C	but is he expecting me to provide smart clothes for
B	I don't really know
C	because I can tell you now that
C	you need a party dress for
A	yeah
C	but
A	but this guy has
C	you've made a face out of pizza and cucumber
A	just look
C	the only thing that you can have is
A	cucumber?
C	jeans and a
A	oh well jeans and a T-shirt that sounds tasty
C	I will text daddy tonight
C	but daddy is not allowed to do that to you
B	no I didn't he didn't ask me I just wanted to say it
C	I think he did ask you and you're trying to
B	he didn't
C	backtrack now
B	he didn't
C	so well then I'm certainly not going to pack anything smart because perhaps he's gonna buy something for
C	but you don't really have anything massively smart what I'm saying
A	no
C	is if it's important then he should be buying something for
A	no just educate my clothes
C	nice play on words there
A	oh what game? what game are we playing?
C	we are playing the calming down game
C	before the babysitter arrives
A	that's a weird
C	so mummy can go and teach
A	and we will go and teach we will throw a party party party
C	I haven't
A	party
