A	oh we could have brought you the newspaper as well
B	I was wondering if it was er you know when people are going to go
C	oh no there's plenty of Country Living magazines to be getting on with
C	getting all these ideas of this of a cottage I'll
D	a cottages yeah
B	cos I know
D	you'll find Farrow and Ball in there then
C	yeah
D	look er no doubt
C	oh that I think that's the range that we've that's here isn't it? the Rangemaster
D	yes
C	yeah same one
D	that's the same one
C	I'm surprised they didn't put an Aga in
D	Agas
C	cos you can get modern Agas now can't you?
D	Agas are start at about six grand
E	what?
C	really?
E	for an oven?
D	because they don't only they're not only
C	they're amazing
D	they they're they heat the whole they can heat the whole house they can heat up the whole water
C	yeah
E	really?
D	yeah they're not just
C	my grandma had one in her in the cottage like an old one
B	but you have to keep them going in the warm weather
D	and they're
C	yeah
D	not that easy to cook on they're not easy to control if you wanna do
C	it was always
B	oh
C	hot in the kitchen always
B	yeah
C	hot
D	yeah and if you wanna do
B	and if you wanted a low oven
D	a low oven
C	yeah
B	yeah you'd have
D	yeah
B	no
D	if you wanna do cakes
C	yeah
B	you can't
D	but if you wanna do something that you leave in there for a day
B	yeah
D	show slowly cooking
A	yeah like
D	fine
C	and also I
A	doing a stew or something like
D	doing a stew yeah
C	they're not very
D	no you'd have to
B	no
D	open it
C	and it was just not that big
D	no
C	either
D	no
C	but the top of it was lovely
D	it's all a bit er
B	mm
C	cos she had one of those big things
B	yeah
C	that came up
B	and you've gotta get it going in the morning
C	yeah
B	before you can
D	yeah yeah I mean now you can get electric Agas but
B	yeah
D	you know
A	you get gas ones as well now
D	yeah it's all a bit of thing you know
B	it is yeah
D	it looks good sort of thing but they're not that
A	I think all the old er er Hooray Henrys going for them don't they?
D	yeah
C	yeah yeah
B	but I mean you couldn't cook your breakfast when you got up
B	you've got to get a fire going first and
C	yeah
D	mm
C	I remember
B	and all this
C	my grandma used to get up
D	you'd
C	and be up for a long time
B	you'd be oh yeah you're on the way to work before it warms up
C	yeah
D	yeah it sounded a good idea but
C	yeah
D	wasn't always that practical
E	they're good to cook in though?
A	no
E	aren't they?
C	no not really
D	not really
E	not even they're good to cook in? Agas?
D	no
C	they they they'd be good to cook like your basics but you couldn't do like if you wanted to be a
C	like a clever chef
D	a a proper chef no
C	it would be no good
E	oh I
D	no
E	I won't get one then
B	you would have to have a couple wouldn't you? this one's very high another one low and
D	yeah
C	oh
A	so this is all talk about this competition then was it? see who could brag the loudest er?
F	yes probably well
D	well there's gotta be a final
F	no real intent no
D	there's gotta be a final
E	give the people what they want dad
D	I think we need to er make the effort and er and go and watch it
A	oh
B	well you can see
D	why don't you?
E	he never he never loses you never lose it
A	well it's
B	it's
C	these look nice where's
B	that's one thing about this house you can hear people moving
E	that's nice
D	yeah
B	can't you?
D	yeah
B	so if you had a burglar you'd know
E	well people they get for fire alarms so I don't know if they get
C	honestly nobody came just me and
D	nobody
B	well they are
D	waving things
B	it take ages to switch them off
D	panicking oh it took er it took you ages didn't it
C	yeah
B	yes yes
B	it's a job to get them off
A	er to get what off?
D	switch the fire alarm off
B	to turn the fire alarm off
C	it was so
A	oh
C	it was so loud as well
D	yeah
A	mm
C	so loud
D	yeah we thought it was loud
B	I mean you could open the window and let the smoke out but they're gonna keep beeping for a bit
D	yeah
C	phew that has mashed a lot look at that
E	quite a good tea
C	phew
C	add a bit of milk
A	yes
B	when you if you book this and you want to bring dogs do they charge for the dogs?
A	I fear they do
E	some people
B	a lot of places
B	they charge for twenty pound for the dogs
D	it didn't
E	not er a night?
D	it said dogs were welcome
E	a night?
B	oh
C	no you've gotta pay for the dogs
E	twenty pounds a night?
C	no in total
B	no for the week
E	oh oh
D	but I
E	that's a bit
B	where we go
D	we didn't say we had dogs
B	she doesn't charge
D	so I don't know
B	but all these agents they charge
E	why? we're not taking up any beds
B	well some people don't look after their dogs
D	it's more cleaning
E	well
D	more cleaning
B	jumping wetting on the settee
E	so they charge people that
B	biting things
C	yeah
B	they have to cover themselves
C	I looked on the thing for here
D	mm
C	when we were here I looked on the website and it was like twenty quid per stay
D	was it?
C	for a dog yeah like you could get a kid's bed for twenty pounds
B	oh
E	when we went
C	but cots were free
E	when we went camping they charge us for the space on the ground like the plot
A	yeah
E	the tent itself even though it was our tent
A	yeah
E	to put it up
C	and the time
E	so it would be like if it's a two-man tent it'll be a tenner if it's a three-man tent it'll be twelve whatever
A	yeah
E	the car that wasn't using any any er it wasn't like we connected it up or anything
D	with a space
E	er and then to use the toilets
B	never
D	to use the toilets?
E	and it turned out
C	yeah
E	yeah and and
B	oh
E	because we didn't know we just turned up there we didn't book or anything
A	each time you use the toilet you've gotta
E	no no
E	we'd have to pay five euros extra because you will be using them throughout the night
A	oh
