A	erm
B	network yeah
A	oh right okay
B	dismantled and rebuilt on more of a local network
A	right
B	erm
A	she's alright
B	alright
A	Good
B	right yeah
A	so
B	I wouldn't be surprised
A	yeah
B	you're a crazy dog
A	so how long is the project for is the project you're doing for?
B	erm we'll just probably have a month I think so
A	and then you go back in September hopefully? Will you continue or you don't know?
B	eh no if I if I went  if I went  back I would go back in January to start the course because the September to January bit I've already done will count
A	he does when you do that he thinks you're going to rub his tummy with with your foot
B	big old softy
A	Cos he had me over
B	really?
A	recently we were in a car park and he's got an extendable lead which I hate because I don't like the fact that if he takes off and I haven't got it clipped in he's motoring by the time he gets to the end of it
B	oh no
A	I had to let I mean the lead just went out of my hand and I was flat on my face on the front of the car
B	oh gosh really?
A	stop it
B	ah
A	yeah so do I
B	and what happened with the the table and the window shut window?
A	oh now that's that's my stupid husband
A	who honestly who ties a dog this size
B	oh no
A	and the people in Body Care shop were
B	was
B	oh my lord
A	I said to him what why on earth did you tie him to something that moves
B	oh
A	that's a good  That's a good  reason
B	oh gosh
A	it might not be removed
B	forklift truck
A	so yeah
B	oh what's he  what's he  doing?
A	he's working for himself
B	aha that was his idea wasn't it?
A	that was his
B	fantastic
A	and
B	ah
A	yeah
B	is he looking for things to invest in?
A	yeah
B	because I've got a friend who's looking for an investor
A	okay
B	and everything she does is without erm preservatives so it has a very short shelf like compared to something you'd pick up in Tesco's
A	really?
B	and laid on the the welcome and they wanted to buy her range off her and erm sell it in Tesco's
A	that's somewhat of
B	exactly
A	well
B	oh wow
A	and he he put this
B	brilliant
A	so I'm surprised it's somebody at the college that's pushing her into looking at that
B	really? Well I'll get her to look into that
A	yeah have a look at Peter Jones Academy
B	I think she's only just started teaching there giving erm talks and demonstrations of her products
A	oh okay
B	but eh she's already had a business erm she set up herself as a beauty therapist on
A	well that's hard work
B	but she's just got yeah a few talks and stuff teaching at the tech
A	I just don't think I've got
B	well I'll tell her to to ask what was it the
A	Peter Jones Academy
B	Peter Jones Academy
A	just tell her cos they've got
B	uh-huh
A	he's he's sort of been involved with setting it up
B	oh right
A	I'll mention it to
B	yeah
A	well if I give you
