A	shall I open this
B	mm
C	yes
A	present here?
B	yes please we're waiting to see what's in it most mysterious
A	very unusual shape
B	it is
B	have you made this?
C	no
C	have I made it?
C	my toy manufacturing days are over
B	oh no
C	mm
B	does it bite?
A	a a a pigeon scarer
C	pigeon? it's a kestrel
B	a pigeon scarer
C	oh yeah
B	he said
C	I
C	I says
B	no
C	that's supposed to
A	that's the like a hawk
C	mm
B	is that a Sparrowhawk?
C	a Sparrowhawk or something
B	they had one of those up at erm
A	er I've switched it
B	had a Sparrowhawk up
D	oh did they?
C	did they?
B	yeah
D	oh
C	mm
B	hope it works
A	yes
D	mm
C	no battery
D	there you go
C	that's it
B	you could have it
A	you I think well I charged yours up overnight so it should be full to the top
C	you could take it then can if you wish get it er you
B	what's a nice position?
C	well
C	as though it's hovering
C	or taking or
B	is it?
A	I think so
B	there we are
A	yes
A	well I hope it's effective
C	well it said
D	that's from the garden centre
C	you have to keep moving it as well
A	yes you do
B	to make it more realistic
C	yeah
B	mm
A	and also you need to do the move at about ten o'clock at night
D	oh is it
B	when they're in bed
D	oh right
A	yes
C	mm
D	oh right
A	because there are some very clever pigeons around here
D	are there?
A	who are watching
A	this has got a little hook and then you can hang it on a
B	yeah
B	see if that does the trick eh
A	yes
B	it is
C	it is isn't it?
B	you could
A	mm
B	need to put a battery in it so it can do its
B	yeah they're all
B	have a bit of like a wobble
C	mm
B	like that
C	well that's it the first time we saw one
C	was we went to the
D	medical centre
C	health centre
D	yeah
B	oh
C	right on
B	have they got one?
C	the mm?
B	have they got one?
C	er er it
D	no it's a
C	oh it were better than that really because it fooled me
B	mm
C	well there used to be anyway and we went back to the our car
B	mm
C	and I looked and I said to
B	mm
D	mm
C	and I studied it and I thought it isn't
D	mm
C	there was one in a field wasn't there?
D	mm
C	and it was on it I thought that was a kite at first but it wasn't
B	like a
C	rod you know a
B	mm
C	a longish one
B	yeah
C	it was up like that I could make out the like a long thin fishing rod or something
B	mm
C	you know which was flexible and it was like that
B	it's stripping the leaves off the top of the plum tree the pigeons
A	mm well there aren't any leaves on some branches
C	mm
D	oh
A	completely
D	heavens
A	stripped
B	stripped it
A	mm
D	oh
A	and I saw they were starting at the pear tree yesterday
D	oh heavens
A	mm
D	you you brought some sticks didn't you to put
A	yes
D	all the
C	mm
D	all the
A	and they're very
A	mischievous you know often we've shooed them away
D	yeah
A	and then fifteen minutes later
B	yeah
A	and I say well I've only just done that
D	yeah
A	they've come back
C	mm
D	yeah
C	that's what the
D	yes
C	mum said about it said I cut some like you know
B	with a
A	wires
C	with like a a
B	yes
C	er to
B	mm
C	I cut the longest I could off
B	yes
C	and I said well you could always put it on to another stick
B	yes
C	and put the
B	yes well
C	if you've got a
B	and then do it yeah
C	and and er and probably a little hole in the ground and stick it in and
B	mm
C	and you could even sort of loosely er put the tie wrap on loosely to keep it in position on the
B	yeah branch
C	branch like
B	mm
C	mm
A	would anyone like a chocolate?
C	I know one who would
A	not me
C	you
A	well I've just
B	apart from you
A	er offering them to the other guests
D	yeah yes please
B	mm
C	go on then
A	which one would you like? would you like a a champagne truffle or
C	oh definitely
A	er
C	champagne on a day like this
A	yeah
B	seeing as its your birthday
C	mm
A	absolutely see if we can get in
C	mm mm mm
B	have you tried these before
A	I've never had Charbonnel and Walker before
B	mm
A	just trying not to damage the box
B	well done
A	yes
B	real gold
C	is
C	or as we we say it in
A	let grandma have first pick
C	yeah first pick for grandma
D	mm thank you
A	what
D	thank you
C	right then
A	how
B	I'll
B	mm nice
D	oh I can feel the bubbles can you?
B	mm
B	very creamy
D	mm
A	uhu
B	no it won't stay fastened
B	it keeps popping open
A	I have a tin of coffee
D	mm
B	mm
D	mm what kind's that
C	coffee
A	Illy
D	Illy oh right that's a new one on me
C	oh I thought you said toffee
C	coffee
D	mm
A	I've had it ground before but never in the beans form
D	oh right oh it's the bean bean is it?
A	yes
D	oh right
A	making good use of my grinder
D	mm
A	yes
D	mm
