A	I don't know how cold it's gonna be out on this balcony for the beer
B	might be a bit chilly
A	it's not actually in the sun but shall we see?
B	oh it's locked at the top there
A	oh
B	so this top one locks and this middle one locks don't pull that off
A	oh all locked up so that doesn't doesn't work
B	yeah but that doesn't
A	that's the one I looked at
B	we don't have a chair unfortunately
A	no
B	how are we going to do this?
A	I mean we just sit well on the windowsill or do we
B	yeah where are the rugs?
A	they're not here I don't think they're in Kent erm
B	I'm up for a cigarette and a and a beer on the balcony if you are
A	yeah is there anything else that we could sit on?
B	erm
A	that you can think of that would be useful there isn't really is there?
B	pillow or
A	no I didn't really want to dirty anything though
B	something an old curtain or a towel
A	ah maybe a curtain
B	mm
A	oh the wind's picking up
B	yeah it is it's cos we've opened the through flow
A	yeah shall we shut one of the windows?
B	yeah we can do
A	maybe the kitchen cos we're not gonna be out here for a while are we?
B	yeah we might be if we smoke another cigarette in here
A	oh yeah well whatever there's a breeze it doesn't really matter does it?
B	no yeah it's fine we'll just shut this door
A	so I'll grab a curtain for us to sit down on
A	on there
B	to sit on a curtain?
A	yeah I mean we'll sit on a curtain on a thing
B	no I know
A	that one see I think like that's
B	lighter
A	that's darker than that isn't it?
B	that one's slightly darker
A	oh well whatever
B	are you sure you wanna sit on a curtain?
A	well
B	I forgot we got this cable
A	we
B	so we can see if the sound works
A	we'll sit on the inside of the curtain not the outside
B	yeah okay
A	fold it up and make it look a bit like a rug
B	that'll be fine where's the beer then?
A	although I think there's another blanket we can sit on out there
B	oh if you've got a blanket that would be great
A	yeah that would be better wouldn't it?
B	where's the beer in the fridge?
A	yeah I left the beer in the freezer
B	I've got the tobacco are we just sharing the bottle?
A	I wasn't yeah
B	yeah and it's
A	but I don't know if it's been in there long enough
B	doesn't need to be cold
A	do we need glasses or do we just share from a bottle?
B	yeah we can have glasses would you prefer glasses?
A	maybe
B	yeah do you wanna grab them then?
A	yeah they're behind you
B	where?
A	there's two behind you
B	okay is that the only two glasses we've got?
A	and just give yourself a little bit more of the beer
B	how do we open this do we have a bottle opener?
A	there's a bottle opener in the drawer
B	yeah there's one
A	there's two actually
B	so there is oh look we've got
B	oh nice we've got a bunch of stuff
A	yeah
B	pornographic ashtray
A	handy isn't it?
B	are we taking that out?
A	you can't really
B	yeah
A	it would be a nightmare how do you get it home again?
B	no there needs to
A	I suppose if have a car but
B	most people have been living in England so they have lots of stuff
A	yeah
B	we're not those people
A	it's true a lot of assumption going on there
B	people accumulate a lot don't they?
A	no it's coming
B	we've got three weeks for our study
A	yeah well crack on starting from Monday as far as I'm concerned
B	do you want to take this?
A	there's erm
B	I'll take the beers
A	Sunday obviously we're still just going to be sorting stuff out
B	what do you need that for?
A	I don't know it's just rubbish isn't it er Sunday we'll still be sorting stuff out so Monday
B	Monday will be our first proper
A	wake up
B	try and do a bit of studying
A	study studying
B	oh don't knock that bike over
A	too small is it big enough for us to both sit on?
B	I was gonna sit on the windowsill
A	alright I'll sit here then yeah can you get out there?
B	yeah I think so
A	yeah
B	on show
A	I might this a little bit more comfortable
B	but you're also definitely outside
A	yeah which is a nice thing isn't it?
B	yeah which is good
A	yeah
B	erm you might want to put that on something there's a little book to put it on here
A	I can see erm why the neighbours partitioned it a little I suppose
B	but is it part-owned?
A	I don't know
B	that's directional by the way so
A	okay
B	I think it's our balcony
A	maybe they just want the privacy of a
B	I mean most likely they didn't do it and it's been there for ages
A	yeah that's true well if the landlady owns the whole building she may have done it herself just so the people on that side
B	mm
A	none of the others are like it are they?
B	no none of them really
A	either you have it or you don't basically
B	yeah
A	I imagine it causes some dispute
B	yeah I mean if you have both both sides that would be nice
A	so it would be nice if this if this was
B	that person might they've got potted plants on both sides
A	yeah I feel like they have
B	if we started using their windowsill would they be alright with that?
A	no I don't think so I reckon they do own both of the it's like another flat
B	we saw the guy that lived there though and he didn't look too normal are we both having a cigarette?
A	yeah I'll roll one as well
B	yeah mm
B	yeah it is
A	it's shining on the back of the building
B	I don't think we ever get the sun here on the
A	yeah no that's fine
B	you'd dry clothes up here pretty quick
A	yeah that's true
B	if you just put a hobbyhorse on this balcony
A	yeah
B	you need a small enough hobbyhorse
A	you don't want to you'd want erm pegs though because you don't want them to actually blow off
B	I mean they shouldn't blow over this railing er
A	it gets pretty windy here but yeah I guess not
B	no I'm gonna direct it this way cos I talk louder then maybe I
A	erm
B	oh I mean that would dry really quickly and there's the sun
A	the sun on that side as well
B	the natural sun on that side as well
A	I feel like we could do I'm gonna try and get one in Dorset cos I don't really wanna carry one up the hill here
B	what a hobbyhorse?
A	if I can get a cheap or a cheaper one at a boot fair I'll get one in Dorset
B	yeah
A	cos we are gonna
B	which shop?
A	cos I don't know where we're gonna have a a rope up constantly
B	which shop
A	er what shop was it? Robert Dyer I think the one we
B	a Dyas or whatever it is
A	yeah Robert Dyas Dyas or whatever it's called the one we first went into to get erm
B	hooks yeah
A	yeah
B	mm it's a nice tree it's gently sloping down
A	yeah
B	I can see hills in the distance over there
A	there are hills around there
B	you can see in the far distant
B	I'm not sure what that was all about
A	you didn't like her did you? definitely was a
B	well she was slagging off the neighbours wasn't she?
A	yeah criticising people
B	because people sit out on their balconies shouldn't be nosy it should be seen as being neighbourhoody
A	neighbourhoody yeah
B	like community
A	well it's the point of people living in
B	yeah
A	becomes
B	see these ones all have conversions those ones have conversions on both windows can you see?
A	yeah
B	it's got those two front windows but this has only got one and so does that one
A	yeah so that house has been more divided than this one then
B	yeah it has
A	no yeah
B	because you could easily live on a busy road
A	yeah you could which would be weird seeing people in traffic going by all the time
B	yeah
A	it looks better now there's curtains hanging up a reckon
B	it does
A	well just from the outside as you said it's a clear indication that the it's not vacant
B	yeah somebody's there
A	quite a few people don't bother with nets some people do
B	and they've got nets I guess over there now
A	that's another thing you can do which sometimes people do just have it around the bottom section and not round the top for privacy
B	where's that? oh yeah
A	the house on I mean they have blinds as well but
B	how do we get all that installed? that is hooks and rope and like
A	yeah
B	hooks and elastic chord or whatever it is
A	it's just a little bit of hook though isn't it?
B	yeah
A	that might hold it more
B	I
A	so
B	so people
A	the shelves might be still in need at that point
B	pardon me
A	so you don't need a pub garden on a day like today
B	no you don't this is our pub
A	mm it is
B	cheers to the new house
B	yeah definitely
A	it's like
A	then there's
B	how many others do we know?
A	yeah it it was
B	er above below
A	in the middle
B	in the centre
B	and down
A	oh down
B	and in yeah
A	yeah mm above below
B	rolls off the tongue nicely
A	do you miss Latin America?
B	no I do we'll go back
A	I know that was a good trip
B	not many people get to take a year out and travel there
A	no
B	I think people are might be a bit envious if we do another year in Africa or something
A	mm
B	I don't see why we can't do another year it would be good to travel for at least one more year
A	yeah
B	just got to raise the money want to chuck us the lighter?
A	parents have got a year to get used to the idea of us going to Saudi or the Middle East
B	yeah
A	and then
B	cos we
A	wouldn't rule out Turkey still if a good position came up just to still have a
B	they're two years in those contracts now aren't they?
A	they're all of them two years I mean you don't even really wanna work at
B	I'd only wanna work at like a uni or an equitable uni I've seen quite a few jobs there that pay quite considerable less
A	less typical ESL positions
A	yeah once our internet's up and running I'm gonna give them a call
B	if we've got the money we should definitely try and go
A	yeah we should I agree cos er it's just a good trip to do
B	mm
A	and also especially if by that point
B	mm
A	which she might she may or may not be by she should be by the end of July
B	depends when we go I guess if we go in August or something
A	I imagine the flights might be a bit cheaper in July
B	we can always do a erm
A	yeah that's true they kick off you could do that first two weeks of July and then leave
B	it depends how your dissertation
A	yeah it really does depend on the dissertation
B	what was it on?
A	given herself I didn't actually ask given herself a week to edit it yeah I didn't ask her
B	you girls ask different questions don't you so
A	yeah we do we
A	we jump about topics so frequently
B	mm
A	it's incredible but I mean conversation goes that way doesn't it?
B	yeah it really does
A	one thing reminds you of something else but you know
B	there is a module on discourse analysis I think in the second semester
A	yeah there's a there's a consideration towards that but
B	psycho-linguistic
A	I think I like the likes learning the core aspects of it but not necessarily going too deep into the
B	so much
A	but maybe I don't know
B	cos that's more my cup of tea it's not bad if we take different modules is it?
A	no no
B	is if we specialist slightly differently
A	there will be of all the ESL students well anyway imagine second language acquisition is gonna be busy
B	yeah there might be quite a few people in there I imagine it'll be mandatory
A	mm
B	no I wondered if they're set now
A	mm
B	I mean they've got to be set right? I guess they could get a different class
B	you can
A	so it's not a big deal
B	so we have like a drop period?
A	kind of I suppose I'm sure we did in Bath Spa I don't know I can't remember
B	I mean I got on some other modules
A	yeah
B	ended up doing those English modules
A	I know in the very very first week I did I took a class in history and I didn't have a I just was so what? I didn't know what she was talking about
A	I can't remember what the module was which is random for an undergrad module I just remember thinking this is too hectic
B	no I don't wanna do this
A	I know
B	certainly in your first year
A	changed it to something else
B	I just did like the history of
A	pretty much yeah
B	the first year
A	the American equivalents
B	theory of drama theory dramaturging
A	first first of
B	yeah
A	it's cos the sea's just down the hill
B	it's not far is it?
A	we might get family there actually come and visit
B	I mean if there's one place that they might come and visit it would probably be
B	yeah
A	yeah
B	it's crazy it's
A	he would like to
B	faster for your parents to drive up to the M25 than it is to just drive across
A	across yeah
B	yeah you're only a small portion of it
A	yeah it is a small potion
B	well that's the
A	but it's quicker going the motorway way
B	they have to take quite a big portion
A	then going through the only thing is
B	yeah
A	and then it's built up it's like and then you're two hours later
B	yeah
A	whereas if you go the other way it's just all A roads and whatever and you can if there's an accident you just go through a different you go through the town a little bit more
B	yeah yeah it's alright not a problem
A	so so it depends on the risk cos he has to he's had to travel quite a bit for work
B	yeah definitely
A	he went up to erm yeah like I think did he say to you? he was saying to you he's gone up as far as er Milton Keynes and that kind of area
A	yeah you've seen his job
B	he knew my area a little bit mm
A	yeah
