A	so you going to do up your list again for what you're what you're supposed to do every day? or just just have some kind of structure to your day? rather than nothing
B	mm yeah
A	what you going to start with?
B	get dressed
A	have you brushed your teeth this morning?
B	I have
A	did you brush your teeth last night right before you went to bed?
B	I did
A	oh okay
B	okay
A	or the week after
B	also erm I'm going to get
A	stop banging the cupboards
B	sorry I'm going to get
A	erm can I just send a text? cos I'm
B	I guess you're going to be today
A	yeah
B	tomorrow?
A	no can well why do I need to chat?
B	I don't know
A	okay
B	unless you don't want to
A	well it's just we just need to tell people the times and see see their come
B	okay
A	well if it's a
B	yeah
A	yeah I'll just text her then
B	it's Friday I'm doing my performance
A	no I don't think so
B	it is
A	no there's like different days let me have a look no yours is Saturday the thirteenth of June at three forty-five
B	oh
A	well they've given me a ticket for display two on the Saturday
B	okay
A	better double check that so I'm not turning up at some other person's thing
B	okay
A	so what have you been up to today?
B	I've just been watching some
A	watching what?
B	Naruto it's a Japanese anime an anime is like a carton in
A	right hold on I've just got to get a form hold on
B	because you know in cartoons?
A	yeah
B	you know how they just make everything really silly usually?
A	yeah
B	like in erm erm what's that one with the ostrich and it's just running and then there's like the wolf thing that tries to eat it?
A	oh yeah
B	yeah and then eventually a lot of the times he'll chase it and then he'll be in the edge of like in the air on a cliff and still be running and then only when he looks down he falls
A	oh oh I see
B	silly cartoon bit
A	yeah but the yeah I think they're supposed to be quite good some of them but some of them aren't supposed to be pretty graphic and a little bit violent aren't they? the ones that I heard although some of them are good
B	it's possible that's like that's like just saying some TV shows are like that cos anime is anime is everything basically
A	right I'm just checking that the ones you're watching aren't are they?
B	no
A	yeah okay do you like kiwis?
B	mm not really
A	anyway what's it called? Naruto I'll look it up Naruto how do you
B	N A R U T O
A	U T O okay cool erm I mean do you think you're? some of cos I'll have to do a different date for your birthday party do you think you're? what about weekdays? or would it be harder for people to get there on weekdays?
B	probably I'd say Sunday
A	yeah no yeah Sunday's fine
B	yeah
A	and do you want to go and like you're going to see the San Andreas faults San Andreas yeah?
B	yeah
A	I was telling you about that wasn't I? when we were talk we were doing revision in homework?
B	oh yeah cool
A	do you remember? and I said does that? there's an actual fault
B	mm mm
A	it's running through the city and then suddenly there's a film about it
B	mm mm
A	so what do you know of? what is a fault? tell me what you think it is
B	erm a place where there's two two plates like that then they can collide they can collide or separate which would create a volcano a mountain
A	do you know what makes them do that?
B	plates? tectonic plates?
A	yeah I mean well it's very hard to predict
A	or you might see it in the film that why would they not predict that? why would it be commotion? cos cos around San San Francisco around there they're cos obviously it's very important for them to know when it's going to come
B	because it's because they're
A	yeah I can't really remember enough of the
B	mum do I have to learn Japanese at six PM? why can't I just do it different like at whatever time of the day?
A	yeah you can I was just so as you don't forget but you've got to do everything by that time
A	well I mean what are you using to learn it?
B	well I was using a really good program called Busuu
A	mm mm
