A	hello
B	hello Cambridge
A	we're looking to make
B	can you stop?
A	all of all of the worst ones were when you were talking to Cambridge
A	and I've got two things
B	oh
A	where it starts with in a world
B	yeah
C	sorry
B	yeah you
D	do you wanna charge it in my bag or?
B	er you sitting at your desk right now listening to this I'm calling you out
C	for what?
A	that's that's right
B	I know I just I I I'm calling you out to say hi but hello
C	why?
A	mm but this'll only work if
D	oh shit
C	well kind of yeah
A	no no the main problem was that
D	you can't charge two things at the same time
A	no the main problem was er no I don't think so maybe erm
D	no you can't you can't
A	oh is it an Ipod charger?
D	no it's not
A	erm
C	oh shit sorry
B	is it on?
A	sorry
A	the main
A	the main problem was er when
B	oh yeah
A	it was like multiple conversations all the others were perfect and I found out I had to remove like background noise so
C	mm I'm very
D	sorry
C	travel sick
D	are are you?
A	are you? I'll hold it
D	shit
C	oh
B	what the fuck are you doing?
B	look at a specific point
D	we
B	at the horizon and just just look at that
D	me me me and
B	just yeah well
B	look at a point and then don't don't not look at it
C	I don't think it's like on planes it's just like buses don't you remember when we were going to
B	oh yeah
C	see
B	oh I thought you said
C	no we were going to see
B	yeah
C	it was
B	oh we weren't gonna be there
C	yeah and straight away I was sick then as well
B	oh were you? I don't remember
D	was
B	no he wasn't
C	of course not no
B	no?
D	I thought he was
B	no he wasn't
A	actually
B	oh
A	oh
D	do you wish he was?
B	probably at the time yeah
A	why?
D	oh
B	cos I
A	I'll like be honest I respect your honesty
B	good good
D	as for you now it's time to admit
A	what?
C	you've got
D	that
C	blue
A	balloon?
C	blue on your nose
A	my my my my own pen
B	yeah it's pen
C	erm
A	experience
C	it was okay
A	uhu
C	I didn't know what questions to ask
D	someone asked my question I was gonna ask a question I can't remember who asked my question yeah but someone did
C	I I was gonna I dunno was just gonna ask him
D	in where? oh Pakistan
C	yeah
A	yeah
C	I was just gonna ask him cos like when the when the media reported it they were like oh it's because they don't want people to go to school which is not the reason why it happened at all it was because of something else I was just gonna ask him like how
A	oh that's interesting
D	I was gonna ask him how he gets over the western journalist stereotype when he's in countries like South Africa like everyone who looks at him will go will probably think oh a white journalist they're just here for trouble or they're just here to take pictures and go
B	mm
D	or whatever
B	uhu
D	and then someone
A	oh it's so stupid
B	what is?
A	stupid people that say that there are people that
D	yeah
A	we we had this debate in English like there are people who like fair enough if you're like a tourist
B	mm
A	and you're not donating anything but if if you are specifically a journalist you you will usually have more of an effect by by publicising pictures and making people aware
E	yeah
A	I dunno in general obviously there are exceptions and people are selfish but
C	how do you feel about like in Syria and stuff when they show people's like bodies and?
D	I
C	whenever there's a massacre they show people's bodies but like
A	right
C	in Paris
D	there's conditions to it there's conditions to it
C	don't you think it's like
A	but in Paris
D	if they are coloured their body's seen
D	if they're not
C	yeah yeah like cos like in Paris
D	you don't see their bodies anymore
C	you never or like
A	mm
C	whenever there's an attack in Europe you never see like people's bodies
B	right
C	like actual
B	the government are more likely to stop the media to
A	to cover it up and yeah
C	well
A	whereas
B	yeah
A	yeah
B	where do you where do you see the the pictures of like when you see people's bodies in in like
D	the news
C	yeah
A	right
D	the newspapers Telegraph
B	and did the news show it?
D	all these different
C	you're talking about
D	did you see that video of the erm
B	but like the Syrian government are less are less able to cover it up
A	right
B	I I agree
C	yeah I've I've heard about stuff like I don't wanna watch any of it
D	yeah
C	I don't wanna see any of it
D	there was actually a video it was
C	yeah I know
D	seven minutes long
C	yeah they just show the videos of where people are dying
B	oh yeah and some people getting shot in the face
D	there was a massive debate on Twitter or
A	I watched that Isis video I watched that
A	I watched that ten minute Isis video
C	what debate?
D	yeah
B	which one?
D	erm about the situation with the Afghanistan
B	oh yeah
D	woman who was
B	yeah
D	erm beaten to death and then one girl from black Twitter she was sticking up for the woman and she goes how can you be beaten to death over a book?
C	what was she beaten to death over?
D	erm
B	did she actually burn it?
D	no
B	oh
D	it was proven that she didn't apparently the men confessed it was a misunderstanding
C	cos you know what? in Pakistan they have a blasphemy law
D	mm
B	yeah
C	erm so like if they do something which is blasphemous you get charged and people just use it because if there's someone that they don't like
D	yeah
B	right like
C	they just like they're just like oh that person they erm they put a they put a page of the Koran in the bin and then people just go round and they just kill them
A	yeah
D	yeah
C	and they don't get anything because they're like oh we were just trying to do er to protect it people cos this blasphemy laws
D	yeah that's what people think this situation was
A	mm
D	so she was sticking up for the lady saying how erm how could you be burnt over a book? and then like some people like Muslims got really offended saying it's not just a book blah blah blah that those are the words of Allah like if you if you do that then you should expect the consequences blah blah blah but
B	mm
D	regardless
B	mm
D	like it should have been dealt with properly because in the end they found out she didn't actually do it so now she lost her life for no reason
B	yeah
D	like
A	er what?
A	oh
C	ah
D	erm
D	what's your favourite ice cream flavour?
B	oh er
A	favourite animal actually no
B	er I'd say chocolate or what's the cherry or something
A	or your animal favourite animal
D	cherry?
C	erm
D	that's that's interesting
A	it's gotta be a pug hasn't it?
C	pug
A	or a cat cat's probably
C	I think probably
A	let's be more unique
C	it's not I think there's a I think a markhor it's like a goat no it's like a ram I think it's like a ram
A	like
C	yeah
B	erm like what? a what? a
C	a markhor
B	markhor
C	markhor
B	markhor
A	what's your favourite animal? a penguin?
B	I don't know what it is
A	a penguin
D	black leopard
A	Cumberbatch
C	don't you mean African American leopard?
B	what?
A	did you
A	er Benedict
A	penguin penguin he did a documentary on them
A	were just like be a bit and he looks like an otter
C	do you think he's like too famous?
A	he's not too famous but he just has a big following or what are they called?
D	who?
C	er Benedict Cumberbatch
A	the Cumberbitches Cumberbitches
C	yeah Cumberbitches
A	Cumberbitches yeah er no and he's er he's he he he he seems nice
C	just nice
A	incredibly likeable yeah very likeable
C	do you watch interviews with like celebrities?
A	I watch the Graham Norton Show that's it though
D	where do you guys hope to be in five what's your like dream career? like where where do you guys wanna
A	jeez
C	will we be having our dream career in five years?
D	I that's why I changed the question
C	why do I have to start?
C	no I'm not
A	thought out person here
C	no I'm not
A	okay you're the most er organised person here
C	mm
D	yeah
C	no
C	no
A	oh okay yeah
C	it's like
A	oh yes that that's it power resides women believe it resides
B	there we go
A	various
B	there we go
B	yeah yeah that's what that's my favourite quote
A	he
D	what's your favourite quote?
B	from Game of Thrones that's my favourite quote
A	power resides where men believe it resides
D	guys I feel like we're
C	we're doing like a loop
A	oh ninety-nine P shop again
C	I swear it was on that side as well
D	yeah it was
D	and it was this kind of looking road like
A	déjà vu
C	no it's not déjà vu cos we it definitely did happen
D	there wasn't an Afro World there wasn't an Afro World no
A	no this is the same road
D	is it?
A	yeah
B	yeah same road we're going back
A	but I I just don't know if we're going the right direction down this road
B	somehow we're going the wrong direction again
D	well it doesn't matter
A	yeah
D	we're here again for a reason there's a reason why we're here again
B	oh what is it?
A	so everything happens for a reason? is that what you're saying?
D	I I don't know I didn't say everything I'm just saying
B	oh come on
D	this specific
B	not that er not this one again not this one again
C	that's that's three times
D	I don't know I don't know about fate
C	three times
D	okay? I don't know about fate
C	wait just quick summary do you think things happen for a reason yes or no?
D	no he doesn't
A	er thank you for speaking
C	okay do you think things happen for a reason?
D	erm same answer
C	okay do you? what did you say?
B	you just what you
A	what did you say? what did you say?
B	but I
C	he would like to believe to but he doesn't think so really sometimes or
D	no I said I I
C	do you think things happen for a reason?
B	no you
A	I I
C	I don't know at all
B	you just say yeah me too then I ask yeah
A	what do you think? and you go yeah me too
D	no I don't
B	yeah you do
D	no I don't
B	we've had this conversation three times
D	did we? I asked you what your favourite sound is and you made me answer for you after twenty minutes of argue
B	that's cos you said
B	you said you knew what it was
A	read the whole thing
A	er here here
B	you you're you're vegan
A	Ethiopian vegan food what the hell
A	I I dig it though Oxfam wow
B	that's a big one
D	god it's disgusting
B	why is it disgusting?
D	uhu
A	what's disgusting?
B	why is it disgusting?
A	tell Cambridge
D	I don't think Ethiopian food is that
A	oh okay
D	appealing to me
A	I've never tried it so
B	why not?
D	so
B	what is it like?
B	what?
D	you know what I'm gonna say
D	you think it confuses you
B	yeah I know but then like how can you use that as a verb like if something's banging?
D	oh okay
B	you can't say
D	oh yeah yeah erm
C	do you think this is the shit they wanna talk?
B	us to talk about like
B	yeah but the
D	so who is your favourite tweeter?
A	I dunno er new to Twitter how do you how do you answer this question?
C	well you're the only person that
B	the king of retweeting
C	the the only people
A	yeah
C	I follow that aren't journalists are you three
A	okay
D	I don't tweet regularly I retweet
B	and
C	yeah you you don't tweet that much but
A	I've had like four tweets in the last six months
C	but you're the one you're the one who tweets the most regularly
B	yeah yeah
C	so
D	I tweet stuff like
A	you need to compete with that
D	not really I don't
B	no I have like thirty-eight followers
D	your following your following ratio is disgusting you need to fix that
B	I don't care
A	your following ratio
B	I yeah
A	oh
B	I could try and get more followers but just I dunno if I wanna do that
C	why do you need more followers?
