A	just a bit sweaty then
B	yeah okay
A	erm well Barnardo'sone
B	hm?
A	one that they sent you
B	yeah yeah yeah yeah
A	take all your clothes to
A	well if you were going anyway
B	I wasn't
A	when I get home tomorrow shall we have breakfast with mushrooms eggs and bacon
C	yes let's
B	that sounds good doesn't it?
A	mm
C	I like the sound of that I love a
A	mm so did we didn't we darl?
C	no she does two now I've got her into two
A	alright
C	she said
B	what eggs?
C	well okay so mum brought me up and whenever she'd do an egg she'd say oh do you want an egg but I'd get two eggs
B	yeah
C	so I always associated when you do an egg or ask someone for an egg you get two
A	cos one egg doesn't doesn't cut it
C	no you don't do eggs in one and then so I went to
B	I found one egg is enough
C	I haven't heard that one before
A	no no that's original
C	went to went to
A	just about gives you the taste for it
C	yeah
A	I think and then
C	and so gradually over the years she now had learned to do me two eggs but apparently she even does two eggs for herself now she doesn't do them ones any more
A	and she found that one's not enough?
C	yeah
A	mm
C	so what
B	just be normal
C	okay
B	erm nothing love that's fine
C	yeah do you want tea mum?
A	mm
C	dad do you want tea?
B	no thanks
A	erm why don't you take a nice photo and erm on your phone er as a screensaver?
C	oh I will give me a chance
A	oh just turned it off
B	oh
C	mum can you sit down you're making me feel stressed
B	yeah can you sit in there?
A	am I am I stress making?
B	yeah
C	yes today you are
B	yeah you really are yeah
C	being really stressful
A	oh don't worry I'll sit
A	have have they erm is it their hotel?
C	no they've gone
A	oh right
C	erm
A	so where do they come from? they're do they come from
C	was it Oxfordshire they had their hotel? is in
B	yeah
A	hotel? I thought it was just about erm bed and breakfasts
C	no it's only kind of
A	oh
C	thing
A	so is theirs a five-star hotel?
C	yes on five acres of land on a farm or something like that
A	oh how lovely
C	it's very it looks very lovely yes
A	but I I would you know I would really hate to buy a beautiful nice big house and turn it into a bed and breakfast I'd hate to run bed and breakfast or hotels or
C	I like the idea of it but I think the reality would be
A	oh twenty-four hours a day seven days a week there's just no rest from it
C	well actually what I would do is I would I would buy a house to have as a hotel and I wouldn't live there and I'd I'd pay someone else to run it for me
A	yeah because you know when you've got it it's an invasion on your home you can never get away from it
C	no I wouldn't live there I'd just own it
A	yeah
C	and then I'd pay a manager and I'd just drift in and out whenever I fancied it
A	it is leaking is it darl?
B	yeah just slightly now it's not pouring so I will call
A	so we will yeah we should get
B	but it's not a big deal
A	no
C	here you go
A	I don't know it might be worth getting a proper
B	yeah yeah yeah I'll see
A	much noisier with it pulled out by the way
C	I know it's very offensive I don't like loud noises in my ears
A	it's got a door in front of it hasn't it? mm
A	what was she doing?
C	he was trying to make canapés cos they had family coming round or his family coming round
A	did they? I thought they had erm
C	his his parents
A	why weren't we invited?
C	I don't know
A	no we were actually
B	yeah
C	were you?
A	yep
C	then why are you moaning then? erm
C	and then he said oh could you take her home please? she's really annoying me today
A	oh
C	this hasn't got bleach in it has it?
A	I love to bleach bleach
C	I know that's why most of my clothes have bleach stains cos you didn't tell us where the bleach is and then someone touches something and they've got a bleach stain on their clothes
C	that's why I don't like kitchen cleaners with bleach cos they're so easy to like just get in your clothes
B	what?
C	it's just it's just the noise that
C	well that didn't even shut you just opened it again
A	take the top out that's dry now
C	oh
A	it's quite an invasive noise I I find the fan in the treatment room at work like that I it comes on automatically with the light and I have to turn it off in the office because it just gets on my nerves
A	no
C	no
A	anyone want some cheesy snaps?
C	no
A	snacks?
C	no I want my cottage pie now
A	yeah I want my dinner
A	cheesy snack darling?
B	yeah chuck
A	hm?
B	bit boring aren't they?
A	they are a bit shall I chuck them away?
B	mm
C	yeah
A	why did you throw it away?
C	don't need it
A	well why don't recycle it? that'll be charity shop it or whatever
C	what? it's for that DVD player I don't see how that would be useful for anyone
A	well
C	okay
A	then it smelt of fish
A	why did it smell all fishy inside?
C	I don't know I didn't put fish in it I think it's just cos it'd been in the bin
A	the outside wasn't fishy seems like
C	well I don't know obviously someone put fish in it
B	it'll be five minutes alright?
C	thank heaven for that god it's takes took your time didn't you dad
B	you want a glass of wine or anything
A	no best not I'm going to work
B	fair enough love oh
