A	tender
B	in a good way?
A	it's an it's er basically
C	it means
A	explains itself
C	soft
B	does tender mean tasty?
A	er no tender
C	it means soft
A	means soft
B	okay
C	cut them up with the fork please and a knife even
D	okay
D	there
A	alright
C	why was your work
D	these bits don't mum these don't really taste nice
C	just have whatever you like
D	okay
B	mm
D	what?
C	you have to have some cucumber or carrot though
B	okay I'll have some cucumber
A	hashy brownies
C	are you gonna answer me?
A	why was why was it interesting?
C	mm
A	erm
C	wow
A	it's very annoying
B	why?
C	cos
A	mm hm
C	uhu
A	which is just very rude in my opinion
D	very
B	it's very rude in my opinion
C	that tap's still dripping
D	I declare war
C	no it wasn't me that left it dripping
A	that's the hot tap
C	is it?
A	yeah
C	oh well
C	maybe it was me then
C	are you going to tell
A	the song that you want to do but can't?
B	yeah Mr we're not allowed to do it for Sing Up
A	why?
B	well Mr
A	well wait wait let's let's
B	Mr
A	can I work it out? can I
B	yeah
A	okay right what's the song?
C	what?
A	the reason why you're not allowed to do it
C	oh so you know what the
B	Mr
C	go on tell
D	no
B	Sparkle and Shine
A	what is it?
B	Sparkle and Shine
A	Sparkle and Shine? how does it go?
C	the song from the
A	oh
C	mm
A	copyright?
C	mm?
A	copyright?
B	Mr
C	but you could sing it without song couldn't er without the song
B	yeah
D	mm
C	you could just sing it on its own
B	I I'm not agreeing about the reason
C	sorry?
B	I'm not agreeing about the reason why not don't criticise me
A	bit of a lame reason
C	is it religious? is it meant to be an assembly?
B	erm it's Sing Up
C	put that down and cut it up
C	thank you
D	what's the song I'm singing?
C	are all your songs religious
D	no
C	oh yeah
A	mm hm
B	what not to do it?
C	it might be copyright reasons though
A	could possibly be
C	so they'd if they were going to sing it they might have to pay for the
A	yeah
B	but we
B	for our silent movie we have the Grinch
A	mm?
C	oh how long do you have it for?
D	guess what's
B	and he's the
D	erm
B	one of the main characters
A	what?
D	what do my slippers have on them?
B	oh
A	butterflies
D	no
A	princesses
D	close
A	a princess
D	no
A	a frozen princess
D	no
B	it's something to do with a princess
C	is it?
A	is it from Disney?
B	no
D	no
A	alright a princess
C	is it a fairy?
D	shall I tell you? it's a
C	is it a crown? is it a wand?
B	it's a fairy and
C	is it a carriage? like a fairy and a princess?
D	it's a fairy princess
C	it's a fairy princess
A	good grief
B	I used to
D	have a look have a look have a look
C	mm hm
A	those little chipolatas are spicy aren't they?
C	are they?
A	mm
B	yeah
D	chipolatas
C	are they?
A	yeah
D	not for me I dip them in ketchup and they're fine
C	spicy do you mean peppery?
A	mm
D	no no no not for me
C	that's the one that you normally have
A	they're nice though
D	I like them mum
B	spicy but nice
C	but that are they different to your normal ones?
C	no but those are the ones I always get so are they different to how they are normally?
D	yeah
C	oh how strange
D	you must have brought the wrong ones or they
C	no
D	wait did you order these online?
C	yes they might have changed their recipe
D	yeah but they probably mixed up your order
C	no they didn't they've just
C	they've just they've obviously just changed the recipe
B	why's that funny?
A	you are you are Mr theory
A	mm
B	a dragon swooped in
D	and said
A	a chicken?
B	a dragon
C	you like stacking things up don't you
A	I love stacking things up
B	a dragon swooped in and then erm said they had to mix up the order
A	I thought you said a chicken swooped in
B	no I said a dragon
A	oh
C	would you like to go to a posh restaurant where they pile things up for desserts?
D	er mama today I saw something weird
A	like
C	well that's a specific dessert isn't it?
A	doesn't have to be for dessert can be for other things
C	such as?
A	main course
C	well with what in the filling?
A	erm
C	rubbish
A	it's true
C	you can have a
A	yeah
C	and what would the sauce be?
B	ketchup
A	raspberry coulis
C	but it's a crème pat in it
C	with raspberries or strawberries so what would you have in it instead?
B	more like a cowpat
C	are you making this up?
B	I'm mum no mum look at this
A	no
C	yes you are
A	I'm not
B	erm I'm
D	look at this look at the ketchup it looks really funny
C	okay
D	cos
C	mm hm
D	well mum it looks like a devil with one
C	mm blimey
C	like the devil
D	the devil
C	good grief
A	crumbs
B	can I see?
A	red face devil
B	wait
C	can I please see you use your knife more
C	you have to take that Brownie handbook everywhere you go?
D	oh
A	mm
C	words would be nice
A	I like things like
C	what's that?
A	yes
C	stacked and layered
A	but
C	no
A	wrapped
C	what? give me an example
A	in a pastry
C	so what's in it?
A	so it's the actual shape so you have pastry and then you have whatever filling inside
C	okay
A	and do whatever you like
A	are you alright?
C	what is hot?
B	spicy sausage
A	they are spicy aren't they?
A	I thought you were going to say I'm going to chop it off
B	do that mum do that and do that
A	no cos then you'll just use your
C	make a massive mess
A	mouth
B	tie your mouth behind her back
C	so it's raining
C	it's gonna be super-duper rain tomorrow cos of er America
D	make cover her mouth up with Sellotape I'll wait and
A	oh
D	oh she
C	yeah it's gonna be
C	gale force winds
C	and heavy rain tomorrow
C	shh no thank you
B	yeah
C	can you be sensible please?
B	okay
C	no he's not having more sausages cos he's had three
A	okay
D	how many have you had?
A	ten
D	no no stop right there stop right there
A	mm?
C	how many have you had?
A	I don't know I wasn't counting
C	well there were twelve
D	I saw five
A	oh
B	three
A	three how many have you had?
D	three
A	three and there's one two three left
B	no you've had three
C	no he doesn't
B	you've had three
C	what are
D	that means I'll have a sausage
B	look nine add
A	three three
C	three
C	so you've had three
D	can I have one of those now?
B	oh yeah that means that's one for each of us
C	you can add six
B	and that's one for each of us
A	alright
C	you've had three
A	okay
C	the
A	why not?
C	cos you've all had three sausages
A	can't I have another one?
C	no
D	I'm still having mine
A	but that means that there's one each for
C	but they're not having any more cos
B	yes I am I am
C	three is sufficient number of sausages
D	I am I am
A	but they don't have to
D	yeah
B	yeah a sausage sandwich
C	but they may be allowed to have it tomorrow
D	I'm gonna have it tomorrow
C	but you're not no
A	I'm just
C	no you're not allowed to
A	why not?
D	did it
A	why am I not allowed?
C	have another one then
B	I'd like another one
C	good grief
D	can I please have another one?
C	only if you have a bit more potato
B	okay I
A	potato?
C	and I would like you to stick
D	I'll have a little bit more potato
C	yeah with the
D	okay
C	and I'd like to see some vegetables being eaten please
D	I've already eaten some
A	does anyone want that last hash brown?
B	er no
C	nobody likes them
A	why don't you like them? they're lovely
C	cos they're fusspots that's why
D	huh? I thought they were potatoes
B	mum can I have some
A	ah
B	cucumber?
A	do you know what?
C	if you get it out
A	do you know what
D	and I thought I I've already
C	are you going to try some gravy?
D	I've already got potato so why and then since he mentioned the hash brown I really want one now
B	that's potato is spicy
D	and I can't
C	you can
D	it's all gravy now
C	well that's convenient
A	mm
D	I don't like gravy I don't like gravy
C	it is in there
A	you're not keen on gravy are you?
C	it is in that vegetable drawer
B	alright mum can I have all of this cucumber except for the very end?
C	I guess so
B	oh yay
C	do you want a knife? well you can use knife
B	actually I'll save some for maybe Wednesday
D	I'll
C	well I'm so glad I bought this tender stem broccoli which
D	oi
C	nobody likes or is eating
B	I hate this part
C	you ate about
C	centimetres of it
B	there
C	does the does the kitchen smell burnt to you?
B	mum is this
B	my tongue's sore
C	your tongue is sore?
A	from the pepperiness
D	I can't pull this out mum
C	could you please help
B	you
