A	hang on
B	are you ready for crackers? this
C	right take your cracker in your right hand
A	oh yeah
B	left right yeah that one
D	my right hand
C	take your cracker in your right hand
E	right hand
C	this is how to organise everyone
F	your
A	and then cross your arms
G	mine are mine mine are mine
A	ready
G	oh
G	oh
D	who has who's got a present and who's not?
G	look
F	but
G	I've won
F	what's in your left hand?
C	no no someone's got two
D	oh now he would
B	mine's gotta share
F	you can have that one
G	it's alright I can take a hint
D	presents went flying didn't they?
F	can have a paper clip
F	have a have a big paper clip look
A	not lost any
B	but dad you got
A	well you can keep them for yourself
E	bottle of milk
F	be
D	that's a pack of cards
A	I've got some measuring spoons
A	mm
D	that's handy
B	which way's my hat supposed to go?
D	they're alright
A	yeah
B	it's confusing
A	these are a bit complicated aren't they? there's a lot written on these
F	have you got a joke grandma?
D	I can't read it
A	what kind of paper likes music?
F	a pack of cards?
D	pack of cards
F	crikey
E	rapping paper
C	yeah
G	oh thank you
D	no what have you got in your present?
F	cos you're right you're right under a
D	bottle opener?
E	er can
B	what gets bigger the more you take away?
A	a hole
B	well done
E	why did the man get
H	oh
G	I must take send that one to
F	you can have that for your for your purse
G	thank you
D	have I got it the right way round?
A	what kind of motorbike does Santa ride?
B	dunno
A	a Holly
unknown_female	a
A	a Holly Davison
H	oh
A	Davidson
A	what did Adam say to his girlfriend on December the twenty-fourth?
unknown_female	Eve
E	I think I've got I think I've got
unknown_female	no
unknown_female	no
C	dad it's got
C	the
B	you were never supposed to be arty were you?
C	let's have a look
B	who delivers presents to baby sharks at Christmas?
D	I tell you what these
B	Santa Jaws
unknown_female	ho ho ho
F	what do you call
E	on holiday
F	Sandy Claus
A	oh
C	oh
D	a little bit upmarket aren't we in these?
E	it is it's
B	no
C	no cos then the whole thing's gonna end up
B	pull it apart
C	oh okay
C	oh yeah
E	oh
A	takes a genius don't it?
C	it does
B	takes some decisiveness
C	can we tuck in?
A	yes of course you can
B	don't just stare at it
C	make a brave move and have that
F	that's
E	that's
D	is it cheap?
C	mum you were very controversial
D	yeah
D	mm
D	mm
G	who's hat?
C	controversial
B	where are the hats?
F	where are the hats?
A	inside your cracker
E	there it is look
unknown_female	ah
E	come on you got a joke
F	have I?
E	what does Father Christmas give his reindeer on cold mornings?
F	mm
E	Santi Freeze
H	oh
unknown_female	yeah
B	that's dreadful
unknown_female	oh
G	oh
A	those those pies
D	we haven't needed any have we yet?
A	the lattice ones are chicken and ham
E	oh
G	oh
H	oh
B	I completely missed that
G	can I pass these on?
B	yeah I can pass them yeah
C	dad
F	I'll take one of those while it's here
E	they're warm
G	oh
F	are these?
A	those are mozzarella
F	oh
C	I love prawn
A	we know
G	I love prawns as well
A	our new friend will like them as well
F	thank you
E	we'll have to just have a little train going round
unknown_female	mm
F	what are those?
A	those are tomato
A	those are
G	which ones?
A	those are just ordinary sausages and sausage rolls
C	traffic jam
A	there are more prawns if you want them I just
C	thanks for the hot warning
G	it's pass the parcel
unknown_female	oh
B	it's just been on there
F	why pass the parcel?
B	what do you think it's gonna be?
F	oh
B	oh I couldn't work in a fish shop
D	shall we have
F	fish and chip shop
A	what?
F	yeah
B	work in
B	er chippies
F	well he's he's he's a really really nice man
B	don't think I could do it
B	I think you'd get sick of fish and chips wouldn't you?
F	well
D	no I'm alright
F	his evenings he were peeling sacks of spuds
G	peeling potatoes
E	can I have the er?
B	I couldn't do that either
A	he worked at erm
F	yeah yeah
G	yeah
A	some bread here as well some French stick
D	have we got any butter?
E	supposed to be
A	yeah it's on the table isn't it?
C	oh is it? sorry I didn't know
B	there's some pork pie there as well
C	god
E	quiche
G	that plate looks familiar
B	looks what sorry?
G	this looks familiar?
A	see
F	it it it was that it was that plate
A	no it was that one that blue one
C	it's yeah yeah I know
A	and I said if you
G	thank you
C	yeah
C	I've just never seen it before I'm sure
A	does anybody want any more bread?
F	er we we've got it out of some
A	well
A	and this one this one came from somewhere on your side of the family
G	that's
C	yeah I remember that one
D	that's a nice one that
A	have these been round?
C	mm
A	sausage rolls
C	yes
F	yes those have been round
A	yeah
F	the
B	the meat hasn't
F	quiche and the meat hasn't
G	uhu
F	or the salad
A	there is more meat I can always carve
D	mm
F	and
C	yes I am
F	the way she grabbed that spoon
C	I'm ready
unknown_female	mm
E	some pâté here as well
A	there's some cranberry sauce there as well
C	there's also cheesy mozzarella rings and quiche
C	blooming heck
C	do you want any mum?
unknown_female	oh
unknown_female	it's heavy
G	oh
A	that's from your side of the family as well
F	it is
G	yeah
C	do you own anything mum?
A	no not
C	you do since I've left
E	can I have coleslaw please?
A	I've only had things handed down to me from grandma
G	lovely that
G	that plate
A	mm
unknown_female	mm
unknown_female	mm
unknown_female	mm
unknown_female	mm
unknown_female	mm
F	well that can go in
A	oh
unknown_female	mm
D	you're not having some?
F	no no I'll have it but there's onions as well if anyone wants them
C	yeah
A	well
A	I know what you meant
unknown_female	mm
F	ham's nice
unknown_female	mm mm
A	yeah it's alright
C	did auntie
unknown_female	dunno
A	I think she was doing weren't she?
G	yeah
C	and the boys
G	yeah
C	and
F	she was hoping they would
A	right
F	but I'm very
C	ah
C	ah
C	ah
F	yeah
A	how old's
G	four was it?
A	I was gonna say be going to school won't he?
F	it's either four or he's four next
A	I think he's the same age as
D	he's four in June
G	yeah I think he is
unknown_female	mm
unknown_female	mm
G	no apparently we're having erm beef this year
unknown_female	mm mm
G	so she cooks it
A	oh right
unknown_female	mm
G	I think
F	mm
unknown_female	mm
A	what does
G	he had turkey I think
A	mm
F	they go out though for their Christmas dinner?
G	no they went to
F	oh they said they were all going out for Christmas dinner at one time
G	well my reaction was the same as
A	yes cos there was something that was
unknown_female	mm mm
F	or
unknown_female	mm
A	mm
F	every time
A	mm
F	the
