A	Volkswagen TD whatever
B	oh you
C	oh you could
B	it was a very sweet little van we got
C	it's always funny when you have a new car and you don't know where the bits are some of them have things inside that you
B	that you tweak yeah
C	open the outside on
A	mm yeah
B	yeah that's right
C	yeah
A	I found a switch inside it opened the bonnet
A	I saw the girl looking at me from the
C	yeah no you start to feel a bit self-conscious don't you?
A	inside the er the
C	I couldn't on the bike in Thailand I couldn't work out how to turn off the indicator
C	cos there's like a switch that you click
B	mm
C	to the right to turn it the right indicator on and vice versa and then how do you turn it off? you think you just flicked it back to the middle but it doesn't it just goes right indicator left indicator right indicator you know like
A	ah
B	ah
C	to turn it off yeah it took me ages it's the kind of thing you don't want to stop and ask someone
C	oh
B	er so that's a bit odd isn't it? you have to open the passenger door
A	I think it locks doesn't it? it it says on the cap it's a locking cap
B	so but what was happening so I dad and I met at
C	mm
B	er and bought a toasty and a coffee and I got in his passenger side and it so I I didn't have a lot of room so I was kind of squeezing out and every time I squeezed out I opened the petrol cap and so every time I went to close the door it wouldn't close cos the petrol cap wasn't in
A	ah
C	mm
B	erm so I'd realised but it's a bit daft cos if you're the only driver then you have to go round open the passenger door
C	yeah
B	to open the petrol cap it's a bit weird isn't it?
C	very weird these Germans you expect more from them
B	I was listening were you listening?
A	it a Volkswagen diesel as well
C	I saw that it was a Volkswagen
A	polluting the country
C	yeah
B	were you listening to the Volkswagen programme?
C	guilty
A	yes
B	I was thought you would be
C	on Radio four
B	it was interesting
A	it was interesting wasn't it?
B	they were saying that Volkswagen really was quite a corrupt company really is what they were saying weren't they?
A	yeah
B	erm or not corrupt but that it was
A	it was a family business
B	the it was a family business and you needed a board that that would question what was happening so
C	I see yeah
B	they all they were all saying you know what do you think happened and they said they all the panel all agreed they were all experts that erm everybody on the board would need to just ask the question so you have somehow very cheaply managed to make the engines do this
A	much less emissions
B	much less emissions how did you do it?
A	yeah
B	erm and they didn't ask that question
A	evidently wasn't asked
C	oh I see because everyone's on the inside type of thing
B	erm yeah exactly so everybody just said oh great they've done it cheaply let's just go with that
C	I'd be surprised if you investigated any company that you wouldn't find all sorts of things going on
B	yeah
C	I mean I don't
B	I I liked what these people were saying they were saying the the the roll of the board is to keep a check that the checks and balances of you know balancing out making the profit against running ethically and all of those things
C	ethical things yeah
B	erm and that was all the board so they all just basically said you know where does the buck lie?
A	who's responsible? well yeah they said that that the board is responsible
B	er but every engineer in the in the company
A	must have known
B	has to know
A	yeah
B	that you're you've put a part in that does this thing you know maybe the people actually fitting the part don't know it but all of the engineers know
C	mm
