A	oh bless her
B	right
B	well not when
C	not really
B	right these are my heels the front ones are probably ones that you'd wear
A	my god they're still quite high holy mother
B	quite high
B	I've done a poo longer than that
A	have you got
C	that white dress
A	no but
C	you'd probably have yeah but if you think
A	see
C	if you're just having dinner it would be quite nice to wear a pair of these
A	oh are you talking the white dress for dinner on the Friday?
C	I don't know really yeah
A	I could do
B	so it is the best
C	mummy flu it's like man flu except no one gives a shit
C	nope
A	apparently that's a thing though that men do actually feel worse
C	really?
A	it's something to do with like their brain
D	oh don't tell them that
B	too small to
A	being being shit yeah
B	well it's up to you you can try them on because they might not even fit
A	I like those
B	well you could try those ones on I have these
A	what would you wear this with though? these with?
B	the white dress that's what I wore when me and
A	oh my god you are like
B	I know I'm getting way too many heels
C	I'm like I have white nude or black and a white and a nude hurt so pretty much the black ones
A	ignore those
A	oh I don't know if I like these only because it makes my toes look like uber long
B	black heels black and dotty heels white heels
C	let's have a look show me?
D	no it doesn't
A	oh my god they are so high
C	show me?
B	they are not even that high
B	that's when
D	have you got to walk around in them?
A	well no if I'm wearing these for
B	I think that'll be quite nice yeah like excuse me could you just put?
D	I was going to say if you are going out and you've got to
A	no I won't wear these going out plus I wouldn't wanna like break my toes
C	no but if you were staying in
D	I was gonna say because you need to
A	I've got my grubby flats for that hopefully
C	oh is
A	don't they look weird on my
B	they look nice
D	they are nice what are you on about?
A	oh my god I feel like my feet are going to break
C	yeah they do kill they are not comfortable
B	yeah but then for dinner like I mean not out yeah just dinner and cocktails because let's be honest
C	yeah you'll be sat down
A	does it not make my ankles look really fat from the back though?
B	no
C	oh my god
A	I've got cankles
B	my
A	yeah
B	but that happens with me as well but
A	cankles
B	you can't really see that but I think they look nice on you
A	really?
B	mm
C	yeah
D	of course you have all of you have
A	I don't think so
C	you've got like shape to them they're not stick insect like mine but they are not fat either
B	as long as you don't stretch my dress with your tits
A	I definitely think you've got bigger boobs than me
B	you can't really see through it it's quite thick and then it's got another bit of thick on it
A	it's just the wire down here is coming out and it was like jamming it was like piercing my bra my boob
D	what on your bra?
C	oh you don't want to be uncomfortable with your bra
D	can't you afford to get another one? no
B	have you not got a nude bra?
