A	well I don't think he really like approves of my ukulele
B	but I think ukulele is really cool
A	yeah but it clearly
B	cos it sounds really cool and to be able to say oh I play the ukulele and just bust it out like
A	little tiny I'm really
B	because it's small it's easier to carry around
A	yeah
B	and it sounds so much cooler
A	well it doesn't I really like the guitar
B	okay
A	but I don't think a guitar suits me too much though like
B	yeah well now that you've started playing the ukulele I can't imagine you with a full-sized
B	guitar and it's like me I can't imagine myself playing ukulele
B	it feels really
A	yeah
B	rest it on my knee but you can't do that with a ukulele
A	I really want
B	it's really weird
A	to save up and get a
B	I really want
A	I want
B	to save up and get a banjo
A	I want to get a guitar and I want to get a like a concert-sized ukulele
B	mm
A	because they're sort of
B	they're slightly
A	they're bigger
B	bigger yeah
A	cos my one is tiny I can hold it in the palm of my hand
A	but they're like mini guitars and I like them they're really cool and
B	I want
A	for
B	I want an electro-acoustic guitar
A	I'd love to learn the guitar just to like an acoustic guitar but I don't feel like you know I don't know if I'll be very good at it I tried playing
B	yeah well
A	it was horrible
B	was terrible
A	it was
B	so don't like
A	like
B	just base it
A	oh I forgot to give it back to her
A	I said I was gonna give it back to her on
B	well you were gonna bring it to school?
A	er well no I was gonna drop it off at her house
B	oh yeah
A	so I'd go to her house
B	of course
A	but erm
B	give to her tomorrow when you go round to hers or does she come round yours?
A	oh yeah I'm going round hers
B	well you can go round to hers and you can get Insurgent back from her
A	oh yeah
B	has she given it back to you?
A	no no
B	I can't believe
A	if she's cracked that spine
B	she's so
A	no she hasn't
B	I'm sure she hasn't
A	she was like I've nearly finished Insurgent I was like oh really?
B	really?
B	when you mean nearly do you mean you've read one page?
B	cos it took her how like
A	it I gave her
B	it took her years
A	Diversion
B	to read Diversion
A	in like November or something and she gave it back to me like last month
A	but she's trying because she thinks she's so good at English she's trying to be like a reader but I don't see any part of her that that's that interested in English she doesn't like reading she never reads books
B	she just wants to be a journalist
A	I know and
B	yeah
A	but then I guess that's what you do if you if you're good at something
A	because English is the only thing well I'm better at English than I am at
