A	yeah so erm
B	fascists
A	you know
A	I know I went for an interview at erm near Waterloo and they were
B	right yeah
A	er no well I mean I thought I would enjoy that erm
B	ah
A	but it wasn't er you know it just fell apart didn't it?
B	it just fell apart
A	I mean the the facilities were there
B	mm
A	never taught in like a place like that
B	sometimes there were students
A	yeah sometimes with the students
B	no
A	think he lost interest cos it was depressing for him
B	well yeah yeah and it's weird isn't it?
B	for
A	he didn't mind one-to-one but I mean erm
B	it's a different lesson it's a
A	yeah
B	you can prepare a one-to-one lesson that's fine but you don't know if it's gonna be a one-to-one lesson or a group of ten
A	it's different
A	it's just a shame but erm
B	it is a shame but then
A	no hopeless
B	a meddler
A	not interested
B	not interested and and at the same time a meddler
A	yeah
B	pain in the arse but they've done something with the paths round here haven't they?
A	it looks yeah they've cordoned it cordoned it off with rope
B	yeah
A	it looks it looks a bit more
B	and these must be new over there
A	maybe they're trying to protect the grass more
B	yeah maybe
A	using
B	yeah
A	unofficial
B	maybe some
A	but there's a lot more growth I mean all that all that all those leaves you could see the wall before
B	oh yeah
A	you can't see the wall cos it that's that's summer growth
B	is that a lime tree is that?
A	is it a lime tree?
B	I dunno
B	no no
A	so what what do they call a lime tree then?
B	I dunno
A	lime tree go on
B	must be like an cos they're native trees so it must be an olde olde olde
A	right yeah probably
B	don't know and we can look that up later
A	fascinated by squirrels
B	yeah
A	through
B	oh okay
A	they weren't interested in the view could see Big Ben London Eye you know the things you'd think
B	weren't they?
A	visitors
B	alright
A	to London would be interested in
A	they were just fascinated by these little squirrels
B	yeah
A	and they were taking pictures of them videos of them and and the
B	yeah
B	I mean they
A	they'd be in someone's pot
A	oh yeah
B	and erm
A	well no
B	right
A	bamboo forests but they don't mate very well in the wild so so
B	even
A	so that's why and they use them for
B	so even if
A	no
B	oh
A	I mean Chris Packham you know that funny er naturalist
A	a naturalist he's a conservationist
B	a
A	he said he said yeah you should let let let it have a natural death sort of thing
B	oh okay
A	but I mean erm
B	but
A	some ways like if they're really mating
B	if they can't be bothered
A	the students can't be bothered what are you doing?
A	jumping up and down like a maniac but
A	the pandas can't be bothered
A	it's they're bizarre animals though they really are
B	mm mm what are they? are they? they're just pandas they're not bears are they
A	bear they're a type of bear
B	are they? oh
A	yeah
B	uhu
B	okay
A	cat bear so I dunno what
A	I don't know why they call them cat bears
B	they sleep a lot
A	yeah
B	mm have they got other bears there?
A	I think they do
B	Wild China I've seen
A	there are
B	a few of them
A	very nice areas where there is still wildlife you know where they
B	mm mm
A	tend to be remote and things
B	oh
A	I remember going outside the town I was teaching in in the countryside looking for wildlife
B	right
A	I was
B	and
A	over-farming
A	yeah
B	yeah
A	lunchtime jog
B	oh yeah because I remember watching
A	really?
B	and there was yeah there was a Chinese there was a guy in the east of
A	oh no
B	mm got ambushed or something
A	wow yeah they do exist in the
B	yeah yeah
A	deep forest I suppose yeah
B	mm
A	and most of China is like
B	mm
A	most of the population is sort of squashed into
A	one third of the country the other two thirds
B	right
A	are very sparsely populated
B	uhu
A	so
B	I bet
A	one billion people but not
B	mm
A	you know
B	yeah
B	oh really?
