A	so er do you guys like going out?
C	yeah I like going out
A	yeah
C	are you out this week?
A	um
C	where do you wanna go if you go out?
A	er
C	what about
D	I've never been there
C	I've never been there
A	never been to
D	I really want to go
C	yeah I do as well
D	but it's really expensive there apparently
E	yeah it is really expensive
C	yeah
D	go
E	yeah but
C	yeah
E	quite a distance
C	although we have made that trek
E	yeah
C	we started on
A	did you? Did you? Yeah
A	that was a big walk though
C	yeah it was horrible
D	how long did that take?
C	er
A	too long
A	he had to stop for a fag break
A	he just sat down and went I'm not walking
C	A couple of times
C	er
A	what like
D	I hate
C	maybe
D	no
D	not
C	could go
A	no
C	maybe
A	no he won't
D	no
C	what
D	yeah
C	when?
D	he tweeted me
A	that would be the only means of communication with
D	doesn't like me
C	really?
A	course he likes you
D	no he doesn't
A	what's your favourite drink when you go out?
C	um
D	vodka lime lemonade
C	it might be
D	yours is vodka blackcurrant
C	vodka blackcurrant?
A	no I I thought you meant we were gonna try that vodka lime
C	oh yeah
D	yeah I really want to try that
C	yeah yeah yeah
D	no be amazing with vodka
C	yeah
D	it would taste really nice
C	um yeah
E	I don't
D	red Bull makes you feel sick
C	no
A	what's your drink of choice?
E	rum and coke at the moment
D	or that black thing
E	oh the
D	that cider black
A	I like cider black
E	yeah but that's cider black with more rum in it
E	um anything with rum in it at the moment
A	what's your favourite bomb?
C	I like the Skittle bombs
E	skittle bombs or toffee
A	toffee? What's a toffee bomb?
E	toffee vodka and
A	I've never had toffee vodka
E	oh
A	they don't sell it anywhere
E	it tastes like butterscotch
A	do they sell it in
D	I wanna try
E	they sell it in some off-licences but
D	it sounds expensive
E	it it's called Thunder Vodka
A	never heard of it
E	mm
D	is it a high percentage?
E	well it's twenty-three percent
D	oh
E	for a vodka mix
A	sounds really
E	it comes in a weird long bottle with a circular lid that covers the entire
A	I want to
C	huh
C	I really wanna go Secura but it's it's
A	apparently I were on their Facebook before and it's only a fiver on a Thursday and the drinks are pretty cheap
C	yeah
A	well it's like the same prices as um
D	it's Thursday today
A	yeah but we'd have to
C	scary
D	I'm bored
C	it's only like two quid Jgerbombs two fifty do vodka Red Bulls
A	mm
C	yeah but
C	at twenty quid a day again
A	yeah but
D	yeah but
D	being really sarcastic
A	shouting
D	and being hurtful and broke his heart like he broke mine
A	they wouldn't let him in
E	some bouncers are just pricks
C	yeah the bouncer smacked him
E	smacked him?
C	the bouncer punched him
A	ow-ee
C	because
D	oh
E	that is ridiculous
E	ah
A	let's stay focused guys
C	so yeah it's very different going out in
D	yeah down south it's horrible
C	yeah I know
D	when you're down south
E	Down south the bouncers are nicer though
D	I've never really went out to be honest with you
E	didn't you?
D	no
E	oh
D	like I've only been out in my town like three times in Woking
E	mm
D	literally
A	Taxis are cheaper here
E	yeah taxis are significantly cheaper
D	yeah
A	Taxis are a lot cheaper here
C	depends on the guy
A	no we always find it pretty okay
C	yeah
A	yeah no but like from town to um
C	um
E	shouldn't we be talking more?
C	yeah
A	yeah but from like where I live it's like thirty quid for a taxi from
D	yeah
C	yeah
A	whereas here it'd be like a tenner
C	and comparatively like if you go out anywhere around Blackburn and
D	no
C	they don't do deals and stuff
A	yeah
C	like they do here
E	two pound a go
C	yeah
E	and if you get really nice taxi drivers you can just convince them that
E	or crying
C	crying
E	you got a taxi all the way from
C	but don't be sick
E	in a taxi
D	on
A	you were sick in
D	no I'm joking
D	and he thinks he's funny and he's not really
C	what?
A	who's like a puppy?
A	what cos like he
D	constantly
A	runs around
D	constantly needs attention
C	what's it like going out round
A	probably the same as going out in
C	yeah
A	like it's er like there's a few decent clubs
C	do you have any cocktail bars?
A	we have a wine and function room
