A	so
B	oh
C	mm
A	would you like to try some?
B	mm let me think
A	you could have cold porridge this is what I do I soak er my porridge over overnight in milk so it's not hot
B	I'll try I
C	oh can I have some crisps please?
A	yes I'll get them for you sit down
C	erm er salt and vinegar
A	please
C	please
A	so what I was saying was
B	I would have
A	well you would have definitely have spaghetti carbonara
B	pizza
B	pizza and cucumber
A	pizza and cucumber?
B	yeah because that would
A	and no spaghetti carbonara?
B	cos that would keep me from dying
A	no no you
B	okay spaghetti carbonara
A	okay anything else? ice cream sundae? chocolate eclairs? you can have like a twenty course meal if you like
B	yeah you could have one hundred
A	mm
B	pizza spaghetti carbonara chicken erm chocolate cake ice cream crisps erm
C	I know exactly what I'd like
A	hang on
B	yeah
A	you've got to include it would you have any fruit?
B	some strawberries
A	mm
B	and cherries
A	and cherries nice are they all your favourite things?
B	no there's some more but there's a lot lot lot lot lot lot lot lot more
A	well you can have as much as you like cos it's your special final meal
B	yeah
C	I
A	hang on
B	I would die before I even ate all of that and I would get
C	I
A	speak probably
A	you're not going to develop diabetes from one meal this is a imaginary thing
C	I would do something
A	hang on a minute I'm in the middle of talking there's an idea where people say what would you who would you like to have like in the whole world dead or alive famous or not famous to come round for dinner? as well and the whole point is it's an imaginary thing
B	I would like
A	who would you like to have round for dinner?
A	mm
B	Michael McIntyre
A	yeah anybody else?
B	well
C	not not the queen cos I'd have to be very polite and have to like
C	mm
A	what about?
C	oh
A	I'm literally saying anybody in the whole world like you could have lady Gaga
A	you could have father Christmas
B	father Christmas Michael McIntyre lady Gaga Little Mix and
A	grandad
B	grandad
A	yeah? okay
C	erm I would do something very clever
A	mm?
C	I would have a meal that would last for ever
A	I knew you were going to say that
B	I would do that too
C	so I would never die
A	let's assume you're definitely going to die what would you have for your final meal?
C	I would have all sort every food I ever liked and a meal that lasts forever so I don't die
A	tell me all the foods that you have ever liked that you would definitely include
C	erm there would be about fifty thousand million types so
A	well you
C	okay
A	presumably your
C	yeah
A	hamburgers from Spain cos you keep going on about them
A	mm?
C	the margherita pizza
A	mm
C	I would also like some sausages
A	mm?
C	erm I would have some lemonade
A	and yes and tiger bread?
C	tiger bread
A	mm
C	yeah
A	would you like the prawn mango thing?
C	yeah
A	chicken Caesar cornets?
C	erm mm mm and pretty much everything from Crème de la Crème
B	me too
A	mm
C	and marble cake
A	we haven't even seen the final yet so we don't even know that they've created I loved their marshmallows last
B	mum erm when shall we start making the marble cake?
A	we'll do that after lunch I think
B	mm
C	or I would have a everlasting meal so I'd never die
A	what about ice cream? or amaretto biscuits? or custard? or?
A	yeah
C	giant
C	giant chocolate light sabres
A	okay
B	mm I will
C	that weigh that are solid chocolate
B	oh I will have those
C	those chocolate frogs from the Harry Potter studios
A	mm
C	but like
B	I would still have to eat it
A	I wouldn't alright
B	no because I'm beautiful
A	erm I'd like my jelly bath
B	yeah
A	or just
C	but
A	such a big jelly I could bounce off it like a trampoline
C	wait a
A	mm
C	and even my clothes
A	mm?
C	were edible
A	mm
C	well I was wearing some clothes but I had
A	mm
C	mm I could eat everything
A	erm a chocolate lake
B	ah
C	chocolate waterfall
A	mm
C	oh erm my gosh I just thought of something amazing
A	mm?
C	everything and I mean everything from Willy Wonka's factory
A	yay
B	oh yay
C	mm
A	and the twenty-six storey tree house
C	yeah
A	with their lemonade fountain and things like that
C	mm
B	yeah marshmallow fire
