A	so what was that exhibition like?
B	yeah it was really good
B	it's easy
A	yeah
B	no we were just walking along looking
A	oh
B	and then ah  and then eh  there were some really good photos close up photos
A	yeah?
B	really clear close up photos of dragonflies
A	what dragonfly pottery?
B	well no lovely made em bowls and plates
A	with dragonflies on it?
B	all this specific decoration
B	it was everybody kinda tweaked their own stuff to gear towards the theme
A	right
B	yeah
A	yeah
B	and not even put that much effort in you know those kind of drawings that you look at and somebody
A	yeah
B	and they're always the highest priced ones as well
B	it's kinda like a weird style of art but really it's just
A	so why why was it all about dragonflies?
B	em the gallery is called Dragonfly Gallery and like this woman oh we spoke to the owner cos we spoke to the people doing it
A	oh
B	and so the owner came out she's got these dragonfly pins and everything she just loves dragonflies and she said the exhibition was supposed to be for her collection of dragonfly items
B	so pins and paintings and all of this
A	aww
B	so she didn't have any of her stuff on
B	but she couldn't sacrifice the artists' space kinda thing she was like well you know there were some some beautiful stuff there so it was like she didn't want to say sorry you can't have your dragonfly stuff
A	yeah yeah
B	no it's only little place
A	yeah
B	yeah so it was all a whole range of materials
A	yeah
B	but then I met
A	yeah
B	did the chimney man come?
A	no he didn't phone
B	oh
A	no
B	no they they knew
A	or are they going to do it anyway?
B	the knew that it was a problem for ages
A	yeah it's not looking too good is it?
B	no shall we turn back?
A	ah
B	yeah
A	why well we're almost half way anyway
B	mm
A	so we'll carry on
B	okay
A	yeah
B	not really
A	so what does the chimney
B	no
A	right
B	it's all stained black isn't it?
A	yeah
B	it shouldn't be going through to the brick work but it has
A	so what can he do to fix it?
B	got to get the whole chimney done again haven't you? Whole new chimney
A	yeah sounds like a big job
B	and they've been looking at the other stuff and I'm wonder whether that's cos we said
B	no but it's good they need
A	yeah well
B	my dad said needs maintenance and you've got to keep on top of that otherwise you lose
A	to point out the pointing
B	mm yeah
A	it does need doing
B	yeah
A	it's the kinda thing I think if you are living in somewhere
B	Don't notice
A	you don't notice it yeah
B	but even as we left today they were looking it all the details of the house going Oh look at that
B	yeah so I think they've really started to have a look and ah yeah they wanna get everything done but that's gonna cost a fortune
A	yeah it's not cheap is it?
B	I mean
A	yeah
B	that costs enough and ah
A	they can do the ground floor ones can't they?
B	yeah
A	yeah it's just the ones above like the conservatory and stuff
B	but
A	mm
B	properly
A	yeah
B	which I can't
A	yeah
B	yeah
A	yeah
B	and then this rain doesn't help
A	no
B	we're walking directly into the black cloud
A	needed the rain though
B	eh
A	still got a hosepipe ban though
B	yeah well it's not
A	yeah
B	that was a shocker
A	yeah
B	S'like proper big hailstones
A	yeah
B	quite massive
A	April showers wasn't it
B	yeah
B	and eh em she reckons that cos they've had some rotten weather now then August is going to be beautiful ready for our party
B	they've gone  they've gone  crazy picking their dresses
B	they're calling themselves bridesmaids and I never even said that
B	they're going oh we're yeah
A	they're going to be the only ones in dresses won't they?
B	I didn't say bridesmaids I said they could be matrons or something like that matrons and they said they'd stand if they were matrons they'd stand at the a gate and say hello to people or something I don't know
A	oh so if we've got bridesmaids what are they gonna do?
B	they're gonna meet and greet
A	right
B	meet great and I don't know
A	so
B	help out I dunno
A	are we gonna
B	like I just sat there
A	bloody hell
B	I said if I gets my nails done on the Tuesday they're going to be ruined by the Saturday
A	so I better get my haircut done then
B	I think so I think the girls are going to rollick you if you don't cut your hair
B	actually I might do as well
A	what cut my hair?
B	no
A	oh
B	yeah they're going  they're going  all out
A	hm
B	they say all what flowers are you having for the pinholes no pin
A	yeah
B	and I said I don't know
A	yeah
B	I mean does it have to be all the same?
A	no
B	I don't care if people have different flowers they can pick their favourite
A	yeah
B	like I am gonna buy all of the all like the best men
A	yeah
B	is it just two? Is it just two
A	oh Dave and Rick
B	Dave and Rick is that? Cos I was
A	yeah
B	and you yeah
A	yeah
B	but yeah deep
A	yeah it's okay to coordinate something that but I I think it's nice not coordinating as well because
B	well maybe you should
A	specially cos it's gonna be a lot of nature like entwined with the wedding
B	mm
A	if you conform too much to a certain look then it it makes it too human
B	yeah well I think
A	well too yeah
B	and well
B	and
B	but
B	I watched Spongebob with him today
A	did you?
B	mm
A	was it?
B	and Spongebob is angry
A	I've never seen it either
B	he's an angry character
A	yeah
B	and he was smashing things up
A	was that just today or was he like that every?
B	because he didn't  he didn't  want his friend to get up for the competition
A	oh
B	kind of thing is that?
B	I was going to the kids God I'd be really scared if someone hid in my pillow
A	yeah
B	not look up to him but they all see him as you know haha oh he's a cool character
A	I remember when I hid under my brother's bed
B	see you would have got that idea from the cartoon
A	actually fell asleep under his bed for a good couple of hours
B	aww
A	I just remember poking him under the bed
A	no
B	was he just petrified and better not able to even look underneath
A	he was terrified
A	oh dear
B	no that's quite funny though
A	and I hid in a I had like this monkey arm as well
B	oh no
A	so a similar effect
B	yeah
A	yeah
B	I think he has
B	yeah
A	so what are you doing tonight?
B	I was gonna do some work
A	it's eight o'clock now nearly
B	yeah see
A	yeah
B	sss aw I really haven't done enough work this week
A	yeah well I'm just
B	well make your film
A	yeah
B	there you go wait for it to get like dusky
A	well I need to make a storyboard a little bit and think of the scenes
B	you need the tripod
A	yeah
B	you could stick th microphone outside and try and get some some um animal noises
B	couldn't you?
A	yeah
