A	might be years
B	apparently like he's already got permission?
A	yeah
A	erm yeah I remember you were saying that
B	er mm yeah
C	mm
B	so mm
A	mm yeah
C	it weren't obvious was it?
B	yeah no
C	cos like he didn't want to sell it
B	and then all of a sudden he he realised it was for sale
C	too little too late
B	and er he wanted to buy it it's too late it's gone now
C	he was being funny the for sale sign was there for months
B	he he probably yeah cos it was it's not actually sticking out it is
A	yeah yeah
B	it's flat on the window so if you
A	well even I noticed it so?
B	I know but he drives in the car doesn't he Mr
C	I've seen him walking down the street before
B	me too
A	I see now he realises if I walk I might see any for sale signs
B	yeah too late yeah it's gone mm never mind
C	no mm unless he can find out who's bought buying it and have a good
A	make a better offer
C	it's never too late is it?
B	mm
A	mm yeah I think by the fire station they're building something because I saw them remember opposite you know the fire station and gym
B	yeah
A	and there's a bit of waste ground and the old ruin of a pub
B	oh I know yeah
A	and it was just always fenced off
B	yeah
A	and just waste ground but today when I went passed they were digging it up so I think they're they're laying foundations
B	oh are they?
B	I wonder what that's going to be?
A	be more flats cos obviously they've got two rows of flats
C	yeah
A	and then the new ones further down the road
B	yeah
C	yeah mm
B	mm
A	yeah that was always a horrible spot anyway so
B	mm
A	kids throwing stones at you just climbing up before they put the fence round it
A	yeah and they said they we can't do anything about it because it's all the housing was council housing but the pub belonged to whatever and then all the breweries et cetera changed ownership
B	yeah
A	so nobody could trace who actually is in charge of the building and therefore could be made liable and I think either it was a change of law or if you can say that it's been not cared for for so many years and the council can step in and that's when the put the fence up
B	yeah oh I see
A	but it took it took and obviously loads of people must have complained
B	you walked down there with
C	yeah two little shits they weren't even bothered they were just chucking stones at us
A	yeah yeah
C	they soon bloody complained when we started throwing them back
B	to them
A	well especially if you hit them
B	yeah
C	well not cos they'd been throwing stones to hit us you know what I mean? they should bloody get their aim better
A	mm
B	mm
C	yeah and they started swearing at us then I said see you later have a nice day it winds them up more doesn't it though when you're not being nasty to them
B	yeah
A	yeah
B	mm
A	well as I said when once the fence went up that that seemed to quieten down and it used to be a lot more you know the kind of stuff that I got thrown at me was like the the worst one once was a pie
B	a pie?
A	yeah it half missed me but it just got me
C	no
B	what kind of pie?
A	a meat pie?
A	good thing it didn't land in my face
C	imagine
B	yeah open it
C	could have been one of them
B	yeah put a bit of sauce on it next time
A	yeah chicken next week
B	chicken next week
C	I know they'd have all the tramps walking passed won't they? any pies mate any pies?
B	no a pie oh gosh
C	that's really random
B	mm I've had a egg thrown at me and it actually got me a few years ago when I was young I was running round to my nans and this other girl threw an egg at me right on my head
A	apparently it is good for your hair
B	yeah and all my cousins ran after her then she went ah I didn't know
C	it doesn't matter they'll never be consequences
B	she tried to yeah she run off to the flats absolutely petrified and
C	oh god she could always tell a tale
B	yeah mm gosh
A	yeah when
B	oh
C	oh yeah Halloween doesn't count
A	yeah
B	oh for Halloween can't stand it
C	it's not that bad nowadays though
B	it mischief night's the worst isn't it?
C	I we it's not been too bad the last
E	I was there last time and nothing happened
C	no them
B	mm
C	nothing happened
B	mm just saying that
A	yeah
B	you'd get eggs the car would be
C	no but for years
B	mm
C	I think it's not cool any more is it really?
A	but you don't even see penny for the guy
B	no
C	you do
A	mind you a penny would be not really good would it yeah there you go
C	a pound for the guy
B	yeah a pound for the guy
A	a tenner for the guy yeah you must be joking
C	you see tenner for the guy's wearing more like fancy clothes than I am
B	yeah
C	I might just sit next to them
B	ah god
A	but yeah it has it has calmed down hasn't it? yeah there's not people burning down every single piece of wood or any little
C	no even bonfire even in bonfire night's now the streets were full of fireworks remember erm
A	yeah yeah
B	everyone goes to the park now don't they?
C	yeah
A	yeah
C	but remember the
A	I know too expensive
C	mm
B	mm we stand in
A	yeah you said
C	yeah it's amazing
E	have you see
B	pardon?
E	remember
C	oh yeah
B	yeah
E	he's put weight on
C	has he? he's always been dead skinny as well
E	I know
C	how fat's he got?
B	I haven't seen in for ages
E	quite a bit
C	really? mm yeah but he's always been proper thin hasn't he?
B	yeah
C	always I didn't know he was capable of putting weight on
E	mum can I go out then?
B	no
E	why?
B	no
E	why?
B	no cos you've been out enough
E	I haven't
B	you have
E	I'm off school
B	I know
E	yeah so exactly
B	no you stayed out last night with your cousins you stayed out
E	didn't even want to for the last couple of weeks
B	you stayed out a couple of nights ago
C	you couple
B	rather than back a work I come from
C	well you should have got back early then shouldn't you? this is what it's like in our household on a daily basis
B	yes mm
B	oh
C	don't have kids well
B	it's too late now
A	don't look after them
B	well yeah
C	yes
B	yeah
A	yeah but know what you hear from
C	oh
A	mm I said
C	oh
A	cos you know with the little baby obviously you can see the baby comes first
B	yeah
A	but you know it's it's yeah her grandmother looked after her brought her up and then came to look after her because
B	do you go on the computer to her
A	yeah because look
B	she doesn't want it?
A	so so she must have se you must think she's stupid erm she said oh don't write
B	don't write?
A	like
C	really?
A	and then
C	oh
A	yeah no access to the computer can't use it
B	yeah
C	yeah
B	yeah
A	so that's what she does
B	so she still talks to you but her mum doesn't now?
A	which is the irony because her mum contacted me can she write you a letter? but and yeah it it was the whole thing that
B	yeah
A	and then the letter never got there because Chinese post is rubbish
B	mm
A	erm but you know again that's shortsighted because sure enough
B	yeah oh
A	I don't know and she doesn't answer emails
B	mm
A	and yeah
C	people are weird
B	no well the main thing is like she keeps in contact with you doesn't she?
A	yeah so she's she gets her dad talk of the week you know learn how to write
B	ah
A	she sounds like a little American anyway
B	oh does she?
A	yeah yeah it's all tell me this yeah
B	ah
C	ah
A	they had they had a Europe day so erm you know all the European countries have like you got pasties or whatever on the French stall and they had was it Brighton rock all kinds of things that are British tea Brighton rock Brompton bicycles
B	mm
C	we had a guy come over from Singapore who works for us he's never been to England before and he he was a bit older than me but I'm one of the youngest in work so everyone was like oh you can sit with
A	you only
B	no
C	he thought we had fish and chips with our breakfast he thought we ate fish and chips constantly
B	yeah?
A	for breakfast?
C	yeah I was like no
A	no no we have cake
B	yeah cake oh
C	he just thought that that's all we had just fish and chips
A	where was he from?
C	Singapore
A	oh dear
C	and I was like so all is that all you eat is noodles and he's like no I was like well there you go
B	mm
A	yeah yeah very strange specially Singapore you know
C	I know but he he'd never been to the UK or anything before so
A	oh
C	I know bless him
A	bet he's come with loads of fish and chips yeah he brought them
B	and loads of tea
C	mm ur I like fruit tea I like Chinese tea as well
A	well you can have Chinese tea I have loads
C	or fennel tea
A	green tea?
C	mm yeah I drink green tea Chinese tea fennel tea is really nice
A	yeah yeah fennel is nice
C	fruit tea anything bar normal tea
B	no I don't like tea I don't like tea full stop
C	I only dip my biscuits and then I have to bin the tea because the smell makes me feel sick after I dip my biscuits I can't have biscuits and coffee it's too bitter for the biscuit
B	I like coffee
C	mm I have one one proper coffee in the morning and then I have a decaf in the afternoon
B	mm
C	and that I'll either use the blue no the blue top milk or coconut milk coconut milk is lovely
A	is it sweet?
C	yeah
A	oh right
C	coconut water is even have to tried coconut water?
A	I think I have
C	that's it's really nice
E	there we go hang on what did I switch on the wrong one?
A	no I switched them over oh I'll just do that one sorry since I've put the computer here and this is these are the only bits of
C	power
A	power that you have in this room
B	really?
A	yeah so this is I've got the extension it's goes round and that connects to there
B	oh okay
A	erm and the light switch for that one is there
B	what about there? have you got no plug there?
A	no no there's two here two there
B	cos we've got two there and two there
A	yeah your house is more modern
B	yeah haven't we?
C	and we've got two lots in the other in
B	and two lots in the other room
A	yeah it's just these two and then two on the opposite side in the next room
B	so I've got eight eight sockets downstairs two two two two
C	in the living room
B	yeah both on the that wall
