A	oh yeah
B	a bloke who apparently has
A	yeah he did he used to be a kind of
B	well a part of me yeah
A	yeah
B	now he's just a
A	no no he's not a
B	you don't think I'm
A	you need a corkscrew?
B	I'll now sample your cheap rubbish?
A	yeah
A	save
B	what we having by the way?
A	we're having I couldn't bend myself to buy a shoulder of
C	lamb
B	we thought that
A	because it was just
A	so we're having
A	well I wanted to
A	make a sort of an option that we could be vegetarian so we're having
B	oh yes
A	we're having Sicilian style chops with
D	no one?
B	what's the Sicilian part then?
A	well the fregola
B	Sardinian actually
A	oh it's Sardinian whatever
D	that's that's the same thing
B	I know I'm good with a certain letter but
B	mm
A	I spent hours tasting them in erm
B	these are Greek ones though aren't they?
A	Moroccan
D	that's what
B	oh are they?
A	yeah
D	me and
D	Whole Foods
D	every time the security there wondered over
B	what did you do the? correct chatter?
B	come here darling I know you're a bit
B	do you know your mother's coming you gonna eat that?
A	no
D	didn't think of it
A	huh?
B	so who won the Grand National?
D	I got some money
B	I know
C	have you been waiting?
A	yeah darling
C	what? I didn't realise they were making me dinner
A	that is ridiculous you did know that
C	I didn't know that though
A	go upstairs and wash your hands without dirtying the bathroom
D	you did know that
C	why do I have to wash my hands?
D	cos you're dirty
C	why do I have to wash my hands?
A	why do you think?
C	I don't know
C	cos we're going to eat food?
B	anyway what happened at the Grand National?
A	erm
A	it was a quite exciting race I have to say
D	it was exciting yeah
C	yeah
A	it was really like
B	did you watch it?
C	we had
D	I watched it
A	Soll was
C	Soll was second place for most of the most of the race
D	went to
A	Soll was in a good yeah he's
C	so yeah Soll was in second then first and then dropped off and then Saint Are came through
A	it was really exciting
B	and what was?
B	what was?
A	we had four three bets on
C	they
D	he
C	but he thought the best option was to go each way on Saint Are
B	which is what he did?
C	yeah it was what we did
D	and I did it again myself
C	did you?
D	yeah
C	each way?
D	yeah
C	just on Saint Are?
D	Saint Are
C	how much do you put?
D	fiver
C	so you got
D	no just twenty-three
B	what you doing?
A	chops
B	er there's two
C	thought you got forty-six?
D	got forty-six?
D	from a fiver?
C	yeah
C	and what were your odds when you bet it?
D	I betted a
C	but I bet I had thirty-three to one
D	what were you? what've we got?
C	no no no
D	yeah?
C	so fifteen oh yes we
A	yeah
C	oh really?
A	he put twenty quid on it each way thirty-three to one
C	okay so he got like eighty quid?
D	more than that
A	more than that
D	twenty quid so he got
C	yeah
C	yeah horse
B	yeah
C	you win a quarter of the odds
B	no it has to come in first second or?
C	er
D	third fourth or fifth
B	really?
B	so how substantial is the
C	quite a lot
B	yeah I would've thought that yeah
C	if if it if Are had won we would've got
D	yeah
C	and we got
B	erm
C	erm
A	Balthazar
C	no no it was
B	when did it start?
C	when did it start?
D	he's a Scot
A	I thought Soll was gonna
B	we had multiple bets on him
D	yeah
C	had about three bets yeah
A	had three bets?
C	all our all our horses were
D	that's cos
C	yeah
C	yeah
A	this is really
D	I want
C	you've just got you've just gotta you've just gotta keep up with it
D	yeah
C	it was like if you if you knew
D	yeah that might that might mean he's tired though if he run
C	but five races wasn't that many
B	anyway
C	well we don't don't quite know
D	I've
C	yeah but how many times did you bet when you didn't win? cos like
D	no just the Grand National
D	no we didn't
C	we did it three times
D	no we didn't do it every year
C	erm yeah
B	hey if you put a ten
B	ten pounds on the favourite on on every race
C	favourite never wins
C	but I did think that the favourite was gonna win
B	well if the favourite never wins there's something wrong
B	who is
C	it's the bookie's favourite
B	er so the more people come in that say
C	no but you would start
B	and then that changes as to how many people are betting on it?
C	yeah
B	oh right
B	so
B	I I had a friend who just spent every day just sitting in the bookie's
C	can I yeah I know some of his mates
B	you know sometimes he'd be five hundred quid up
C	he wasn't up? I know someone who's
B	he was down
C	who
B	on football?
C	a man who a man who like a man who like writes for
D	I suppose it's quite easy though cos you know em like
C	yeah
D	Burnley is not gonna beat Chelsea
B	yeah Burnley's not gonna beat
D	but they might Arsenal
C	they're not
D	they might though
C	Arsenal can win the league though
D	no they can't
C	they can
D	they can but
C	if we win all our games and we
D	we
D	yeah we are
C	you're like
D	yeah with two games in hand
B	so you two support different teams?
A	yeah
B	that's fortunate isn't it?
A	course they do
C	but but Mourinho had said that Arsenal
D	but he's just saying that to be polite
C	no he hates Arsenal he wouldn't say that
D	he's just saying that no he's saying that to be rude to er
C	mm
C	do you need a haircut?
B	no cos
B	I never wash my hair
C	what principle? what's that then?
B	the principle is
C	it does so it does work
B	but it's not
B	I do it with my fingers
C	yeah
B	it's disgusting
A	is my
B	no
A	no but have you noticed that yours is descending and mine isn't?
B	yeah
A	that's interesting
D	yeah
C	so they're how many points behind
D	four
C	four points
D	so ten
C	well
C	who are your games? there's a lot there's
D	yeah but even so
A	I wanna know when
B	no don't make it too burnt
A	no okay
B	mm?
A	okay
B	probably put the next lot in
A	mm?
B	put them all in
A	oh okay
D	I
D	that's
D	QPR
C	you've got a mad run-in
D	it'll be fine it'll be easy for us
C	but if we if we do beat you then it's gonna get a bit interesting
D	seven
C	but
D	cos you're? well
C	Chelsea
D	that's it though that's the only hard thing really
B	fry it up with the pasta
A	what too spicy? I never do spicy
D	spicy is my favourite
C	is that one for me? is that Chinese noodles?
A	no it's fregola
C	is that pasta?
A	it's a
C	is it like pasta?
A	it's a type of
B	so
B	when you
D	I dunno
C	knowledge of pasta is only good for
D	when I went to Greece though I could like read the signs and like sort of
C	when are you going to Italy then?
D	Monday
C	ho-ho
D	told you bruv
C	huh?
D	told you
C	oh yeah
B	to Roma?
C	erm
B	so where you staying in Rome?
D	dunno yet
B	to another penthouse banker's penthouse
D	see when we get there
B	do you know Airbnb?
D	I don't like Airbnb
A	why not?
D	I prefer if someone makes my bed you know?
C	I don't like hotels
D	Airbnb is annoying
C	I don't I like it
A	you don't like it?
C	he
D	yeah I do
C	minimum
D	also there's
C	not that cheap
D	might as well get a hotel
A	mm
D	cos it was cheaper
C	I'd still do it
D	you've gotta like do the logistics like get the key and like
B	I've never done it
C	it'll be more real though
D	what's more real about? it it's annoying?
C	well
A	how am I gonna do this
B	no just put it on there
C	so this is my second dinner
A	that rack okay
D	it it's true
B	okay
C	if you lose two games and we win all our
D	no not two
C	if you lose to us
D	yeah
C	and then lose another game? and we won all ours or something?
D	no it would be the same
D	because they scored more goals
D	yeah six got scored six more goals
C	well we can beat you six nil and we'd be
D	the thing is though you never win
C	we're gonna beat Mourinho
C	I was in the car with erm
A	he supports Tottenham?
C	yeah
A	what did you say did you go to the house it's the first time you've been to her house?
C	no I've been to her house
B	is it good?
B	Tottenham
A	Tottenham are the yids aren't they?
B	all the yids support Tottenham
B	but
A	erm
B	yeah
A	what's that mean come on be a bit more descriptive
C	erm slightly bigger than this he's not bigger than
A	I think
C	no no no like
C	he's got like some
A	what's his name?
C	erm
D	is it a nuclear family?
A	it's a
C	well
D	obviously
C	it's really not it's really not cos
C	yeah
D	yeah but it's still a nuclear family
A	how come that he's
C	they wanted to adopt
A	but
C	cos like
A	oh god and
C	erm
A	after
C	yeah
D	what?
C	I don't know
A	and where is he's how old was he when he was adopted?
A	and he was
C	he's white but he's like tanned
B	mm?
C	well his parents are not
A	that's me who's the
B	is he half and half?
A	the dad supports
C	huh?
B	is he half and half?
C	half and half?
C	half dark lager
B	and
C	er in
B	to?
B	oh you went to
B	and
