A	then you don't have to have erm adverts
B	yeah
A	and I don't like Current Theory
B	yeah
A	I'm watching Fringe at the moment
C	mm
B	which one's that?
D	I tried watching that I've only watched the first episode
A	it's good you have to watch like a few episodes now I'm in series three but like I've watched like ten episodes today
A	and they're each like half an hour forty-five minutes long
D	yeah
B	mm
D	it's really hard not to binge watch it plays the next video for you
A	it does
D	it's like oh okay if I have to
A	okay ten ten's a a bit of an
B	I used to do that
C	I haven't done that in a while actually I don't really watch TV at the moment
A	no I haven't either but I was like it was good cos this week I worked Sunday Monday Tuesday cos it's a Sunday to Saturday week
B	mm
C	mm
B	we had the other week I had a day off work and I just watched like four episodes of I don't even know what and they were like an hour each
D	you don't know what?
B	I can't remember what it was but I watched like four in a row
C	it must have been a really good show if you don't remember what it was
B	yeah
D	yeah if you watched four hours of it but don't remember anything
B	yeah well I was I was ill
C	you were ill oh
D	oh was this last week Friday?
B	erm I don't remember when
D	Friday
C	you don't remember anything do you?
B	no
D	no
B	I'm I'm I'm fine at work I like go to talk to my boss and he's like oh do you remember when you did this? no do you remember what this is? no
D	early onset dementia no
A	how is your work?
B	it's fine
A	what are you actually doing there an apprenticeship?
B	it's all like yeah
A	in?
B	accounting
A	I thought so I was just checking
B	yeah it's kind of boring I don't have anything to do at the moment
A	yeah what do you actually do?
B	I erm
A	and don't say accounting
C	numbers
B	eh I do accounts erm no but clients all businesses have to produce a certain file of accounts are required to give us their records and we produce the accounts which say how much money you earned how much money spent
A	I do that for my mum and she gave me all her receipts and there was two hundred receipts for the whole year
B	yeah our clients do that I do one one client I'm working on at the moment and they gave us five folders full of receipts most of which have been stood on
C	stood on?
B	yeah he's like he's like a mechanic and all his receipts have like footprints on them
C	right that's weird
A	no I sat down with mum and she said you have to put even the little things and like some things are like ninety-eight P and I was ah
B	yeah
A	it was on my day off as well
B	yeah
A	so bored doing this out of kindness
D	it's a massive job
B	yeah I do this for a living
A	ah I'd hate to
C	I wouldn't do it out of kindness I'd get mum to pay me if I was doing that
A	you want to do it you want to do accounting
B	yeah I do
A	yeah I didn't
B	maybe that makes me sad but
A	no what do you do now?
D	erm I have an apprenticeship as well first whole year's college though
A	doing?
D	erm called er
