A	very mature at twenty-two and she wouldn't behave that way
B	oh thank you
A	hi
B	hiya
A	why haven't why aren't I in the beer garden right now?
B	um
C	there's no beverages in the fridge
A	why?
C	apart from wine
B	where's my beer? Did I drink all my er beer?
A	no I think you've got beer left
B	what the hell is that? Is it alive?
A	hm
B	dunno
C	it ain't mine
A	it's not er mine
B	mm
C	I know that much
A	I haven't had beans for a long time
B	bleurgh
A	bleurgh
B	mm
A	huh huh huh huh huh
C	and she said yes cut my hair
B	are you back together?
C	no
B	sour?
C	very very sour
B	I thought er well yesterday I spoke to you and it was civil
C	it's still civil but it's more sour
A	sour grapes
C	er
A	she sounds like a nutter
C	she's just twisted in the head
B	huh?
C	she's not she's just keeping me on a leash and it's doing my head in
B	well don't have it
A	yeah
C	I want my shit first
B	huh?
C	I want my hair cut and my fucking hundred pound jeans and belt that she's got me
B	well you went round to um get all your stuff on Saturday?
C	no
B	right
C	Will she bollocks
B	well why are you going to get presents from her?
A	oh yeah
C	can she?
A	yeah
B	well why would
A	she knows where you live don't she?
C	yeah
B	if you've broken up why would she give you presents?
C	well that's
B	Cos she'd already bought them?
C	yeah
B	seems a bit strange but okay
C	I've got a good mind to tell her just to send them back
A	if it were me I would
B	it would make more sense
C	it is
B	rather than here's a present but we've broken up
C	but they are a nice pair of jeans though
B	I just think it it leads to confusion later on down the line
C	I'm not gonna get done for theft
B	oh no that's not what I mean
A	you owe her one
B	some sort of tie
C	no
A	well I think you might be right with that you know
C	she does a little
A	like do you know any other person that would behave that way?
B	mm
A	like
A	just you know if if they argue over something okay bye
C	yeah
B	well she's er  she's er  it's
C	especially if you want er very
B	that's what I said
C	especially if you wanted a relationship
B	if it was something that mattered to her she wouldn't just walk away
A	yeah
C	I know  I know  I said some hurtful things
A	I think you've hit the nail on the head there
B	mm
A	we saw this when we had the
B	yeah
A	in the house
B	yeah
C	mm
A	and the
B	yeah
A	bond and
B	yeah
A	walking
C	not me
A	girls are
B	typically
A	well no but typically
B	yeah
A	in which case please yourself cos she's not going anywhere
C	mm
A	or secondly she doesn't care for you at all
B	and I mean you've gotta remember that within moments of meeting her she'd said to you I wanna have a a kid
C	mhm
B	and within moments of meeting her
C	mhm
B	she's suddenly miraculously pregnant
A	yeah
B	like I'm not being
C	mm
B	I'm not
C	no I
B	a conspiracy theorist but that that maths doesn't add up does it? Er you just seemed to be right guy a guy right time
C	yeah
B	she's looking
A	yeah
B	she wants to have another kid by the time she's thirty
C	yeah
B	she wants to find someone to father that kid
C	yeah
A	yeah
B	so ultimately you've sort of served the purpose I think in her eyes
A	yeah
B	it hasn't worked and er now she's trying to move on to find another baby daddy
A	she sounds like a nut job
B	she doesn't have your best interests at heart
A	certainly not
C	she she she's gonna end up lonely
B	agreed
A	as long as you're not there
B	you need to cut and run while you're not too emotionally attached
C	too late for that I think
B	well you've gotta just
A	so the more time you spend
B	yeah
A	the worse it's gonna get
B	you've just gotta cut er
C	well
B	cut your tie now
C	I'm gonna get my shit
A	you're bloody mental
B	if I were you I would have nothing to do with her
A	no
B	because you're encouraging her by going round there
C	if I
B	it'll end in an argument isn't it
C	but if I  if I  keep her where I want her
B	you can't  you can't
A	but she's not where you want her is she
B	she's gonna carry on messing with your head
A	she's not where you want her now
C	but if I take the stuff then she's more where I want her than when I not when I haven't got it
A	so where is she gonna be then? If you  if you  go and take the stuff then what position do you think what advantageous position do you think that leaves her in?
C	like the whole friendship oh maybe he's changed
B	I don't think you can have a friendship with this person
C	I
B	you you walked into a relationship very quickly
C	yeah
B	there's no actual foundation there because you've only know her for two months
A	mm
B	can you really after everything that's happened the emotional rollercoaster that it's been can you really keep a friendship going? What is there to
C	I I personally at the moment
B	keep keep you friends?
C	if if if she says that she doesn't see any way back then I just wanna cut all ties completely
A	why are you even giving her the choice?
B	well I don't think
A	yeah like why why are you giving her the choice? If she wants to turn back I think you you ought to decide what you want
B	you need to think about your priorities
A	yeah
B	heart on the line
C	pff
B	well then you've gotta be careful then haven't you
C	I fucking burst out crying
B	oh love
C	I was sitting there crying my bloody eyes out
B	yeah
C	try crying
C	could I bollocks?
B	try why would you be trying to cry?
A	stick them on the airer?
B	no
C	I tried putting on the waterworks
A	no
C	and now I just my body wouldn't have it
A	I'm looking for an ice
A	ah
C	can you get the sieve out for me please darling?
B	it's in that one
C	is it?
C	oh yeah
A	I'm looking for an ice pack
B	Don't we have them in the freezer?
C	I mean that's where ice packs should be kept surely?
B	in theory
A	I know
B	in a normal house
A	which has somehow ended up in the back of this cupboard
A	I don't understand why the fuck it's there but
C	oh yeah
A	so we'll freeze this to go on my
B	penis
A	penis
A	yeah
B	fine
A	just gonna shimmy on through you both
C	sorry
B	oo
C	chilli
B	chilli
B	you need to move those cos that's
B	a bit of a health hazard
C	I think it even might be open you know
B	oh I should make soup
C	if it's not it's on my shelf
A	hm?
B	oh your room
C	yeah
B	mm
C	coldy coughy? Or soup?
B	mouldy soup
C	oh dear
B	from last week
B	minging
B	that was not nice
C	I've just cremated this chilli as well
B	oh huh
C	mm
B	better get takeaway
C	sorry?
B	better get takeaway
C	well
B	yeah
C	do you know I was
B	why? I mean I know that sound harsh but but why?
C	well
B	you know you're not together anymore
C	mm
B	she's made that perfectly clear
C	yeah
B	aren't you
C	yeah
B	yeah
C	not until I get my jeans
B	right
C	and like I said they are not cheap
B	urgh
C	I want them
B	well I don't know if that's the real
B	for er accepting jeans though
C	it's not
B	do you wanna hand
A	er
B	I don't think you'll be able to lift them on your own though
C	if you wait I'll give you a hand
A	I don't think they're that bad
C	is this?
A	oh shit
B	okay
B	get in
C	what have you got tonight?
B	my belly
B	I mean it's only two days old
C	is it chicken?
B	yeah
C	no it'll be alright
B	overheat it
C	I was in old same
B	oh
C	yeah
C	yeah
B	Christ
C	it's lovely ain't it
B	that's
B	pretty intense
A	found my fat book
B	oh man alive
A	no
B	are you sure?
A	yep
B	is it for your eyes only?
B	mm
C	have you go got a tikka masala or something?
B	yeah
C	sweet
B	oh yeah
A	um I might try er put it in my mouth and taste it
B	let me cook mine so that it's hot and you can decide if you like it
A	huh
B	no I know
C	oh
B	I didn't realize
B	I thought it was only er it was only half
C	no it's alright darling
B	I didn't offer it cos you'd already got your dinner
C	yeah
B	I wasn't being rude I promise
C	no no
B	promise
C	I do
B	they are beautiful
C	mm
B	the smelt really
C	mm
B	nice
C	she loved them
B	oh really?
C	yeah
B	right
C	and didn't thank my sister on Facebook
B	fff
B	oh right
B	right
C	whereas I didn't
B	right
C	I went all out
B	ah
C	at the end of the day though my sister drove over there
B	drove over where? To your mum's?
C	yeah
B	yeah of course
C	she she
B	well you would wouldn't you
C	she came to pick me up
B	yeah
C	and yeah
B	huh
C	this is really nice
C	it is rather yummy
B	is this the one that you made from the M and S stuff?
C	yeah
B	it smelt amazing when you were cooking it last week
C	it is rather yummy
B	actually I think it was two weeks ago ain't it
C	yeah
B	festering
C	you're welcome
B	mhm
C	but it's a nice kick though
B	mm
C	it's not a bad kick
B	it's
C	mm
B	it's really good
C	it's not very saucy as well
B	yeah
C	but it's how a chilli should be
B	yeah
C	I used chilli paste instead of a chilli sauce
B	that's a good idea
C	no
B	no?
C	mushrooms
B	ah
C	made made the sauce in all fairness
B	oh nice
C	so you're still doing your little Dictaphone thing then?
B	just for a little while longer
C	yeah?
B	I er didn't even think of how much they would tax me
C	what do you mean tax you?
B	tax you on it
C	oh right
B	and go all and it all goes through
C	mm
B	they tax you
C	oh right
B	but er better than a poke in the eye
A	so I have one box left for the top of my wardrobe but I'm too short to get it up there
B	oh we can do that between us
C	er yeah
B	that's fine
A	uh
A	huh
B	does it?
A	um
B	tut
C	that's crazy
A	from the last time I measured it
B	and did you tell him that it actually hurts now?
A	yeah
B	and he's just said wait?
A	he's like well yeah
C	I reckon if you went down A and E they'd drain it straight away
A	I reckon
B	mm
C	I really do
B	possibly
A	yeah
C	you've had it over a week now
B	can you would would they
C	and it's worth it
B	call your GP though?
A	I know I was just thinking that
C	no they should have the records there straight away
B	yeah but the
A	yeah
B	come back in a week
A	yeah
C	mm
B	on your bike
B	and if you're gonna wait
A	yeah
B	that's not a lot of fun
A	oh shit
B	who?
B	oh bless her
A	er
B	oo
A	yeah
B	mini Eggs?
A	huh?
B	huh?
A	oh I thought I'd got Mini Eggs
B	oh I thought you said Mini Eggs
A	uh
B	what was I
B	I was gonna ask you something
A	was it about Mini Eggs?
B	it was about
A	oh
B	how did it go?
A	I haven't heard anything back yet
B	oh of course
A	busy
B	yeah
A	um
B	Good though? Nice wedding?
A	no some nice wedding some kicking off
B	with the family?
A	yeah
B	hm
A	and the the thing is they're just they're a bit like gypos
B	oh right
A	so when they're kicking off they don't wanna speak to anyone else
B	right
B	mm
A	um they did give me a nice little tip behind reception today
B	okay
A	um
B	were they drunk?
A	I said oh don't worry about it
B	mm
A	I think it was just such a stressful situation
B	mm
A	that one little thing
B	yeah
A	and they're like boom
B	yeah
A	and he was like you know I'm so sorry
B	mm
A	you know
B	mm
A	go and enjoy your day
B	mhm
A	I'll go through it myself when I come to work on Monday
B	mm
A	forget about it
B	nice
A	um
B	mm
A	just well just before they had the speeches
B	mm
A	um
B	sweet
C	job done
A	yeah
C	it's taxable though isn't it
A	no
B	no it's cash
C	really? All tips are taxable though
B	only if you declare them
A	yeah
C	well yeah obviously
B	nice
A	yeah
B	mm
A	er I think I got home about half ten
B	oh right
A	yeah
B	like twelve hours
C	you were still cooking at one o'clock though
A	oh I went to the pub
C	oh yeah
A	yeah
B	she's an animal
A	fucked bad
B	did you clear the air about the whole
A	yeah
B	yeah
A	um and she was like I know I'm being a twat
B	yeah
A	I said I wouldn't ever let any one of my friends speak to you that way
B	mm
A	never mind someone that's considered to be my boyfriend or whatever the hell
B	mm
A	that whole situation is
B	mm
A	she's just being a douche
B	oh huh
A	so I'm sick of wasting my breath on it to be honest
B	yeah
A	so
B	that's it when you see her just don't talk about it
A	yeah
B	because if you wanna stay friends with her and you she's had your advice
A	yeah
B	she's not gonna come to you is she if it all goes tits up cos she knows you're just gonna be like well
A	told you
B	this is exactly what we knew would happen
A	yeah
B	mm
A	so that's amusing
B	oh that's so that's what you did
C	did you hear me come in?
B	mm mm
C	oh good
A	what time were you in?
B	well
A	what?
B	had a panic attack on Saturday
A	oh that's the worst
B	it's only the second time it's happened to me
C	I'd have walked out the front door
B	yeah
C	that's what I'd have done
B	I was just walking round my room
C	yeah
B	and um calmed myself down
A	uh
B	it's really strange
C	just keep that in your head
A	yeah
C	that it's your mum
B	yeah
C	going out with your mum
B	yeah
A	yeah
B	have to go
A	where's this come from?
B	I don't know  I don't know  where it's come from
C	did anyone put you down about anything at all? Knocked you down
