A	so I really lively said why don't just say hello just say morning?
B	yeah
A	yeah
B	right
A	yeah
B	yeah
A	you would've been like mum come on leave us alone but
B	mm
A	like she's twenty-three this year
B	mm
A	and I thought I didn't I thought she was twenty-two this year
B	oh yeah when you told me that even
A	yeah
B	Cos she acts like an eighteen year-old
A	yeah
B	yeah
A	no
B	that is really badly behaved
A	yes really
B	I'm surprised you know obviously it was always gonna be quite hard for her mum to ask her to leave and she obviously hasn't done that
A	no
A	um and she was like oh so I can earn a bit more money cos I'm absolutely skint all the time
B	yeah
A	she earns about a
B	oh right and she lives at home yeah
A	I was like seriously? And she was like yeah I know I said tell me about it she said no really
A	she was like well you know a bit a little bit more than me and I was like yeah a hundred pound she was like well there you go then
B	yeah absolutely
A	she was like well no but it's two hundred
A	so she yeah she's she's comparing two hundred pounds to my five hundred
B	yeah but still
A	I was just like what? And I was like
B	I can't believe she charges you twenty quid a week more than she charges me
A	yeah
B	for a room
A	yeah
B	only just bigger than mine
A	yeah
B	she just
A	no
B	Cos she doesn't need to
A	Yeah so that so that means there's not that much difference between us and I was like yeah um and pay for food
B	yeah
A	and I pay for transport and I pay the car insurance
B	yeah
A	D'you know what I mean?
B	absolutely
A	and she just wasn't getting it
B	yeah
A	yeah
B	she's a nice girl but it must be difficult to be friends with someone like that because you are so different
A	it's just craziness
B	mm
A	I expected her to maybe appreciate that having her mum like that
B	yeah she's lucky to have that
A	yeah
B	to be able to to say yeah to not take her for granted and to appreciate what she's got
A	yeah
B	well that's the thing cos you would think that having spoken to you know once or twice about your family situation the thought would've occurred actually d'you know I haven't had half as much drama with my family as I've as
A	yeah
B	they um they just see it see their problems they don't see other people's problems
A	very very strange
B	okay and I will get the thing for the gravy
A	yeah
B	so family?
A	yeah
A	played there
B	mm
A	um he said but some time it might be a generation thing cos my dad doesn't you know show emotion at all really
B	yeah
A	and I said and it's different cos you know you were really seriously hurt
B	mm
A	um and your dad's
B	was he?
A	yeah
B	ah
A	yeah
B	yeah that's the thing you know he's he's an independent business man like it must be difficult to sort of juggle the two
A	yeah
B	I'm not making excuses you know he might well be a twat but
A	yeah
A	ah I had broccoli for lunch like the other day just broccoli just broccoli on its own
B	ah yum
A	mm
B	like the best thing ever
A	and gravy
B	you're telling me
A	yeah and he said um he said oh yeah I can kind of you know I can kind of understand that apologies for a bit of bra showing but I'm a bit hot now
B	mm
A	round here and the first thing he did was start bartering for a an argument and I was like really? you know your your well your son's pretty sick
B	yeah
A	What d'you know what did he say? And he said oh well he came and said you know your you know right
B	yeah
A	and then he was like um and you been drinking? And
A	and then he just started off going off on one
B	yeah
A	from drinking
B	D'you think any parent is gonna say well done mate ?
A	yeah
B	and if he had what kind of a parent would he be?
A	yeah
B	yeah what you doing?
A	to which he would reply Shut your face I'm an adult I get it it's embarrassing enough as it is
B	yeah
A	Thanks like but
B	but it they wouldn't be a parent if they didn't worry
A	no they wouldn't be a parent if they didn't say that
B	my mum would go you know any parent would you know any normal parent would go pretty mental at the sight of you if they thought that because of drinking you could
A	that's what you'd done
B	but you'd also you could it could've been far worse if if it was a car which we don't know
A	yeah
B	you could've gone under the wheels of a car just for larking around
A	could be dead
B	D'you what I mean I it's parents usually get annoyed because they're scared
A	yeah
B	and they get annoyed with you when you do stupid things because they're scared that something serious is gonna happen to you
A	yeah
B	you'd think moving out you'd get more of an appreciation for what your parents do for you
A	ahh should I start carving d'you think?
B	ooh yum
A	huh
B	is this enough broccoli for you? D'you want me to
A	uh I don't mind that's fine for me
B	yeah perfect okay
A	yeah
B	Will we?
B	mm yum
A	oh
B	is it on fire?
A	it is on perfect fire
B	A
A	perfect amount on fire
B	delish
A	what I might do is I had a bit of a an issue last time let's just get another plate to put the chicken on
B	mm
A	and put the chicken on one plate
B	mm
A	Don't know if you're supposed to cut chicken with this but we can just it anyway
B	how many plates do we need?
B	ahh yeah
A	chicken that I cut off on this one
B	right
A	um no I would like
B	more plates
A	individual plate one for each leg
A	ah it looks pretty this is like a picture of a perfect chicken
B	isn't it though
A	where's the where's the thing that's wrapped round it?
B	this ring here on the side
A	oh no
A	oh god
A	just want it to break
A	oh I'm really scared
B	no
A	try this
A	that's it
B	mm mm
A	you don't eat the skin do you?
B	no thank you
A	holy crap
B	how you doing?
A	it's reaining
B	seriously raining isn't it?
A	it's raining bad
B	bloody Nora
A	dunno if that might be done yet
B	oh really?
A	yeah I thought the broccoli had already gone in the cabbage will be dead by now
B	um
A	if you chuck out a big pan
B	fish out a big pan right
A	yeah cos I'm gonna save the water from the cabbage
B	ah okay
A	Cos all the vitamins go in it
B	mm
A	and then we can pretend like we're all full of goodness
B	yeah
A	gromit
B	gromit
A	ah
A	oh yeah
B	to scoop?
A	there it is look
B	it's lovely yeah
A	rogue brockles
B	we did get we did? Ah
A	no stabbing that
A	yeah there is there we go
B	right
A	yes
A	maybe you should put both of them down in case they burn you
A	like I just
B	fire fire in my face
A	where's the scoop? The scooper
B	um
A	it's totally better for cabbage
B	well that can just sit there can't it?
A	yeah we don't care about that
B	you
B	ooh dear
A	ooh ahh
A	I think considering the amount of immense pain you must be in right now it's going pretty well
A	vino
B	all I have is Southern Belle it's not quite the same
A	southern Belle
C	I'm so jealous
B	are you jealous? What of the chicken?
C	the smell
A	yeah
C	the smell is loveliness
B	it's our new favourite thing
C	hardly been able to eat
B	aww
C	yeah
C	my eye won't stop bleeding
B	oh well this has just boiled
C	ah thanks
A	have you had any more sleep?
C	I keep dosing
C	chicken actually
A	mm mm
C	might have a chicken treat
A	try
B	are you alright for drink? Are you gonna have your Coke?
A	yeah thank you
B	I've got a plan
A	ooh that's a good idea
B	there you go
A	in there
B	it's fine
A	it's the best type of baby
B	it's the kind of baby that you don't need to feed
A	or worry about clothing or whining
A	I'm not a fan of the whiners
B	mm
B	we need to use all your gravy
A	that's okay
B	are you sure you don't mind?
A	no not at all
A	there might be
B	woww
C	did you buy another one did you?
B	yeah
B	yeah we had to wait a little bit but it was fine
A	yeah it was worth the wait
B	didn't actually seem to take that long though the wait
A	no
B	because we were looking at ice cream for an hour
A	yeah
B	and talking to
A	who um cute as he is just really isn't fanciable
B	no
A	yeah
B	mm
A	and he's really really sweet
B	yeah
A	yeah maybe
B	you're doing very well I was gonna say
A	I'm then
B	Good for you
A	I'm going to eat this bit that's on here
B	that's fine cos that's wings that doesn't really count
A	all of it
B	that leg meat's so nice actually
A	put it in put it in the mouth
B	put it in the mouth
A	yep
B	mm
A	even if it's about to away
B	yeah
A	that's fine by me
B	Ohh
A	D'you want me to help with the draining again?
B	ah I think you're alright
A	gravy gravy goodness
B	hahh
B	what we need is a tray for the crème de menthe
