A	yeah that's fair enough but like you said there's extra bits isn't there? tax and stamp duty and what have you?
B	yeah but they're coming out of I've managed to convince dad to pay the stamp duty out of our savings
C	oh that's nice
A	did you manage to convince him or did you just raise the subject?
B	I told him how much
A	you told him how much
B	it was twenty-seven thousand
C	and also
B	and it's not coming out of the budget oh it's raining
A	that's nice
B	looks like rain
C	four bed er but it's Grade two listed again
B	mm
C	with a two-storey garage and a studio
B	studio we like that
A	I want to live in the studio
C	it's in
A	oh look there's my house
B	I think I've seen this one yes me too
B	I've seen this house a long time ago and I think they must have taken it off again
C	off and put it back on
B	and I remember really liking it then
A	ooh it's nice
C	I think it's beautiful
A	is that around here?
C	have you seen inside and the kitchen and stuff
B	look at it it's beautiful
A	is that the little bit ooh look at the kitchen
C	the only thing with that one is it is it's a lovely village but that'll be it won't be like this where there's one house it'll be in a village
B	yeah
A	oh I see but mum's quite keen on that whereas dad wants to be alone on the hill top
C	I think you'll find when you're old
B	that's the studio
C	that'll be really hard
A	excellent
B	yeah
A	it's beautiful
B	it's quite plain but it does look beautiful
C	I'll send you that one
B	now as I say I definitely seen that about a year ago and it
B	yeah it mustn't have erm sold or they had to withdraw of whatever you know?
A	mm mm
B	and I remember looking back for it later
A	seven fifty
C	seven five nine I think
A	oh persuadable
B	persuadable yeah
C	see if you'd ask me where I would live if I had your budget it would be something like that in Tarporley where there's the schools as well
A	you can register
B	we'll just pretend they're
C	travel for an hour to get them to school
A	send them to school for an hour that's what mum did
B	that is the
A	in fairness you've been driving from
B	I've been driving two hours and
A	so let's
B	so let's just call it close
A	no but I mean it yeah I mean it's once a week but
B	yeah I'd like to go
A	there are reasons not to be near Warrington
B	oh many
C	many multiple reasons
A	so yeah
B	absolute hole it is
A	it's a bit of a rough place isn't it?
C	oh it is on at seven fifty
B	it's really quite sweet isn't it?
C	it's erm
B	that's the garage
C	oh that's the same house no it's on twice
B	oh yes
C	so they must be with two different people that looks gorgeous you wonder what is missing
B	I wonder if it's not yeah then is it on some motorway extension proposal or something
A	bypass straight through the garden they'll be a reason won't there? unless the sellers are just really fickle which is another bad thing
B	mm
C	six-bed farm house in
A	are we south of
C	that's what I think cos CW is
C	I think it I think it's going out towards
B	oh we're
A	no no do it you can go at the same time it still carries on
B	well anyway I can't be bothered but erm
C	I'll just do
A	mm
B	Google Mappys
A	I do like the Apple devices I must say I'm not that happy with my phone
C	yeah look
A	it's kind of annoying
B	mm you're little fuzziness is no good
A	my little posh phone
C	we're actually it's erm
B	south of
C	yeah erm
B	no oh it's upside down
C	sorry
B	yeah the writing's upside down cos
C	no
B	yes it is
C	no
B	oh it it sorry it's west east that
C	so we're actually
B	no it's not
C	north
B	we're south south east of
C	no
B	no there's
C	we're north of
B	this map needs to be orientated so we can see north cos that's really oh there is it
A	no just make it smaller oh
B	there you are there's north now so it's south
C	okay right that makes more sense and
B	yeah
C	so you're it's sort of between isn't it? it's definitely a good spot and you're north of
B	but it's beautiful do you know that I'm just so glad when we went erm when we drove from
C	yeah and liked it no it's oh there we go
B	and that's exactly where we drove down that road round
C	right down to then
B	yes and then when you get passed
C	yeah
B	which I hoped it didn't cos I thought that could be a handy position
C	mm
B	but as you say about forty minutes from you but in quite a
C	it is yeah
B	yes down that's right
C	so probably not
B	if I if we went down
C	ideal for people who need to commute
B	yeah down further again
A	erm the thing that's nice around here is that the facilities will be better
B	yeah
A	like you'll have better pubs better shops and nicer
B	yeah
A	like you know those type of level of things and of course access to Manchester but then you'd have that the other way round as well
B	dad it's been lovely he loved the course
C	yes he said
B	and he's been quite inspired and now thinking yes I'd like to be near a
unknown_female	the chicken breast?
B	yes please
A	oh that was quick
unknown_female	and the sea bass
A	can I put this on the table?
unknown_female	yeah don't worry there we go lamb shank
C	thank you
A	mm
B	erm
C	looks like I do need chips
A	you're welcome
C	yeah
A	he's a little charmer isn't he?
A	double yeah I need some
B	two chips where's yours? well you might get veggies with that or something
A	there might be I'm not sure
B	it's all under there
A	en France
B	mine's got
A	my tea is very nice and I like the erm crockery
B	the whole thing yeah isn't it glorious?
C	mm yeah stunning
A	it's beautiful sweet and it's got a little
B	yeah
A	you know place to hold it
B	it's lovely isn't it?
A	we can always get another chunky chips
C	better get going
B	hey get off
C	it's not a
A	there's nothing on mine a bit of tomato
B	it's a wonder
A	well let's see what it looks like first
B	oh there's plenty of them lovely thank you very much
unknown_female	there you are is that everything for you ladies?
B	yeah thank you
A	erm I'd like a a small coke please?
unknown_female	yeah no problem I'll get that
B	would you like another one?
C	mm I'll get one in a bit
A	oh we need some sauce for the chips as well I know it's a bit not classy
B	no we're not having tomato ketch
A	no mayo
B	oh it's looks
A	I'm not too proud
C	wowsers
B	mm mm have they got salt on yet? oh they're gorgeous
A	yeah she's watching a vid I hate when people do that
B	it needs to be plugged into her ears
A	like on the train I think there should be a rule like you're not allowed to watch
B	well you can if you put it into your ears
A	yeah that's what I'm saying without earphones I don't know what I hate that when you can hear like someone's telly going on a train it's like no maybe I don't want to watch telly and it's just annoying
A	well fair enough if it's a child yeah
B	that is gorgeous
A	mm
B	good job you mentioned the er chips
A	yeah it was a good call
B	you're in
A	I've got artichoke though
B	have you not got something else though?
A	artichoke is my accompaniment
B	mm mm
unknown_female	er Pepsi
A	it's for me please
unknown_female	there you go
B	did you want one?
C	mm
unknown_female	another half?
C	yeah sorry?
unknown_female	another one yeah? no worries
A	I like Coke better
C	yeah me too
A	I drink it in erm hot countries I like I do like a Coke sometimes
B	I must be honest I I think if you've had a bit too much wine it's really a hot sweet a cold sweet drink is really nice
C	it is isn't it? and that's the only time
A	and it also settles your stomach like if I get
C	yeah
A	a tummy bug in India I'll drink Coke
B	mm
A	it's kind of a travellers erm wisdom you drink coke you feel but
B	we should be bringing
A	he would like it
B	not the Queen's Head
A	no the Queen's Head is lovely in term so authenticity
B	the Queen's Head is lovely and it's a a beautiful building and
A	yeah
B	very plain pub food but tasty
A	no nice yeah exactly
C	we can come we can come here if you want
A	yeah we and we could drive down I just felt I actually thought about it I just felt like because we're coming he's coming down the following day to
B	mm in such a short time
A	in such a short time but then again it's kind of nice isn't it? we can think about it
C	I think also it's nice for you guys to have the time with him without the kids cos that day will be completely
A	yeah fair enough
C	it's sweet with
A	yeah he was always like that wasn't he?
C	mm
A	likes to be
C	he loves us too though which is also nice
A	oh yeah no
B	no I
C	yeah I know
B	cos like girls or certainly
C	yeah yeah yeah
A	he likes er anyone who'll dig with him for
A	boundless amount of time
B	and he asks
C	and that's what he does now will you play with me?
A	yeah
B	he asks erm for
C	yes he does
B	when I come he says where's grandad?
C	it's ideal cos he loves the rough play which
A	yeah
B	mm yeah cope mm mm
A	I was giggling with
B	mm
A	and we got the Hungry Hippo out
A	dad was actually genuinely competitive against
C	yeah
A	two years old
B	it's quite bad
A	he's like really trying to win it's like dad
C	dad never let us win Monopoly
B	no
