A	so I've got to go to this drama performance tomorrow
B	oh right what one's that
A	the er the tic-tac-toe one which I had to pay for this morning
B	oh I see
A	yeah
B	is? is that erm outside of the college?
A	no they're coming into the college to do it
B	right
A	yeah
B	ah what's it? what's? what's the tic-tac-toe? that's that's like the American version of noughts and crosses isn't it? tic-tac-toe
A	yeah it's just the name of the company
B	right
A	it's the the I can't remember I think the name of the play is called The Open Couple or something
B	oh okay
A	but yeah so that's that's going to be like an hour tomorrow and that's going to be in my massive free space which is a shame but anyway
A	mm
B	so as it's a massive free space so you'll probably still have time to do a
A	a bit yeah
B	a bit of extra work yeah
A	yeah I've got a couple of essays to write now
B	have you?
A	yeah
B	what about?
A	er I've got one on a room with a view and
B	mm hm
A	another English language one and a little other thing that I have to do for English language
B	ah it's all about the English language then this week is it?
A	yeah yeah
B	so when do they have to be in?
A	erm one of them has to be in on Thursday but the rest the don't have to be in till next week
B	right
A	but I want to get started on my English literature one cos it's going to be long
B	the the one about Room with a View?
A	it's like a thousand words yeah
B	well what's the premise of the essay then?
A	I've got to talk about the main character Lucy
B	oh right okay
A	yeah
B	didn't you do an essay on room with a view before?
A	no
B	what was the one you had to do in the holidays before you actually started the course?
A	oh yeah well that wasn't it was a little bit on the first chapter but it wasn't much of an essay
B	oh right just a little taster
A	yeah
B	yeah mm well you kind of enjoy all of that analysis stuff once you get into it don't you?
A	yeah yeah yeah yeah
B	I guess it's a
A	it'll just be a bit of a long slog
B	yeah yeah
A	but erm what was I going to say? oh yeah I got my erm my drama grades back for my induction tasks so I got erm Bs and Cs which is fine and
B	great
A	the the essay that I did I got a B in and she said that she had like she had no concerns about getting my written work up to an A and she said she thinks
B	terrific
A	we can get my cos obviously my target grade is an A
B	mm
A	she said that she thinks she
A	but erm yeah she was talking about a thing called to heightened naturalism which she thinks I'm suited to and which I think I'm suited to which is
A	it's a style of acting isn't worth explaining it
B	alright so what? naturalistic but sort of a bit caricature?
A	no
A	no not really cos caricature is the opposite of naturalism so
B	well I guess so yeah
A	yeah
B	that was a bit of a dichotomy there
A	yeah
B	yeah
A	you know
B	mm hm yeah
A	heightened naturalism you kind of take
B	mm
A	and you kind of instead of trying to portray a more a a character with loads of depth you take the kind of important bits of them and portray those naturalistically
B	right
A	and like the Rebecca that we went to see that was kind of heightened naturalism
B	ah okay
A	cos it it was kind of naturalistic in it in the way that it served the story and it was a naturalistic story and sort of it it wasn't always sort of oh pantomime or whatever obviously there were bits with like physical theatre and that which aren't naturalistic
B	yeah
A	but their voice and that wasn't unnaturalistic
B	mm hm
A	but it wasn't really naturalism cos it didn't really like feel empathy for the characters that make sense?
B	mm
A	it's it's yeah
B	no I'm just thinking further really and deeper I suppose just you know? thinking about most things that you see you know? be in in terms of a stage play or you know? a TV series or whatever aren't they all going for a naturalistic approach because they're trying to erm convey something naturally rather than you know
A	naturalism is the predominant style but you you probably in in TV it definitely is
B	yeah aha
A	but then you've got melodrama and things which you have on TV and you have comedy things which aren't done naturalistically cos it's overplayed and eh archetypal
B	yeah yeah
A	and then lots of theatre is non-naturalistic and there's lots of theatre styles that you probably don't see very often but they do exist and might have been bigger in their time
B	right okay
A	but yeah
B	in yeah I
A	no yeah no but do you remember me telling you about Berkoff?
B	yeah
A	yeah and that's like
B	mm mm
A	it's just yeah cos it's all about the way you in which you choose to portray a message and at the moment naturalism is how they normally do it probably cos it's the easiest as well
B	mm
A	yeah yeah but some of the other ones are more interesting erm yeah
B	mm
A	cos I had to write an essay comparing Stanislavsky who sort of erm created the most rigorous er acting system for naturalism and Berkoff who did total theatre which is all the very different one
B	mm
A	and I had to kind of cos Berkoff is trying to portray a message by just erm I can't explain it but by unseating you and and cos the thing with naturalism it's
B	yeah
A	it is the stuff you see everyday
B	yeah
A	whereas Berkoff is like so different from what you see
B	mm
A	but not necessarily then untrue
B	right
A	it's not untrue it's just
B	right mm
A	it can be more representative of within yourself
B	right
A	and how and like how
B	hm yeah
A	you can combine kind of the meaning of what you're saying
B	mm
A	not just through what you're saying but how you say it
B	mm
A	it like the tone and the pitch and all these other things
B	yeah yeah
A	and that because that's kind of unseating and is more within
B	yeah yeah
A	it it can portray a message even better sometimes
B	sure yeah I guess that's the thing as well thinking about it with with naturalism you know?
A	aha
B	it in I don't know whether Berkoff focuses on this or whether I'm completely off the mark but you know in order for me to be having this conversation with you in the in between bits I will have been thinking certain things
A	yeah
B	that you may never hear but they may be completely crazy and off the wall and
A	yeah
B	or I might be suppressing stuff that you don't actually get to hear or or see
A	yeah
B	mm
A	cos there's other styles and there's another type of theatre I think it's Brecht
B	oh yeah that name rings a bell yeah
A	oh really? erm and that is all about erm highlighting the
B	oh okay
A	and er the lighting will just be harsh and brighten up into
B	mm
A	scene changes will happen with like full lighting on
B	so more revealing of the inner? yeah
A	yeah
B	mm mm
A	and sort of showing you that it's all an illusion which is another interesting one
B	got you yeah yeah
A	mm
B	oh so that's Brecht is it?
A	yeah Brecht
B	mm
