A	you alright my love?
B	yes fine
A	good
B	and you?
A	yes
B	good?
A	yes not too bad
B	oh thank you wow
A	there you are
B	ooh
C	thank you very much grandma best lock it up
B	alright?
D	yes not too bad
B	good journey?
D	not too bad little bit late arrival
B	no booking
D	yeah it's the whole day really
A	they look a funny colour
D	mm? mm?
A	they look a funny colour they're getting a bit ancient
D	oh the train's been running
A	oh yes
D	mm
D	too warm I have to take this off
B	oh
D	so you got another one sold then?
A	yes
B	that's good yeah so that's six
D	yeah
B	I don't think I'll sell any more now though but
D	well it's it's getting close to from now on isn't it? like but I mean that it's not bad going is it?
B	mm
A	oh yes
B	yeah so that's six
A	oh that's great now isn't it?
B	four symbols and two of the butterflies and caterpillars
A	yeah great
D	and where has this gone to?
B	Kent
D	Kent mm hm
A	Kent
B	I think they're not breaking up till Tuesday or Wednesday so
A	yes that's right
B	got a little bit longer
A	I think that's when
B	yeah
A	yeah that's great
B	I think I could have sold another caterpillar one but I haven't got any more hats so
A	oh
B	we've looked all over I think we're going to have to send to America
A	oh no
D	has she?
B	oh yeah
A	wow
B	it'll be cheaper to do that than to get them
A	will it really?
D	yeah
B	mm
A	gosh
B	yeah I'm pleased
A	yeah
B	mm
D	so that's that recipe
A	mm
D	mm?
A	what's that one?
D	dark
A	no the other one
D	the other one is that paradox of
A	yeah
D	world thing
A	right
D	will you pass me my glasses love please?
B	grandad been making a few scones?
A	yes
D	it's just a recipe for you
A	go to the ingredients
C	go to the bakery and buy one dozen scones and invite friends for afternoon tea
C	before heating the scones gently in the oven make sure all bakery packaging is destroyed
C	serve warm with strawberry jam and clotted cream say you can't give anyone the recipe as your sainted grandmother swore you to secrecy
B	good plan hey
D	the other one is that paradox of life business
A	how are you doing then
B	fine
A	good
A	okay yeah
B	looking forward to your holidays?
A	yes I am really
B	when do you go?
A	erm
B	Monday
A	Monday yes and come back Thursday
B	Thursday? yeah
A	on the Thursday
B	yeah well if the weather's like this it'll be nice won't it?
A	yes
B	bit brighter
A	it's they've been sunny as well
C	yes I have been
D	he's always busy
B	lots to do isn't there
C	yes
A	oh right is is that that Swatch thing?
B	yeah
A	is is it Swatch?
B	Apple watch
A	Apple watch oh right yeah
D	ah
B	there's not too much written about it yet because it's so new isn't it?
C	yes
B	so it's a bit difficult to find articles and
A	mm
C	academic trails
A	mm absolutely
B	yeah
A	are they on sale now these watches?
C	erm yes
A	mm yeah
C	they're about four hundred pounds
A	are they? mm
B	is that the cheapest?
C	yes the most expensive being about ten thousand pounds for a
B	ooh
A	oh gold one
B	I think it'll only be a fad
A	mm
C	I think the battery life is too short it only lasts one day
A	one day?
C	yes and then you've got to recharge it at the the mains point
D	what's that then?
C	the Iwatch
A	the Apple Iwatch
D	oh yeah
A	the battery lasts one day
B	charging
C	yes
B	I think people will get bored with that
A	mm
D	it does
A	mm
D	but all else I've really got to er
D	mm mm
B	mm they're always flat when you pick them up aren't they?
A	mm
C	I do have the strategy of having a charger in the car
A	oh yes
C	that's
D	in er it's like a lot of these things
A	mm hm
D	in practice
B	too much messing about on them
D	yeah
D	you want to you know
A	and you need really good eye sight to see it wouldn't you
C	yes
A	won't be any good of me
B	no
A	I can barely see the mobile
B	mm hm
A	not without my glasses
B	no
D	no
B	mm
D	yes it is
B	but an expensive one
D	mm and then they're wanting
B	mm
A	mm
B	with lots of spare cash who don't know what to do with it
D	of course another thing
A	mm
B	I know
D	because
B	learn to work it all and
D	or probably even the know how to do it
B	no
D	I mean some of the things I've got
A	mm
D	thank you mother
D	er
A	you've used up all your power
D	I've done it look I did I spotted them
B	oh yeah
D	on my old Singer Kodak
B	mm hm
