A	okay erm you know fine yeah give that a go
B	mm
A	and see
B	and and and that might not be directly connected to what we're trying to do but but the mechanism of the things you learn in doing that are certainly of value
A	alright
B	yeah?
A	erm okay now you you really really really can't get upset when I say what I'm about to say to you okay?
B	er
A	no I know you're not and I never asked you to
B	mm
A	but I think we have to set quite a strong objective now
B	yeah and and I mean timewise this is what my driver is is that timewise erm when when
B	yes of course
A	okay?
B	yeah
A	and how long that capital's gonna last am I gonna burn through it?
B	mm
A	or am I gonna be able to chip away at the capital
B	yeah
A	and just use it right at the right time?
B	that's right
A	so until you've got that answer
B	working those things out yes yes of course yeah yeah yeah yeah exactly yeah and erm
A	see the way I'd do it is like if I didn't have this job and I was trying to set up like you I'd go right how do I earn money real fast? okay I would erm go and do summer schools cos they pay you gross er you don't have to be there forever you just do an intensive month and because it's just on
B	mm
A	okay? that will be my seed money
B	mm mm
A	and then I go off and do what I wanna do
B	yeah mm
A	I'd go that's all I'm willing to commit to doing that's those summer schools it's not about me knowing that I need twenty thousand pounds I'm just guessing that if I have twenty thousand pounds that that's gonna take me some way yeah?
B	mm
A	erm and er and and that's all I'm prepared to give of my time anyway to to earning money on on er in that particular job
B	yes
A	because it I don't like it so I'm only going to do enough of it to get me to where I need to be
B	mm
A	financially
B	mm
A	to seed my capital
B	yes
A	that's how I'd do it
B	yeah mm mm
A	and I think most people do
B	erm
A	and I just think most people who haven't got access to investment
B	yeah yeah yeah exactly
A	bank managers
B	mm
A	and stuff like that most of them will go
B	mm
A	because it's actually the thing that actually got me a lot of fucking money
B	means to an end means to an end
A	yeah
B	yeah mm
A	cos when you leave normally you leave at the time when you're actually earning quite a good peak of money cos what I've seen what people were doing was that they were leaving not because er the money was good
B	mm
B	yeah that's right
A	look at what
B	mm
A	and when you break that down into a contract of you know whatever that is doing something or other that
B	you've made your point erm
A	I don't know I mean I think you need to sleep on all of that stuff yeah I think we've kind of gone through that bit quite a bit let's just sleep it let's sleep on that stuff and come back to it fresh tomorrow
B	righty-ho
A	don't think I can make any decisions now on those things but what I think we do need to do today erm
B	the time frame for what?
A	for for erm what's going on and er what's going on what's er what I've I've marked out some some pointers I'll actually get my little book so I can show you what I've been thinking of
A	do we need a gin and tonic?
B	erm if you've got some tonic
B	no okay
A	huh?
B	erm well you're not gonna make er something else?
A	well
B	have a look at what's there
B	monthly basis
A	well it's the visa thing so I worked backwards from
B	mm
A	twenty-first of July
B	that's this year
A	er sorry next year
B	yeah
A	so
B	mm
A	two thousand and fourteen
B	yes
A	not very long
B	the big picture
A	where is it? fits in with
B	what?
A	that
B	yes
A	I would like to do a doctor's degree in that
B	if the if if if there is something research out of it that comes together
A	mm
B	right so if you did that you could frame that information in the context of business at the same time couldn't you?
A	get seed money
B	yes
A	cos it's research
B	yes mm
A	UK very forward-thinking
B	right
A	uhu
B	okay so you're interested in that in context of the thing in
A	with the Singapore thing
B	yes
A	yeah
B	okay right
A	so it gives us travel to Singapore and Asia and Australia
B	yeah
B	yeah okay erm
A	that would start in October two thousand and fourteen
B	right okay so that's er what? a semester-based thing? start of a year?
A	erm yeah it's just said it just says it starts in October
B	right
B	okay so
A	well I have to go about I I I'll have to go about erm being the researcher cos I'd have to put a thesis
B	mm
A	so you can you er er it's one of these weird ones that's some sort of hybrid where you're still getting a doctorate degree but you are actually a professional working like a work
B	for an outfit
A	yeah
B	mm
B	yeah okay so you get a doctorate out of having done work with certain people and doing the research and presumably the company you work for get the benefit of your research?
A	no the research'll be mine
B	no? right
A	erm dunno how that all works out that's why I have to
B	oh so that you have time off like it's erm you know day off for uni kind of thing
A	yeah
B	mm
A	how do you do that? how? you know
B	yeah
A	yeah
B	of course
A	someone passes on that information and
B	yeah
A	you basically try and put what you can together but essentially I would want to be earning money
B	mm yes yeah while you're trying to do that
A	cos it's er professional development
B	yeah
A	so I need to be in a profession but I
B	if you want to work in a university
A	no no no even if you wanna prove that you fucking know what you're talking about with this shit cos you get credibility
B	yes that's right
A	you know you go into industry and you're like I'm I'm a professional
B	mm
A	with a doctorate degree like oh
B	so I'm curious about the perception by some people that if you've got a doctorate degree the options that you have when you've got that are limited because you are so specialised
A	no no because there's different types of doctorate degrees
B	I know it's a very generic
A	no it's alright
A	PHD
B	yes
A	mine's not a PHD it would be an EDD doctorate of education education is a profession
B	right
A	so if I work within the industry of education
B	oh er er okay oh I haven't seen that before
A	mm PHD's academia
B	right yes so it was the academic side
B	of it I was thinking well you'd just end up down a a deeper tunnel
A	no fuck that I'm not doing that
B	no
A	yeah
B	and that's I'm glad you said that
A	yeah
B	alright so
A	I'm not interested in doing a PHD
B	right okay so that that that's fine erm
B	mm
A	you've gotta do travel and you've gotta get funding and
B	yeah
A	you know you've got to pitch and pitch and pitch away at it for probably about three to four years
B	mm
A	I think you can I think if you look at more like a community capability development or er er you know like a
B	mm
A	it's this idea at the
B	sharing knowledge and teaching people
A	yeah it's a big trend I guess in the world going on about that
B	and
A	yeah
B	yeah
A	so I think if you can prove that
A	I think if you can prove you can do that yeah
B	so er imagine if er for instance this thing we talked about in Vietnam that that you get a connection with some outfit
A	British Council
B	that is doing that yeah
A	yeah yeah yeah yeah
B	and erm
B	and that you're doing the work
A	yeah
B	you're getting paid to do the work and a part of your your your personal remit is to carry out research related to what you're doing
A	yep
B	so the output is yours
A	mm it has to be it's your original work
B	yeah but that has to be independent of your work because typically your employer will carry copyright for anything that you do
A	no not not no it doesn't work like that mm mm
A	right
B	what I have been doing it is like that
A	yeah
B	any work you do is the copyright of the business
A	yeah no I can work I can do work for my employer
B	yes
A	I'm just not doing the research for my employer
B	right yes exactly okay
A	I'm doing research on my doctorate degree
B	but what if er and then what if there's crossover though?
A	well you come to some sort of arrangement most of the time
A	people understand you're doing a doctorate degree understand that you've got to produce original work it's got to be of your name
B	right okay so if we look at that
A	mm
B	in in context erm
B	business-wise er and certainly the research side of it?
A	well yeah I mean you know
B	no
A	you've gotta you've gotta
B	mm
A	you've gotta go to the UK you've gotta go to the
B	you've gotta start somewhere
A	go and talk to them and find out exactly what the degree entails then you have to find a supervisor that won't happen in August you've gotta have a thesis proposal
B	to present to somebody for them to consider to er mm
A	to present for them to even think about whether they want it
B	mm yeah
A	the lead time is probably is about a year if you're really looking for a quality supervisor
B	yeah okay
A	yeah
B	and if you give yourself that amount of time then you'll get that
A	yeah
B	and that's fine
A	well if we're taking this we're moving round the world kind of thing
B	yeah it doesn't have to this is the whole point
A	yeah it
B	mm yeah
A	it's just like what you just go where who what
B	mm
A	whatever suits you
B	yeah
A	you know? pick out fly to wherever it doesn't matter
B	exactly mm yeah erm
A	you do need a base to put your shit
B	yes physically
B	well and then you really wanna cut down on the cost of that
A	cos both of us can fly in and out of well I know but I mean look people are doing it and
B	yeah yeah and most of their stuff just probably ends up at their parents' house
A	yeah
B	mm
A	but I mean if we're following that dream
B	yeah yeah yeah of course
A	we have to fucking start thinking about it right doing it right now
B	yeah yeah
A	yeah
B	mm mm
A	cos otherwise it's never gonna happen you're never gonna internalise that process if
B	no you have to operate like that
A	yeah so that's why I'm I've already accepted it as an assumption
B	and you have to accept that that's er it's a potential cost
A	yes of course it is
B	mm yeah
A	mm that's why you have to find a way to fund it
