A	eating sticks
unknown_female	hey
A	oh we've got things tipped out I can move them
unknown_female	can I
unknown_female	mm
B	smells like ciabatta
A	yeah it is
B	tastes like ciabatta
A	looks like ciabatta
C	yum yum yum like ciabatta
A	how was Christmassy-ness in the north?
B	it was generally okay
D	mm
A	is that
B	we managed to get out and do stuff that wasn't just
D	sitting around drinking tea
D	watching small children play with toys
B	there was
A	mm
A	mm
B	which meant nothing could be put on the floor or below sort of shoulder height
A	oh right
B	yeah
A	sounds more like children than dogs
D	mm
A	yeah
D	that was your godmother's dog wasn't it?
B	yeah
A	mm
D	she was like staying at
A	mm
D	it's quite a youngish pug
B	yeah
A	yeah
D	dunno how old it is
A	just cracked a bit
B	oh well
A	mm
unknown_female	thanks for that
C	cracked
A	mm
C	oh dear
D	is it the crunchy bran that's destroyed you?
B	went running
A	mm
A	what kind of things?
B	erm
A	mm
B	in the sun
D	taking your dad out to test his new shiny camera
B	yeah
A	oh
B	I did a bit of running
C	running? oh yeah how did your er?
A	mm
B	I dunno if it was worse knowing the course
A	oh
B	like didn't work like you know nearly didn't make it so
A	mm
B	and bother my brothers beat me
C	well
A	you made it round though so
C	they're big like runners though aren't they?
B	no
C	one of them is
C	flip-flops
B	nearly
C	wellies
B	erm they did sort of get a complete rip down the side of them
D	oh
B	your
A	don't even do that much running
B	toe toey ones or your
A	no my
C	oh
A	ones I bought after the toe ones
B	crikey
A	yeah
B	that hasn't lasted long
A	six months old less than
B	mm yeah
D	no well you did
A	not bad then
D	how long was it?
B	mm three and a half
A	pardon?
B	three and a half miles
A	oh right
D	was just it was just funny that
A	mm
D	had like said oh you know we'll just jog round together not take it too seriously
D	and within like yeah within like a minute he was away
B	yeah
A	oh
D	he is I mean he is a policeman and he has to keep relatively fit
B	he had this police fitness test
A	mm
B	sort of on Christmas Eve so he had been like doing practice bleep tests in the garden
A	oh yeah
B	which I I know I'm the same but
A	mm
B	I think in terms of getting his heart rate up
A	mm
C	yeah
A	he's probably a bit better than well what I haven't been doing recently
D	oh
A	mm
B	mm
A	cool was this a Boxing Day round?
B	yeah
A	yeah
D	very nice
A	mm
D	it kinda gets you out and about on Boxing Day and
A	yeah
D	cos it's just like Whitley Bay seafront like it's so
A	oh right
unknown_female	yeah
D	and then like a walk on the beach and stuff afterwards
A	mm
D	yeah
B	coffee and a scone afterwards in the café
B	playing with nieces on the sand until they go sort of
A	blue
B	hypothermic
D	and then you get in trouble
B	think I was close to getting in trouble
D	mm
A	excellent
B	no
A	no
D	just some light just a light bit of frost
B	some really really light frost
A	mm
B	yeah
D	we did strangely
A	oh
D	cos we were gonna meet a couple
A	was it quite mad?
D	yeah
D	we were meeting a couple of
A	mm
D	like in a pub near the centre so we thought we'd go in you know and there were a couple of
B	mm
D	crazy
B	no
A	some more of this one now
B	nice and rosemary-ish innit?
A	nice
A	mm
B	oh yeah on the way up we went
A	yeah
B	erm
D	out of the way
B	so we got there
A	mm
B	sort of said hello
B	the butcher came so she was out the room for ten minutes and then
B	she was like well you better be heading off cos you wanna get up before it gets dark don't you? we were like er
D	we clocked in at like an hour for the visit
B	just just about made an hour
A	mm
B	sort of think
A	that's what my nan would be like if when
A	when you visit her she always like oh well you better be doing something
D	yeah
A	at least apart from like being here
D	cos we were like quite happy to spend a bit of time there and things but
A	mm
D	like when she gets it like in her mind it's like that's
A	yeah
D	kind of it then isn't it?
A	oh
C	yeah exactly
A	mm
B	just like mm could've been here little bit longer
A	mm
C	mm
A	no just mince pie for you
D	no that's it we're tossed out
A	you've got some good war paint on you
B	yeah
D	oh
D	he always he's so yeah about a week up in
A	mm
D	track
B	yeah
D	and then at my parents for a couple of days as well over in New Year so
A	mm
D	we've done the full family experience
B	yeah that was a bit more tea drinky wasn't it?
D	well
B	do like a good walk
D	yeah like we saw friends and
B	yeah
D	things so
A	oh yeah
B	yeah
D	who has a small
A	mm
D	small baby
B	we have a pizza with baked beans on it
A	it's quite exiting
B	it's veggie breakfast pizza
A	mm
B	disappointingly didn't have any sausage on
A	ah
D	ah mm
B	yeah yeah
A	that's a shame
D	it's an interesting concept so we'd thought we'd try it
A	mm
D	but we feel I don't think if we took it further
B	it was just
A	yeah needed to go like
D	yeah the whole hog
A	did it have some hash browns on?
B	no see that's what we
D	no
D	and no egg either
B	that's what we exactly what we said
A	no egg
