A	okay this is er with
B	right so erm where did you
A	I don't think he has grown up
C	I was born in
B	yeah
C	but
A	and where did you live?
C	in
B	top or bottom?
C	erm near the crematorium and went to
C	school
B	is that a secondary school or primary?
C	on the
A	that was the
C	that was the
B	primary school
C	primary up to age eleven
B	yes
C	I was at
B	mm
C	which was a bit rough
B	well I lived erm
C	yeah
B	and my family all went to
C	right
B	and then I had an aunt and uncle who lived just a bit up the road on that estate and my dad went to erm
C	right
B	it wouldn't be
C	that would be er
B	ring a bell?
C	yeah yeah that's it
B	it could have been
C	yeah that's it
B	so after primary what did you do?
C	I went to the grammar school
B	which one?
B	did you?
C	aye I was
B	respect
B	mm
C	and I was the first one out of
B	yeah I bet
C	because I mean
B	yeah
C	we were pretty poor to put it mildly
B	yes
C	and then you go up there to
B	yeah well my mum erm passed the eleven plus it must have been in nineteen thirty
C	oh right
B	but
C	I suppose
B	which is shocking these days isn't it having passed
C	mm
B	she was
C	wow
B	because she was living at the time
C	yeah
B	there's actually an island now and it is called
C	right
B	and she lived well the family on
C	right
B	most of the brothers were working in the farriers
C	yeah
B	and erm there was also part of the family that owned a pub called
C	yeah I know
B	right
C	aye
B	and my great granddad he was talking about it this weekend he apparently because he was a farrier had the last horse drawn funeral in
C	right
B	he owned the horses but because he was the farrier
C	yeah
B	he had and my mum was the youngest of all the cousins and she was they were queuing through the house to get into all the carriages
B	and she got the giggles so that's what stuck in her mind she must
C	yeah
B	have been really young
C	and does your father still live in
B	my parents are both up there yeah they are in
C	oh right
B	and my father went to
C	yeah that's right
B	and erm and they met later at church and my dad the bus used to take him up
C	yeah
B	and this is from
C	yeah
B	he was living actually then I think he lived at
C	yeah
C	yeah well I had the
B	yeah yeah and erm
C	did you?
B	I was with my sister
C	what years were you at
B	I was there sixty-four to seventy-one
C	right because I was at
B	yeah
C	because a few of my friends are
B	yeah
C	I
B	mm
C	and then I went to university after that
B	where did you go?
B	oh yeah
C	mining engineering
B	oh great
C	so er oh well I know my way around
B	yes
C	underground training at
B	yeah yeah
C	erm and then went to
B	yeah
C	down to
B	yeah
B	yeah
B	yeah I was teaching in
C	were you?
B	so that was really interesting there was
C	mm
B	the
C	right
B	and I was teaching in
C	oh yeah
B	and and sixty percent of the kids were from miners' families
C	and it still divided communities
B	yes
C	even now thirty years down the track
B	yeah well it it just wrecked it
C	yeah
B	in my opinion it just wrecked it
C	mm
B	it just er shocking really
C	but
B	mm
C	closed at once but I mean I was in the mining industry erm but in the metal mining I didn't
B	oh right have you worked abroad then?
C	er only for a short period but erm I went to university as a
B	oh right right right
C	so I did a bit in Holland drilling holes and then joined erm
B	mm
B	oh yeah
C	but I was with
B	yeah
C	er and
B	it's massive isn't it
C	yeah
B	it is one of the biggest is it the biggest coal mine?
C	it was erm
B	no
C	and in fact they were very there were very few er
B	mm
C	and then got transferred down to
B	oh right
C	and initially they put me down there for twelve months and then I was going back in
B	oh right
C	twenty years and then I got moved erm to
B	the what?
C	cathodic protection
B	what's that?
C	stop stuff going rusty
B	oh right
C	you know pipes in the ground go rusty
B	oh yeah
C	so you've gotta galvanise
B	yeah
C	them or put cathodic protection on them
B	right
C	so we did all the
B	right
C	on the oil rigs in the North Sea
B	yeah
C	and then I did that for
B	oh right
C	and that's how I ended up at
B	oh I see
C	because I came back from Saudi on a
B	so how long were you in Saudi for?
C	oh only one only two days a month
B	oh right
C	so I was based in
B	yeah but going out that was quite nice really
C	have
B	isn't it rather than being stuck in Saudi
C	oh yeah I don't want to be stuck in Saudi
B	no because it does get
C	you know
B	it does get hot doesn't it?
C	it does get hot
B	I've never been but I I worked with somebody whose husband was out there and he was trying to
C	oh right
B	and this is this is for the Saudis and and he described how just getting from the car to a building
C	yeah
B	you had to kind of run or have an umbrella
C	mm
B	I've I've lived in hot places so I know what it can be like but nothing like
C	well I've been
B	fifty-six degrees
C	yeah I've been in
B	that's too hot for me
C	and you've landed and you come out the the airport terminal and it is fifty-one
B	ooh awful I couldn't do that
C	it is like walking into a brick wall
B	yeah yeah it would be
A	so what about
C	erm we lived in
B	oh I've been on trams I saw the last tram
C	yeah
B	we went down to watch it
C	what number were that? 535 was it?
B	I've no idea
C	ah
B	I don't know I was only about five or six at the time mum and dad took us down to see the last tram but I remember I've got vivid memories of the trams because by that age we'd moved up to erm
C	right
B	very close to the school
C	yeah
B	and we lived we used to be able to well I grew up listening to the kids on the playing fields because the sound would carry
C	right
B	and also I I I I grew up to the thwack of the erm
C	yeah
B	you must have been there?
C	yeah
B	yeah well from my bedroom window I could see down
C	oh right
B	onto your playing field and I could see everybody in white
C	right
B	and you could hear the shouts when people got wickets and but you could actually hear the thwack on the bat
C	right
B	if it was still you know
C	yeah
B	yeah
C	oh yeah
B	that field now is all overgrown because my friend lives
C	is it?
B	not backs onto it and it's all overgrown
C	oh yeah we
B	now it's got horses on it now
C	has it?
B	it's not it's not a playing field any more
C	oh because we had the football pitches there
B	yes
C	and a lovely cricket pitch
B	yeah
C	and then of course we had the other pitches up at
B	oh yeah
C	we went there that's right
B	yes that house is up for sale at the moment
C	mm
B	a massive place it's up for sale the house
C	oh right
B	yeah
C	but erm
B	that's right when I go home that's my friend lives there near just where the playing field was and I walk by the river there
C	yeah
B	with the dog
C	yeah oh right
B	yeah
C	because I there was a guard who used for me in
B	oh yeah
C	next to
B	oh really
C	yeah he's a
B	oh oh right
C	ah
B	yeah
C	small world innit?
B	yeah
C	but yeah I spend many hours at
B	mm
