A	yeah
B	kind of saying that like it might be the only chance that
A	you know he lives in erm
C	it's alright yeah yeah it's not too bad
D	hi
unknown_female	hey
C	how are you?
E	I'm good how are you?
C	I'm fine thank you long time no see
E	I know it's been far too long
C	it really has
unknown_female	oh god
F	hi
F	hi
D	how was the drive?
F	long
D	is it is it M62?
E	oh yeah it was so long
C	I know I've got
E	oh who you went with?
C	yeah
E	oh my god
unknown_female	really?
C	really
D	and you're only
E	oh that's so cute
C	I was
E	it's so weird being there innit it's like surreal
C	actually
E	might just be colder than mine
C	we have all the doors open all the time we don't know what it is
A	why?
C	it's like a drop in centre like if you
B	erm how far away's that shop?
C	erm like literally a two-minute drive one minute
B	well how long walk?
C	erm seven minutes
D	from earlier
B	I didn't know I were gonna run out
E	is everyone wearing heels?
C	I'm gonna wear my jellies with a little heel on the
B	oh I might wear
A	yeah I'm
C	I'm not wearing them they're tomorrow
E	you want you want large
C	are you wearing heels?
E	no
C	oh
D	you're all wearing like in between heels though aren't you?
A	I know my jellies definitely count
C	he like broke them though sat there and he was like
unknown_female	who was that?
C	ten percent discount bloody knobhead taking the piss out of me idiot
unknown_female	ah
C	do you want a drink?
E	yeah
C	what do you want? I've got vodka I've got Pimms I have wine
E	Pimms
C	do you want some Pimms?
E	oh yes
D	oh I am really
E	I like made myself not drink any drinks for ages cos I knew I'd be driving and I didn't wanna stop off at services
E	for two and a half hours
E	don't even talk to me about my
D	it doesn't look ginger it just looks really
E	you should have seen it last night I I cried a little bit and
D	oh my god
E	yeah
E	I looked shit brown it went from
D	I liked the brown I like it
D	erm
C	those are and then
E	er yeah and then it looked alright for the first few days and then cos I'm so like blonde underneath it er thank you it er erm just ends up going like copper gingery kind of colour and then I got it re-dyed because
C	I like it like that
E	I'm just gonna leave it for now the hairdresser couldn't book me an emergency appointment
C	it looks fine
E	so I almost didn't come I was like
E	he was like
A	thanks dad
D	you've just moved to a new house haven't you?
C	oh my god that house is beautiful
D	have you seen it?
C	yeah you really
E	oh yeah yeah
C	oh my god we'll have to come and trash that house lets
E	definitely dad
A	again? where are you going this time?
E	Tenerife
A	oh my god
C	oh are you
E	yeah
C	I got
E	did you?
C	yeah last week
A	where's your brace? see your brace
C	oh it's here
E	oh that's good
unknown_female	it's blooming green
C	yeah I know like the woman was there like what colour do you want? well I've already had one
E	this is a very good Pimms by the way
C	I'm it's like my first one really I've always drank it but I've never made it
C	I thought we did my mum was
C	didn't realise
E	have we not got
A	no we
E	it's alright I need it
C	yeah but that's all
C	I know but hopefully
E	did I put my phone up there
C	no
E	I just need to
C	yeah oh yeah that one does work I think if it doesn't work you can plug it in here or that one
E	I need to let my mum know I made it alive
C	my mum won't let me drive and
E	really?
C	she's like
A	I know
C	no
C	I don't know
A	I wanna erm go and get some
D	I need to go and get clothes on
A	you've got clothes on
D	well
C	do you wanna use the upstairs shower or downstairs shower? or do you want a bath?
A	bath will take too long
C	downstairs shower's through that doorway there
E	oh right
C	yeah bath will take too long I've got a shower
B	I'll go
C	you literally walk come out of my house turn left go straight down that road and you come to a shop called
B	okay so
C	they sell alcohol and out behind the thing they've got like brandy and stuff so I'm assuming they sell
C	imagine if you get there and they don't I'm sure they will
B	they should do if they sell alcohol
C	yeah?
B	yeah they should do
C	I can't really pull off this
D	what time did you say we're going out?
C	got a table booked for half nine for food it's twenty-five past eight now but the
D	is this this granny flat that you were on about?
C	yeah and it's so annoying cos that's like a real wall there's not much internet connection and the
A	I got a two two
D	oh
C	oh did she?
A	did she?
D	yeah but
C	she works hard
D	worked her ass off she like she must really hate me cos all throughout school I've always been so much
A	oh
C	I'm not taking
D	I have I said that I was going to invite all you guys anyway
C	yeah probably
A	yeah
D	oh yeah are you coming? twentieth
unknown_female	yeah yeah yeah
D	are you coming as well?
A	Saturday the twentieth
D	Saturday it's like a
C	September
A	September
D	are we back at Leeds then?
A	yeah
D	oh right
A	when we go back
C	and I don't know if
D	yeah same
C	I'm really like in two minds about it
D	I don't know if all the induction
