A	well it's yeah
B	that's
A	actually twenty
B	that's
A	doesn't begin to probably closer to forty by the time they've left
C	well if nothing else if that was paid off it does mean that they're not having to pay it off
B	oh yeah yeah yeah
C	so they gain
A	I know what you're saying about
C	immediately
A	yeah ultimately we would lose out of
B	yeah I just said purely financially I accept
A	yeah yeah yeah
B	you know there's an emotional thing so it's
A	and you know I couldn't give them enough to set them up for life
B	yeah
A	so
B	yeah yeah well
A	but all I'm doing is is taking a black cloud from over their head cos let's be honest it's well I mean if
B	mm
A	it was like
B	but it to some degree it is meaningless debt they will never pay back eighty grand
A	no
D	surely that affects
B	they will pay back a chunk
D	if you're going to go get try and get a mortgage or something like that?
B	yeah they they're better off doing a deposit for the mortgage or even part ownership of the house
D	yeah but I mean the
B	that in your will bequeath it to them so there's no way
A	mm
B	they they will ever actually have to part own it with you
A	mm
B	erm
A	mm
B	no one pays our tax bill we earn an extra pound and we only earn seventy-five P and then we get to the threshold and then we actually only earn sixty P
A	yeah
B	I feel that's quite a nice way of doing it
A	mm
B	cos it still shows them the value of money
B	it's not a big
A	yeah
B	whether they would truly appreciate it is a separate question but
A	yeah that's true
C	mm
A	it's a bit hypothetical
B	from Oxford for your doctorate
A	really we need to go and see a financial advisor cos we're not making the most of our money
E	that's what I'm aiming for
A	we really need advice on what even if just for a few years before we retire we could make it work so well it's not working for us at all at the moment
B	yeah and if you're gonna do that you need to
C	yeah
B	you're averse to shares
C	I play I play safe
B	yeah
C	tend to be fairly
B	erm
C	safe
B	and that's fine but you're
C	and
B	yeah but
C	if I'd taken more risk
A	but if you're doing well enough and you feel safe then
B	yeah
D	well if you take a risk and you lose your money
C	well that's right yeah
B	it's again it's not just about cos
E	mm
B	taking better holidays so it still might be that yes you you know you're happy with what you've done but it might be if you wanted nicer holidays
C	oh yeah yeah
B	you could have invested more riskily
C	yeah
B	I'm not pushing you down a risk thing but that is the very first question a financial advisor will ask you
D	I
E	oh the other one's best
C	it's getting the balance right I have got some stocks and shares and Isas which were up there they're down here at the moment
A	yeah
C	but they're starting to go up again so I'm leaving them there and eventually they'll go
C	yeah
A	not high risk
B	I think this is the kind of
A	but more medium risk
C	my share of of stocks and shares is fairly small compared with other investment
A	mm
C	but I try and push other investments around to get the best I can
A	yeah
C	like the erm the
A	mm
C	to try and get a better return so that's the way I
A	but this er you've gotta say on top of it as well if you we to a financial advisor and he says do this this and this
B	it only needs an hour every quarter
A	mm
C	people forget that that
B	mm
C	that you know they spend an hour where oh I can't be bothered doing this I'm only earning but actually you go to work and you'd be glad to earn that
A	yeah
C	you know spend a bit of time working on it you can earn a lot more than that
A	yeah but we'd need help
B	well and that's a that's an after tax
A	I wouldn't know where to start
C	mm?
B	that's an after tax gain as well
C	yeah it can be yeah
A	yeah but we've just sort of said I mean well we're supporting these and things there's outgoings and what have you
B	yeah
A	now is not the best time really to
B	no
A	once once these two graduate then
D	well then she'll come home and say I'm getting married in Coventry in the cathedral and I want to
C	in which case you say right you can pay for it
D	or at the
E	definitely not gonna happen
G	the coach and twelve horses
C	there's there's a friend of mine who reckons he can prove that the more you spend on the marriage the less likely you are to survive your future life as a as a married couple he reckons
D	well why?
C	looking
A	right well a two pound fifty elopement
C	but to a certain extent if you're
A	I'll give you the bus fare to er Gretna
C	yeah how many times do you hear do you hear of you know oh you know they how can they afford to buy a house and all the rest of it but they've just had a twenty thousand pound marriage
B	well don't confuse
A	mm
B	correlation
C	and this this
B	with causation
C	what sorry?
B	don't confuse correlation with causation
C	oh yeah no no no
B	so the church causes alcoholism
C	yeah I'm I'm
B	it's the main
C	I'm not blaming the
B	they link all together but there may not be one cause
C	yeah I'm I'm no I'm just saying well
B	yeah
C	but he was saying that he looking around his friends
B	mm
C	the ones that spent more on the marriages
B	oh yeah
C	have actually are the ones that have been
B	yeah
C	had problems and broken up
B	I wonder if there is correlation there a causation there
C	yeah
B	it could be that people who are bit more showy
C	mm
B	are less arguably authentic
C	yeah oh no could easily be anything
B	and want to spend more
C	yeah
B	but there's nothing more authentic than a marriage cos you get to
C	yeah
B	know someone warts and all
C	yeah
B	don't you?
C	oh yeah
A	oh yeah
B	say say nothing
A	oh yeah
A	warts and all eh
F	warts yeah warts and warts
A	pimples
D	where where's he got his warts
F	well would you like to know?
A	no actually no that's fine you just keep that to yourself love
B	I'll put a picture on Facebook later
A	oh dear
B	I mean the other thing to consider and this this again is in no way the but I was at a different part of life
C	oh that's definite
A	oh yeah yeah
B	you can't take too much risk now because
C	yeah
B	we go up you've got plenty of time to recover any losses
C	I've been your pain in your backside for ages but
B	yeah yeah
C	er who knows?
B	he's discovered
B	but
A	yeah
B	losses than you do
C	that's right
A	yeah and it's also we
B	so
A	I want
B	listen but
A	my money to work our money to work
G	oh sorry
A	we want our money to work because we're still at the trying to retire earlier so I want it to work to be a positive thing towards that and
C	exactly erm
A	so yours is much more
F	well
A	much more a preserve what you've got
F	and you've got children
C	mm
F	so that makes a difference as well
A	oh yeah yeah
A	well that's what I'm saying
F	and you'll have grandchildren plus we don't have
A	no
F	that
A	no
F	so we're in a different position
D	they're very expensive children
F	yeah
D	and grandchildren
G	yeah mm
A	oh yeah yeah
F	to
A	yeah
F	raised three children you've had grandchildren
A	mm
F	so it's
A	mm
F	very different
A	but this is why
F	if for everybody isn't it?
A	the position we're in at the moment like
B	mm yeah
A	yeah touch wood we're not
F	yeah
A	once we've well we worked out it's gonna be quite a lot of money difference each month
F	mm
A	cos it's like we give you eighty quid a week don't we?
B	so you are favourite aren't you?
C	yeah
F	yeah what happened there?
A	but that's you know that's quite a lot
B	mm
C	mm
F	mm
A	that's so a hundred and forty
B	well that's
A	probably
B	best part of eight hundred a month isn't it?
A	mm yeah
D	yeah but that's what
F	mm
D	families are for
A	oh I certainly I don't begrudge one single penny
F	no
A	of that at all
C	that's that's something that shouldn't happen
F	no
A	but if and when
F	good
A	when they both graduate
E	my money's gonna
A	that's a lot a month
F	that's gonna make a difference yeah
A	well if we if we're used to if we're paying paying it out
F	yeah
A	we could do a lot with a month yeah instead of
C	yeah
A	just letting it sit in the bank go so I think oh we could go out for an extra Chinese or something that and because we haven't had it for three years
F	mm
