A	something different to make there
B	got a brand new suit
C	no I need to go on a diet
A	I think you do
C	I'm not eating that much so why I'm putting weight on I just don't know
A	well your let go of
C	ah
A	how much do you weigh now?
C	I don't know I've not weighed myself
B	no you didn't want to do that do you? You don't want to do that
C	no
B	nah
C	I know when I've lost weight I've got trousers I can get into and what I can't
A	when you used to go to the quacks just for a check-up they used to weigh you take your blood pressure and everything
C	you have to ask dad
A	I asked  I asked  eh I think that was
B	no you can't
A	he wanted to me walk across and stare down the thing and weigh yourself
B	yeah but if you've gone for a particular reason then you ask if you
A	well I asked the other doctors and then
C	well that was years ago
A	and they were nice
C	things have changed
A	ooh
C	what just walking?
A	she fell in ditch over there and hung upside down by her foot
B	who did?
B	what?
A	yeah
B	how did it happen there?
A	well she was just walk walking across checking the hedgerows slid down the ditch and caught her foot in the  in the  railing at the top and hung upside down
B	oh gosh
A	she said luckily there wasn't any water in the ditch
B	yeah
A	nobody knows I said didn't you bring you didn't you have phone? She said no I never cart my phone about
B	dear now
C	that's not a that's not good
A	that ain't good
B	what a thing to happen
A	it was terrible
B	mm
A	she told me that when she bought the eggs round
B	right
A	well she just said eh
C	but she must
B	I can't see how it would happen
C	she must have just slipped on something or tripped over something
A	she slipped yeah yeah
B	to catch your foot in the railings
A	she caught her foot in the top and she just hung
B	dear
A	hung down in the ditch
B	oh she was lucky wasn't she?
A	she was lucky yeah
C	he needs to
A	eh?
C	what did you do twenty years ago if you hadn't if you had a
A	your wife gets somebody to come past
B	yeah
C	yeah?
A	well there was that
C	yeah? It's amazing
A	but he couldn't get through to anyone Australia because I suppose that that won't
C	I think from any phone you can do as S O S
A	can you? Oh right
C	from any phone you can do an SOS so you don't have to have your network
A	yeah that's right
B	so how do you do an SOS? S O S?
C	no you can do one one two
B	oh I see
A	yeah
C	yeah I think so
B	yeah
C	and it just and it picks up
A	yeah
C	even though you're not on the
A	that's good innit?
C	yeah
A	the trouble with these GPS walkers they use this GPS for the phone on the phone or whatever
C	no they'd just die
A	but then they've got this just a
C	you can also have them with solar cells that you can recharge them on the backpack and things like that
A	but they do say that GPS uses the battery a lot
C	oh yeah
A	that's right yeah
C	I don't have my Bluetooth on
A	so it can charge via the car?
C	I can charge my phone by the car
A	you see that's
B	we've got one
A	we haven't
C	but you need a new phone really
B	but I'm sure there was all those wires that were underneath the seat
A	they're not the phone charger they're the
B	yeah
A	ours is too old for it
B	it's got something
A	something for the phone charger to be linked up to but Vauxhall did the wrong phone charger you see
B	mm
A	and we haven't got one
C	but you it's just a normal plug in your lighter
A	there's a lighter one yeah
C	yeah
A	but we do need new phones
C	you do need new phones and you're going away in two weeks' time
A	one week
C	one week
B	this Wednesday
C	what this Wednesday?
B	mm
C	oh it's this Wednesday isn't it?
A	oh while we're on it
B	yeah cos we were planning on coming on coming back for Sunday
C	that's alright cos I can feed the cat on the  on the  Saturday when I go
A	so it doesn't  it doesn't
B	so he doesn't need feeding on the Saturday?
C	no cos I feed it when we go
B	Cos we'll be back on the Sunday
A	Cos I was going to say we can get up there at six o'clock and feed the cat
C	no I can feed all I can get all that sorted so you haven't got to worry about the Saturday
A	yeah
B	yeah
C	that's alright
A	you've still got to leave the back door open
B	so Saturday night will be alright will it?
A	yeah
C	Saturday will be fine it won't be a problem
B	well I mean for us to be Sunday night to feed the rabbits and
C	yeah that's fine
B	okay
A	yeah
C	oh it's bad
B	mm
A	that was unfortunate
B	yeah
B	mm
A	that's round about what's it is it? It's about ten miles
B	did they?
A	Cos this is a mile walk round there
B	I don't know where they went
A	yeah they did the railway walk
B	mm
A	haven't seen any march hares this year
C	no I haven't
A	no there's usually a load of march hares
C	the next morning
B	poor thing
C	I haven't seen any but I suppose I haven't been going past any fields as such
A	no
B	you haven't either
C	no it's just on the way to North Orsham I didn't it's forest and
A	but you're not allowed to
C	eight thousand eight hundred and ninety pound
A	yes I'd like to buy that lens too
B	so
A	yeah what did you buy?
C	I used my Jessops voucher yesterday
A	yeah to what?
B	to buy
A	I bought a Compaq flash card
B	that's allowed
A	that's allowed
C	I didn't have to pay for it cos I've got the vouchers
A	that's good yeah
C	when I paid thirty pound for a two gig last year at the shop for from
B	just last year
A	well that shop in
C	he's a bit expensive
A	he's a bit expensive isn't he?
B	it's funny isn't it? Cos we've still got  we've still got  sixteen what is it?
A	yeah we've got sixteen megabytes
B	what is it megabytes?
A	megabytes
B	memory stick
A	memory sticks right?
B	it takes about two photographs
A	when when we first bought the Sony
B	we'd
A	and that was a five megapixel
B	yeah funny isn't it?
A	and that take that took five on five and about eighteen on the
B	it took loads on the five megapixel didn't it?
A	but this one
C	it's amazing
A	Cos these new ones
B	that's right because I did use it the other day not thinking
A	but that went on fine that was on
B	yes well
A	I mean well you can't take when you got that that three gig
B	oh I don't know
A	three no it's how many megapixels can you take you take now? It can take
B	well anyway
C	it
A	yeah
C	you can have it on flat
A	you can even take  pictures can't you?
C	yeah fine
A	I'll tell you what the new Cannon's look brilliant
C	but I'm not having one
A	no no
C	but you've got a long lens
A	well that's not a that's not
B	it's quite good
C	what what have you got? A three hundred?
A	yeah yeah but
B	he wants to take birds
A	yeah but it's got
B	can't take birds
A	I want to take birds
C	but the
A	no you can't no
B	no
C	so that means you've got to swap and change
A	well you have to actually
B	it's annoying isn't it
C	yeah
B	one
C	long lens
B	and then of course you want another one for the macro and another one midrange
C	just midrange yeah
B	three cameras yeah
A	that bloke who who lives in the  in the  Maasai
C	yeah I know what you mean
A	maasai desert Maasai
C	the eh game park game reserve
A	yeah
C	well he probably earns a fair little bit from the pictures that he actually takes
A	he probably does yeah
B	there you go
C	so yeah
A	but he's got he lot and you just see him and he  and he  spends
C	maasai Mara yeah
A	he spends about six month a year in there and then he goes home to Paris and sorts all his pictures out and that will take him just as long to sort all his pictures out cos he's took thousands
C	that's the normal rule isn't it?
A	and then he's got to work through the hundred and he finishes up with five or six
C	you think what they used to say about a reel of thirty-six the old-fashioned film
A	yeah
B	and that's if you're lucky really
A	yeah
B	but we don't travel we don't see tigers and lions and giraffes and
A	so therefore you don't need a big lens
B	no
A	look I need
C	okay then buy an attachment for your telescope that you can put your camera to
B	mm
A	oh yeah that that would be good wouldn't it?
C	it's not really ours
A	but that's not really a telescope is it? That's a
B	you're only looking
C	yeah but you can still get the adapter
A	they left it here for
B	yeah but it might cost too much
C	I don't know how much they are
A	I'd love to get one and just fix it on there
C	they're not that much
A	Cos I find it
B	what your not much is
C	pardon?
B	is not what our not much is
C	no my my not much in money terms is probably less that your not much now
B	ooh I don't think so
A	I'd love to get the adapter
B	twenty
A	I don't know how much well they
C	if you just get the right attachment for it
A	yeah
B	mm
A	and then I'll take pictures of I mean the the birds out there this morning when I fed  I fed  them there was goldfinches chaffinches green finches blue tits grey tits house sparrows robins
B	yeah he hops around waiting for us to go out
A	he taps on the window with his beak
B	yes he did
A	and flew round and off found the door
B	into the
A	working on the computer and that flew right past our earholes like saying come on come out and feed me
B	mm
A	and he he comes out and he sits
C	rise have got some good mill worm offers on at the moment
A	really? Yeah
C	big pot of mill worms which is like a third of the price that you normally pay
A	yeah
C	I went into Rise last week cos I'm looking for a bench
A	what do you want a bench for?
C	to sit on in the garden
A	yeah
C	well no they're quite a few years old
A	yeah ours are a few years old I've got them got to mend mend a couple out there haven't we?
C	if I could get some wood some hard wood I'd repair them but it's getting the hard wood isn't it?
A	yeah you
C	yeah I might as well just go and buy a new bench and take the metal bits to be recycled and you know go to and get the money for the metal bits that might buy me
A	yeah
B	yeah they've got one of those haven't they?
A	yeah we've got one it's down the bottom of the field in the shed down there
B	mm
B	were they?
A	absolutely drenched they were
C	I don't know cos I
A	you didn't get up early enough to see it
C	I didn't get up early enough to see it now
A	why?
C	couldn't sleep
A	you know what's good for sleep don't you? Slap on the head
C	that's weird
A	why? What have you been thinking about?
C	Don't know
B	mm
A	what a weird dream
C	so that was Friday nights
A	was it yeah?
C	it was head teacher that I used who used to be my boss a long time ago when I was at
B	oh gosh
C	right
B	yeah yeah
C	that is very weird yeah
B	and the mice
A	which way is your mind working?
C	and the mice
A	you didn't go out in the sun yesterday did you?
C	no
A	yeah the mice
A	yeah
C	and you know like you get a spider's abdomen the bit at the back
A	really?
B	ooh right
C	nest of fleas
B	nest of fleas
A	sounds like someone has
B	yeah
C	so
A	that's a very weird one that was blimey
C	in the city yesterday I bumped into lots of people
A	such as?
C	em
B	yeah
C	and then I bumped into two members of staff
A	no
C	because they
A	didn't go for coffee with them?
C	no
A	yes
C	yes people basically
A	well they're protecting their own  now aren't they?
C	so and one of them is going to take over the DT department
A	yeah?
C	so eh
A	yeah well
C	so that was  that was  interesting
A	yeah
C	so I went
A	went to Jessops
C	I went to Jessops and got the card and some paper
A	bit posh
C	no its brilliant
A	whereabouts is this?
C	where Borders used to be in Chapelfield
A	it's in Chapelfield shops
C	yeah
A	drill bits yeah
C	drill bits screw bits for nine pound
A	well that was cheap
B	mm
C	nearly nothing
A	yeah you nearly
C	so and I I spent probably forty minutes looking round in that shop at the stuff
A	yeah
C	and you can't get the coloured ones
A	can you?
C	you can get coloured light bulbs which light bulb shaped and inside there's a ray of LEDs
B	yeah
A	oh right
C	and you plug them in and they give you your coloured lights like the lights outside
A	yeah? Oh that's lovely
C	they've got a whole range
A	yeah?
B	oh?
C	run on LEDs
A	yeah?
C	so
A	that sounds good
B	yeah
C	make a
B	we're going to go
C	you'd need  You'd need  a chaperone if you went in there
A	what to stop me buying stuff or?
C	you would need a chaperone
B	oh we're not going in then
A	so it's that's all the way to Norwich
C	yeah it's such a long way isn't it?
B	it's Norwich
C	it's such a long way
A	yes but it's nice ad quiet here and there's all people
B	we were talking about the
A	with beaten miserable faces
C	no
A	they didn't have miserable
C	and Norwich won yes
A	and as for the other one
C	no we lost
A	no you lost didn't you
C	three nil
A	you did yeah
C	three nil we lost again
A	what Manchester United and Manchester City?
C	we got no we got something like Chelsea Liverpool Man United Tottenham coming up
A	are you? Oh god
C	Norwich Bolton
A	well you'll lose against Norwich
C	I did two the other week that I said at the beginning of the season Villa will be putting Norwich down into the championship
A	but Grant Hull got chucked off last night
C	oh just a bad tackle that's all
A	yeah but he's
C	three games
A	I doubt it
C	so
A	doubt it
C	yeah he's bit of a donkey sometimes
A	he is a bit of a donkey
C	but he scored goals
A	he did
C	he scored goals
A	so now they'll go back to the scoreboard for Norwich
C	I'm sure if you knew there was something at the end of it you'd go to Norwich
A	what
B	I didn't look after you when you were a little boy
C	she's doing that now
B	yeah
C	they say it comes full circle don't they
B	yeah yeah they do yeah
B	can they get there
A	that's true that yeah
C	I was asked this morning
A	yeah?
C	and I had Yorkshire days it's when you tweet it to all their followers
A	yeah?
B	so when do they want to buy it?
C	and then I had somebody from Kirkby Moorside this morning tweeted me saying I've got a new blog page for Pickering em
B	oh
A	oh
B	yeah yeah
C	so
B	Will they pay you for it?
C	probably not no
B	no
C	it's a community  It's a community  blog
A	of course it is yeah
B	yeah it's just a part of the
C	you get you pictures out
B	all for free now isn't it really?
A	you get your pictures out there
B	yeah
A	that's the thing about
B	mm
C	mm
B	same with any photographic competition it's the same isn't it?
A	yeah
B	you
A	unless you're in
B	if you don't win then they've got your photograph
C	you get your photo
A	seventy-seven? Do you have to put your picture up?
C	no
A	oh I thought you'd got seventy-seven photos
C	I've got that picture up of me in a car
A	what what can you you can pick it up here can you? What have you got a
C	that's that's the G that's like the 3G signal that is
A	that's your
C	this is the  This is the  battery there which is green
A	no but
C	I don't know whether this one will be
A	these posh phones
C	the problem is that
A	oh right
C	the one that I had in the Lakes
A	oh right yeah
C	so I tweeted that one
A	oh I see
C	em
A	so you've got a T for tweet
C	A T for tweet
A	A what?
C	fF
A	what's an FF?
C	follow Friday
A	oh Follow Friday
C	and people recommend you to follow
A	that's all LinkedIn?
C	yeah that's all LinkedIn
A	yeah
C	see I follow hunters of housing which is a
B	why is that all coming in there?
A	you can set it all can you?
C	no it's on
A	Norwich City
C	Norwich City follow them
A	brace's shoes?
C	yeah
A	where did you find Brace's shoes
B	doesn't that take up all your money and that
C	no no
B	no no
C	oh this one has just started to follow me this
C	she started to follow me yeah
A	you love stew
C	I do like stew yeah
A	oh I see right
C	so if you're somewhere it will pick it up quite quick
A	but this is not wireless
C	Cos it's bringing it in
A	oh I see
C	that's 3G that is
A	that's 3G
C	Cos there's no  there's no  4G in this country yet
A	isn't there?
C	no only well in London there's 4G
A	yeah
B	it wioll break
A	when I get a phone one day
C	no it's taking a bit of time to come in
B	oh I should have phoned up
A	you should have phoned them up
B	yeah oh dear
A	they don't answer the phone though what's the point in phoning them?
B	YHA
A	oh access to where you've got to go
B	we we at least need the code to get in
A	we do don't we yeah
B	we can get her to show us round
A	no
B	no I just
C	extra
A	yeah?
C	yeah
A	oh can you? Yeah
B	ah
C	yeah
A	have you still got the woman on there? I bet you have
