A	more of your erm white chocolate?
B	yeah sure
A	it's strange isn't it?
C	runnier
B	yeah
A	runnier
A	mm
A	mm
B	I know what you mean
C	oh
A	it tastes like what's the make of custard at home?
B	Devon's
C	Ambrosia
A	no the yellow is it Bird's?
C	yeah
A	the red and yellow packaging it tastes like that
B	I do know what you mean it does taste like custard
A	but it is
C	it is it's just like custard
A	it is just tastes like warm like custard doesn't it?
B	mm
A	it's not a bad thing
C	it's like a pudding really
A	mm
C	yes I'll neck it
A	was there a head on it or?
B	yeah
C	yeah
A	it's
C	so we've come from here
B	yeah
C	down to here
A	uhu
C	and we're gonna go back up here
A	and then down to Rovinj
C	back down to there
A	yeah it doesn't blow you away like I've been comparing this to Kefalonia and I would much
C	I suppose this is bigger isn't it?
A	yeah
C	yeah
A	place
C	well but the
A	and the weather the weather makes a difference doesn't it?
C	yeah they're saying Split and Dubrovnik are the more touristy places
A	right
C	see it says the Istrian hill towns
A	is Motovun one of them? or Buzet?
C	Motovun's the one on the hill isn't it?
A	yeah so we must live somewhere around here
C	yeah
A	read to you?
C	mm
A	where from?
C	don't know anything you think
A	not very hot that coffee
C	no
A	begin in Pazin which can be reached on the fast road connecting Rijeka with Rovinj and Pula this small industrial town with a population of around ten thousand may not have immediate appeal but it is worth a flying visit the highlight is the castle first mentioned in nine nine hundred and eighty-three AD as a gift from emperor Otto the second of Hungary to the bishop of Porec the castle now and ethnographic museum
B	was that was that what actually really happened or is that just mythology?
A	it says the highlight is the castle and the castle was first mentioned in nine hundred and eighty-three AD as a gift from an emperor to the bishop of Porec
C	so it's historical isn't it?
B	so it did happen?
A	yeah yeah
C	you didn't put up a sugar in there did you?
B	no I didn't
A	the castle now and ethnographic museum overlooks a great gorge known as Pazin's pit where the river Pazinicia swells after rain
B	let me get rid of the skin
A	almost encircling the town
B	just er
C	do you want me to stir it?
A	why don't you ask for some hot milk to mix it with?
B	no it's alright
C	I'd use a spoon
C	which one's that?
A	Draguc
C	Draguc
A	there
A	no
B	probably won't know any of them will we?
A	Buzet
B	probably be all like Istrian films you know like
A	Buzet is the largest of the hill towns on a bluff a hundred and fifty-one metres above the River Mirna and still partly enclosed by its medieval walls and gates
B	what's it taste like?
C	well have some pasta
A	it
C	with truffle oil
A	I'll try one of ours it tastes it's hard to describe it's
C	there you go
A	it's very it's very earthy
C	it's distinctive
A	it tastes earthy it doesn't taste like mushrooms does it? cos it's
B	is that a similar texture to mushrooms?
A	no
C	very strong isn't it?
A	so very
C	do you need a Coke as well though?
B	no I'll be fine
C	mm
B	I want that
A	sure
C	sorry doll
A	I might pop into that market on the way back if you know that so there was a fish market was there a like a fruit and veg where I could get?
C	well it looked like it cos he was bringing
B	yeah
A	we could get cos we're almost out of I suppose we're not going straight back so we could get some fruit and stuff couldn't we?
B	I am warming to the idea of having a boat you know
C	what kind?
A	I'd love a boat
B	like
A	as long as I had someone who knew how to do it
C	yeah so you were confident
B	not like
A	well I suppose it would be quite sorry
B	I'd rather like a speedboat than like a sailboat
C	I'd like that one
A	mm
C	I'd settle for that one
A	I like that one and I like that blue one
C	so so
A	I think I think they they they look quite sleek when they're in a different colour
C	mm
A	than just all white
C	I agree
B	mm
A	mm
B	that's risky isn't it?
A	mm
A	mm
C	I wonder if she's gonna bring our water?
A	mm
B	oh I forgot about that yeah
A	sounds as though she's forgotten
C	who was it you asked?
A	the girl who brought the drinks
B	oh that's a bit sad innit? dad and a mum on a scooter
A	sorry?
B	bit sad innit? dad and a mum on a scooter
C	what with the little boy?
B	mm
C	I think it looks cute
B	shall I drink this? cos dad's not gonna be here
A	you'll be on the floor if you drink that
B	that I would not be on the floor if I drink that
A	you should have waited till he was back to order it
C	drink it
A	so that'll have been stronger than that because that had more milk in didn't it?
C	was it really strong
A	not really
C	come on sunshine
B	it feels a lot later than like two o'clock don't it?
A	mm
C	ten past three yeah
B	seems like five six to me
C	there's our
B	that's a nice boat
C	mm
B	I remember when we went we went out and about on when I was on holiday with
B	I thought it was a really good name
C	where was that? in Spain?
B	no where where did we go? er
A	Fuerteventura?
B	yeah I think it was Fuerteventura it was like
A	Fuerteventura? go on
B	it was just like moored up and it was
A	that would be alright in inheritance
B	I know
A	not turn your nose up at that
C	what does that look like?
A	what's that one?
B	looks awful
C	that guy with the red cap on he's got a
A	cock-a-doodle-doo
C	what's dad's beer like?
A	look at you chugging
B	yeah
A	beer
C	is it alright? I wonder if he's come down a bit nearer
B	I bet it's that
C	it's quite a walk back isn't it?
A	mm
B	I bet it's that Ozujsko whatever it's called I don't know how you pronounce it that
C	it is
A	Ozujsko?
B	no it's called like er you know it's
A	O?
B	O it's O Z U J S K O Ozujsko
C	and what did we say a J was?
A	ye
B	so
A	I think dad's done a runner
C	we've got the
A	that's true
B	he's got the car though
A	he's got the car
B	I'd like to brew my own like beer or wine or
C	dad had a go once
B	was it grim?
A	erm does it look any better? I don't know if they'll have worked that quickly
C	it is looking a bit better
A	is it?
C	yeah isn't it
A	I can't
C	ah
A	sunshine
C	I've just ordered this
A	go and chase up our waters
B	me? no I'm I'm asleep
C	go on
B	I'm asleep
A	you know you want to
B	I'm asleep
C	can you just put this cushion behind my shoulder?
A	erm I never checked actually because I went to do a recording instead oh this is the girl we asked
unknown_female	yes I forgot sorry
A	thank you
C	mm
A	mm
A	I'm I'm not in it I'm gonna go and sit around there in dad's seat
B	swap that put that beer in the shade then
A	it's there isn't really any shade though
B	it's weird isn't it? they sell that blue blueberry Fanta over here but not in the UK
C	mm it is it's strange
B	it's very nice
C	what the sunshine?
B	no blueberry Fanta but the sunshine is too
C	I wish I could read this
A	there you go
C	is this
B	uhu
C	have you not brought them?
B	no they're in the car
C	what's your name?
B	the car the car
C	what's your name?
B	the car my name's
C	say I'm a muppet
B	hello my name's
C	let me just pull it
A	I'll check on your phone if there's any wi-fi
C	if me and you drink that beer we can get your dad another
B	I don't drink beer though
A	and that's a big one for you to drink
C	I can't drink it all but
B	well I'll help you
A	it's still cold
C	can't drink it warm so we might as well drink it
B	it smells disgusting
A	don't just
C	he just burps then
B	yeah
C	just drink it have a taste
A	is it horrible?
B	no
B	just tastes bitter and I don't like the taste of bitter it just tastes bitter I have a very bad sweet tooth though
A	you'd like it with a piece of lemon in
B	mm I might I might
C	no
A	well where's he gone?
C	it was quite a trek back
A	mm he's been gone about half an hour though
C	let me have a look at the watch and I'll tell you
A	my watch?
C	yeah
B	well put your arm back on there it was comfier
A	quarter past three
C	half an hour
B	more biker people
C	I think we might need that pulling across me
B	it's nice don't wish the sun away
C	I'm not
A	sensitive
C	looks nice his ice cream
A	it's up to you
C	have a look
A	it looks like some kind of sundae
C	the yeah
B	do they still sell absinthe in Tesco
A	I have no idea
C	oh here's your dad
A	what?
C	I'm
A	what are you doing? are you chugging his beer?
A	it was getting warm
C	it was getting a bit warm
D	well
C	yeah that's what we were saying
A	yeah
B	well why didn't we do that?
C	cos we didn't have any more
A	cos we didn't have we didn't have any coins
B	good exercise kiddo good exercise
D	yeah
C	it's nice beer
D	yeah
C	and the sun's just come out for us we need to collect some change don't we?
B	yes
C	I don't like this man's tattoo it goes up his neck
A	well I bet it's erm
B	what would you do if I came home with a tattoo?
A	it'll be one of them on the like ice cream sundaes
D	I'd smack your
B	would you actually smack me if I got a tattoo?
D	yes I would
A	she he'd throw you out
C	oh yeah I don't like the name rat-slag
A	is that what it's called one of them?
C	slag
A	what's in it?
C	the the second one down
B	even if
A	oh what?
B	even if I got a really nice one like I dunno
C	pardon?
B	well even if I quite if I got a nice one that'd be alright
D	don't lean back on my arm oh
C	you're pushing right back on it
B	what
B	so it could be like yeah these are my parents innit? like
D	that don't sound very cool
C	it's where people have mum and dad put on their knuckles don't they?
D	mm
A	silly silly idea
B	seventeen
C	I think
A	you've obviously looked into it
B	no the lad who a lad who used to play for the football team's dad's a tattooist and I asked him
A	oh right
C	are you having one guys?
B	I would
C	have a sundae
A	I'm okay
C	go on we'll share it
B	well I feel a bit tattoo I don't want a sundae
C	you're not having a tattoo
B	I am
C	well have a well have a sundae
A	I don't want a sundae
C	okay don't have a sundae
A	I won't
C	she's forgotten our water again
A	oh yeah flipping heck the third time of asking
B	I will have a tattoo
C	what do you think of Croatia eh then
D	so far?
C	yeah
D	underwhelmed
C	yeah that's what we were saying
A	that's what we said
D	very underwhelmed I could be anywhere it's not as nice as Catalonia
A	that's my
A	that's exactly what I said it's not as nice as people made out
D	I mean it's alright I haven't seen a decent beach yet this
C	well I thought
D	this could be anywhere could be
C	do you think it
D	Spain couldn't it?
C	better do you think it's better further south or?
D	got no idea
C	I mean those islands I don't but they were dearer to sail there like than than going to Greece
D	yeah yeah
C	weren't they
A	yeah to do a like a week's sailing tour
C	it was about three thousand wasn't it?
A	it was a lot
B	what for
D	well this is this is alright but this is if if this is the best there is then
B	mm
D	great
C	have a look where we're going next we're going inland a bit up this canal
D	up down the coast of
C	doesn't say a field it says a canal
D	mm
C	but you see people people swear by the Costa Blanca but we preferred other places didn't we?
D	well get somewhere where the it expands your mind and makes you think that you experience something new
C	no I
A	not necessarily
C	no
D	Mediterranean's the Mediterranean these days it's all pretty boring
C	I don't I mean pretty places
A	somewhere nice yeah to look at you don't have to be doing things all the time but
D	no but I wanna experience something new
C	that was cool that kayaking there
A	yeah I mean like when people described this to me Croatia they've made it out to be idyllic really
C	stunning yeah
A	yeah
C	but
A	no
C	but the book says most people go to Dubrovnik and Split the
A	yeah
C	coastal but you shouldn't miss this
B	we've still got to go to Trieste yet haven't we? and that was quite nice
C	we've been to Trieste
B	well we're not going back to Trieste
C	I don't think so dad was talking about you and him getting a boat across to Venice
A	what for a day?
D	fancy that
B	not particularly Venice doesn't really interest I'm gonna be honest
A	you'd like it
B	I like it hot but I don't like it this hot it's sticky weather sticky weather
C	sit where dad is and then you oh
A	I'm gonna move in in a sec
B	no mother
A	cos I've no cream on
C	dad's completely in the shade I've brought it
A	have you? is it here?
C	I think so yeah
B	it's a Peter Kay line that though
C	I wish that woman would fucking remember our water we've asked her twice
B	you know er Peter Kay's line when he
C	go on
A	I know
B	you know oh
C	go on tell me
A	oh you've got chocolate in here mum
C	oh have I?
A	yeah
C	not a good idea
A	not a good idea and you've no cream
C	you brought the cream didn't you
B	it's your fault
D	got my dry cream
C	yeah where?
D	it's in the back of the car
D	yeah great idea
D	we've gotta leave about now get back for four anyway only put another bleeding hour on
A	shall I ask him if he's gonna come over?
C	okay good girl
A	mine definitely feels more open now
C	let me have a look it's working isn't it?
B	what do the pills even do just like release hormones or something?
A	I've no idea how they work
C	they produce erm
A	it definitely it feels less swollen now
C	a hydrocortisone
B	what's that? I've got something in my eye
C	have you? it's your eyeball
B	oh right that that's a good one
C	well don't rub it love
B	mm
C	right now you're not to rub
B	ah
C	is it hurting? don't rub it love
B	my back's all sweaty back
B	back sweats
E	thank you
D	cheers
A	cheers
E	thank you
B	I'm just gonna turn your phone over
A	okay
D	oh right and a Mustang and a what was it?
A	a Volkswagen Golf for his first car
D	Golf for his first car and er pay his mortgage off by the time he's about
A	thirty
D	yeah right
C	so we've chosen between
A	that's a bit
C	this one or this one
A	yeah have a bit left over for me then
B	well no you'll go straight in my own car kind of
D	right right
A	room with a view
B	yeah
C	what was that all about?
A	his back bone
C	did you bang your funny bone me?
A	what on earth have you done? you look like there's something wrong with you I think he hurt himself
C	what have you done?
B	I felt my elbow like pop in and out
C	oh yuk
A	it's cos of your double jointedness
A	did you have it with your hips?
B	god ah it really hurt
C	no it didn't
B	now my feet are all sweaty now
D	mm plenty sweat in the rest of you aren't you?
B	you know them farmers?
A	sorry?
B	gonna be a farmer like that
A	you're gonna be a farmer?
B	no
A	Of Mice and Men
B	where is George?
C	were you in the car yesterday?
D	yeah I still I but I never read the book so I've got no idea
B	oh it's a it's an enthralling read
D	mm it sounds it
C	that's sad
C	you alright darling?
A	uhu the sun's hot
D	I feel whacked out
C	come round here
A	mm
C	maybe move there to that chair
C	oh he's rapping
A	good
D	is that you or is that someone else?
B	no that's someone else
D	oh
C	how long do you think you can keep going son?
B	mm?
D	how long can you keep going?
B	I can't do that bit cos I have to breathe
D	so they learn now not to breathe do they?
B	just have huge lungs
D	yeah
D	I'm like I it's not my thing but I can kind of see what there's something in rap it's these kind of David Guetta is he? and all these kind of
B	that's not a rapper
D	DJs
B	that's not not rap
D	they're superstars they get paid thirty grand a night and all they do is
C	yeah what for?
D	spin discs and
B	no you're you you're going into a completely different genre
D	but but how come
C	but like
