A	okay this is er session number one for the
A	we shall be creating something that we can make to bring both of us to er the best lifestyle that we enjoy without having the spods at work take over our world
B	we don't even need to mention them
A	no spods
B	they are nothing in fact there is no they
A	okay so from there we will just er today what we wanna try and get out of our session is to er provide a planning platform do some brainstorming about ideas and to try and get something out of
B	yeah
A	if we have time to make one connection there together then that's useful but erm if it doesn't happen it doesn't happen but the idea is that at least so
B	mm I'd agree with that
A	erm so
B	can you see if my eyes are closed or open?
A	I can see that they're closed
B	oh that's good cos I'm listening too
A	that's fine erm so er part of that I can use as a tool in the short term to try and get something going erm that brings in er a small income stream but maybe on a consistent basis erm so there's a consideration of whether it's worthwhile putting the time in to do that erm which I think it is because it's it's er just to have something that's kind of trickling away without occupying too much time erm and then from there er use the rest of the time to build what is a bigger plan for the future and stuff like that
B	mm
A	so if I can find a mechanism or mechanisms to erm er put in plan something that can be outsourced to Asia
B	oh yeah?
A	then erm the part of the purpose of the journey would therefore be meeting some people who can assist me in that
B	yeah
A	or at least provide me er an understanding of connections of culture or how it can work without putting too much effort in
B	yeah
A	erm and something that's reliable et cetera so that would be one part of the remit of the
B	mm
A	and the other part would be to erm er to employ my time as best as I can to bring together some ideas for what we might want to do
B	mm
A	erm
B	well what what is it in the what
A	well erm the the small side of it is that there are erm things that I could spend maybe maybe erm probably a week developing erm through some of what the Location Rebel has to offer so there are income streams
B	mm
A	and that could be outsourcing erm particular writing topics et cetera that
B	yeah
A	so it's simply finding somebody who's a good writer erm getting them to write some content and being the go-between erm to front the
B	right
A	erm so that's one idea another idea is from the
B	right
A	and so you just go to a client and you say erm give us five hundred images we'll clear-cut them in a certain amount of time for a certain amount of money
B	right
A	erm and the idea would to be competitive would be able to turn it around at a very quick rate so if you've got a reliable person who can actually chew through this stuff effectively erm in theory in a day if they did a half day's work erm you'd be looking at erm one every four minutes so that's fifteen so four hours fifteen so you'd be doing sixty and a half days so you might actually employ more than one person to do larger quantity
B	right
A	sixty and one half day so a hundred and twenty a day but you really need to try and have that er probably at a higher level so you might have some outfits you want to have five hundred done overnight so if you can do something that's connected to a time zone where you're effectively getting twenty-four hour working out of a day
B	yeah
A	so you'd outsource it to one place in one particular country and another place in another country so you can send it out at a particular time of the day in such that it comes back in one day and all of that stuff's done
B	right
A	yeah? erm so that's one idea erm another idea is is web design effectively and that's a longer process erm that can be done under a variety of platforms and erm er one could employ a graphic designer and a web developer to do this stuff for you and you've just gotta communicate the ideas to them from your client and you you maintain the interface with your client to make sure that they're happy with what they're getting yeah? so I think I've got er er a small enough er awareness of of you know if you keep it simple that you can define these things such that for a particular price you get this product
B	okay and what I'd make a before you go and I don't know how erm
A	in in what?
B	and he is setting up his own well you'll just have to find out but I mean he's a businessman
A	yes
B	he's been a businessman for all of his life
A	yes
B	and he sets up businesses now willy-nilly
A	right
B	so I would I would er talk to someone who knows what the fuck business is about
A	mm
B	before you go and do any of this
A	yes
A	right
