A	thanks
B	daddy
A	yeah
C	I'll just walk down there
D	yeah
C	mm that's what I'll do
A	I'll be two seconds
E	mm
E	he hasn't
A	no
E	right
A	mm
E	mm
A	mm
E	I can't find a wee bowl actually
E	mm that there
A	yeah
C	the poppadum looks very nice mm
D	mm
C	over here
A	mm?
D	yeah it's nice to have poppadums
A	yeah
E	so what time is the flight tomorrow?
A	half past eight in the morning
E	oh right yeah
C	and what time have you got to be out of the house?
A	half past six
C	quarter to six
A	past
C	past six
E	mm this is lovely
C	mm
D	mm thank you
A	want some?
A	mm
D	do you want some?
F	not for me thank you
G	no it's okay
D	so how are you gonna get to the airport with your?
A	taxi
D	you're gonna get a taxi
A	te-te-te
A	no I'm getting a taxi
C	getting a taxi
A	well cos it was as much as the train
C	mm
E	that's right
A	er
E	quite dear
E	mm
A	so
E	and you've got so many of them
A	yes but there is no point walking
E	mm mm
A	and carrying suitcases it's probably is
E	mm
A	the train or as little as the train depending on how you look at it
C	erm
A	want some of this?
A	want some of it? no?
C	do you always have a seat when you
B	no
C	go to your
A	yes
C	dad's?
A	no I
D	mm?
C	will you take travelling with
unknown_female	save some for dad
unknown_female	he doesn't eat meat
D	no er
C	then you'll all be on your own
D	just me and
A	oh
C	oh you and
E	is
D	yeah
E	oh I didn't I thought you were taking him all the way up to the
D	yeah
E	the England to Scotland
D	mm gonna try and spare him all those train journeys and things
D	I think I've just wouldn't have done it
E	mm
D	mm
E	and it's quite hard because
D	yeah even a couple of nights of those
E	mm
D	being able to bring round stuff but
E	mm
D	yeah it's just a bit much really and you
E	uhu
D	and you just stay there then you just don't get a chance to say hi to people really or try to relax
D	really so at least we get to
C	this is really nice
E	well it's lovely
C	mm
E	but
C	mm
E	I'm not going to get up tomorrow to say goodbye to you by the way
D	it's okay
C	I'm not going to intentionally get up but I sometimes am around at that time in the morning
D	yeah
C	and erm
E	and er what time are you and
D	erm we're gonna leave about seven
E	right
D	so
D	not quite it's not quite as awful
E	and then a new little lot come
D	mm
E	well some of the lot you've met but
E	but that I have to look after it but no I was asked kindly to look after it
E	for two more weeks please cos they're actually going off to they're going off to Scotland erm
C	I'm not sure fish get upset actually I mean you say
E	well you don't know you're not a fish but erm so
D	mm
E	and nobody knows seemingly they do get upset
C	oh do they?
E	mm
D	yeah they do
C	uhu
D	a fisherman?
E	er
D	uhu?
C	could you
H	mum
C	could you bring me a couple of sheets
C	of kitchen paper?
D	yeah
C	thank you
A	where are you going?
unknown_female	mm I dunno
A	mm yeah well I'll be back on Tuesday if things
E	so how long have have you all got erm say
unknown_female	erm
E	before you start again? is it September?
unknown_female	yeah it's the end of August I think
C	is it?
unknown_female	I think so yeah I'm not sure
A	we'll have to erm like a month is it?
B	no
C	but
A	uhu
C	yeah well
E	yes and won't ever go back again erm
C	when did you need to start then?
A	she doesn't know until she
C	no?
A	sees what she gets
E	mm it depends on which which course
C	oh of course
E	uhu
C	but erm it
E	uhu
C	it'll all it'll all depend on
E	mm
unknown_female	no it depends
A	well yeah
unknown_female	on which college you go to
A	which will depend on
unknown_female	yeah
A	your results
C	mm
A	will you close that door cos he wants to get down?
D	yeah
E	oh that oh
E	mm
E	you haven't had any er
A	no
H	mum
D	pardon?
A	yeah get down
D	I think
H	well do you have a poppadum?
A	oh okay then
H	can we split it?
A	I'd say both have a fight about it and let's see who wins
H	yeah
H	yeah right well I just wondered if you'd like some
A	what what is that? the
E	pompadom poppadum
C	some more
H	would you like erm a bit of the last poppadum?
E	dare you to say yes
H	granny?
C	erm erm
E	no thank you I've still got my poppadum
H	mum?
H	mum? mum? mum? okay
D	er no I'm just keeping an eye on
H	I just I didn't know if you'd like so okay
D	okay
H	but would you like some?
D	no I'm alright thank you
H	okay everyone
A	does anyone else beside
H	I've already gone through that
A	okay
H	asking if they
E	ask asking his individually
E	very nicely
A	yeah it's all yours
unknown_female	it's covered in
C	is there a little bit? is there a bit of rice there?
D	hey
A	careful
D	come down
C	thank you
A	careful
B	a tree
E	oh
D	a tree yes
B	a tree
D	come down
E	can I have a wee bit more chicken please? erm okay there
D	mm
E	thank you thank you my love
unknown_female	mm the spoon is covered in sauce though
E	that's fine I love the sauce you see I'm not really don't mind about chicken
C	mm
E	erm the sauce is lovely
E	did you get any
A	I'm fine yeah thanks
E	right
D	oh I should put it back
E	you can have it
unknown_female	okay
D	thank you very much for putting us all up
H	mm thank you
D	you've been very kind
E	well we we've enjoyed it actually it's really been nice to get to know especially girls erm cos erm
C	are you going back to
E	I'm going to
D	yeah
C	mm
E	erm yes going in the first of October
D	yeah
E	is that right?
D	that's right
E	erm
A	well erm
E	oh no I mean the builders the you know the people who made the road does the road come down your back now?
A	no
C	you have been to
E	twice I've been
E	only twice right
unknown_female	does anyone else want a
E	no thank you
D	no
E	mm
D	a lonely bhaji
E	mm
C	it's erm
D	erm
E	it's a wonderful city
C	erm
E	I love
D	no it's okay
H	I looked everywhere I really did
D	it's okay
H	and I couldn't find it
C	I've been to
unknown_female	yeah it does that
C	and we drove on to the
C	and it was still pouring with rain
E	a wee lad
C	er I think he was about
E	oh sorry a big boy
C	and my erm my brother-in-law who has er died since er he
E	they were camping by the way
C	well we we
E	camping
unknown_female	we went camping camping in
C	er er
H	I'm just gonna get a drink
D	okay
C	out of a car I mean er erm
E	oh right right yes from a Dormobile
C	and and we had a but then we had most of us were in tents
E	mm
C	and we were soaking soaking by the
E	launderette
C	a a launderette that's right
C	when then
E	where you could dry off the clothes
C	you
E	I wasn't there
C	we had a
C	clothesline with us and we put it up
C	and everything was dry by about er eleven o'clock
D	there you go
C	everything was dry er cos I and the
D	there you go
C	from then on we had lovely weather and erm in
D	and going you terrible English people
C	and in in the
A	they thought you were English? oh my god
C	yeah
A	just don't tell anyone
D	it's like those crazy English campers
C	no they do that
C	mm no
A	oh
A	yes
C	it was a bit different
E	how near the
E	how
C	no
D	mm
A	well
A	from one part and
C	mm
D	but roads are straight I mean
E	cos I take it's a ring
A	to get there yeah
D	yeah
A	not the
D	mm
E	er fields or
D	yeah
E	fields or something
C	actually we spent more time on the
D	mm
C	but
E	mm
C	and
E	and of course you've got the stone of
unknown_female	yeah
unknown_female	near enough
D	yeah
E	I mean like near nearish
unknown_female	yeah
C	crowds of
D	yeah it's very near
C	crowds of tourists
D	we've got
C	coming
E	pardon?
D	it's about mm about five miles I think
E	well that's walkable
H	about five miles really?
A	no it's
D	isn't it?
A	no no it's more than five er
D	ten miles
E	unless there's a busy road
H	I think we walked seven miles
D	ten miles
C	but
H	to get to
C	you've crowds of Americans coming through
E	we saw people being sort of
C	queues and queues and queues of people erm being sort of lowered down
D	mm
C	you know feet first or something
A	mm
C	no head first
H	head first
D	uhu
E	that was really lovely
D	yeah
E	mm
B	lion lion lion lion
A	lion a lion
H	I find it really disgusting though
E	mm?
H	I find it really disgusting
E	what is really disgusting? being being
B	and this is is no you
E	this is
E	do you know but you've not have you done sort of things like
H	but there's like a thousand people a day
H	yes
E	yes well kissing the stone probably gives it a real good sort of
E	no yeah that's
A	which you use to lift them
A	cos everyone touches that too
H	you don't lick the hand railing
E	I don't think they lick it
unknown_female	no they don't
E	you're not allowed to to lick it
D	yeah but you might put your things to your mouth
A	yeah well
A	but there are germs everywhere basically
E	absolutely
D	but I wouldn't kiss it either
unknown_female	and you've put your hand in other places that
E	mm
unknown_female	you wouldn't put your lips I think
unknown_female	I mean your hands could be worse
H	I'm just saying I'd prefer prefer to not
H	kiss a a stone that
E	you
H	everyone's kissed before
D	yeah I
D	I agree
H	I'd like maybe go like
A	very good policy though whatever
D	yeah
E	oh you'd touch it?
H	I'd touch it
E	oh right
E	yeah
E	yeah
H	just because it's like a scary experience
A	touch it then
E	I wouldn't even
E	I wouldn't be lowered down there
H	no like
E	so I could do it you know?
C	but you you I mean you have
unknown_female	uhu
C	quite a er quite a lot of Irish blood in you
H	really?
C	mm
E	oh yes yes
H	well I
C	I mean
E	oh no
H	then why do I have Irish blood?
E	no
A	but
E	no
A	you mean figuratively not literally
E	it's called your genes your
E	talked about blood
H	can't you
E	you've got
D	no it think Scottish blood comes out of tartan
D	that's what granny told me
E	your granny?
D	yeah
E	yeah your granny was erm
D	a a bit weird
E	erm
D	a bit
E	she was
D	yeah she no
D	I know she was a bit
C	you mean my mum or or or your mum?
E	no no no no no my mum
D	she was a bit as well
E	she was English by the way
D	the other way
C	I know she was English
D	she was so a strange English lady
E	but erm and she used to refer to her husband as Mr
H	Mr
D	did she?
E	yes
D	mm
E	she did
H	really?
D	she
E	when I first knew her
D	apparently she used to
D	swear like a trooper
E	I know I I
A	she
E	she she swore so
D	it was all
E	we had we had to go to erm
B	and me
E	er her sister's one of her sister's children was getting married in Belgium so we arranged for the children to be looked after and we drove
unknown_female	that's like
E	you may sit beside your husband
D	I think that's I think that's just called being really
C	you'd be given the what?
D	she was quite rude
E	well erm she was sort of stately
D	and a bit selfish
E	it was it was you know she had to take the front seat because she was
C	oh the front seat?
E	she was number one
C	you'd be given the front seat
D	yeah she just kind of
D	wanted to
E	I think
C	but the one thing
C	one thing
D	yeah
C	was being in the front seat
E	I know I know
D	yeah actually yeah that's true
E	erm and she would sort of pass her son over like you
E	that she swore like a trooper
D	swore like a trooper
E	she never swore in front of me
E	yeah and here was me saying to her grandchildren
E	that shut up was a rude word
E	and you're not to say
D	we were always scared to say shut up
D	we thought that was
C	I was brought up on the phrase naughty little
C	to send us down below
C	but er
E	I did with you
C	joke it was a joke
E	er
C	but er funnily but erm
E	when we first met you erm the three of them were in awe at one point thinking when is she going to sort of like
D	tell them tell them all off
E	belt him?
C	what?
D	cos he
D	and saying other words as well but
H	I've never been for the
C	I know you you er they they were all sort of
C	but well my
E	eyes like saucers
C	but but the thing I I
D	she's not gonna say it she's not gonna tell him
C	the thing I found the well
D	yeah
C	it was bloody murder you used to get knees in your back and you used to they were always shoving each other and they were
H	sounds like fun
C	the only the only people I remember who were as bad as my children do you remember the
D	the
C	I
D	er
C	I think
E	yes yes there were
D	oh yeah I think
C	er they er
E	I think you went and stayed in
C	I mean
D	oh yeah
C	they were
D	yeah
C	they were
E	they managed to come up to
C	bloody murder in the back seat I can tell you
D	yeah they were quite
C	but my kids were
D	well cos
C	but I couldn't believe it because you all sat there quietly three of you
D	we were terrified
C	you were but
D	no yeah we'd been to we'd been indoctrinated by dad
C	I I know
E	yes
C	I know but
C	erm
D	I mean he wouldn't have hit us
C	but I er
E	well no he wouldn't have hit
E	but he would have
D	he could be quite fierce he was a
E	he was he was
D	he had a fierce
E	very strict
D	Glaswegian my dad
E	no he was very very strict
A	I think
E	we were both very strict with the the children when they were little actually very strict
E	erm too strict perhaps
C	but my my no my three they made er reasonable
H	mummy
C	members of society now
C	but they er er they were bloody awful in the back of a car and
D	no really?
C	er yes we were stopped by the police
E	this this
C	er it was yes and me and
D	were you like swerving all over the road?
C	near
D	be quiet
C	near Marlborough on the M A4 I think
D	oh
E	oh
C	but
C	I was weaving you know
C	the
D	you probably were like turning round
C	and and and this was because er and and and you
E	thank you
C	and er
E	thank you
C	er I I I couldn't believe it I really couldn't
E	yes they were they were actually very
C	and I thought I'd get because
E	they were
C	and I drove er one of you and the two
D	yeah it's like one extreme to the other
C	they were really
D	you probably want in the middle really
E	yes you want to be you
D	just kind of normal
E	erm
C	no I never
E	and you see I have this firm belief that
C	well you're quite right
E	and get nothing in the way and if that means that kids sit in the back not moving
E	that so be it you know
E	erm yes erm cos there's nothing worse than having
E	somebody a driver getting upset and having an
C	well
E	having an accident
E	erm it's just erm there's no erm but anyway
C	the police were quite nice when they tagged us down
C	and they realised I wasn't drunk
E	in charge of three children in the back
C	mm yes
C	but he did say
E	mm
D	they said to the children you know you should behave better in the back of the car
E	and
C	no
E	I I would be terrified if a
C	nothing really changed
E	policeman said that to to me I'd have been terrified
C	but
D	do they?
C	they all remember the incident yeah
C	erm and er
E	oops erm
D	I'm leaving it for later
E	oh good good girl
D	yes applied thinking
C	it was very nice cake
E	er er
C	it really was
E	it was lovely
D	you're welcome thank you
E	mm but er it was
E	could you pass your plates over?
C	nice varieties and er
E	absolutely
unknown_female	wait
A	whoa whoa whoa whoa whoa whoa whoa
A	you've gotta do some of it mm
E	erm
H	I'm gonna keep my eye on him as well
A	well we put it down
H	ah
H	oh what's this magic?
A	mm
H	you can have
D	do some people mind bringing these in so I? thank you
H	yeah
D	you can just dump them on the table
E	might as well do these
D	thank you shall we have some of that cake? I dunno if there's enough to go round but there's we could try
A	could easily cut their cake
D	do you wanna go and get it then? cos I
A	er yes
D	erm do you mind taking this
A	oh the girls will take the
C	yeah I I made apricot jam this morning
D	oh is that what you were making?
C	yeah
D	the big
D	yeah I saw the apricots
C	yeah
C	well the er well the
D	I've never made jam
C	they they they were reduced because it was too late but er I had wait about the best part of a week before they ripened though actually
D	oh really?
C	it's really odd the way they the
D	yes don't worry about the
C	the way they do this you know and I mean why on earth would that plate of cheeses be
D	oh yeah
C	purely because
D	yeah
C	it says sell by
D	yeah
C	but I mean cheese doesn't make any difference er I mean you can keep
D	yeah
C	cheese forever
D	yeah
C	and erm
D	oh
D	thank you
C	mm
D	erm
H	getting what?
D	the cheese there's cheese on a plate
D	oh yeah
C	I'll I'll I'll get it
D	oh no don't go
C	no?
D	don't go
H	what kind of a?
D	no no don't go
C	it's erm it's it's
C	er
D	to get erm get the cheeses and maybe get someone to bring the biscuits in
H	can you bring the biscuits?
D	no no get some
C	we've got birthday cakes as well I think
D	do you mind going in with
C	well
C	when is
D	the seventh
unknown_female	yeah the seventh
D	uhu
C	that's today isn't it?
A	Friday
C	oh Friday
A	is it Friday
F	mm
A	mm
C	how old are you gonna be then?
F	mm?
D	then how old are you gonna be for your birthday?
unknown_female	oh er
F	er nineteen
C	nineteen yeah
D	thanks
A	de de de now who would like a small piece of cake?
H	who likes cheese?
D	mum do you want erm?
A	okay grab a plate and pass it to me
E	erm could you just erm could we just have a little bit? I'll be fine yes please
D	yeah yeah
E	and look at it on the plate
C	but er er is it?
E	that okay?
F	I don't want any
A	oh right you'll have to
F	mm?
A	try it
E	have you got full voices?
A	no
E	oh
E	hip hip hurray could could somebody just
C	you've got two cakes
E	like you do the cheese
A	that was
C	I think we're
D	okay
C	there may be not much room left for cheese in
H	it wasn't very
E	right you can have
A	do you want me to blow it out?
unknown_female	it's er
E	you're the pink one
A	oh it's both of you is it?
E	it's for both of them yes
E	cos I won't see him at his birthday there you are
E	hey
H	thank you for
C	well we have
H	thank you for remembering
C	my my grandson
E	well we've
C	er we er August is ridiculous we're bankrupt at the end of August erm because the mm mm
E	there you
C	is
E	there you are
C	and
H	ah how lovely thank you granny
C	and erm
C	and then
E	and you don't have to all eat the birthday cake
E	you can eat the other cake if you prefer
C	my my daughter
H	yeah that
C	who's on the thirteenth
unknown_female	thank you
C	the you are the thirteenth are you? fourteenth is
D	yeah
C	fifteenth is
C	erm
H	oh
C	then
H	what's this?
unknown_female	what is this?
C	is
D	oh really?
C	and then
C	both
C	birthdays
E	read the back of the packet
C	between
H	the puzzling picture
D	oh yeah
H	card game just
A	go on okay go on
H	just match the picture card to the to the description and you've made a pair
D	thank you mum
H	make the most pairs and you've won the game
E	right
H	problem is none of the pictures are what they first appear to be now
E	and and show them
H	now imagine that everyone's looking for the same picture card
H	and you'll see how crazy this game can get
D	crazy
E	if you if you
H	they say the pictures never lie
A	right now turn
H	but in this came they can mislead
A	turn it to the front
D	okay
A	okay
D	would you like some cheese
E	and show show everyone
C	no I think I think I'm going to have cake thanks
E	show everyone that's
C	I think I might
A	so do you want chocolate cake or this cake or that cake?
H	I like
C	or
H	my
H	can I have my
A	what?
unknown_female	your M is cut in half
A	is it? is it?
H	that's it
unknown_female	no
A	well
H	the other thing that is an M
H	M I L
E	sorry granny did the writing
A	oh right
A	it was just
H	is that M?
A	it's the biggest slice yeah
H	I don't mind I just want an M
E	yes if you see the picture on the front of the card right? ask everyone
H	it's an
E	pardon?
E	oh right you know that
H	I thought it was a
A	does anybody else want some chocolate cake?
unknown_female	yes well that's the thing it's what it looked like
A	does anybody else want some chocolate cake?
C	yeah I'll
A	it's er do you?
unknown_female	no
A	so and
D	three more
A	which one do you want?
C	erm er I'll I'll take the white one just just
A	okay
C	to be different
H	so
A	I'll finish the chocolate cake first just so the chocolate
A	just get another plate there right
E	yes I know it's a bit early birthday people
A	so does anybody else want chocolate cake
E	er no thank you
A	before
E	mm
C	which
D	gonna have some of the white one
C	oh right the white one
A	right you can pass that down there?
C	thank you
E	I think birthdays are wonderful Christmas is lovely but it's for everybody
C	that one looks beautiful
E	yes you can have
A	there's your mum
unknown_female	her birthday's on Christmas
D	do you want a cake mum mum do you want a cake?
E	no I don't want any thank you
C	which is but well I
unknown_female	her birthday is the twenty-fourth of December
C	twenty-fourth my
E	twenty-fourth yes
C	my my nephew
E	mm
C	is also the twenty-fourth
A	at ten past eleven at night
C	but I have
E	and that is really that's er I mean
E	erm
A	doesn't happen to her
C	my grandson
C	my grandson's my grandson's partner erm he's coming up to twenty-eight this year or next year er her
E	no she won't know darling tell her
C	the twenty-ninth of February
A	oh
C	and erm
E	but do you like having a Christmas Eve
D	she must be very young
E	as your birthday?
unknown_female	it's okay
E	it's okay you it's you you've never known any different all your life you've always had the same birthday and er
A	does anybody want more cake cos I'm gonna leave it there?
E	I don't want any more cake
H	okay that is an amazing card
H	I tell you what
A	and there's eyes inside
H	and it's toast
unknown_female	and it's toast
H	to
A	let me see
H	our wonderful clever kind and witty grandson not any any of those
A	must have gone to the wrong person
E	granny's allowed to do this
A	I know I'm just
H	with lots of love from granny and
E	yeah but the other writing
H	hope your birthday is the best there's ever
E	beans
H	beans
A	when's your birthday? the thirteenth?
H	yes the thirteenth
A	okay so it means you can now go
E	oh yes his thirteenth on the thirteenth oh my goodness me you're thirteen on the thirteenth
A	is it a Friday? oh just missed the devil
H	it's not a Friday I know it's a Thursday I even knew it about a month ago I looked it up
A	well erm okay so we'll so we've got er
H	when I'm back
A	yes
E	you'll have to wait until you're twenty-four
E	twenty-four on the twenty-fourth of December
A	mm
E	but what what number is yours?
unknown_female	no you happened on the ninth
E	the ninth oh right
H	so am I gonna celebrate my birthday?
C	on which day?
E	been there done that
C	er which month? which month?
unknown_female	March
C	March?
E	erm and and
C	oh right er how many? ten days
E	what number are you?
unknown_female	seven
E	seven oh you've
C	I'm only ten days before you
E	just done you've done it as well
E	yeah
C	and something like
C	seventy years
E	yeah about
E	er
C	yeah erm
E	mm yeah
C	and
H	that's like that's like
D	oh yeah
C	and so she just missed being
D	yeah
C	and erm
H	I know but it just looks like I was just holding money like that
H	I am now
H	er
D	I like the wrapping it's pretty cool
E	oh yes yes
D	absolutely
C	I
unknown_female	mm?
C	I think I'm going to give up the idea of cheese
C	cos I
A	cos there's still a lot of cheese
D	yeah
C	well cheese as well
D	some
unknown_female	really really
unknown_female	yeah
H	now
A	does anybody want any more cake?
C	yeah I'm thinking
E	yes
C	a little bit
E	yes
A	does anyone want any?
D	I'll put some on your plate
A	if you want more cake put up your hands so I can you know
A	so I can see just
D	oh right
E	and he gets the end
E	mm
E	he's talking away to himself
A	he's arranging the
E	someone once famous once said you know I talk to myself because I'm I'm the most intelligent person I know
H	is it Kim Jong-un?
E	no I think I think it was
E	Oscar Wilde or somebody but er
H	cos it sounds like something he'd say
E	erm
