A	sort of when I'm talking I'm I'm a bit unaware of it but if there's a lull in the conversation I start thinking I've got to say something
A	I've got to say something otherwise the tape recording's going to be all empty and then I start erm
C	well what they should do on the news instead of always moaning about the negative they should there's always a story if you looked on the positive side so ah the population's dropping off this could mean this and this
A	yeah
C	and all these positives instead of going oh the schools aren't filling up there aren't enough kids this means there's gonna be too many old people and not enough young people
B	yeah but that and there is
A	but
C	I suppose it just drives me mad no wonder everyone's depressed
D	uhu
A	mm
D	it's true yeah
B	the trouble is
A	I agree
B	what you it's the that's the
A	mm
B	like you were saying about the Coca-Cola bottles
A	yeah yeah
B	erm
A	mm
B	people go back to nostalgia
A	mm
B	when they're in recession and that it's the good old times
A	yeah
B	and I've seen more of them glass bottles of Coke and I'm thinking well why have they bought that?
A	yeah yeah it's just companies capitalise on the mood of the day don't they?
B	but then
A	mm yeah
B	because I remember like erm
A	and
C	I was
A	I don't know
B	what like the rhythm you're talking about?
C	yeah
A	yeah
C	erm that
A	oh that's interesting
C	so some of the supermarkets er carefully pick their music
B	you see I quite like B and Q music
C	maybe they've
B	they
C	so carefully selected it
B	er they obviously have
A	yeah
B	because it's a maybe it's my age and my era and it's all the things that
C	yeah
B	I like and you go into other shops and it's all very young and funky
C	mm
A	mm mm
C	yeah have you have you ever been into Hollister? oh
A	Hollister is that the underwear?
C	it's like going into a disco
A	the the fashion shop?
C	yeah it's like going into a disco and it's
A	yeah I hate it it's really dark
C	really loud music
A	dark and dim lighting
C	and the smells have you there are really strong smells
B	of what?
C	erm just artificial perfumy like aerosolly type smells
A	but it's always I always find their shops the Hollister shops dark and dingy
C	it is
A	and depressing they depress me
C	yeah it's dark depressing and it absolutely stinks
A	and like
C	and it makes me feel sick
A	absolutely don't
C	and the music is really loud
A	make me want to buy anything but even if it
C	but I guess you're not the demographic they're after are you?
A	well no I'm not
C	I'm not the demographic they're after
B	what are they what sort of things do they sell sorry?
A	highly expensive fashion items really out
B	clothes or underwear?
C	it's clothes
A	clothes it's
C	yeah yeah
A	yeah
C	or everything
A	but it it it does aim at the teenage market where
C	you kind of
A	if you've got Hollister clothes then you're really cool
B	oh right
A	erm
C	yeah
B	so designer label?
A	yeah
C	so they'll sell a T shirt for like thirty quid because it says Hollister on it even though you know you could get the same one from the market for two or whatever
B	yeah
A	the the likes of
C	yeah
A	that kind of thing
C	yeah
A	yeah mm and are aren't Hollister the ones who will only have really
C	yeah
A	beautiful bodied men
C	they yeah there was erm
A	as their models and
C	apparently the CEO of Hollister said well I know he said this cos it was in the thing but erm he said he doesn't want his clothes being worn by ugly or fat people and apparently I'm not sure how true this is but they have erm representatives that go round charity shops buying all the Hollister clothes that have been given there cos they don't want them to don't want people who go to charity shops the type of people that go to charity shops aren't the kind of people they want wearing their clothes
C	so they don't want them being sold in charity
B	oh that's terrible
C	I don't know how true that one is
D	brilliant that's a good idea
C	erm
A	well it's good news for the charity shops
C	well yeah
A	they get get rid of all them go and get
A	yeah
C	they recruit people they'll
A	just recruit people off the street they'll see someone and
C	but er
A	oh I thought they approached people in the street and said would you like to would you
C	oh they do do that as well yeah
A	right
C	but also just to
B	what you've gotta be size six?
C	work in the shops
A	yeah
B	or
C	just to work in the shop you've got to look a certain way and be a certain like
A	yeah
B	terrible
A	mm
B	you wouldn't think
A	but the but you go in there and as
C	yeah it's like a cave
A	I think it's like groping around in
C	it's like a cave
A	in a big wardrobe and I can't really see what I'm doing
C	yeah
A	you know? it's horrible
C	really
B	I don't think I've ever been in one or I've even seen one
C	oh well you wouldn't want to
A	you kind of find them in places like erm
C	like Reading was there was one
A	yes and the big the the big you know erm Lakeside and
C	yeah
A	what's the new
B	Bluewater
A	yeah and the one by the Olympic stadium
C	Olympia?
A	no the new what's it called
C	is it called Olympia?
B	O2 Arena
A	no the shopping centre
D	Waterstones
D	Wester West
C	Westside
D	Brook Westlife
A	Westside West whatever yeah that big new one anyway erm
D	Daniella Westbrook
C	I don't know
D	I don't know I can't remember now
A	I can't
D	Westfield
A	Westfield is it?
D	yeah
A	it's west something anyway
D	yeah
B	and where is that?
A	it's via
A	east London
B	oh right
A	near near where the erm
D	Stratford isn't it?
A	Stratford yeah near where the Olympic stadium was and all that it's right next to the Olympic stadium because
B	be part of it
C	and it's all very expensive I presume?
A	erm well it's kind of erm it's just the
C	how you'd expect
A	that you find in these place but they're big
B	like a big Primark rather than
A	yeah
B	a little one
A	yeah
D	mm
B	Bembom Brothers
B	do you remember that
unknown_female	what?
A	Bembom Brothers
B	Bembom Brothers do you remember
unknown_female	oh yeah
B	and I made you sit on that looping star?
B	to for twelve times without getting off
C	what's Kent International? is there a Kent International Airport?
D	yeah
A	yeah there's the one at
B	no
C	well it says
A	I thought
B	yeah it's
A	no
unknown_female	there's one at
C	yeah the
unknown_female	that's the one that
B	that's
A	the
B	no RAF
unknown_female	that's RAF
A	they've closed that haven't they?
unknown_female	they've sold it off haven't they?
A	yeah erm
C	why don't we fly from
unknown_female	there's one at
A	I don't know
B	it don't go I think
A	where's
A	well that's what
C	no it said follow
A	no it's not that's
C	it said follow
C	and then they had a erm
C	yeah
A	that's
B	oh it's not international?
A	no
B	oh
C	that yeah that does that only do
B	pasties fish and chips
C	domestic flights from
unknown_female	well it's
A	no they they I think they do now they did do a flight to Le Touquet at one point but I think that got stopped but anyway there's all these big plans well it will be becoming an international airport because there's gonna be
B	people are moaning
A	opposition that it's been
C	that's good we can fly to France
A	going on for years
C	from
A	well if they fly to Bergerac it'll be brilliant but it's we'd be pretty lucky if there was a direct one
C	yeah but to Bordeaux would be good though
A	well yeah
C	yeah
A	but then you
B	well I when we went to erm Guers Guernsey and Jersey from
A	yeah
B	and it was really quick
A	I'm not sure what flights they do now where they go to from
D	no I don't know
C	I always imagine I always imagine it like erm
A	no it's bigger than that
A	but it's still only a tiny little runway and all that but they are going
B	so the RAF Manston is the international
A	yeah but Manston's closed now they've sold it
B	oh right
unknown_female	they might not have taken the signs down yet
A	may not have done
B	no like the race course
A	but of
unknown_female	I think it used to be
A	yeah I think it did
unknown_female	that's why they was keep were able to keep it open because it did do sort of
A	yeah
unknown_female	er a decent er amount of flights
B	I mean we've got
unknown_female	yeah
A	mm
B	but it goes to Spain
A	mm
B	and it's only in the summer months
A	yeah
B	but you can go to Amsterdam and then go from Amsterdam
A	mm mm
B	cos apparently that's massive their airport
A	yeah
B	go to India we're going with erm Qatar Airlines and we go to Doha and I don't think I've ever seen so many aeroplanes they were it's just absolutely massive and there's hundreds and hundreds all parked up like a
A	mm
B	great bit carpark of erm
unknown_female	planes
unknown_female	makes Heathrow look like
D	where is this?
unknown_female	Doha
B	Doha
A	we're erm
A	we were looking the other day sorry you just reminded me saying Qatar
B	yeah the
A	part of the French erm thing so anyway so we looked it up and it said yes you know they handed it back in whatever nineteen sixty or something and erm
A	there was a question saying about something or other I can't remember what the question was but and the answer was Dakar and I knew it
B	did you did you get it right?
A	yeah yeah
D	did you get it?
A	just because of that conversation I'd had with
B	was in the dark destroyer?
C	no it was Anne
A	no it was Anne
B	Anne Hegerty
A	Anne Hegerty yes
B	we'll have to watch that
A	yes don't they do a celebrity one at the weekend?
B	I've never watched that
A	yeah that's quite good
B	some of them celebrities though are so
A	thick
B	thick
A	some of them are
B	oh
A	and yet some of them
B	you know that
A	are really really really clever
B	you know that erm Embarrassing Bodies
A	yeah
B	programme? you know that one that's a doctor Pixie Lott or whatever
A	oh I like doctor Pixie
B	she was on
A	Pixie Lott is a singer
B	oh yeah no what's her name?
B	doctor Pixie
A	erm doctor Pixie I don't know her surname she's just always called doctor Pixie isn't she?
B	I can't think what her surname is
A	who's the one the older one with the very short hair? is that doctor
B	yeah
unknown_female	with the
A	yeah yeah
unknown_female	short and stumpy nose
A	yeah
B	yeah
A	yeah
B	and she's quite liney
A	yeah
B	erm she was on I don't think it was The Chase I think it was something like Millionaire or I can't remember now
A	Pointless? or
B	yeah Pointless and she
A	yeah
B	was as thick
A	really?
B	as anything yeah
A	but she can't be thick if she's a doctor she must have just lacked general knowledge
B	yeah
A	yeah
B	but she come across as thick
A	yeah yeah
B	cos you can be the most intelligent person in the world and have no common sense
A	but
B	have you?
C	I had an audition once but I didn't get through so I've applied again
A	if she gets on it I'll let you know
B	yes do
A	the the day
A	and you can record it
B	and shout the answers to you
C	I won't hear you though
B	no but we can still try
A	and she won't even be doing it at that time
B	no
A	she'll have done it we'll have known whether she won or not
C	you'll know yeah you'll
B	are you gonna go for the low offer if you
B	get go on it?
A	don't
B	you dare
A	don't you dare because
B	you can't come home
A	we yeah
C	I'll probably just stick with the middle
A	you know how we hate people who go for the low
C	okay
B	the low offer
A	yeah well it depends how much is in the you know if you're playing a number four and you've got like a thousand pounds in the pot you may as well go for the big one
C	yeah
C	well no cos then if you if you get through you get a share of what everyone else has won
A	well what I'm saying if if there's if the one share is like
C	oh yeah yeah yeah
A	mm
C	no that would panic me
A	absolute panic I cannot think under pressure
B	erm I'm not really sure
A	yeah
B	er
A	pass
B	when I was at work the other day this man wanted to book in and er he was like trying to justify his attendance
A	mm
B	and er I said to him what his name was and that was fine and she said er and he's like rattling on about why he's been there and why he's come in and whatever and she went and what's your name please sir? and when's your date of birth? he went erm
B	comes natural
A	well what about
A	I was out
C	oh it was disgusting
A	and
B	no
A	she nearly passed
C	it was disgusting it
A	anyway when they got
C	was really deep
A	outside to the car they realised that I had one car and the other car was at the garage
B	oh
D	never read the packet
A	look at what's on the box
A	he didn't even know the name of his insulin and I didn't either because
B	it's Insulatard
C	well yeah but he's a he's a grown man you don't need to
A	no it's Novomix 30 oh
