A	is that is that is that left over from Crimbo?
B	no it's a whole bottle oh select
A	did you get a
C	wait didn't wait
B	I got it for my birthday
C	I thought
B	no we drank me and
C	oh yeah
A	but you got that's the
C	oh that night that night I remember that night
B	yeah basically you need this
B	yeah you guys should come to Transylvania
A	when are you going exactly? we're going to Paris in March
B	I dunno I think it's the twentieth or something
C	ah Paris Paris is well boring what are you gonna do there?
B	it's the twentieth and twenty-first or something well it's
C	what are you gonna do there?
D	erm go to restaurants
A	we've also been invited to Tuscany
B	yeah cool if you wanna be real poncy and like
C	a stranger? brilliant
A	well like some they're like come and try like the villa
B	if you want aubergines and olive oil
D	she has to blog
C	a stranger invited you to come and try
D	she has to blog about it she has to blog about it
A	I don't even have a blog not really
B	why don't you blog about Transylvania?
C	you have to blog about a stranger asked you to blog about?
B	Australia? Australia ask you
A	Australia
D	have a barbecue?
A	I am gonna go fucking mental
B	me too
B	I'm gonna I'm gonna cut sick
A	from the
B	yeah I'm gonna go berko definitely going berko tomorrow
A	you're gonna get a burka?
B	I'm gonna go berko
A	I'm gonna dress in a burka and
B	I'm gonna dress in a burka and fucking
B	yeah
C	that sounds really scary
D	what's berko?
A	berko?
D	what's that?
C	oh I've spilt water
B	berko is like berserk in Australian
B	berko
A	lovo?
B	lovo
C	lovo
B	yeah
C	lovo
B	what are you doing? what are you
A	I've never heard that
C	what are you doing you lovo?
B	oh it's like
A	oh it's like you say it to someone? er you don't say it about yourself?
C	yeah no no
B	no no you say it to someone it's like you're such a lovo
A	what are your favourite Australianisms? top
B	lovo povo
C	povo is pretty special
B	fucking povo
A	pashing is funny
B	pashing's good pashing's
C	pashing is great
D	yeah I know that one
A	oh did you see did you see
C	it's so gross though that even
C	it just really is
A	pashing
D	it's not as gross as snogging
B	snogging is the worst
C	snogging is disgusting
A	snogging is funny man I love telling people they're snogging
B	do you want some wine? right who wants what drink?
A	I've got wine
D	I've got wine as well
A	got wine
D	maybe in er after
C	can I have wine in a glass?
D	afterwards
C	in a tick
A	er there's ice in the freezer from
B	the ticker
C	for the wine? mm
A	my favourite Australian is when they go cracker shits
B	cracker shits is really good
C	ah cracker shits
A	or once my friend said
A	chockers is
B	yeah
A	I say that though
D	yeah that's normal
B	no no no chockers for eating too much like if someone's like do you want dessert it's like no I'm chockers
A	yeah
A	oh oh okay
B	but it has to be in like
A	actually I've never said it about eating
B	yeah
A	never never
B	no chockers is like yeah
A	chock-a-block
B	chock-a-block
C	more like a full box or something
B	that's chockers
A	like if er you if you get the Tube you use that that was chockers
B	yeah
B	no it has to be like I'm chockers
C	can you take this glass of water away from me before I spill it
B	before I drink too much
C	mm just spills just spills everywhere alright well
A	hange is very funny
C	what about?
B	hange?
A	hange yeah and but putting but at like at random
B	yeah but
C	what? hang on what? sorry?
B	yeah
A	if you have a sentence where you're like but I didn't enjoy it then they can go Australians can go I didn't enjoy it but
B	yeah
A	I'm like er but at first I was like
C	sorry
A	what?
C	I've never even heard that before in my life
B	it's like ending a sentence with hey question mark it's like
A	they do it all the time?
C	that makes sense to me but
B	it's like
C	saying but at the end of
D	yeah I like it in
B	still
D	yeah
C	that makes a lot more sense to me than but
C	I've never heard anyone say it
B	going to the shops still
C	still
B	or there's there's hey at the end of
D	also it's spelt S T Y L L
B	it's like hey yeah
A	yeah
B	I I went round to
A	yeah ah it's so funny man
B	yeah I might go there later hey
A	hey hey
C	okay I'm sure there are some more
B	yeah cracked the sads yeah
C	mm
A	the sads
B	you
C	crack the sads is pretty like fucking low man
B	yeah
A	yeah cracking the sads not good
C	that's really low
A	I mean not not what you wanna be doing
B	ones is that is that Australian or do British use that too? like
A	what?
B	like what are you doing tonight? oh girlfriend ones
C	what?
D	what?
A	no I've never heard that
D	say that again
C	what is that?
A	never heard that on either continent
B	er so it's like people ones to categorise something so it's like
B	what are you doing later? it's like girlfriend ones
D	what?
C	ah
A	girlfriend ones?
B	yeah also like
A	like your first girlfriend?
B	no
B	like erm
C	these ones
A	er so now I'm doing girlfriend three
C	these
B	yeah
C	these ones
B	yeah yeah
C	yeah girlfriend three
A	three's a crowd
A	no no
C	not grade ones
B	girlfriend one
B	no it's just like erm for instance say like
B	there's this there's this do you know the band
A	no
B	quite a sad singer but he's
A	and what and what what that mean?
B	means like staying home alone
A	like
B	just like go to bed
C	did you just just make that up?
A	you mean like
B	stuff yeah ones that's what I said
C	ones but in a solitary way?
D	no I know what he means
A	only when it's
C	ah
B	if it's
A	if it's
B	but if it's girlfriend ones it's you and your girlfriend obviously otherwise
A	well
B	wouldn't be girlfriend ones would it?
B	think about your first girlfriend yeah
C	imagining your first girlfriend
B	no no
A	tinny's pretty funny but it's well known bottlo
B	bottlo's always good isn't it? salvos
A	salvo
C	salvo
A	opshop short for opportunity shop lol
B	opshop
A	you might get an opportunity to buy something at a reduced price
B	yeah
C	what about?
B	there's a pretty good erm appendix of terms of what is
A	oh yeah? is that like?
B	yeah
A	what's that? like erm travel guide?
A	Tripadvisor
B	there's some pretty funny stuff in it
C	but you can't think of any er any others?
B	course I can
A	the dunny
D	what's that?
A	toilet
D	the Danny?
B	dunny
A	dunny
B	dunny
C	oh the dunny
A	the dunny
C	what else? come on
B	nah just like er most of them are British point Percy at the porcelain
C	dude that is not British
C	point Percy at the porcelain
D	what does that mean? point Percy in the pig on?
C	at the
C	point Percy at the porcelain
A	er
A	Percy eh?
C	point Percy at the porcelain
B	porcelain's
C	who says porcelain? what the fuck?
C	that's amazing
C	yeah usually
A	on behalf of his nation
D	point Percy at the porcelain
C	Percy
B	mm
C	he's like yeah that's British
A	that's just classic British
C	no Brit no Brit in their right mind would say that
A	erm
C	come on give us a few
B	no I haven't er no that's not the thing I'm that
C	come on we're ready we're ready
B	I'm not that interested in those
C	why not?
A	it's more like the weird like
B	they're quite vulgar and like it's
C	yeah
B	more about the single er like abbreviations or
A	I like it I like I like the fact that as a nation they have opted to shorten everything or make everything sound lolz
B	yeah
A	I'm for it
C	yeah me too
B	mm
C	that's why it's still funny for us
B	no I think it's funny course I think it's funny
A	the but the but thing is one of my faves I was like
A	what can you do that with any word? or I mean
A	you could just put but at the end if you want or you could put it in
A	why not try both?
C	I I've never heard that that's pretty special
B	yeah
A	but
B	yeah
A	which I never got to the bottom of
A	yeah but that doesn't make sense
C	I thought it was small is spots
B	it does
A	no it doesn't
B	no I don't know about that
C	oh
C	yeah
A	smaller
C	spots or
B	yeah no I dunno
A	I was like when I first I was like
A	I am large
D	you're large
C	tonight I'm
D	is that when you were on holiday with
C	don't worry I'm I'm large tonight
B	we had this there was a group of like
D	what's not too's?
B	like not too bad like
A	not too's?
B	not too ah that's not toos
A	no
B	I dunno like rathers was good so if something's good it's rathers
D	rahs?
C	what?
B	rathers
D	rathers?
B	yeah
D	like rather good?
B	yeah
A	rathers
C	no English person would ever be able to say that and not look like a twat
C	for sure
A	cos it sounds posh rather
