A	there you go
B	so what is your second book about then?
A	yeah
B	yes
A	it has a very unexciting title because it's erm
B	oh right
A	so
A	going away from from them just being prepositions
B	yeah
A	or whether it's in literature
B	okay right how was the first book
A	well so far I've made something eighty-five pounds in total but
B	eighty-five pounds? oh that's
A	but that's that's what you expect you you you're glad that it's out there
B	have you have you taken anything for?
A	but it's it it means it means
B	two hundred thirty?
A	yeah
B	yeah
A	erm
B	which publisher was it responsible for it was it?
A	it's Palgrave Macmillan
B	yeah
A	it's
B	okay
A	and we've got we've got just a
B	yeah yeah
A	so but yeah that's that's that's just the kind of
B	mm
A	so
B	I think well it hopefully it will it will be the
B	I think it's gonna be difficult to know
A	easily
A	there's there's
B	oh really?
A	so yeah it's it's
B	yeah
A	it's perfect isn't it?
B	it is yeah
B	but but what
A	well they're
B	yeah
A	that does the classics
B	yeah
A	the ones who read classics at university tend to be
B	oh right what about universities they do they do they?
A	yeah I mean
B	yeah
A	and erm
B	interesting really
A	I know somebody who did archaeology and he he went
B	mm yeah Coptic yeah
A	so
B	mm
A	talking about Coptic
B	mm
A	Iran
B	yeah
A	mm
B	we have erm
A	mm
B	have a
A	mm
B	doesn't exist neither in Farsi or
A	yeah
B	in er Arabic you know for example
A	mm
B	zhe
A	mm
B	I mean in Kurdish we don't have zhe we have zhe but er
A	mm
B	Arabic doesn't have zhe
A	mm
B	but er we don't have er the sound of
A	mm
B	but in Arabic there is the sound of er of the pronunciation of the
A	mm
B	again
A	mm
B	the er doesn't exist
A	mm
B	in Farsi
A	so is it but is it just single sounds that are different?
B	single sounds yeah
A	cos
B	yeah
A	uses
B	yeah
A	for the thur
B	yeah
A	don't know how it's pronounced
B	yeah yeah just again er in Kurdish we don't have the sound of vur
A	er mm
B	but in Arabic is vur
A	yeah
B	it's used everything everywhere and in
A	yeah
B	again they don't have the sound of vur
A	mm
B	so
A	mm
B	Farsi than
A	mm
B	entirely different but
A	yeah
B	it's easier for Kurdish people to
A	right
B	the grammar or Arabic grammar is
A	very different
B	difficult and
A	mm
B	er complicated
B	yeah
A	and it was
B	mm
A	guarantees
B	yeah
A	he said so that's in the Constitution however if you then go by the
B	yeah
A	they cannot explain
B	oh right
A	because what they
B	yeah
A	which makes it more difficult for them
B	yes
A	and he said it they're looking at you know they did that was his paper
B	mm
A	erm
B	why who was they?
A	he's he's very very
B	yeah
A	yeah
B	I think last week
A	mm
B	they decided that
A	mm
B	they proposed to the parliament that
A	mm
B	one of the top universities
A	mm
B	should have a Kurdish department
A	mm
B	however that's gonna be difficult because
A	mm
B	who well the education system's in Farsi
A	mm
B	you can't
A	yeah
B	you're not allowed to er
A	mm
B	like
A	yeah
