A	is
B	well because we live apart she she is doing it yeah so
A	ah right of course yeah
C	that's it
A	yeah
B	oh
C	twenty-fourth of the fourth in
D	er some of us are
A	I can't see in this light
D	how can chicken tikka masala
A	I won the raffle
D	only be four hundred and fifty calories?
A	that's what I was thinking
B	must be like
C	don't get too excited
A	it's it's quite big and especially if you go large
E	can you please tell me how every raffle you seem to go into at the minute you win but we win jack shit for the Lottery
C	perhaps you need to buy the ticket face to face
E	okay
C	must be what it is
E	can you please buy the ticket that's going to win
unknown_female	yeah
B	if it's discounted and you discount the calories as well
A	or well no that's it there he reckons if you go large and add the samosa and a large onion bhaji
D	mm
A	it's only two hundred and forty calories
C	that's and for the two extra bits of
D	it's
A	yeah
C	sweet potato which is rubbish cos a samosa cannot be two hundred calories
A	that's what I'm saying
B	no a samosa
A	well I think that sounds lovely
unknown_female	right
B	fried in some
D	well I'm having it anyway
E	I ain't looked yet
D	or do you want a samosa?
A	I'm not sure if I'm gonna have the curry
C	the flaming dragon curry I'll have that
A	yeah
C	hot chicken curry and diced chicken breast red peppers curry
B	I also think that unless that bowl of chips is huge it's not gonna be
D	yeah
B	seven hundred and ninety-six calories
D	there are some quite worrying statistics on there both ways underestimates and overestimates aren't there?
B	yeah
A	I think the chips were a big bowl
B	that was absolutely huge and like deep fried three times to bring up the calories
A	I quite like the look of that pasta
C	which one?
D	it's that one
A	oh you get a drink as well
B	the superfood pasta
D	cos that looks ostensibly like I would be able to have it
A	oh she's starting already
C	yeah
D	that that's all free food isn't it?
C	yeah
D	yeah?
C	yeah
D	so I'm gonna try it cos then if I like it I can have it every night
B	want some chicken breast in there?
A	but then
D	I might have it it's
A	do you not have your last supper and just try it next time?
B	the protein up
D	yeah
E	is that really bad to eat?
B	it stops you snacking
A	yeah it is
unknown_female	yeah
E	cos I'm just looking at that and I I can't read any of it
A	no I really struggled with it
C	it's like the Jamaica Inn but visualised
E	I can't read any of it
D	oh my god
A	it's more him with the diamond glasses
B	they had some manager's specials on as well when they have like steak and chips for six pounds
C	steak and chips is on the special?
A	right oh is it?
B	there's on the bar there were manager's specials but it think it was just steak and chips was six I think
E	right
B	and fish and chips was four
E	right
B	and there was something else but I can't remember
E	that's good
B	so if you pop down to the bar you can have a look
C	I dunno there's just the steak here
B	and it's probably not the best thing to have
A	yeah
B	how do you cremate your steak?
unknown_female	she does
B	why? you're ruining it
A	because I can't eat it any other way
B	it's like eating an old boot
D	that's what she likes isn't it?
B	absolutely ruins it
D	look I have got mine it's under the light here
A	yeah we're not under any light at all
C	right you get a choice of curry yellow basmati rice naan bread mango chicken and poppadoms
A	oh right
C	and you can have a pint of Foster's John Smith's Carlsberg or
E	that's alright Foster's will do
E	no
C	lamb rogan josh
E	no
C	chicken tikka masala
E	mm
C	chicken balti
E	mm
C	chicken jalfrezi
E	mm
C	beef madras or the flaming dragon curry
D	you said that with an Italian accent it's supposed to be Welsh
D	so how are you going to describe your accent on these recordings for your little brother?
B	er I don't know
D	it's a bit it's got a bit of erm Bath in there hasn't it? kind of Bristolly Bathy area
B	has it? I
D	yeah it has
B	well I can't really hear it myself so I don't know but
D	no you've got a bit of a
B	I know when I first moved there I definitely did but I think you kind of
D	yeah oh it's just a bit of a a lilt
B	I think I just pick it up from wherever I am
D	yeah
B	and I haven't really picked up any
D	yeah
B	mm
A	you can make your curry large by adding vegetable samosa and a large onion bhaji
E	so
C	and suffer
B	what's that?
A	it's got chicken diced
D	it's curry club's a really good deal
E	they are actually
B	so you get
C	you get all of that
C	and for another quid you get
B	a samosa and bhaji
C	a samosa and bhaji and you get a drink pint or whatever
D	yeah chicken masala
A	yeah
D	I like masala
C	six ninety-nine all in
D	if you go large I wouldn't eat the samosa
E	including the pint
A	including the pint
unknown_female	yeah
B	sold
A	that could be even lower
D	you've got to write everything down
A	how many is in
D	was it twelve?
C	it was about twelve today but there was there was more than that when we
D	yeah
A	day five and you have to get weighed?
D	yeah but
C	yeah but it's the weighting though it's the weighing's the thing though
A	mm
C	you know when somebody's going away
A	it's the motivation
E	well even if
C	well not for all the ones that put weight on tonight
E	you see if it if it's just
D	it was a hilarious
E	the weighing that you're going for you could do that within a group of friends
D	well
E	yeah?
D	and she said they're gonna buy like put two pounds in a week blah-de-blah-de-blah and week five she said something she had last time she went I had salad with salmon and green beans and six roast potatoes
A	because they're putting in two quid a a week and when they get enough they're gonna buy a
E	well that's a meal
A	a spa a spa day treatment and whoever wins the weigh-in on that night when they've got it gets that
A	so that's the incentive
C	they don't all go out for chips
D	they draw out of all the the people who lose weight their names go into a hat and the slimmer of the week's pulled out
B	yeah
A	why weren't yous in the bag?
E	it's not even that
D	cos we're newbies
C	we haven't lost any you only put your name in if you've lost weight
A	ah right
C	we're in next
B	go go hard core and dehydrate yourself for twenty-four hours before the weight-in
B	have a massive shit before you go in
D	one woman said over the two weeks of Easter she put ten pounds on she said I'm fairly sure I lost it last week and the woman said what what did you do to lose she said I got tonsillitis
B	come on
A	so what did you win?
C	what did I win? I won
A	that's exciting
C	there's only one raffle prize
E	lottery next
A	you are very lucky
C	I could have had the fruit basket
E	she is isn't she?
D	yeah
A	you could have had what?
D	yeah
C	a fruit basket
D	yes
C	and whoever
D	oh so it's harvest festival as well
C	whoever wins slimmer of the week
D	gets the bag of frigging fruit
C	gets the fruit
D	that's like being a miner isn't it
C	yeah well it's stuff you would be buying yourself
D	but if you've just gone out and got your week's fruit
A	it's just a bit extra
D	does she do a does she do a session on on advice on toilet paper for the amount of fruit we're gonna eat for like
D	sort of balm
E	whether you freeze it or just chill it or
C	that's not touched the sides
D	that doesn't
E	I've noticed
B	jesus christ
E	it's like me on Sunday
D	true
C	it's been a heavy day today
E	yes
C	oh man
D	we nearly didn't find the place
C	no I didn't I said we could if we can't find it
D	we found it though
C	there's a brand new school right next to
A	I would have just gone for pizza instead
D	not only do you have the ignominy of getting weighed but these bloody
D	first school so you're sat on bloody stupid little kids' seats so you feel even bigger
E	and make you feel your arse is bigger than ever
D	can I have one of your seats so I can put my other buttock on it
A	and it's so funny
A	oh it's so funny it's like
C	at least it wasn't the nursery ones
E	maybe that's part of the psychological side of it
C	and your knees are up
E	oh my god I'm huge I really must lose
D	she the woman who runs it is the double of
A	oh
D	younger but she's really nice and she's dead funny
A	that's just as well
D	but she did remind me of
A	cos that could have been quite scary for you
C	she's very tattooed
D	I noticed that on her foot
C	it's not just her foot
A	she's very what?
D	where else?
C	very tattooed
D	where else?
C	well she
B	god knows
C	something on Facebook
D	oh I was gonna say she didn't
C	of her of her thigh she'd had one on her thigh and it was a skull and everything
C	oh I forgot you were on here
B	imagine if
A	can't imagine
D	no
D	has she?
A	uhu she came in a sleeveless top tonight and she'd got a big
C	I've never seen it
A	yeah
D	so is that what we do when hit our goal weight are we gonna go and get a tat?
D	Slimming World forever
C	that isn't gonna
C	that isn't gonna spread
B	tattoo your weight on you couldn't you?
A	or it could be like one of those
E	I lost I lost twenty-three pounds
A	pie charts where you
E	that'd be quite good
C	I lost this bit this week
B	yeah
D	I got my thing and she went how tall are you? and I said six foot two
C	six foot
D	and so she went
C	and you said six foot six
D	six foot six and she went
A	or you could just get
D	you got a swipe card?
A	got swipe card?
D	I've got a chip and pin
E	you know what
C	oh no
E	it means chip
D	is unnecessary
unknown_female	no
unknown_female	ah
B	sweet potato and pin
C	sugar snap pea and pin
D	reach high for the stars like hidden in your soul
E	oh what a load of
C	wait until you're slimmer of the week and get a fridge magnet that's got an inspiring quote on it
D	I'm not doing that
E	what like shut the fridge door?
E	leave it
D	do you know what though?
C	step away from the biscuits fatty
D	she told me about this natty little app that there is she said have you a smartphone and you can download this app and I thought
D	so you're gonna get the app
A	she hasn't got a smartphone
B	so like the Slimming World app?
D	you're gonna get the app and I'm gonna text you
E	yeah how do I use this?
D	but people and she said that
C	dream deep
D	you're supposed to be supporting me
C	you're gonna be so sick of broad beans and carrots
B	is this the slimming club or a cult
A	yeah but then I can have a Mars Bar and a Bounty
D	well it tipped over people were clapping each other and saying
E	I'm just taking the dog out
A	me and the lads are just going for an ice cream
D	it was so funny though
C	oh no there was a recipe for super free ice cream well free ice cream
B	was it just Greek yogurt
E	how can you have free ice cream?
B	frozen with fruit with fruit in it?
C	because it's yes it's
D	yeah
C	low-fat yogurt
D	it's probably not allowed with fruit
C	low fat fromage frais or whatever
E	no sugar
C	mixed together with a sweetener
A	you see you'll be glad I got all those low fat yogurts tonight
B	yeah
D	bit louder don't think
A	actually you'll be
D	but don't forget is it I who does most of the cooking so you'll lump it cos you're like
D	don't forget
E	I was just about to say do you want all the takeaway numbers?
E	cos I've got them all
D	the woman said erm
D	milk
C	who was refreshing?
D	one girl had
E	the message?
C	I thought you were saying
B	the message
