A	is
B	she lives in
A	er no
C	here
A	okay
C	just shove me a couple of bits of chicken on there
A	she goes to
B	oh right
A	so I think he goes up to
B	well he would do if she was in
A	well no
C	mm
B	oh
A	don't slag it mum I tried
C	no I'm not I'm saying
A	okay?
C	I can't understand why it didn't
A	cos it didn't
C	you did flour egg and then
A	yes mum I did it exactly how you told me to do it
B	so what have you been up to? when did we see you last here?
A	erm
B	when did I last?
A	last weekend didn't I? yes so last weekend
B	cos you went to
A	I came er I saw
B	oh you came here yeah
C	mm
A	why did I come here?
C	oh yeah
A	was she?
A	erm yes
B	I think that's what
A	mm well erm
B	she probably loves them dearly but twenty-four seven I see er
C	no I can't believe that
A	that's
C	mm
A	erm he told me obviously that him and
B	oh
A	I think she's in denial
C	pass me another piece of chicken please
A	everybody know that Facebook erm Facebook official is the
B	oh yeah
C	I don't want a big bit I only want a little bit
A	mum stop touching it all just pick a
B	oh I'm trying
A	a bloody bit of chicken
B	I'm trying
A	for christ's sake
B	one of these Italian ones
A	I don't like tomatoes
B	you asked me what was not you your mother
A	oh
B	asked me what they tasted like
C	mm
A	yeah so what have I been doing this week? erm
B	what does that mean?
A	so
B	is he the one that's leaving? no
A	no erm
B	no
A	and he's a he's quite like a he's bear like he's not very he's not fat or anything but he's quite like a teddy bear type man and he's a bit shy but he's one of those
A	like he's one of those
C	ah
A	he's so lovely to everybody
C	so can I just say something?
B	what?
C	so was he in one of the foreign places where he said thank you
A	yeah
C	oh well you never know you might get a
A	no they're sales reps mum I wouldn't wanna be
C	oh
A	a sales rep
C	oh right
A	erm
B	who'd be a sales rep?
A	but we got free food that was good and then erm
B	mm
C	oh my god
B	yeah
A	very posh very nice three course dinner
C	did you get the quartet string quartet?
A	no but erm you know in Chocolat? you know
C	mm
A	the
C	mm
A	like a band like that performing erm obviously they weren't gypsies but you know erm and then erm yeah that was quite nice but it's gonna be quiet all week cos all the managers have been out at this sale conference so we've kind of just
C	bobbed around doing nothing
A	yeah pretty much
C	mm
A	like obviously we've got work done but we haven't we've like I've left a bit early some days and and
B	mm
A	just to avoid traffic cos the traffic's crap
C	well I've been I've been getting in at eight every day this week
A	mm
C	and
B	well you've cos you're home early
C	I did I left off at quarter past er what time did I leave? fifteen forty-five I left off today
A	mm
B	took us three hours to get round the er er er
C	yeah I went round Waitrose and then I came back here erm we got toilet rolls now thank god
A	good
C	and er
A	yeah
C	so anyway I I erm worked my hours I even took lunch hour
A	wow
C	oh and lunch half hour and guess what?
B	mm
C	I've still got nine hours overtime
B	mm
A	mm
C	I dunno she doesn't work for me at the moment
A	oh
C	she works in the with social on admin in the other department that she's
A	mm
C	yeah well
A	mm
C	so she's been off all week and erm
A	how does that make any sense? why would you be off work because your son is getting married?
C	I don't know but anyway
A	last night though I was sat opposite the head of commissioning who is about mid late
A	oh god
C	so you didn't smile and say how marvellous you were as children and your mum loved you did you?
A	nope
C	mm
A	I try to but you can't get involved with conversations about children unless you're a parent
C	no you can't
A	and then they'd be like yeah it's just so hard to understand that they come home one day from school and they just they don't care about your opinions anymore and they think that they know what they're doing and I was like
B	what's
B	oh yeah?
C	she is she is she enjoying it?
A	erm I dunno I haven't spoken to her haven't heard from her she's been busy with
B	oh good
A	who was that?
C	dunno didn't answer
B	I got a call
B	oh I've had that all day
C	have you?
A	oh mm
A	where are you going?
C	just gonna nick this
A	erm
C	oh dear
A	she still managed to go to Bestival this weekend
A	she booked Thursday Friday off because Bestival started on Thursday and is going till to Sunday
C	mm
A	and she was off half of Monday Tuesday Wednesday and then went to the festival Thursday
B	yeah
A	she's
C	yeah
B	well it's er where where how did they know she's going to a festival?
A	cos she told everybody cos she booked a holiday
B	oh right what is
A	and she booked a holiday and
B	what is Bestival?
A	it's a festival
C	I didn't think that you could take holiday directly after your sick leave without having a doctor's note
A	she did go to the doctor's apparently
C	oh
A	and she's on antibiotics
A	mm but and our new my new manager came in today her name's
C	and?
A	yeah she's fine
C	likes you does she?
A	I don't know
B	where does she came from?
A	erm she
C	uhu
A	something like that it's like a trade publisher cos she's never worked in education before but she'll be fine
C	the car broke down
B	no it didn't
A	did you hit something?
B	no
B	don't think so I might have bumped the bottom
A	yeah
B	I've been on farm tracks but it was only after the very last one all of a sudden this warning light came on as I was coming home last night so I stopped and checked the oil but there wasn't a problem with the oil
A	mm
B	and I thought that's probably a bit far
B	to risk it
A	yeah
B	but we've got to do
A	er you can take my
B	no no no no no
A	fine don't take my car
B	it should be alright I mean I assume
A	what's wrong with my car?
C	nothing's wrong with your car
B	we won't get
A	mm
C	he likes your her car but anyway no we're not taking your car
A	erm so are you gonna see?
C	the noise
A	actually I'm thinking more the bitch from the east but yeah
C	no we're not I'm not
A	how can she afford all these holidays if she always moans that she's like gonna die in or a pauper?
B	well she told me she took her thirty thousand pounds when she finished work
A	and spent it all
B	I dunno and they got seventeen thousand pounds off PPI
A	no but still fourteen erm that's only still forty-seven thousand pounds
B	it is
C	no but that's forty-seven thousand pounds
B	and how long has she been?
C	that isn't gonna generate your income in your older age
B	er well that's the problem with the pension they took the decision cos my mother could do that
A	that's a bit dangerous
B	well is it?
A	what would mum do with
B	well it's a gamble how long are you gonna live?
C	me? not very long so I'll take
A	no you two living together not
C	I'll take I'll take the money and buy you a house and then
A	I don't want you to buy me a house
C	why not? why don't you want me to buy you a house?
A	I don't want a house
C	why not?
A	I'm twenty-four years old mother
C	well
B	I've got a a sensitive
A	how oh er did you speak to
C	mm
A	she's fractured it
C	yeah I know can't do her bras up
A	I'm sorry I completely did not catch that what? can't do her
B	bras up
C	bras up
A	hashtag first world problem
C	well I just said do it get
B	I didn't understand that what did you say?
A	I said hashtag first world problem
B	oh right
C	well I said to her get
A	oh what a creep
C	he's been really really how are you my darling? you know
A	well I know she's such a twat
C	mm
B	there's something lurking under under that leaf there
A	oh it's a bug
C	I'll tell you what you
C	and he just sat there and then as I walked out he started running towards me and I thought he was gonna grab my ankle
A	and what did you do with him?
C	I left him in there
A	oh christ's sake mum I went in there earlier
A	you really need to learn to flush the toilet dad
C	I know he does I went home and there were three turds
C	floating
B	I flushed it again and you go in there and say there's some left
C	and then the bottom was all the bottom's got so much erm limescale that it's stained the limescale
A	can we not talk I'm just eating
A	erm let's just let's just not talk about dad's arse shall we?
A	oh I went to
C	mm
A	and erm she did what did she do? erm ham and then she did roasted vegetables and did chickpeas oh my god I'm like gassed for the whole night
C	chickpeas do don't they?
A	yeah
C	oh and they
A	yeah it wasn't like farty I could just like feel it in my stomach and my
B	yeah
A	I started making loads of noise
C	did you not have a fart then?
A	I did afterwards but
C	yeah you need real good farts with chickpeas
C	I'm the same with lentils
A	I have lentils they
C	if I have lentils oh my god
A	yeah
C	they go round in my stomach and then suddenly it's one massive fart
A	lovely
C	I set the the alarm this morning
A	yeah? I mean that's what I forgot my phone charger
C	yeah well
A	so
B	yeah?
A	on Sunday
B	what's your meal plan for tomorrow then? something
C	it's funny you should say that I had macaroni cheese this lunchtime at school
B	thirteen miles
C	no
B	this afternoon as well?
C	no no no no
C	no no no no
A	I was
B	it was there was a
C	no but what I'm saying is
A	no yeah
C	ever since I had the macaroni cheese I felt bloated and horrible
A	that's because you're yeah of course you would
A	no I'm gonna go I think they're gonna have like events and stuff in the centre of Newcastle tomorrow so I'm just gonna wander around and do what
B	I think so yeah
A	I'm saying that you
C	yeah have you got a crop top?
A	well what?
C	and a short skirt?
A	I actually do but I'm not wearing it mother erm
B	well
