A	say again?
B	we need our Chinese mats
A	you want the Chinese things out?
B	yes
A	okay
B	we have to
A	do you want chopsticks as well?
B	yes
C	exactly
B	and forks
A	okay well you get forks
B	and knives
A	right well hand the
B	erm
A	I can't remember now
C	ah
A	there you go there's a special mat for you and a special mat for you
C	were you asking us?
A	sorry? well we've just said it haven't we? in the car
C	yeah
A	right
B	erm we can erm we can just always look it up
A	we will look it up again another time right do you want chopsticks
C	uhu I'll get myself a knife and fork
A	er
B	oh sorry I I thought you just meant me
C	never mind
A	no
B	can I have some water in my cup?
A	you can have some water
B	thank you
A	no let's not have some singing
A	right
A	chopsticks for you
B	I did the chopstick challenge mum so I get it
A	what's the
B	it's where you need to get some pots and get some gummy bears or like some candy which are like erm like reasonably large
A	okay
B	and then you need to get some chopsticks
A	uhu
B	and then you use the chopsticks to get it up and put it in the pot and you get to eat it its contents
A	ah
B	now where's the chicken balls?
C	ah ha
A	er
C	hey mum I think this is a suitable chopstick challenge
A	I agree
B	these aren't from breakfast
A	sorry?
B	these aren't from
C	they're not from breakfast
A	these plates
B	no
C	yeah we just
A	did you just get them out?
B	yeah
C	yeah we got them from there
A	from where? in the cupboard?
C	yeah
A	alright erm
B	how many are there left?
A	oh my goodness
C	now I've lost my appetite
A	why?
C	cos you said that we were eating off the plates we had from
A	but then but you said no so
B	imagine being warm and eating that
C	can I actually have one of those plates?
A	you're fine if that's where you got them from if you got them from a cupboard there's no problem
C	or there could be there could be
A	you don't want the sweet and sour sauce do you? cos you don't like it
C	why did it not
A	I really would like you to take erm to go to the founding hospital that I went to over the weekend
B	can I erm
A	do you want me to pass do you want to pass your plate
B	can I get some more?
A	no
C	erm no
A	oh you've got one more day
C	yeah we're going to practice quite a lot though
C	we're going to practice quite a lot tomorrow
A	okay what kind of for more than you would do?
C	well we don't really practice that much
A	mm
C	so we didn't have time to practice that day
A	I know you've had a lot on this
C	cos we've been practicing with our song
A	a lot on this half-term haven't you?
C	and then we also had our
A	your film yeah
C	which took a
A	mm
C	and we are also practicing our song
A	mm
C	so we're practiced
A	okay
A	not
A	but your dragon picture was lovely both of you
C	thank you
A	no
C	that was my other one but it's not very good
A	and you used erm
C	it looks rubbish
A	the Chris d'Lacey book as a basis?
C	no
A	that was just all you?
C	yeah
A	oh that's good
C	I decided it was too hard for me to copy
A	mm
C	and it wasn't really the dragon I was looking for
A	this is not the dragon you're looking for
C	yeah exactly
A	mm
C	and yellow
A	I wonder if I when I go to the supermarket tomorrow
B	Mercury Venus Earth Mars Jupiter Saturn Uranus Neptune
A	mm
B	well she just wanted us to remember
A	but why?
B	I don't know
A	when I was little we also learnt Pluto but they've got rid of that now
B	Pluto?
C	I was alive when it was
B	it was when you were born Pluto?
A	it was the thought of as a planet
C	for a while
A	when I was little
C	because I when when I was about maybe three years old I had a big erm solar system thing
A	oh you did you did have a big chart about it yeah
C	yes and there was Pluto on it
A	mm
C	although now we've discovered planet nine
A	mm
C	either that or
A	oh I don't know
C	in our solar system a ninth planet or tenth planet including Pluto which I think
A	that seems a bit mean doesn't it to?
C	yeah just take taking a planet
A	I don't know how they decided
C	out of the solar system
A	you know that it was too small and it couldn't be a planet but anyway
B	do you know what erm a pin-sized thingy of a blue planet of a blue planet erm was the same
A	a pin-sized thingy
C	had yeah I've told you this the Empire State thing
B	yeah
C	of the pin-
A	of a?
C	oh
B	what is it?
C	you know the matter of stars
B	matter of erm matter of a star weighs erm the same as three Empire States
A	three Empire State buildings
C	yeah
C	yeah
B	yeah a huge planet
C	which is a star but it's
A	it's what?
C	it's much bigger than the sun and much more powerful it's blue which means it's extremely hot
