A	what's happened?
A	what's wrong with that?
C	she she keeps laughing at me cos I every
A	yeah
C	and whenever I
D	that's why I didn't write it on Facebook
C	no
C	but erm every every time I you know had had a message
A	mm
C	but it's like
B	it was when he was reading it he was going ah
C	ah
B	ah
C	yes
D	how was New Year's Eve?
B	it was good we were up till half four
C	yeah
D	were you? who was here?
B	erm well
C	just
B	it was your
C	mum mum wanted
C	to see
D	oh right yeah
C	but it was quite funny cos
B	you know
C	mum and dad
B	his brother
C	mum and dad weren't gonna come
D	oh
C	because dad was
B	when I asked him he went
C	and she was like brilliant
B	yeah
C	and so mum
D	mm
B	around that I think
C	and they were just gonna stay for a couple of hours and then there basically we just tried to make them stay as long as
B	and
C	about what?
B	apparently
A	like what?
B	going to
C	just her
B	going to get in a
A	oh
B	it smelt fishy
D	oh
C	she just
A	did that actually happen
B	yeah
D	and what did they say were they shocked?
B	no I don't I dunno what they were I wasn't looking at them
A	mm
C	yeah
A	maybe they don't want you as a daughter in law now
C	what else? oh they were just just try to be a bit embarrassing but it was just funny
C	so everyone just er filled up my mum's glass with wine so she I've got lots of wine and then she got really drunk
B	yeah and then they
A	oh
B	they ended up staying till midnight didn't they?
C	and then went about half an hour afterwards
B	yeah
A	did you watch Big Ben?
B	yeah
C	I think so yeah put it on the think
B	but I wanna do
C	on that part of the
B	er something like that for New Year not like a party but the same kind of thing just have a few people next year because I much prefer it when than going out
B	do you?
A	well invite me next year
B	well you were going out
C	yeah we would have invited you
A	would you?
C	yes
B	er what did you say?
C	what?
B	what did you say before she came round there on the day?
C	oh yeah what's
A	oh okay
C	and
A	oh okay that's okay then
C	and I was thinking yeah fair enough
F	yeah and why didn't you invite mum?
B	I did invite mum and you
B	but she wouldn't go
D	why didn't you come?
F	oh I don't celebrate New Year
B	I invited you both ages ago
F	I don't think you did I think you
B	mum
F	deliberately so that
F	I couldn't come and your mum
B	mum?
D	erm
B	I hundred percent
D	oh
B	I hundred percent invited you both
D	did you?
C	because
D	oh you know
F	mm
B	I did didn't
D	well yeah erm yeah cos
C	I?
F	you did yeah
D	I was at work as I will do next year
B	and you said well I'm working but dad might be able to
D	I
B	dad and
D	I will be working next year as well
B	why don't you book it off?
D	I can't book it off because it's my night
B	yes so don't say I didn't invite any of you
D	well I might actually I might be able to I didn't I
F	I think you didn't did you?
D	I might be able to erm swap next year with
A	at least the year after you will be
D	no
F	that's a leap year so it won't happen next er the year after will it?
D	oh
D	yeah it will
F	if it's a leap year
A	well even if it's a leap year it will go to Saturday so you still might be working
D	yeah it will it just pushes it all forward a
B	it doesn't mean it leaps it
F	oh I thought it meant you didn't have New Year
C	yeah I thought that it meant that
C	I thought you just got on with the
F	yeah
C	normal yeah
F	yeah
A	well
A	such an idiot
D	anyway
F	mm
D	I don't get as many as I should considering how many I work
B	surely it happens to everyone there
F	yeah
D	erm
B	yeah
F	well it must be the same for everyone
D	yeah it's just that
F	it's not just you that
D	it seems worse for me cos I work er of all the night nurses I work the most amount of nights
F	right oh see
D	in a
B	oh okay
D	er in a week
F	yeah
D	so it's always worse
F	yeah
D	for me
F	yeah
B	anyway most people hate New Year's Eve don't they?
F	do they?
B	well not hate it but
F	I don't like it really
D	I quite like New Year's Eve but it just seems like it's so many years since I've actually been able to do anything
F	mm
D	on New Year's Eve
B	I like New Year's Eve it's just I hate going out for New Year's Eve
D	we had a little drink at work but and erm watched the telly and er in fact
C	god they're gonna enjoy this conversation aren't they?
C	it'll be like well
C	there's a
D	oh yeah but they don't know what I do for a living
C	a girl that doesn't know anything about
A	oh they didn't they didn't until you filled out the form
D	oh yeah
D	but they don't know who I am now
A	they might do
D	anyway
C	don't bend it
F	why do you do those dressing up at that as nurses and
F	doing that as a job do you ever do a different uniforms?
D	mm yes sometimes we dress up as erm Geisha girls
F	yeah yeah and what else do you do?
B	what?
C	police? do you ever dress up as the police?
F	police?
D	police yeah
F	yes yeah
D	often yeah
F	yeah
D	police is always a bit of a laugh
F	yeah
B	dad you're a
C	are you not gonna play?
D	oh good for you
F	oh what? please
D	oh she pisses me off
F	what what?
D	right
D	just booked a last minute deal that's it so now she wants everyone to think oh
C	do it
D	where are you going?
C	do it
D	why do people do that? if you're gonna
C	just write just write
D	yeah
C	Dignitas is good this time of year
D	no someone's written
B	what's Dignitas?
D	that's yay where are you off to? which she hasn't replied cos obviously people are waiting
C	I'm just seriously I thought that was quite a funny joke
