A	to get the strimmer working erm then obviously I'm not I'm gonna be wanting to wear my real scruffy clothes
B	right
A	because you can get oil on you and all sorts of things
B	yes
A	I've already
B	yeah it can happen
A	erm
B	oh
A	things like oil are difficult
B	yes
A	erm so
B	right
A	the milk erm is still in the fridge er there is some juice as well if you want it but otherwise I wouldn't I've held my coffee I haven't had coffee yet
B	okay alright I'll start off with some
A	erm
B	cereal of some sort
A	and oh yes what I didn't say was there's a little bowl with a few strawberries left in it in the fridge if you want to put those on your cereal they could do with using
B	oh oh well
A	I sort of
B	to what sorry?
A	to knit a sleeve
B	oh
A	erm
B	you still haven't finished the sleeve? right
A	mm
A	no once you've got what you want I'll go in there and and make the coffee but
B	wait wait sorry go again
A	I said once you've got what you want I'll go in there and make the coffee but there isn't really room for both of us at the same time
B	yeah right
A	yes erm because I've been using that almond milk
B	oh right
A	which is actually quite nice on cereal I don't know how it cooks though so I would have needed to buy some normal milk anyway because I wanted to use some in cooking
B	mm
A	erm and I don't really want to present you with a failed experiment
A	so finish those strawberries I said
B	yeah
A	no I'll start doing that putting a few strawberries on cereal in the strawberry season and then I sort of gradually realise that it's not
A	but er
B	mm
A	at which point I normally stop buying it
B	yep
A	erm so I don't know where they get their strawberries from at this time of year
B	mm
A	I know actually that the fruit from
B	mm
A	which is just beyond
B	mm
A	whereas anything more local I've gone and it if you plough your way through nettles and thistles to get at the strawberries I just think
B	no no
A	and they've got a lot of places just have strawberries and this place has got a whole range of things
B	mm mm
A	including you know peas and stuff as well erm and I particularly like raspberries they're my favourite fruit erm but their notice said
B	really?
A	which surprised me
B	mm
A	so they obviously just have a whole range of varieties
B	mm mm
A	and plant them at
B	yeah yeah
A	just manage it because it's in their interest
B	mm
A	to have it going as long as possible
B	if you can keep it the season going great
A	mm
B	great of course for them
A	true
A	erm but I've actually been over
B	mm
A	in the café I realised why this year that they've expanded the café since last year
A	slight exaggeration there but you know
A	erm
A	she she's very slow these days
A	erm and and then bought some some things from the shop cos they have stuff that they've picked in the shop as well you know
B	mm mm mm
A	erm
B	no
A	erm there are quite a lot of
B	uhu
A	but this one's in
B	right
A	just in a in a field kinda thing so I mean it's mostly lumps in the grass
B	mm
A	erm but the church is still
B	you need a vivid imagination
A	yeah erm the church is still a building albeit roofless it was used for quite a long time as a parish church
B	mm mm
A	after people had gone from the village itself
A	and presumably not continuously but but every year they'd go and do a season erm so I presume that the grass that you're seeing there now has grown over since they excavated
B	yeah
A	erm and it's a nice day out so
B	and is the history a bit known? you know was it
A	well
B	was it the plague or or did
A	no
B	or was it just economic
A	it was just it it yes er
B	was it a?
A	enclosure the initially the the you know the it was taken over by a new landlord who
B	mm mm
A	for erm sheep farming and and
B	right
A	therefore they didn't need the tenant farmers so much
B	mm mm
A	and that sort of started the decline? and then just the long slow decline I think
B	mm m
A	and it wasn't a sort of
B	mm mm okay
A	erm but because it's a free site there isn't a
B	mm mm yeah
A	but when I went to er
B	right
A	and oh yeah that was one I had this really weird experience with my car that I'd come through
B	mm mm
A	and
B	okay yeah
A	and then just beyond that was some really serious roadworks with a one way traffic light and the traffic was coming through and blocking everything so that
B	yep yep yep
A	erm and I realised also when I finally got beyond the lorry that was in front of me and could see what was happening it was it wasn't a it wasn't a traffic light it was a convoy
B	yep right yep yep yep
A	erm but I was stuck behind something big that I and so I couldn't see past this you always are in those situations
B	yeah right
A	and we were sitting for ages so I switched my engine off
B	mm mm
A	you know and I thought something was gonna fall you know I thought the engine was gonna fall on the floor through through the it was just awful
B	right
A	so I went in there and parked when I set off again nothing at all and the only thing I can think of is I had my windows open cos it was hot but actually it wasn't my engine at all it was somebody else's I was hearing
A	but it was so alarming
A	and I'm driving on thinking well I can't break down here because I'm in the middle of all this one way whatsit and
B	right right yeah
A	it would hold everybody up for hours
B	yeah right
B	yep yeah that'd be fine
A	and are you a milk in coffee person?
B	no
A	no so you're like me black no sugar
B	absolutely
A	right jolly good I'll clear that
B	oh okay
A	well they suggested doing it while you're cooking or something cos it gives you something to do which is all very well but you do move around and you do bang things on the table when you
B	so what what bread is this?
A	er that is wheat
B	oh I see
A	erm
B	uhu
A	and unhomemade blackcurrant and honey and that is quince jelly that my mum gave me that somebody that she knows makes if you see what I mean?
B	what
A	oh and the other
B	which is quince jelly? this
A	that one that's says quince jelly on the side
B	that one oh sorry
A	and that is my marmalade
B	oh
A	which I can recommend
B	I'm sure you can
A	right
B	ah
A	yes I stopped bothering to make raspberry jam because it's very easy
B	yep
A	erm but I was
B	oh I see
B	yeah yeah
A	so that was actually quite good for making jam
A	and as I say
B	pre squashed
A	pre squashed raspberries yes erm but
B	mm
A	you cannot buy even in a farm shop marmalade as nice as that I don't think
B	right
A	I mean see what you think maybe you don't agree it depends what kind of marmalade you like but
B	yeah
A	erm
B	mm that's nice marmalade
A	mm that's just Delia
B	mm yeah
A	erm
B	mm
