A	funny mum was just telling me about when you saw some English people I got two flakes in mine by the way do you want another one?
B	no
A	when you saw some English people in er in somewhere in Belgium where were you?
B	erm Antwerp
A	and you said you were from Mars
C	no I said I'm from Mars and mother's from Venus
B	no the woman said that
C	oh was it
B	no
A	it was her that had that bit yeah at least she knew what to come back with
B	mm
A	I hate it when people it's always Americans come up to us abroad and go oh I'll have to say something or give you some advice about something I'm like no
A	just cos I'm white too
B	that was that weren't far from those sex shops either
A	oh wasn't it?
B	no
A	finding their way down there too
B	I think it was a mother and daughter cos she was sort of my age and she was with an older woman
A	oh right I thought you'd say was gonna say her daughter was sort of my age
B	no and they'd come in on a erm cruise ship
A	oh yeah
B	they were doing a
A	probably then you do see like a few like package tours as well for Belgium come up on online and stuff like that
B	mm
A	I saw one the other day cos on Trainline you see it a lot and then you can go over on the Eurostar or whatever but erm there was one for the Christmas markets cos that's an expensive time of the year to go there and it it was really like five days or something was like eight hundred pounds or something
B	really?
A	mm
B	but that being everything I should imagine that'd be your meals as well I would have thought
A	I don't know maybe maybe the accommodation
B	mm
A	I thought it's just five nights and accommodation erm maybe some meals time of the year though those Christmas markets in Europe are really popular all fairytale like there are some more napkins here dad if you need them
C	no
A	well do you want a bit more Flake mum? no? ah I got the special one did I? finally had our Mr Whippy and a Flake at the beach
C	how did you how did you how did you end up with two flakes?
A	cos they gave us one
A	wasn't paying attention maybe
A	stuck one in stuck another in
B	and that it it was her that said they were supposed to have stopped at Brussels
A	oh yeah
B	but because the traffic was so bad that they didn't cos it would have took too long to have got into Brussels and they wouldn't have had had enough time then
C	that that that helped me make my mind up anyway
B	so they they erm
A	oh did it?
B	yeah so they spent two days at Antwerp instead but she said we're not at all worried she says it's lovely here
A	yeah
B	yeah
A	if you only had a couple of days
B	mm
A	how big was Bruges? it was smaller than Antwerp was it?
B	I thought so
A	mm
C	it was still big though weren't it?
B	but it was big yeah
C	huge
B	well it was smaller than Antwerp
A	mm
B	mm
C	but Antwerp you could walk up the main road
A	oh right
C	that's how the difference is if you know your way about do you remember that bit dear? along the front when we come down the steps we could have gone up then to start with
B	yeah but that was that was still a lovely long way along there
C	I know but it was still quicker than going right round like we did
C	stretch my leg out
A	oh really?
B	yeah they've got like footpath the instead of the road going up there it's made into a footpath and they drive over the footpath
C	over the footpath
A	mm
B	to go up the side roads
A	to cut to cut up the side road
B	mm
C	if you know where you're going it's so quick and easy but like me and mum we never had a bloody clue
B	no
C	there's nothing in English
A	erm I didn't know they cycled so much there
B	yeah
A	makes sense
B	in Antwerp
A	yeah
B	a lot a lot of cycles
C	thousands of bikes
A	mm I feel like there's a load here but that's cos you just don't see them that often in England
B	mm
C	yeah that'd be nothing to what's over there
A	no yeah I bet not
C	you could walk you could walk from here to that pier and there's rows of bikes on most everywhere you go
A	you'd probably quite like going to Holland actually
B	mm
A	it's even smaller they'll have flea markets and stuff as well
C	we do a left and a right
A	and they're basically bilingual
C	come out and have our own
B	yeah I do think a lot of erm
A	a lot of European countries are French Italy Spain not so much they're not quite so good at it
B	no
A	but erm Germany Holland Scandinavia in general they're all really good at English
B	our television in erm the room as well had a
A	yeah
C	yeah
A	I think that's why they get really good at it I think I I assumed they just you know had a really good education system for it which I think it's not bad but the girl the Dutch girl on my course is doing it she didn't start learning at school until she was eleven and they have English television
B	mm
A	with no subtitles
B	mm
A	and it's a part of their culture almost now like but you'll hear young people talking Dutch but then talking English and stuff like that like they they see
B	mm
A	and they have done for a long time apparently
B	yeah
A	it's
B	mm
A	when they had like the slaves and stuff like that erm and he said interestingly cos the Dutch are really good at it he said that they typically have always
B	ah
A	they would have tried talking to them in English or something else so it seems like it's just been a part of their culture for centuries so talking in other languages and whatnot and we never did that in English basically
B	yeah we're lazy with the languages
A	mm
B	terribly lazy
A	yeah
B	mm
A	and er if our jobs or whatever depended on it then maybe more people would be motivated but they don't
B	well if you go and
A	live somewhere else yeah
B	like
A	mm
B	mm
C	bloody hard them old cornets aren't they?
A	mm
C	they ain't like those original ones are they?
A	no
C	where did we buy that one and we dropped it straightaway?
B	you did
C	great big double one it was where was it? Hastings or Eastbourne?
A	no
C	somewhere down the coast huge one and it stood there like that for two seconds and whop it went on the floor
B	no it went flop
A	saw a woman do that really recently where was I?
C	Herne Bay weren't it? I think it was Herne Bay
B	no it wasn't Herne Bay
C	where we seen B Q
B	no no it wasn't Herne Bay
A	where did we watch a lady do that? we
C	there's some old antique shops down here closed weren't it do you remember where we went that time to see B Q? it was Herne Bay weren't it?
B	where we saw B Q that time was Herne Bay I don't remember any antique
C	we went round the shops but they was all closed weren't they?
B	I don't remember
A	don't remember
B	mm I don't remember antique shops in Herne Bay
C	yeah
A	when did you go to Herne Bay?
C	oh
A	where's Herne Bay again?
C	not far from
A	oh yeah yeah yeah
B	yeah I think so
A	save some money
B	and the weather'll be changing as well won't it?
C	see how it is might do one more out before Christmas somewhere local
C	and see what happens after that after Christmas
A	got a few weeks yet
C	yeah
B	that's what
A	oh yeah dad said it's a bit early isn't it?
B	well we had erm
A	yeah so what they're spending it while they've got it?
B	mm
A	before it disappears on something else
B	mm
A	what were they buying?
B	well they they've done all the kids
A	oh have they?
B	yeah
A	what
B	yeah oh and no not erm well they've done some of
A	oh yeah
A	what did they get
B	erm they got
A	mm
B	and
A	oh little building set things
B	yeah they can make a like a racing car or something
A	yeah that'll be alright won't it?
B	yeah
A	whatever really innit? it's the thought that counts
B	yeah
A	oh so we'll have
B	mm
A	he'll be getting well excited
C	there'll be
A	got
B	no I wouldn't have thought so
A	I mean she might if she comes back early enough
B	no I doubt it
A	I bet she'll be home too late
B	unless she's got a really early flight
A	pardon me
B	they got a puppy off of erm
A	oh yeah is that theirs to keep? actually the
B	but it's gonna stop at
A	oh okay he just gets the name
B	yeah
A	fair enough bet
C	can't leave one shut up indoors
A	no no yeah she's not home enough to look after a dog is she?
C	have it to look after it I'll stop that straightaway
A	oh yeah
B	it's when she said at the party last week oh did did
C	no it won't
B	she said no no no it's gonna stop at
A	yeah
C	I won't have it for a day not starting that cos then it'll be like day after day taking care of it and taking it out for walks
A	ah it'd be lovely though
C	I can think of better things to do than walk along that road and picking dog
A	mm
C	and whoever's got them let them have them but at this moment I don't want one
A	no fine
B	it's a a
A	yeah I saw him in the pictures yeah
B	her dad and erm her nan
A	oh did she?
B	yeah her nan always her nan always comes
A	oh does she?
B	yeah
A	oh
B	one that one
A	never met her
B	oh she's lovely
A	is it her mum's mum?
B	yeah four children and they've all died
A	I know how horrific
B	mm
A	how horrific
B	yeah I think so
A	they were worried really it's a bit rife in her family isn't it?
B	mm
A	must have some gene god forbid
B	yet she's so healthy her nan
A	her nan where's her dad grandad there? how old was he when he died?
B	I don't know
A	dear oh dear
