A	the thing about our lovely
B	mm
A	and as a consequence he is I mean it's a little bit frustrating sometimes
B	mm
A	so for instance I will send him a design like a Photoshop document you know with all the designs on it or I'll send him a text that needs to go on the website
B	yeah
A	you know and I'll write him an email and it's all like it's got a title saying attachment for blah blah blah
B	yeah
A	design for
B	I love it
B	no subject
A	no subject is
B	they're just er
A	basically what you need to with this
B	yes
A	I give him you know step-by-step instructions about it
B	mm
A	I would say and I'm not exaggerating nine times out of ten he asks me to send it to him again after having been completely confused he'll be like erm you know several weeks later when it actually is getting done he'll be like oh and erm I'll need the design for
B	yeah yes on such and such a date
A	on such and such a date oh I don't think no it's in my inbox yes it is in your inbox cos I sent it to you and I know that I did
B	it's sent and all that stuff yes
A	and that's problem number one and it does irritate me
B	ah
A	because I want to be doing the thing where it's like I've done that it's behind me
B	I know
A	I've crossed it off my list I've done it I've moved on
B	I know what I don't like
A	and he is never almost never on the ball and he said this to us erm kind of as a not as a way he's not apologetic at all he says I can't do things unless I'm actually working on on it at the time it's basically not worth your while
B	so sorry don't bother sending it to me I'll ask you when I need it
A	but you know really?
B	I'm not very good with with that in one way in that they send me information in three weeks' time you will need to pay these people they don't know exactly how much yes yet but this is the invoice
A	yeah
B	I need the real invoice
A	yeah don't send me the maybe
B	don't send me the maybe and then it turns out that they so I file the maybe just you know in case but I'm hoping I never have to retrieve it
A	I know yeah no
B	the thing that I didn't want to see in the first place please
A	well this is the this is problem number one and
B	he's not
A	not even criticism but like if you will say to him listen dear erm this is really annoying what I send you which I have done by the way when I send you an email with an attachment put it in a folder even if you don't do anything with the email
B	it's got a name
A	and then you'll know
B	yeah
A	that you've got the files that you need when it comes to the thing but he gets a bit upset yeah a bit defensive
B	mm I don't do that sort of thing
A	well not he knows that he does it but he refuses to be apologetic and he refuses to try and change
B	mm
A	the way that he works and that's not as cool because we've all changed the way that we work you know some some like all of us have our things like
B	mm
A	and erm full on with that side of things
B	yeah erm
A	and she offends people with her way
B	the Greek people have gone off her
