A	oh I meant to tell you I just booked my flight I was saving this for the Corpus
B	oh have we actually started?
A	yeah
B	oh okay
A	I booked my flights to the Netherlands for my first European conference
A	for a whole week
B	oh my god
B	I'm actually very jealous so which part of the Netherlands?
A	er The Hague so the bit by the sea? it's like not far from Rotterdam airport
B	oh
A	erm
B	also er just sidebar do we know who spoke first? just
A	me
B	okay
A	yeah
B	good okay that's cool
A	erm it's at the end of July and then for a week
B	mm I'm so
A	and then taking like a
B	jealous
A	the Friday off and like spending like two or three days just for fun there
B	oh that's so nice yeah
A	I'm kind of overlooking the fact that it's a astrophysics conference and I'm supposed to be getting editorial leads
B	as in you have to like
A	schmooze yeah
B	loads of yeah oh my god
A	I'm like
B	this is my like quinoa mix
A	mm
B	it's actually lazy food but my feta was going off so I thought I'd make it
A	uhu
B	and just eat it for lunches I also have like a massive batch of like a chicken like soupy noodle stuff in my fridge cos I had this craving for Wagamama's
A	oh no
B	but then like didn't erm
A	uhu
B	so I wanted to make it
A	uhu
B	and I made it turns out a made like absolutely shedloads cos when you buy it like like bags of stuff from the Asian supermarkets you get loads
A	oh yeah and you get
B	and
A	uhu
B	but I have a massive erm like casserole dish? that's just full of it and erm I'm not here this weekend and so I'm like
B	uhu
A	mm I've got a weird like egg and tomato sandwich that's not normal is it?
B	no is that a thing?
A	I wanted brown bread and this was the only brown bread
B	oh
A	sandwich
B	I'm sorry about your boring lunch we could have got a sandwich
A	mm
B	from upstairs if you wanted
A	it's fine I'm hungry but I'm not that interested in what to eat I think it's the hot weather
B	yeah I don't know I think I like food too much
A	yeah actually I think that cake just filled me up maybe that's why
B	oh it was
A	I didn't care
B	such a good cake
B	it was really good and lemony
A	mm
B	mm I wanna drink my water but I'm afraid the things will fly away
A	mm mm
B	I love cake I don't know why we don't have cake more often at
B	mm
B	for a second I forgot
A	mm
B	the first time he kind of like
A	mm
B	met any people in like an actual group that wasn't an accidental run in and erm I got we were just discussing everyone at
B	like
A	what other some other what are there some what are some other nicknames?
B	well cos we've got awkward
A	he wasn't there was he?
B	no obviously not no
A	no
B	then we have like starey slash smiley guy erm beautiful man but then there's also top man
A	mm
B	erm do you
A	mm
B	call him top man as well?
A	erm I don't think I've ever referred to him but that's that's who I know
B	but you know you know who I mean?
A	yeah
B	yeah
A	oh that's his name?
B	please tell me you've heard that story
A	I forgot about that thanks for reminding me
B	uhu
B	who else? erm
A	well of course there's tripod
B	oh tripod
B	topless
A	mm do you ever hear from him?
B	he erm
B	white because he referred to her once as the Daenerys Targaryen of books
A	I think you told me that before and I was like
B	uhu
A	oh yeah
B	I was like
A	she does look like her
B	I was like he'd be so happy
A	mm
A	mm
A	oh how low that is
B	mm my god
A	I've never done maxi
B	I would if I could pull it off
A	yeah
B	I feel like you need like a certain type of
A	mm
B	figure to do it else it just looks like a
A	why?
B	block of
A	uhu
B	I have a long skirt in
A	and did I tell you you know I was looking to move out?
B	uhu
A	but I think I've managed to negotiate a rolling contract so I'm gonna say
B	yeah I saw your Facebook post and I was like
A	yeah
B	oh
A	mm
B	this is new information
A	yeah so I'm got two people coming round on Monday to take a look
B	uhu
A	one's a
B	oh wow
A	and plays guitar
B	they sound interesting
A	yeah
B	mm
A	but
B	I've literally never met
B	oh but you know it's happening
A	oh yeah I can hear the
A	that's what I look for in a housemate
A	don't wanna waste it
B	I don't know whether I've legitimately ever had egg in a sandwich I think the concept scares me
A	like egg mayo by itself but with tomatoes?
B	mm
A	and it's like warm now
B	there's a taste in this that I can't identify which given that I made it I should be able to identify
A	uhu
B	I think it's onion but then sometimes I think it's ginger
A	mm
B	like both of those are in here but I don't know what this specific taste is
A	uhu
B	god our chat is so interesting
B	I have no idea how loud that is so I don't know what it's actually picking up
A	mm
B	I want erm
A	shall I bring it closer to us?
B	I once recorded an entire interview on my phone
A	uhu
B	erm cos I was writing for erm like a student newspaper erm and just interviewed erm my friend
A	mm
B	at the time
A	uhu
B	it was like really clear
A	oh yeah
B	croquet in fact when I went to
A	of course
B	oh god I know right I'm so glad I wasn't the only one that noticed this
A	he was like
B	yes I
A	he was
B	impression he was like
A	it was like
B	high off his face
A	yeah like just being completely
B	he like couldn't
A	egocentric and like flitting from thing to thing
B	yes
A	not taking anything in
B	yeah yeah yeah he like couldn't keep track of a thought it was so weird
A	yeah
B	when erm and like
A	was he like touching your leg did you say?
A	what brushed it? or was like
B	erm
B	it was more of a kind of just like like
B	but I was like hand
B	on my leg
B	cos at first I was just like oh yeah he seems really friendly la la la but he's
A	yeah
B	he Facebook messaged me as well
A	oh did he?
B	yeah so like I was mm er it did get to a point halfway through where I was kind of like is this that being nice to strange men thing I was
A	mm
B	warned about or is this okay?
A	did
B	I got the impression he did cos he picked up a phone call
A	yeah
B	during the set and he definitely said I love you on it
A	oh did he?
B	so like
A	uhu
B	I was just like mm maybe he's just
A	oh
B	high
A	like in one sense I kind of like that
B	yeah
A	doing random stuff but in the other sense I was like who are you?
B	yeah no I definitely like er felt quite like comfortable with him actually
A	mm
B	like apart from thinking he might be a psychopath I mean like
B	I kind of liked him cos he was really easy to chat to
A	mm uhu
B	but like
A	mm
B	he should not have been allowed to drive that home
A	yeah
B	cos even cos he'd blocked someone else in as well so even he'd have had to or someone would have had to have driven that to
A	yeah
B	but I mean given the Facebook message I assume he's alive
B	but yeah I got home and I was suddenly like shit I don't think he should have been
A	yeah what a strange guy
B	but yeah it was weird cos er like
A	mm
B	but then from everything he does he sounds like he must be older cos he sounds quite successful in his career
A	mm
B	but then he also sounds like he's just drunk and acts like he's just like high all the time
A	mm I guess
B	old career young brain
A	yeah
B	yeah
A	cos didn't he say he didn't go to uni? so I guess he's got like
B	oh did he not?
A	yeah
B	oh yeah
A	he's got a life experience instead
B	yeah
A	but
B	I think he must be like rich though
A	mm oh yeah I bet that car was like his parents' or something
B	mm
A	he was like
B	yeah
A	the bloody four-wheel drive
B	he just didn't retain information though
B	what are you doing?
B	what a crazy guy
A	and then there was that guy with the really funny laugh
B	yes the first time he did that cos he was
B	he was so lovely as well
A	and there was one point I caught
B	mm
A	cos I think his friend clearly saw I was laughing at him
B	ah
A	and I didn't wanna be mean
B	he was lovely though
