A	how the other dog went and fetched him and
B	oh it's extraordinary that that I've never
A	friendship
B	I've never seen anything quite like
A	mm
B	I opened the door he jumped up straight into the seat
C	did he?
B	he can't see at all can he?
C	no
A	oh right
C	well he got
B	I know that
B	that's the thing the sofa
C	and and we got some wood for you
B	have you?
A	that's
C	yeah
A	those doors you said you wanted it for something
C	you said you want them doors yeah well you'll see em anyway
B	oh that's what I was thinking of putting the
A	you don't want them now do you?
B	well
C	yeah
B	but I've found a solution for the winter cos I just in my I just work in my lounge
C	well yeah it's the best thing
A	yeah
C	you can do
B	erm and that that's better than trying to heat up another area isn't it?
C	well of course it is yeah
B	erm
A	no
C	that
B	so
C	you can't get two
B	mm?
C	stuff? that's not toxic the stuff you use the
B	my
C	oh I see yeah
B	she says I really should have a erm a fume cabinet that exhausts out through a tube
C	oh I see
B	erm and I could build one of those quite simply actually
C	yeah
B	so I can
A	oh
B	erm sometimes my eye used to sting a little bit but
C	no
B	every time I've done a little glass with etching on for somebody for a wedding or something they love it you know
C	yeah
A	yeah
B	I did one for
C	yeah
A	mm
B	but well they couldn't do that and I didn't know about that what they wanted so I made just a little tank glass
A	yeah
B	and that apparently is in the middle of their mantelpiece and they and they think it's wonderful
A	yeah lovely
B	but the effort required
C	oh what the
C	we don't have one
C	no
B	no I bought that's where I bought these glasses from and they were really cheap
A	yeah glasses
B	I bought I bought a sort of a quite a stack of them I've still got some up in the loft
B	yeah Ikea
C	Ikea that's the one
B	and and then but then from the point of view I just draft it out cut out get a stencil with my sign writing stuff stick it on the glass
C	yeah
B	dig out a bit smooth it on smooth it on
A	oh
B	quarter of an hour
A	mm
B	cos that's that's not been used
C	yeah
A	yeah
B	you wipe it all off erm the
A	lovely
B	it's a lovely
C	well you do you get yeah
B	mm
C	well you'd have to wear a mask yeah
B	well everyone's always thrilled whenever I do one and it's so simple
A	yeah
C	yeah
A	mm
B	erm
A	right
B	and erm
C	oh that's some kind of acid isn't it that's gotta be
B	yeah
C	an acid thing
B	yeah
A	mm
B	yeah
C	mm
B	I think it's nitric acid actually or something
