A	how's your day been today
B	yeah it's been okay
A	you did?
B	mm
A	I thought you were joking when you said that earlier
B	no no
A	is that because
B	no no we just er
A	did you?
B	mm
A	is that where we went that one time that does really big portions?
B	mm
A	who went?
B	just
A	yeah
A	yeah
B	so I guess it's just nice to catch up and talk about the future to kind of
A	mm
B	give me a bit of motivation for the next couple of weeks
A	yeah
B	mm
A	is
A	yeah
A	mm that would be so cool
B	yeah
A	yeah have you been to Florida?
B	mm
A	mm hm
B	you enjoy it?
A	yeah buzzed
B	would you go back?
A	not for the rides
A	no
B	mm
B	christ
A	mm
B	and then we had a portion of chips on the side they said do you want cheesy chips?
A	yeah
B	pure grated cheese on top hadn't melted yet melted as we were eating it
A	mm
B	you could tell that
A	that's good
B	yeah it was nice
A	really good
B	I think it's important to get out of the office cos if you're in an office all day
A	mm
B	just to
A	mm
B	you get stuck in the routine don't you?
B	get a bit of fresh hair
A	that was
B	mm
A	yeah
B	mm hm
A	that's when you think of
B	mm hm
A	when you're not sat in an office like you normally are all day every day
B	yeah
A	that's when
B	bit of inspiration
A	yeah good things come don't they?
B	I think that's like amazes
A	er no I'll have a bit of
B	shall we halve it?
A	the wrap
B	yeah it was yeah yeah
A	I think it's such er
B	must spend a bomb
A	yeah
B	mm
A	really cool yeah
B	well
A	oh definitely yeah yeah
B	all the time
B	mm hm
A	I'm on a late
B	oh buzzing so that means you get up I was
B	I was er when I pulled up
A	no
B	work at quarter past seven in the morning
A	no
B	what time?
A	I start at twelve
B	mm
A	huh?
B	it's really good yeah
B	what do you wanna do tomorrow morning then?
A	well I think my train's at
B	if it comes
A	yeah and to be fair that's not really
B	soon comes by
A	yeah
B	you'll be
A	I don't think I will no
B	someone should bring your nan
A	erm half eight quarter to nine
B	mm
A	yeah see when you put it like that it's not great is it?
B	no
B	oh okay
A	pardon?
B	are we gonna see each other?
A	yeah be nice
B	I'll probably be quite hung over on the Sunday morning so
A	oh crikey yeah
A	it'll be nice
B	I'm not that bothered about drinking though but
A	but is everybody going
B	peer pressure
A	other than
B	everyone
B	there's me
A	ah that'll be really good won't it?
A	and you're not going to anyone's house are you?
B	erm I think
B	mm hm
A	his mum and dad?
B	yes
A	which pub?
B	I'm not sure
B	in
A	not the one
B	erm
A	and the one that we went to as well?
B	that was
A	yeah
B	for
A	that's
B	mm
A	I dunno where the
B	it's it's pretty close it's down those lanes
A	right
B	yeah
A	why have you picked that one?
B	just
A	oh will dad be there?
B	mm
A	yeah I remember you saying
B	comes out with some funny stuff
A	yeah
B	it's funny cos in our in our group it's
A	yeah
B	did you know that?
A	yeah
B	so he's he's probably he must be dreading it cos he's gonna get absolutely rinsed
A	tomorrow?
B	mm even by
A	yeah?
B	mm
A	oh
B	mm
A	I remember him saying something to you once about me
B	mm hm
B	punching aren't you?
B	done alright there haven't you son?
A	it'll be cool
B	get one then
A	wouldn't be allowed to
A	mm
B	in this erm over the
A	yeah
B	and they're quite
A	yeah
B	so I dunno if that's that's my idea of getting a bike that's the sort of thing I wanna be doing
B	but I think
A	you I've only had two same as you
B	do you want some filling?
A	no
A	so what
B	he just keeps saying oh don't wanna go down there I don't wanna fall off
A	well same with you
A	oh god
B	bit of a lunatic I am aren't I?
A	here we go again
B	adrenalin junkie
A	you just need to be careful
B	bit dry these aren't they?
A	yeah cheese would be good
B	and salad
A	is
B	erm
A	huh?
B	I think so yeah I think
A	yeah
B	cos when there's a lot of us it can get quite crowded
A	yeah
B	you don't talk all at you talk in groups don't you? you end up talking to the one or two people close to or
A	yeah
B	any more than that and you start
B	dispersing off into different groups
A	yeah
B	and
A	cos he probably what?
B	he's not a big drinker so he doesn't drink pints at all so
A	no
B	I think he feels a bit intimidated on er
A	hasn't why why would but if you were if they were your proper friends then surely you wouldn't feel intimidated? like you don't drink but you just kind of drink loads because they're drinking loads that's not who you are that's why
B	intimidated is the wrong word then it's just peer pressure I guess it's it's
A	yeah
B	just being with the lads it's like a big occasion
A	yeah but I guess again
B	it's like if imagine it was one of your friend's birthday like are you coming out are you drinking? and you're like no they'd be like oh that's a bit boring isn't it?
A	mm
B	cos it's hyped up to be such a big occasion it's like come on have a pint but
A	yeah
B	which is
A	like you and
B	but we'll come in and
A	mm it's a weird
B	imagine if I said what you don't do drugs?
A	no
B	yeah I'm just saying if you don't like a drink
A	drink is just seen as more sociable isn't it?
B	but it's not good it's bad for you
A	no
B	and it's
A	yeah no I totally agree that's what I'm saying to you
B	mm
A	yeah
B	erm
A	but you don't get wrecked that's not who you are
B	I do sometimes
A	mm
B	yeah very rarely if it's like a big occasion I'll I'll drink I don't drink to get drunk
A	huh?
A	you be careful
B	also I think uni like yours
B	binge drink
A	the pub?
B	so what's your plan on Sunday?
A	yeah I was meant to call
B	what you cooking?
A	beef I think
B	beef dinner
A	mm
B	roast dinner?
A	mm
B	ooh
A	dauphinoise potatoes
B	what potatoes?
A	dauphinoise
B	nice
B	what for? to ingredients?
A	yeah for Sunday
B	is that really necessary
A	no I'm
B	well for leisure
A	oh
B	so it's like a it's a set meal plan so you'll say oh yeah
A	that's cool
B	but you know if you look at a recipe online you'd be like you need crème fraîche?
A	no
B	and the same for a bit of coriander or
A	oh
B	so this gives you the right potion for that meal
A	no waste
B	yeah
A	mm
B	erm so she's thinking of doing that
A	why? have you
B	I mean she's like
A	spoke to her?
B	no no she just liked the look of the recipe more the recipes
A	mm
B	I'm not really sure if she is or isn't to be honest
A	mm
B	she
A	oh well let her
B	mm
A	it's alright
B	was it?
A	good isn't it?
B	mm
A	from seventy-five
B	very good
A	I think
B	shall I put twenty and then just get
A	she'll lose that
B	do you reckon?
A	yeah
B	she'll wear it for a few months
A	and then lose it
B	mm
A	which is annoying
B	yeah well
A	oh yeah
B	she's going out with erm
A	yeah
B	she rang me yesterday actually
A	what's one of them?
A	yeah for him
B	and then she's like
A	what?
B	and I was like right no
A	yeah
B	some sort and she's like
A	what?
B	I thought right
A	yeah
B	and then she had someone at the door at work so she had to
A	and what did she say?
B	she put
A	it seems a bit weird
B	yeah like I
A	he yeah but he I feel like he walks a little bit all over your mum like what's what's he going out for dinner with her for?
A	like
B	she she enjoys it so
A	yeah I know but er he he now knows that she doesn't wanna be just friends she's admitted that to all of us and that just doesn't go away
B	no
A	that doesn't go away
B	no
A	and he knows that he knows that you she told you that you told me that so we all know
B	yeah
A	and I think the way that he then still takes her out for dinner cos obviously your mum's gonna say no I don't wanna speak to you to start with but then
B	yeah
A	that's what it's all about and like you're a fool
B	I think she's she obviously enjoys having him there
A	yeah
B	than not at all
A	but again I think it's really bad
B	even if it's friends
A	on his behalf then
B	yeah but if they're both enjoying it doesn't mean so what?
A	no yeah I know but I think he just walks a little bit all over your mum I don't know I don't think it's very I don't think it's very right I think
B	but at least she knows what she's getting he's been honest hasn't he?
A	I doubt he was
B	I dunno it's
A	no I know
B	I don't know the ins and outs and
A	I know but I just think that's what that's my opinion on it
B	but my mum's not exactly
A	yeah I know but when she was
B	she did get quite upset about it yeah
A	I think I dunno I just think it's
B	obviously not
A	so
B	well maybe he does maybe he's just unsure god knows
A	mm that's all a bit dodgy to me
B	he's got two young children
A	yeah
B	it there's definitely a hidden agenda there
A	yeah
B	he doesn't know anything about me
A	what why?
B	obviously my mum probably bigs me up but
A	why?
B	but remember like a few months ago he
A	yeah
A	yeah
B	ideas from him
A	weird
B	and have some
A	weird
B	it's almost like he's looking for an idea to steal or
A	weird
B	it's definitely
A	yeah babe
B	will he send some parcels that's just an excuse to come along and look at my unit
B	and see what I'm up to isn't it?
A	mm hm
B	he's a businessman at the end of the day he wants to make money he's got
A	of course
B	kids to feed and
A	yeah
B	he doesn't care about me
A	no
B	will you send a few parcels for me?
A	bad isn't it?
B	it's just
B	but you can
B	friends and you can help each other but
B	why me?
A	this isn't
B	he doesn't know anything about me
A	this isn't friends
B	I'm not a million pound businessman am I?
A	you're not friends
B	I've never met him
A	you've never ever met the guy before so why on earth does he want you to send his parcels?
B	weird
A	exactly so
B	cos it's so easy to do
A	so he can come to your warehouse
B	see what see what I'm up to
A	and so he can see what you're doing
B	reckon
A	and I think it's really bad again that he's going through your mum
B	yeah
A	doesn't he know that?
B	yeah
A	so he knows that your mum's obviously gonna then ask you and try and
B	yeah
A	he knows that
B	I might just say to mum
A	and then didn't she she's bought him stuff in the past like
B	yeah she's had a printer for him and she's
A	stuff from school for him
B	apparently he helps her out just as much apparently
A	with what?
B	I dunno
A	being there as a friend? I dunno I don't like I don't know I don't
B	reckon he's just got a load of women that do a load of stuff for him?
A	I think
B	do you reckon he's got three of my mum?
A	I think
B	I don't know he got her a really nice Christmas present and he he takes her out he does
A	yeah
B	treat her well
A	yeah
B	he takes her to the cinema
A	but wouldn't he do that with the rest of them?
B	he sees them on on
A	he's a businessman hasn't he got money to buy them all a nice Christmas present?
B	I don't think yeah but
A	yeah no
B	he'd just come round and
A	I understand understand but again they're the
B	he's obviously
A	dodgy ones
B	no they're not
A	no
B	in terms of from a male speaking the dodgy ones are the ones that don't wanna take you out
A	yeah
B	just wanna get you
A	yeah
B	straight around the house
A	definitely
B	cos you know
A	yeah
B	what they want
A	yeah obviously but I think this is just seedy I think I dunno there's something not
B	I
A	right there
B	I think yeah
A	I just hope she doesn't
B	you you I I think he wants some sort of
B	it's a way in why
A	yeah
B	and you pay
A	mm
B	it's not a rocket science he knows how to send a frigging parcel
A	course he does of course he does
B	his company's turns over a few million I think
B	and he doesn't know how to send a parcel what an idiot
A	again
B	he might be able to help you out in the future
A	so that that's what he said to your mum then yeah?
B	no I dunno
A	yeah
B	who knows
A	course you would
B	if I found out your neighbour was doing something I'd do it
A	would you?
B	if I found out
A	I think that's just that's just being a human though surely everybody's got that instinct
B	yeah
B	but it's like
A	mm
B	he come to our unit
A	mm
B	a couple of months ago
A	yeah
B	they're pretty serious
A	mm
B	her
A	toilet rolls?
B	yeah imports loads and loads of toilet roll from China
A	mm
B	makes an absolute killing on it apparently like he's
B	he's got his Porsche he lives in Dubai
B	I wouldn't I wouldn't I wouldn't have any loyalty to him
A	good riddance
B	yes
A	that's alright
B	wasn't too bad was it?
A	no
B	mm
A	do you get what I mean?
B	you think he's quite a complex character do you?
A	mm
B	erm
A	can you see why I think that?
B	do you almost see him as just like a boring typical man but then he's got this sort of
A	mm
B	there's like a big twin exhaust put on he's had an air filter on and it makes it louder and faster
A	but again to me that's like the opposite to
B	yeah
A	mm
B	mm hm
A	I don't know
A	weird isn't it?
B	reckon he's he enjoys
A	yeah I reckon he enjoys it
B	I feel like I'm a very much take it or leave it so kind of guy as well though
A	mm
B	I think he just boxed out emotion and deals with things
A	yeah
B	yeah
A	mm
B	she said like wanting to
