B	no? she well she's
A	why?
B	because she's upset that she has to go back to Oz she doesn't wanna go back to Oz her
C	why does she have to go back then?
B	she can't get a visa she can't stay she's only got two years
C	well that's her problem innit?
B	well yes dad but
C	and what did she have to do to get her visa then?
B	you have to be sponsored to stay
C	who won't sponsor her?
B	her company
C	who's her company?
B	the only reason they won't sponsor her is because it's a government
A	oh
B	and because they don't know whether the government will close them down in like two years they can't sponsor her
A	can she not?
A	could she not get the job with the?
B	no she's got six months she's got over six months she's staying till June
C	what's her mother in law gotta do with it?
A	can she not get a job with a another social work company?
B	er she thinks she might not
C	what's her mother in law gotta do with it?
B	her sister in law just every time
C	yeah
B	are you coming home in six months? oh you know like
C	where do they come from?
A	so goss?
B	mm
A	two weeks ago yeah
B	not much so I went to Naples
A	she saw more willy than she does in this house
B	I did see a lot of penis
A	mm
C	perhaps they were the real size
B	no
C	perhaps they did
B	maybe they did in those days I don't know
C	you know like Dutch people have only got tall
B	what does that mean?
C	well
B	oh you mean lately not latterly?
A	yeah latterly
B	latterly?
A	mm
C	means the same thing
B	I dunno what
B	bargain isn't it? absolute bargain
C	she got in though?
B	she did yeah cos she had to pay like adult
B	not
C	oh
B	she got a reduction but she didn't get I got into
C	oh no
B	I got in things for free and she got to pay but she's the she's so stingy we went to this café
C	I know
B	near the palace
A	oh good thank god I didn't go
B	exactly erm
A	mind you I'm gonna have to do that now it'll be one coffee and one coffee and two straws
B	shut up mother
C	yeah
B	mm
C	like that all day out
B	we went to Pompeii on the Sunday
C	right
B	we didn't wanna risk missing it
B	yeah
B	mm
A	no
B	yeah
A	first of all we thought we thought we're gonna be right ripped off here girls
B	yeah
A	and
B	mm
A	all
C	you do
A	there are people in this world who are not trying to rip you off but ninety-nine percent of the people are
C	well even though even though
B	no that's what I that's what we said and I didn't wanna have a fight with an Italian
C	no there's no point fighting over two extra euros
B	no
C	yes yes
B	yeah
B	but we went to Pompeii
B	we walked around Pompeii
C	like
B	you'd expect there to be a sign saying
C	well
B	mm
C	in Morocco
B	mm
A	did he tell you
B	I don't think I
B	mm
C	this is this is
C	there's a forum
B	I can imagine her doing that actually
B	couldn't be a forum
A	well we went to this place
C	that was the day when she told you we only went on the wet day
A	anyway
B	did it rain today?
A	alright yesterday's rain overnight
B	didn't rain yesterday
A	it did overnight that's what woke me up
C	yeah it didn't rain yesterday though did it?
A	alright
C	but it isn't a thunderstorm it's
B	shut up
C	it just rained heavily
A	alright
C	just accept it fucking rained heavily
A	it was absolutely awful so we had one umbrella where's your umbrella that I packed you for Morocco?
C	we heard the story what's it gotta to do with it?
B	yeah
A	I couldn't believe
A	and she came back and she says that was really interesting
B	I know I was yeah I said to I was telling
C	but she must spend a lot of time out in the rain mustn't she?
B	when we went to the Tutankhamen thing
A	mm
B	oh yeah
C	cos if she's got talks to do she does them in the rain doesn't she?
B	the erm
C	how big is the area?
A	did you have guide book?
B	it's huge
A	didn't you buy a guide book?
B	no because they
B	they don't tell you
A	it's too late
B	you can't go back out because they've in fact they erm
C	yeah
B	but it was really good it's it's miles though we
B	it's huge
A	did you see the bodies?
B	yes mother we did see the bodies it's actually really sad
A	oh
B	erm
A	ash
B	and all the debris and that kinda like obviously it's
A	which
B	one went off in Sicily this week didn't it?
A	yeah Etna went off again
A	they are both
B	mm
A	they are both
A	well there was a volcano went off in Iceland
B	mm
A	and that's what caused and it caused the whole of Europe
B	mm
A	did you know that?
C	no
A	yeah it was the
B	dad
A	because the
A	cos the sun couldn't get through the ash clouds
C	mm
A	that's what caused massive massive and they've got traces of ash from volcanoes in Iceland right down
B	mm
A	in
B	er yeah no we wandered round they some of it wasn't open you couldn't go you there were only a few houses you could actually physically go inside and
A	mm
B	wander round
A	have the?
B	they'd
A	I should've given you my shouldn't I upstairs? it's got the map with all the houses in it and it tells you who lived there
B	oh that's great thanks mum
A	and everything
C	that's just what you need isn't it?
B	yeah
C	shit hole
B	yeah it needs a good clean
C	yeah
B	it has the potential to be really pretty
C	it is
A	did you have pizza?
C	like thin pizzas?
B	well we had
C	oh blimey
B	they do like a calzone
A	is it good?
B	oh it was amazing but we queued like an hour for it
C	oh no
B	it was really good
B	well no I think it would've been fine if the public transport was efficient but it wasn't
A	mm
B	if the
C	run down
B	and the even the museum the main museum the
C	you didn't go in a museum did you?
B	we did yeah we
C	you went you went in you went in a
B	we went in there there loads of sculptures
C	a Roman
B	yeah we saw loads of marble sculptures saw lots of penises
C	I tell you
A	good gosh
B	erm oh my god
A	for penises?
B	for porn
A	and you started it all off remember
B	lovely
C	why make it personal?
B	yeah why do that?
B	erm yeah they they're very much into their erm
C	porn
B	porn
A	so how was er work this week?
B	it was alright I worked from home
A	how did you get to work from home?
B	oh because my boss turned round to me a few weeks ago and was like
C	yeah weird that
B	yeah I want to work from home on Friday so if you want to and you have no face to face meetings I'm happy for you to do so too
A	all week?
B	no only on Friday
A	wow
B	and I sent him for some I was like just just to make sure that he knows that I'm doing something I sent him what I was doing that day
A	are you enjoying your new job?
B	yeah
A	can I just ask a question? does it mean he if he gets this job he won't be your boss any longer?
B	no
A	mm
B	so
C	do you think
B	yeah we can speak to
C	ring
B	blah blah blah blah blah
B	to go to the shop and buy them
C	with a discount?
B	yeah get fifty percent off
C	and go to the go into
B	you get fifty percent off
C	well that'd be the thing to do then so
B	yeah
C	I work for
B	mm
C	your mother brought her a plate
B	why does
C	a snowflake plate with a candle
B	oh god
A	well er
C	your mother didn't know where to go so went down down to the farmer's market in
A	mm
B	what was in the
B	mm
C	we then went to a
B	ah
C	it was halfway to France
A	Christmas market
C	Christmas market but that was also
C	erm
B	yeah
C	which was
B	where did they move it to?
C	erm
C	in
B	oh okay
A	mm
C	so
A	mm well it was in there this woman
C	there's some nice stuff
A	yeah
B	well apparently according to mum you can't spend anything now cos you two are poor
C	yeah well I went to the designer centre in
B	oh did you?
C	yeah
B	oh thanks
C	alright
B	so are you
B	I dunno I got really upset the other day I went to erm
C	to see Matilda yeah
B	it was okay it wasn't really my cup of tea but
A	mm
C	is it a musical?
B	yeah but it like and I do like
A	mm mm
B	she just there
C	no don't know the story at all
B	er there's an evil teacher called Miss Trunchbull
A	oh it's what we call our librarian Miss Trunchbull
B	but erm
A	alright?
B	and it actually worked really well
A	mm mm
B	like you know they gave him big boobs
B	but it that sounds really grotesque actually but
A	pantomime dame yeah
B	but just making him like a
A	mm mm
B	made it just er he was the best character and he played it to perfection but
C	probably have to change the kid every
B	I think they
C	yeah okay
A	mm
B	erm
B	and she kind of hasn't done what I want at all she's done a caricature of her and I didn't want a caricature of
A	mm
B	so
A	mm
B	I couldn't turn round and tell
C	I had the same when I had my
B	mm
C	the lady didn't quite do what I wanted so it's probably my fault not her fault
B	mm
C	the brief isn't good enough
B	yeah
C	so
C	okay
B	by someone different
A	mm mm
B	I don't wanna give her something that I don't actually want
A	mm
B	like I'm not paying
A	what?
B	yeah it wasn't very much at all it was like
C	oh
B	so
C	mm
B	I've had it I've asked to have it done again
A	by her?
B	no by someone else
C	she just said that
B	erm
A	does this other person know
B	no no no
A	and I'm having a
B	yeah but you've actually got to do it mum that's the problem
A	I will
C	no you don't need a day pass you just need to go round there and start
B	sixty aren't you?
C	well I have
