A	no I quit
B	you quit?
A	mm the game
B	what? mid-game?
A	yeah
B	surely that's not the aim of the game to just quit when you're having a bad game mm?
A	well no dinner was ready
B	okay
A	you wanna go higher? or?
B	no I'm good here
A	okay okay okay
B	erm can I log in as mine?
A	you know how to do it?
B	erm yeah I think so
A	yeah I had a few tabs er you've closed you've gotta load it back up
B	yeah I know I know
A	yeah I know
B	I think so
A	good
A	well
A	okay right so launch
B	I've only obviously only ever done the erm
A	tutorial
B	yeah
A	oh wasn't? was? oh okay
B	we'll soon find out
A	yeah we're definitely underscore
B	erm
A	why?
B	I just remember doing like
B	yeah
A	and then go down there?
A	to there?
B	yeah
A	wow
B	I dunno if I'm I don't think I'm ready I don't want them to get aggressive with me
A	okay erm and no one knew what it meant and one day and I mean he'd been around for years like five six years this is
B	yeah but I can't remember
A	oh this is the tutorial
A	oh we don't wanna play this but yeah okay
B	oh yeah I probably don't need to be quite this basic
A	this yeah
B	can I
A	press escape
B	yeah I know this much
B	have I have I earned any points yet? or what are they called?
A	I er influence points
B	influence points
A	oh I don't know erm at work now I've started singing
B	yes
A	and
B	I'll bet
A	erm so you know
B	yeah
A	which one was it? er definitely brilliant Mars song no no it wasn't it wasn't it was John Legend erm tut what's it called?
B	All of Me? or whatever it is
A	yeah and I'm there with like
B	bet she loves it
A	yeah
B	you were gonna tell me what did she say about the wallpaper? you started telling me
A	she was impressed
B	yeah?
A	she was impressed oh how did you do the radiator? I took it off she was like you drained it and everything? and I could've gone with that story of yeah I I drained it you know
B	is this working?
A	I don't have a clue I don't think so
B	yeah
A	yeah
B	battle training?
A	mm wait there wait there wait there but you could do lots of people against the computer so you can get other people
B	okay
A	okay so do co-op versus AI erm
B	yeah that one?
A	so just so
B	match me?
A	yeah yeah and just wait a five-minute wait
B	and I imagine as well there's very few people that are playing on intro
A	yeah
A	oh so this is the normal process
B	yeah I don't think I've done this bit before
A	no no you haven't you've only done
B	yeah
A	boom boom boom boom
B	that one?
A	you've played her before but shall we do top right then just to mix it up a little bit? yeah
B	so what do I do here?
A	right okay well you don't have any runes yet cos you're level one
B	okay
A	but if you go to masteries and you click on the little pen
B	mm okay what's a mastery page?
A	but
B	okay
A	and on that on that page you can you can put it on something
B	okay
A	and each of these
B	okay
A	so oh actually yeah so if you wanna have
B	okay
B	okay
A	have erm attack speed just cos
B	okay
A	and then click save masteries
B	yeah
A	more offence or utility
B	what's utility?
A	utility is
B	oh shit I probably
A	doesn't you don't have to lock in
B	oh what's the countdown mean?
A	I dunno
B	took my Rengar
A	oh the champion below you there
B	oh yeah
A	up yeah that's a Rengar
B	oh
A	yeah erm
B	yeah
A	yeah erm playing on er UK servers should be like less than thirty
B	that's great
A	but it's
B	mm
A	these are a really slow computers actually
A	erm definitely think a laptop should've been on our list a bit higher don't you?
B	yeah but it's Christmas soon
