A	so when I upload it later and I
B	yeah
A	so and it reminds me and then I can fill in the form properly and stuff
A	go to the shop
A	do you want me to walk to the shop with you?
C	er
A	you what?
C	get showered and that first
A	what before you go to the shop?
D	oh thanks dude
A	why?
D	awesome
A	what are doing?
B	mm
C	oh
A	you're being too loud in there I'm getting you out
C	a disabled eleven?
A	I know it's disgusting innit?
B	is this a different paedophile hunter than the one that doesn't show his face?
A	no it's just his mate who helps him
C	ah fucking hell
A	ah
C	scared me to death
C	thought it were a tarantula
A	he's so cute
D	ah
A	ah
A	so cute
C	ah fuck
C	I'm gonna go ha ha
A	ah look what he's saying
C	ah my days
A	it's alright he's not gonna come near you don't worry
D	how come we have him?
A	just cos it's a it's a
A	mm
A	it's so disgusting
C	look at him
A	mm
C	my mum like shit herself the other night she woke up in the middle of the night came into my room and she's like
D	is he taking a bit of apple?
A	yeah look at him eating it
D	ah that is really cute
B	ah
C	yeah she's like oh
A	and what were it?
C	it were hamster nibbling on wire
C	turn the light on and it were just sat there like
C	like it fucking
A	oh
C	I like
A	it gets faster and faster doesn't it?
A	the longer he's out the faster he gets
D	are they taking the child away?
C	no they asked him to stay inside cos
A	there's a paedophile coming
C	there's a paedophile coming
D	he's cute but I really don't like the way he moves it's scary
A	why?
D	it's like a mouse a rat I dunno
C	I ain't convinced it's a hamster
A	he's so tiny isn't he?
C	have you ever seen him
A	yeah
C	like in his cheeks?
A	yeah
B	no I haven't
A	what do you think he's a mouse and they've just sold him as a hamster?
C	well no he ain't got a tail has he? but
A	he's gonna leg it
C	seen the camera
D	has he seen the camera?
C	dunno
D	he's got a bottle of fucking wine
A	for an eleven-year-old
C	no
C	what?
A	mm
C	yeah
B	hello little hamster
A	you can
A	oh look at his disgusting fingers
B	where are you going?
A	ah
A	he's not gonna do that then is he?
A	can you put him back
B	yeah he's got super excited hasn't he?
A	yeah
B	shit
A	we're definitely getting one
D	a hamster?
A	yeah
B	yay
A	so why don't you fucking do it then you set of cunts?
D	so the police don't like what they're doing?
C	they do and they don't so they can never they can't prosecute them for full
C	they can't do them for grooming they do them for intent for grooming because something
A	but the thing is they get put on the sex offenders register then and then people can know they're in the area
D	so disgusted that this even happens
A	oh yeah I know
C	well it was a nine-year-old girl she would have been raped there wouldn't she?
A	disabled as well
B	yeah
A	she would have been raped
B	he could have easily killed her
D	bless you
A	can you pass me
C	is that the guy that catches them?
A	mm
D	what's he saying?
A	the state of that house
A	imagine if your dad were on this or summat?
C	yeah
B	yeah oh my god
D	who is she talking about?
B	the
A	ah
D	for mainly for you though
A	what a fucking what the fuck?
C	I'm glad they don't like force him or beat him up
B	yeah
A	ah yeah
A	they stay within the law don't they?
D	if they
A	the thing is though like he is to blame for this he shouldn't be putting it on the fucking internet
D	I actually agree with her
A	yeah I do
B	mm
D	yeah but do you want that guy around her?
B	rather no dad than a paedophile dad
D	yeah same
A	yeah but the thing is if
D	yeah but it is the
B	no I'm not saying that but if I was growing up knowing that my dad was a paedophile I couldn't live with that
D	I wouldn't want
A	it's a mental illness though innit? like you can't just turn round and say like I they're gonna be the same forever or
D	no but you can turn around and say you don't want contact with your paedophile dad
A	yeah no but like they don't have that choice any more
D	sometimes you don't need to I've heard stories about mine and it's like
B	true though yeah
D	it's the people that care about you that are still there and I'm not saying he didn't care about them but
A	no I know but it's gonna fuck them kids up the fact that their dad killed
B	and they'll never get to ask why or like get closure
A	exactly they'll never get any closure they'll just get
B	yeah had it not been made so public he might not have
A	mm
D	exactly
A	well these people should get help like when you're going to prison for grooming or being a paedophile or any of that you should get psychiatrical help
B	did you watch the erm Louis Theroux programme? he does the documentaries on all the
A	yeah
B	and erm he did one in a paedophile detention centre in America at some
A	it's disgusting
B	it's like what are you teaching them? teaching them that by being a paedophile they can come here and live well for the rest of their lives
D	true
B	and be groomed to then go back into community because they got let out afterwards
A	they should get help they should
B	it's shocking
A	like there were there were a documentary once about erm these paedophiles and basically they had a problem so they got castrated
B	yeah
A	so they just castrated themselves so they never did anything or could act on it
A	mm
B	was telling me that she was erm reading a case and it was part of the evidence was like this group on Facebook and it was for people who had
A	mm
B	and it was like a closed group of people who could talk about it and like none of them ever acted on it but it was like their own like little support sort of group
C	they did that online?
B	yeah
C	why the fuck would you do that?
A	yeah
B	I I know but
A	you could create a face Facebook profile wouldn't you and just use that and be a part of that group with that
B	or just meet up in person I don't know like
A	yeah
A	no but like
B	let's go get a coffee yeah?
A	no but like
A	you can hide behind a computer screen and have a Facebook group
B	yeah no no yeah that's
A	cos it is a psychological problem
A	erm
C	the five's more powerful apparently
A	yeah
C	high more high spec
A	yeah five C's cheaper
B	is it?
A	yeah it's just plastic
B	I always thought that it was like more expensive
A	no
D	so what's the difference between five and five S?
A	erm five S? the five S has got the erm touch so you put your
D	yeah is that it?
A	that's it
C	pretty much
A	that's basically it
A	it is the
B	I I think the cameras are really good
A	yeah
B	yeah cos some of them are more like orientated around that aren't they?
A	like Windows' phones cos the
B	yeah
A	software's shit they have to give you a good camera whereas Iphones the software's fantastic so they're not bothered about cameras cos people still buy Iphones
