B	probably not right then
A	it
C	what will?
B	it would but I don't think he'll erm
A	it would be
B	yeah I don't think
A	but
A	know
B	I'll try and have a look
A	not in there or there anything
C	it's fine
A	oh of course you can
B	yeah
A	haven't they?
B	this is nice
A	mm
A	it was in the freezer
C	where do you get it from? the freezer?
A	I can't remember
B	was it a joint?
A	yeah it was a
B	right
A	cos it wouldn't've done
B	I was thinking of getting some pork
A	do you want some stuffing?
B	mm
D	not had salmon in ages
B	no I nearly did it for tea the other night
C	yeah you did
A	could've done with some more
D	oh no I did
unknown_female	mm
D	yeah
A	did you?
B	yeah we did
A	mm
D	it was weird
B	mm it weren't very nice really was it?
A	what was it?
B	it was something I bought
A	want some
B	no I'm alright thanks
D	very posh dish
A	that one?
D	yeah
A	had it a long time
A	I can't remember where it was from but I don't think it was from my grandma
E	must've got it from Claridge's
B	yeah
A	oh I might've done
B	probably
A	I just can't remember
A	there's certain things you don't wanna use ain't there?
B	mm
D	there is
A	mm
D	what did
C	thank you
A	thank you
A	fact
A	I took er
B	mm
A	and erm
D	are they
A	one pound fifty
B	no I don't think they are
A	mm
E	can I have your
A	yes
A	and erm
E	that the collie you were telling us about?
A	yeah it's gorgeous
B	that was nice
A	she always comes to me
B	how old is it?
A	well
B	it's a rescue one though isn't it?
A	yeah from
B	mm
A	mm
D	from
unknown_female	mm
A	but it seems to have settled
B	shame
A	comes up with
B	I would've thought so with a name like
A	aye well they
D	no but
C	that doesn't mean anything does it really?
A	they call it
A	I don't know
D	cheers
unknown_female	cheers
C	doesn't really mean anything that though does it?
E	cheers
C	cheers
D	we got through Christmas
B	cheers we made it
D	yeah
D	yeah it's like what choice do you
D	why not?
A	isn't it?
E	mm
D	and what does she think? that in the New Year it's just gonna disappear?
A	well
B	what? yeah
E	yeah
B	what does she want us to do?
A	mm
B	do you want another one?
E	yeah go on
A	they're all daft aren't they?
B	they say some stupid things
A	but you know he's
B	mm
A	cousin
B	yeah
A	think don't know whether it's sixty or a thousand
A	and he's paying three hundred pound
B	mm
A	I don't know
D	who?
A	her
A	yeah
D	oh really?
A	but you know I I feel awkward about it
D	mm
B	it's difficult isn't it?
A	yeah
B	mm
E	what they keeping them for though?
B	he's got everything he's still got all the clothes in the wardrobe
A	tell you what he's still got
D	when did she die?
A	when he they sold
A	oh years ago
D	that's weird
A	a bit house in
E	mm
E	mm
A	but it had
E	yeah
A	and
D	that's weird
A	it's odd
D	talk about every day
A	I know
D	your dead wife's
A	but
D	of the clothes and
A	yeah
A	mm
D	and surely it's upsetting to see them and
A	well I think so
D	no
A	there isn't any
D	you can't move on with your life can you?
A	that's what
B	why?
C	when's too soon anyway?
A	mm?
B	well exactly who makes that decision?
B	an hour or three hours
A	mm
A	no it's ridiculous isn't it?
D	she's already got
A	and mine
B	only take me five minutes
A	and mine
B	mm
A	you know what? it was like
B	bloody hell
A	mm
B	mm
A	at least they went to a decent
B	mm
A	charity shop
B	mm
A	and I couldn't've worn them
C	well you could
A	well
A	I'm sorry but
D	especially if they're good clothes and they can go to people who need them and in charity shops and things they could then
A	yeah
D	help someone else or raise money or something
A	yeah
C	people deal with things different ways don't they?
A	they do
D	they do
D	yeah but keep them's not gonna bring them back
A	no it isn't
C	no but maybe by getting rid of the clothes you feel like they're
B	betraying the person
A	mm
D	I disagree
B	I'm not saying I agree with it but
C	no
B	perhaps that's people's thought process
A	well
E	mm
D	has he?
A	mm
D	why?
A	well he doesn't want
B	he's going to Claridge's with it
E	mm
A	it's just
E	mm
A	four hundred grand
E	right
A	a long time ago cos the mother committed suicide
