A	put that between us
B	just sit down for a little while
A	yeah I will where's is that mine?
B	well don't walk round the
B	feet on the
A	I'm making tea be out here
B	oh I see you're making tea sorry
C	yeah she was going to make tea
B	oh yeah outside the wind has has really gotten my face
C	oh
B	and I I I
C	what was you doing outside?
B	what was I doing outside?
C	what for the burner?
B	yeah
C	what with the chainsaw?
B	electric chainsaw yeah
C	electric chainsaw
B	I've got the other chainsaw the Stihl but I find the electric one is a lot easier and safer I think so cos as soon as you
C	the it stops
B	it stops whereas the Stihl goes
C	could do with a log slit splitter are really good here
B	yeah
C	one of those mechanical ones
B	that's it yeah that would be nice
B	he's got one
B	yeah they cost too much
B	be handy to have but there you go
C	yeah you but you're gonna
B	that's right you only
A	alright? I'll give you that
C	thank you
A	would you like one?
B	no thank you
A	oh
B	I've got my water here
C	you've got your water
A	you looked at me as if
B	no I didn't
B	you want your glasses on
C	I don't know I don't know
B	so the kids were not very good then?
C	no I mean I had fifteen in yesterday
B	yeah?
C	that's two groups so if you take there's forty kids altogether and I had fifteen well that's
B	no
C	but er today I only had three in today
B	did you?
C	yeah
B	oh oh
C	only had three in and they you know it's like well want to get the practical out the way well er
B	yeah?
C	the other marks are made up of all the paperwork so
A	mm
C	do the paperwork and then you've got more chance of getting marks
B	I see okay
C	so
B	yeah
C	I've got some nice projects so that'll be
A	right
B	yeah
C	they've just got to pull it out in the exam paper now that's that's the erm
B	yeah?
C	finish off their kitchen
A	oh
C	cos the doors have come
B	oh I see
C	and er he'd asked if I'd got a thirty-two mil cutter and I went thirty-two mils a strange size cutter to have
B	is that to fit them bits in?
C	the hinges
B	the hinges in yeah
C	cos all the doors haven't got
A	yeah
C	holes in
B	no
C	for the hinges so
C	and I thought it can't be thirty-two
B	was it?
C	it's actually
A	right
C	thirty-five so there was twenty twenty doors in total
B	crikey
C	to do and I says you really could do with a bench drill
B	yeah
C	because we've got to pull it down and you've got to get the depth
B	you have yeah
C	you know and if you come through that face and everything I said so this was on Saturday and he went oh I'll ask I'll ask
B	yeah
C	so we we put that in the utility room put the cutter in made a jig
B	yeah?
C	to see whether the er
B	yeah
C	fitted perfectly
B	does it?
C	fitted perfectly
B	yeah
A	yeah
C	so we got this piece of wood made a jig about of it and we used that to do all the holes well I did eight yesterday I burnt my cutter out
B	you burnt your cutter out? oh god
A	oh no
C	so I burnt the cutter out
B	what sort of wood is it you're
A	oh
C	it's oak
B	oak? well it'll be really
A	oh
B	hard stuff then that would
C	yeah but
B	because oak is oak gets harder as it get older don't it
C	you know it's not it I wouldn't say it's that you know it's relatively new oak
B	is it? yeah
C	but and as you're cutting on the
B	of course yeah
C	so it shouldn't really burn it
B	no
C	cos it's I mean it's going in
A	mm
C	so I mean it
A	oh
C	so I said oh I said well I'll see if I can find another cutter
B	yeah
C	I'll get another cutter and I'll pop back tomorrow so when I went into
B	what?
A	oh
B	did you buy it?
C	I bought it yeah cos it's it was a good one I bought the Screwfix I bought the the five in a set from Screwfix?
B	yeah yeah
C	which was something like
B	yeah
C	you can see why
B	yeah
C	so we've got er we've still got twelve doors to do
B	you're done
C	I put
B	wow that was a good
A	mm
B	cutter then
A	yeah
C	so we'd put the we'd put the doors on we'd put the holes in
B	yeah
C	put the hinges on even put the knobs on as well
B	yeah?
A	oh right
C	in that in that
B	did you
C	in the
B	tell in about how much the cutter was?
C	yeah he said he'd buy it I went no I I'll as I've got one of my cutters have gone and because of what they do for
B	oh I see yeah yeah
A	mm yeah
C	it's that little bit of you know when I said I don't when I see you
B	yeah?
C	and I thought yeah okay
A	ah
C	so
A	so is this a big kitchen? cos there's loads of doors
C	it was a it was a fair sized kitchen
A	yeah
C	yeah sort of the hardest one were the drawers
B	yeah?
C	there was no template for the drawers
B	weren't there? oh dear
C	and you have to put two
B	yeah
C	that with two holes and you have to fit it and it fit puts it in and drops down
B	that's it yeah
C	no
B	yeah
A	oh
C	no template at all
A	yeah
C	yeah
A	mm
C	yeah I did that and two of the doors that came had got glass in well no they hadn't got the glass in cos there's no glass in them they've come without glass
B	have they? oh christ
A	yeah
C	so
A	mm
B	did they? yeah
A	sound nice doesn't it?
C	so it's it's it's nice it's nice
C	it's it's looking alright
A	mm
C	from a from a er I suppose a carpenter builder type thing
B	yeah
C	to
B	yeah
C	so you know so two sort of two sides
B	was it? oh crikey
C	so
A	yeah
B	yeah
C	so he said he'll invoice he'll invoice
B	yeah?
A	mm
C	the
B	oh okay
C	and er
B	oh right
C	well if you're not self-employed that's quite difficult to do innit?
B	yeah it is innit yeah
C	cos if you do put an invoice in for doing it and it goes in their books then somewhere along the lines the tax person's gonna wanna
B	yeah he he'll
C	cross reference it somewhere isn't he?
B	yeah yeah
C	so I mean dunno what I'm gonna do there so
A	mm
C	but no it was all
B	oh good
A	oh
C	all finished
A	mm
B	and they hang well?
C	they yeah they look alright
B	good
C	they look alright
B	did you have two shutting like that?
C	yeah
B	they've gotta be good
C	yeah they all worked
B	it'll be
C	I still gapped them down the middle
B	mm?
C	I still gapped down
B	yeah?
C	down the middle
B	and they don't look
A	mm
B	go like that do they?
C	no and they all they all line up but the of all that we had to do one bracket we had to elongate the hole
B	oh did you? yeah yeah
C	dunno why all the rest fitted
B	yeah
C	but this one bracket was just like
B	yeah
C	so we just
A	oh
C	elongated the hole so it dropped down a little bit further
B	yeah
C	and then it all matched it all matched in
B	oh
C	so that was alright
A	ah
C	that was alright
A	mm
B	yeah
A	B and Q are
C	B and yeah
A	closing a lot
C	there's been a
A	places
C	closed sixty shops sixty outlets
B	yeah?
A	mm
C	but they're gonna open
B	yeah
A	are they?
C	I didn't
B	yeah they own Screwfix yeah
A	oh yeah
B	and er they're part of the what used to be Woolworths group what's it called erm
C	Kingfisher
B	Kingfisher they're part of the Kingfisher group aren't they? and the whole lot are part of the Kingfisher group
A	mm
C	so they're gonna open more
B	oh right
C	like this is
B	yeah
A	yeah cos that's expanded as well hasn't it?
C	yeah
B	well we got two in
A	they do lots of
B	haven't we?
C	we've got three it think
B	three is it?
C	there's one where
B	is there?
C	mm
A	oh right
B	what just down the road there?
C	you know where Halfords is? erm
C	there's one there
B	oh there's one up there is there?
C	like there's one
B	one at
C	on
C	and there's one down by
B	er
A	mm
B	off
C	yeah
B	yeah
C	all er
B	yeah
C	so there's three in there
A	mm
B	yeah they do they have
C	except cutters
B	well
C	cutters and guttering cos you can never get match the guttering up
B	you can never match the guttering can you on there well we got
A	yeah
B	we got Screwfix guttering didn't we?
A	uhu
B	oh god
A	that was a big mistake really
B	big mistake
A	yeah
B	we got
A	shame
B	Ogee the Ogee
C	yeah
B	so yeah you can't get them any more
C	no they
A	yeah
C	change them
B	you do that's
A	yeah
B	that's the best way to do it standard guttering
C	standard
A	it's a shame when they suddenly change something though and you can't
C	yeah
A	match things up any more
C	well I wanna buy
B	do you?
C	so I'll buy one I'll buy it from there
B	there's a
A	yeah
B	god they're they're good
A	what the one from Tesco's?
B	no not that one we got one
A	oh
B	from we got a load from Tesco's or
A	right
A	he found
B	he found
A	found some in Tesco's for a
B	oh it's oh yeah
A	how much were they? five pound were they?
B	five pound and and you get all the
A	I think it's Black and Decker
C	it's just the battery then that's the problem
A	mm? the batteries yeah
C	the batteries yeah it's if
A	yeah
C	the batteries aren't that great
B	I think it's still in here
A	mm
B	and I've got
A	aren't they? oh
C	yeah they're like
B	I think I've lost it
A	mm
B	oh well
C	with the first Black and Decker
B	mm?
C	the first Black and Decker rechargeable drill that I had
A	yeah
C	you know it it's good for putting a kitchen in and stuff like that
A	yeah
C	with all the screws you've got to put in and
A	mm
C	but I wanna buy the a Dewalt
A	oh they're good aren't they? they are good
B	now you're talking money
C	mm
B	Bosch and Dewalt they're some of the best ones you can get
A	mm
B	I can't find it
C	well I I want a Dewalt one cos we we got a lightweight Dewalt at school
B	yeah they're they're lovely aren't they? yeah
C	and
B	yeah
C	and it it just felt nice
B	yeah
C	it just
B	yeah
A	mm
B	they are very good
C	if you can just watch Kwik Fit er Screwfix they
B	yeah
C	or something like that
B	yeah
C	so
B	that's where we got where did we get our no I got it from
A	yes the Ryobi
B	Ryobi
A	mm
B	that's a lovely one
A	mm
C	yeah
B	got a Ryobi but that came with B and Q batteries
A	yeah we didn't realise that
B	we didn't realise that B and Q
A	quite different the batteries
B	make them batteries as well and they they only lasted a little while didn't they?
A	yeah
C	you can
A	they
C	buy them
B	yeah I I have I bought some new batteries
A	mm
B	proper Ryobi batteries
C	and they make a difference
B	yeah they do
A	yeah
B	they last for ages
C	yeah
A	but that was quite a good deal really because you had some rechargeable drill and
A	rechargeable
B	drill and
A	and with all the
B	and screwdriver
A	and
B	yes
A	little bits as well
C	yeah
A	go with it
C	yeah you can get some
A	get
C	get some good ones
A	and the case a nice case with it
B	a nice case yeah
A	it makes a difference
C	no I
B	are they?
A	mm
C	you know and
A	mm
C	you can buy two you can buy two new batteries
B	yeah but they're about sixty quid each ain't they?
C	and I
B	it's sixty quid my batteries were what I bought
C	no I think these were thirty
A	eleven?
B	were they?
A	for two yeah
B	yeah
C	so but that would be ideal to just replace those
B	yeah
C	had a a viewing on the house yesterday
B	did you?
A	oh good
C	no I got I got home from school round about twenty-five past
B	yeah
C	and I went yeah okay
B	oh right
C	so they were looking for somewhere
B	yeah
C	they were looking at my place and at another place
A	mm
C	okay that he's got something like fifty ducks
B	have they?
A	yeah?
B	lovely
A	oh
C	and I'm thinking mm that'll be nice for the neighbours won't it?
B	no it won't
C	do I am I bothered? if I sell the house I'm not bothered am I?
B	no
A	not really no
B	well they'll probably buy some
A	they'll they'll make it alright
B	rent some land off
B	oh
C	erm but they could change that
B	uhu
A	uhu
C	cos they thought about what they could change er and they're gonna be making their mind up between yours and another one
B	oh yeah oh
A	right well that sounds good doesn't it?
B	yeah yeah
C	yeah it
A	gonna try and not keep you out of
C	I'm trying not to keep
A	mm
C	cos you know there is a part of me that really doesn't wanna go but
B	yeah
C	I know I've got to so
B	shame innit?
C	and part of me was if I'd have been able to do what I wanted to do via the pensions and things was getting
A	yeah
C	a little bit excited
B	yeah
C	about being able to do things in the house
B	yeah
A	mm
C	so
B	but
C	yeah I think it's it's the cos they went into
B	oh I see yeah
C	you know
B	they could do
C	they could do
B	if they wanted to
C	yeah
B	well what bedroom does that
A	that big one
B	join?
A	that would be massive then it?
C	yeah
A	mm cos
C	I mean you can get a double bed
A	a good size
C	in
B	yeah
A	mm
B	well if they wanted to they could make
A	yeah
B	couldn't they?
C	they could do that yeah
B	yeah
C	yeah
A	mm
C	could do that
A	yeah
C	you know?
A	mm
B	mm
C	no
B	find that really weird
C	no but they'll soon be in contact with you if
B	yeah if you're
A	mm
B	missed a couple of payments yeah that would be it wouldn't it?
C	yeah
B	yeah
A	yeah
C	they're used you know not being and they're they are supposed to be out there to help you if they can and whatever
B	well they are supposed to help you yeah
C	so
B	well at the end of the day they just want their money don't they?
C	no no
B	I mean if if you work out your mortgage you're
A	mm
B	that work out over twenty-five thirty years
C	it's a lot of money
A	mm
B	it's a lot of money
A	yeah
C	yeah
A	yeah
C	a lot of money
A	mm
B	I think three percent works about about three times more than you borrowed
C	yeah
B	which is quite a lot of money
A	I don't
B	innit?
A	mm
B	over over twenty-five years
A	yeah right
C	they make their money they you know at the end of the day they're sitting on an asset aren't they? so
B	yeah
B	them door handles can you see the no you can't see it
A	what?
B	from where you are they got
A	oh the red light?
B	red lights in them
A	oh the birds have well
B	they moved their egg out
A	the
C	they've moved the egg out?
B	yeah it's gone
A	oh you saw it didn't you?
C	oh
B	we can't but it now cos we got
C	but they
C	that one must have eaten it then
B	must have done yeah
C	cos they've been fertile so
B	probably
A	thought we cleared it out though
B	we cleared it all out yeah she like
A	mm
B	we haven't looked at it today have we?
A	no
B	we can't look at it now cos there's the recording so
C	mm
B	football in a minute
C	oh
B	didn't you know? cor where is your boy?
C	dunno really
C	no
A	mm
A	so have you got to go in again tomorrow?
C	no I've gotta take my car
A	so
C	to have the breaks done tomorrow nine o'clock
B	are you?
A	yeah
B	yeah
C	yeah
B	when's it when's it you have to go back? after Easter innit?
C	what to school?
B	yeah
C	I go back on the thirteenth
B	the thirteenth?
C	it's only two weeks
A	mm
B	two weeks is lovely
C	it's yeah two weeks is nice if you're doing something you know
B	yeah
C	I I mean I I er
B	were you?
C	haven't I? or
B	yeah yeah that's right
A	yeah
B	yeah
C	for the last
A	yeah
C	didn't go last year
B	that's right yeah
C	not going this year
A	mm
C	I mean it it was kind of you know
B	you'll have to go caravanning
A	bit strange
B	at
C	I mean it's caravanning is expensive
B	is it? oh I don't know
A	yeah did you look up caravans?
C	yeah it's just as expensive as
A	in the Lakes
C	having a cottage
B	is it?
A	yeah
C	because if you go to where there's lots of them there's amenities on site which are all part of the deal
B	yeah that's true yeah
A	mm
B	yeah
C	so
A	yeah
B	well we we went caravanning didn't we? at Hopton-on-Sea
B	yeah it was weren't it
A	never got a holiday
B	yeah that was another time
A	caravan
C	and good innit and I've
A	we took two weeks
C	two weeks?
B	two weeks we had nine quid a week
A	yeah
C	I mean I wouldn't I wouldn't mind
B	mm
C	I think I'd consider that
B	yeah
C	because you can't go in the winter
B	no you can't can you?
C	but you could go and you could go and live there
B	yeah you can
A	mm
B	the on some of these sites they stipulate that he's er he's back do you know oh
A	oh
A	this little long-tailed tit that
B	it's a little long-tailed tit
A	you know he
B	keeps smacking into the window
A	he coming to see us
B	knocking on the window oh there you are
A	several times a day he's
B	he he's there again
A	there he is again
B	and now he goes and eat
A	yeah
B	he goes down there and eat there he is look
A	I thought it was a bit late for him now
C	no it's just the right time
B	that's like he comes down ask you if he can
A	yeah
B	have
A	there he is
B	there's the other one
A	still here
C	two
A	yeah
B	yeah
A	he's lovely he is
B	it's like they ask permission
C	there's two
A	yeah
B	can hear us
A	and I'm sure he can't
B	he come and look at us I'm sure he come and look at us
A	mm
B	and say I'm now gotta eat and he just go flying off and er have his
A	yeah
B	fill down at the end and off he goes
C	there's quite a few long-tail tits around there aren't there now?
B	yeah
C	there seems to be quite
B	yeah
C	didn't see many of them although there are quite a few around
B	well they do go about in a gang
C	yeah
B	I mean most we've had hang on that er thing is ten we counted ten
A	yeah
B	but there's only been about four four
A	they're all long-tail tits aren't they?
B	yeah yeah
A	yeah mm
B	and we get great tits blue tits and hedge sparrows now the hedge sparrow or the dunnock they them but we call them hedge sparrows they get inside there
C	mm
A	had a jay on there
B	oh and a jay
A	well
B	good old jay
A	mm
B	come
A	mm starling
B	mm starling yeah well we had
A	well we had one starling mm
C	I got two jackdaws
B	have you?
A	really?
B	where are they nesting then?
C	dunno where they're nesting but they don't half
B	yeah I bet they do yeah
A	yeah
C	well they're going through the fat ball
A	quite a bit aren't they
B	we have
B	we have a this squirrel don't he he come up
A	yeah
B	and he runs up
A	he can't them now
B	and he can't get to them but he always inspect the table to see if we've put any food on the table
A	put apples on there sometimes
B	we put apples on there for the blackbirds
A	bits of bread so he does have that
B	so bread for the blackbirds cos the blackbirds
A	well fair enough
B	the blackbirds can't eat of them can they? off the
C	they can't get in
A	no
C	no we've got us a couple of magpies about oh the pheasants all sort of the pheasant goes on there as well
B	does he?
C	the pheasant goes on there
A	oh
C	too
A	gosh
C	and then just pecks at it like that and it starts to swing
A	yeah?
C	mm
A	yeah
B	they're strange things aren't they?
A	mm
C	and I got the moorhens in the garden as well
B	yeah we got moorhens
A	yeah
C	the moorhens there's quite a few moorhens about
B	yeah I don't know
A	yeah
B	what they're doing in our garden
A	yeah
C	probably cos they've been doing all that work down there
B	oh they've
A	oh
B	frightened them away haven't they? yeah
C	and they've moved all this
A	of course from the
C	cos there'd be there would have been ditches down there
B	yeah
C	and they've moved them all up
A	yeah
C	and if you've got any water in your ditch up there
B	yeah
C	cos they don't need lots of water
A	no we haven't but we've got
B	we got water in the pond
A	we got have we?
B	yeah
A	oh cos you divert it
B	yeah
A	right
B	I
A	there's a pipe goes all the way down
B	so there's a pipe
A	underground to the pump
B	that went that the original pipe
A	mm
B	and now I've joined up the water butt to it cos there's no water down there any more so I joined the water butt up to and er that's
A	yeah
B	that don't fill up very fast er that just seep in seep down
C	mm
A	mm
B	but I went down there this today and there's water in there
A	yeah I did
B	we spent ages puddling that didn't we?
A	we did
B	puddle puddle puddling all this side
A	it did work for a while
B	it worked for a little while until the worms started getting through
A	and the trees start growing in it
B	and the trees grow in it
A	and sucking all the water up
C	yeah
B	we had
A	yeah
B	but now
A	don't know where they appeared from
B	that don't
B	hold water any more
A	and the birds flying over just put a light on
C	just on the wind isn't it really?
B	yeah
A	but
B	yeah ducks
C	yeah
B	come down and they they run about in the garden
A	have you still got your ducks?
C	there's were about eight in the garden the other day
B	was there?
A	oh mm
C	before there was about two there were three males chasing this one female
B	oh my goodness yeah
A	that's lovely
C	yeah
A	innit? just to have something wandering around
C	yeah something different
A	yeah
B	well if there was eight you could afford to catch one and er have dinner
B	apparently they don't taste very nice
C	no
B	ain't he?
C	no
B	does he shoot them does he?
C	well I don't know what he does with them but he he takes them out and stuff
B	does he?
C	just had new carpets fitted
B	has he?
C	this morning
B	what the carpet man there was he?
C	the carpet man came this morning at eight o'clock
B	yeah
A	mm
C	yeah they'll be a
B	well we've had our carpets upstairs now since we built the house
A	yeah
B	and some of them have got carpet moth
A	around the edges?
C	yeah
B	all around the edges and they've
A	in the corners
B	they're
A	my fault cos I don't Hoover enough
B	well yeah I know
A	basically I think it's cos
B	you've gotta suck with that little thing all round the edges cos that's
A	and then
B	where they get
A	there's furniture in the way and they get behind there don't they?
B	they get behind the furniture you can't
C	yeah
B	you can't be moving the great whole wardrobes and
A	do you
B	beds and stuff
A	have you got carpet moths?
C	no
