A	I I don't speak Korean
A	do you just want me to go on a Korean website and
A	there's two websites I've already been on the first one this morning when I was brushing my teeth
A	this one I didn't get the chance to do because
A	I need to change
C	and he was there looking at
A	oh nothing's
C	what is? what is Running Man?
A	it's like a variety show where celebrities come on and they do all like these chat up really funny challenges
C	oh
A	like one of my husband's my
A	like he appeared on it and they were just like a challenge where it was like really rainy and it was in the mud and he got completely covered in mud
C	oh no
A	and he was just like I don't care cos like he's really
C	who is it?
A	it was just like okay I don't care about my image I just want to lick the mud
C	mm that's your husband
A	yeah well no no he's not my husband he I want to have an affair with him
A	cos like cos he has a girlfriend
C	oh my god
C	yeah
A	like he's in the army right now really sad
C	he's in the army?
A	yeah like he's Korean like you
C	oh my god
A	look at my baby
A	like he's my husband isn't he adorable?
C	he's very cute
A	he's just so cute look at him
C	he looks like a marshmallow
A	he is a marshmallow that's why do you want to see him dressed as a panda?
C	I want to see him dressed up as a panda
A	because for his drama like to cheer his neighbour up cos like she was a social recluse
C	oh I thought you were going to say she was a sociopath
A	like she was a social recluse so he dressed up as a panda and he danced around like trying to cheer her up
C	oh how lovely
A	isn't he adorabable? oh
C	he is cute you know?
A	okay and do you want to see who I'm going to have an affair with? like he's really like strange but he's just so
C	he looks sweet I like his hair
A	yeah and but then like some things that he does like
C	oh definitely
A	but when he like when he looks when he dresses normally he looks really nice
A	but like sometimes he just
C	well at least he don't judge
A	no and then do you want to see my babies?
C	oh my god you sound like me you know different husbands
C	are they a band?
A	yeah they're a band they're B one A four look they're just so adorabable
C	adorabable?
A	look at them they're so cute
C	which one's your favourite?
A	okay okay erm
C	are they twins?
A	no that's
C	I like handsome
A	yeah he's like twenty something like early really early twenties like twenty-one
C	sorry how old is the others then? they only could be twenty-two
A	yeah like they're around that age I think like they're like twenty-four so like twenty-two twenty-three
C	oh my gosh they look like babies
A	he's my favourite even though he's not the best looking he's such a dork he just sits and he just eats all the time like in one of their in one of their TV shows like they were supposed to be looking he was supposed to go out and buy groceries but he went he spent all the money on food cos he was hungry
C	he could've still got the groceries and made something
A	you know those rocking things? yeah not
C	like the see seesaw
A	yeah
A	I was just like on that just eating all these ice creams and chocolates I relate to him so much
C	yeah you do you do
A	but he's he's such a good singer as well like I saw his solo performance and I cried
C	oh my goodness getting emotional
A	I put
C	I want to go see the babies today haven't seen them in ages
A	what? the one with the really V-neck guy?
A	doesn't he wear like a really low V-neck?
A	this is like the guy that you like watch
C	oh my god the V-neck
A	yeah he wears a V-neck doesn't he?
C	V-neck
A	yeah
A	yeah that's him he wears like a really it's not a V-neck but it's like a really low-cut shirt so
C	oh is it?
A	yeah
C	I never notice I only see his face
A	oh okay he wears he has like a beard right?
C	yeah
A	yeah that's him
C	oh no he has V-necks
A	not really I mean it was like okay it's a U-neck it's really low
C	er
C	no that's not cute
A	like yeah like I also I remember seeing him thinking why? it's winter it's cold
C	it is cold
A	no
C	how was your weekend?
A	my weekend what did I do? oh I went ice skating
C	how was it? I can't believe you went ice skating and you didn't tell
A	erm oh oh yeah I could tell her it's like a student is like eleven pounds something it's at
C	that's the same bloody price as in
A	yeah it was at
C	how was that? that's so far
A	hey it was really pretty well not really
C	yeah but it was far
A	it was alright cos I haven't been ice skating since like primary school so at first I was a bit okay I like hold onto the side and then I I could do it
A	I only fell over once
C	oh
A	and that's cos I was trying to
C	yeah
A	and like obviously I put like my feet
A	well no I went with my best
C	oh that's so cute yeah
A	so he was just like proper showing off just like going really fast
C	and you guys
A	yeah we were just like and my other best friend like she fell over six times
C	oh no
A	and in the end she got one of those polar bear things that kids have
C	straight up
A	but erm he was like my friend's boyfriend was so good that he even like the people who were like running it who were like going around like making sure everyone was okay
C	yeah
A	they were just there teaching him tricks
A	like how to stop using like the side of your blade
C	yeah
A	and how to
A	and me and me and my best friend were just like for god's sake
C	that's so awesome though
A	I know
C	was he good?
A	yeah
C	oh no
A	and then like I made then this other couple like the guy was skating she was just holding on to the back of him cos she couldn't skate
C	oh no
A	get
C	yeah
A	you know like that Disney film?
C	which Disney film?
A	you know the Disney film that physics girl
C	physics?
A	yeah did you ever watch Buffy the Vampire Slayer?
C	no
A	but like it's this girl that she do she does physics it's a Disney film look I'll show you
C	yeah show me
A	how have you not seen the Ice Princess?
C	it's called physics?
A	no she does physics and then she does ice skating
C	what does that mean she does physics? like literal
A	yeah like she was going to study that at uni or high school
C	a movie
A	yeah there's a movie
C	wait is it a real movie?
A	yeah it's a real movie and it's called the Ice Princess this one
C	I mean like is it a real people
A	yes this one
C	oh
A	look at the pretty dress
C	no I never seen it
A	what the fuck is wrong with you?
A	like and she does all like these tricks like cos she figures out how to do it with physics
C	oh is it?
A	yeah look no that's not her that's not her I don't even know what the fuck that is but look
C	no I no I've definitely not watched that but that erm
A	it is I want to be that
C	you wanna be an ice princess?
A	I wanna be an ice princess
C	er just
C	do you actually wanna see Disney Princesses on Ice?
A	yeah
C	first of all Ariel can't do it cos Ariel hasn't got legs
A	they could do it when she does have legs
C	they're going to have to bring Ursula out and do the whole scene to give her some legs cos really she's a little mermaid
A	oh why is she here?
C	oh why? is she a
A	cos she has like a really cool personality
C	I was going to say if she's is she evil?
A	like but she's not really she's really quite sweet
C	she's the ice princess
A	oh who are they?
C	that is
C	ah
C	can we? I'm hungry
A	you just ate
C	I know
A	okay do you wanna just go to one of those café places?
C	yeah to on
A	what? on
C	yeah you said oh do you want to go on the inside? that little inside thing?
A	what inside thing?
C	where we was last week
A	oh we could do
C	no not the actual place but you said what?
