A	yay I love biscuits
B	I know
A	oh yes
B	we've still got
A	how many Christmas chocolates did you have?
B	my mum goes because like
A	I know my dad does as well
B	like all I've got on my wardrobe are these erm
B	oh and my dad nicks them
B	I just went around all the places he has cups of tea like his study you know like today
A	and there's these snowmen
B	no just empty packets of malt biscuits and Fox's biscuits I was gonna get you the nice Fox's ones but they've all gone
B	it's bad
A	well I guess they are his biscuits
B	so carry on
A	no he's just like being really supportive he's like
B	well he's a laugh isn't he
A	yeah
B	that's really informative
A	well if you have to try all the beers and stuff
A	probably not
B	there's no bread
A	I wouldn't mind being one of their workers cos
B	his
A	own the restaurant and hotel yeah
B	and they own a hotel as well?
A	well it's a hotel restaurant it's all one thing
B	how big is it then?
A	so
B	is it quite busy?
A	it's a bit like
B	I want to
A	we can go
B	I nearly said to you actually I'd meet you out there for a couple of days but
A	it's alright
B	like imagine having a gatecrasher there these are a bit stale aren't they?
A	yeah but I I can still eat them
B	good?
A	come on
B	oh there's
A	hello
B	look at him
A	yeah but he is fluffy so maybe that's making him look a bit fatter
B	oh he's huge come on didn't you come home and think oh my god he's grown twice the size?
A	yeah I did kind of think oh he's fat
B	in fact she's weird she seems to fluctuate every time I see her
A	mm
B	she's either really big or she's tiny
A	she's got flabby skin
A	on a diet
B	workout and when she doesn't
A	mm
A	that's what I thought it does look quite cute when she's eating but the problem is she kind of drops it and it goes all over the floor and then you get all this dry food all over the floor
B	are you gonna take her to the vet at all? does that mean she can't eat in her mouth?
A	well she she's eating
B	yeah
A	maybe she got bored with getting her nose all dirty
B	maybe
A	but I never clean the the floor and her cat bowl and today it was just so disgusting I thought right I've got to and it was all dried on where it's been there for like days
B	don't
A	all up the wall it was splashed
B	oh yeah
A	disgusting
B	I do love the cats but I think my mum does loads of that
A	yeah I mean fortunately cats are quite easy to clean I mean it's just their food bowl that you really need to worry about isn't it?
B	could you imagine a dog?
A	oh my god
B	what? what's wrong? what was that little squeal for?
A	come on
B	say hello to
A	hello
A	yeah
B	did I tell you about when we got him?
A	no
B	she got hit by a car
A	oh no
B	cos that was
A	right
B	and her he the mum was really fluffy and really pretty as well erm and then yeah she got hit by a car and they were gonna keep him if we hadn't taken him so they were he would have been the one to keep
A	oh
B	cos he was the only ginger one in there
A	you didn't tell us that we had
B	yeah
A	we didn't tell us
B	oh I think we did I think we did
A	maybe you did
B	oh well
A	which girls?
B	this your home girls
A	erm
B	I wanna do stuff like that
A	mm I said to her can I come and visit you for a week and like do some of your activities in your club? and she was like yeah
B	oh
A	yeah
B	cos rock climbing and stuff like you can do it in
A	yeah cos it's all indoor isn't it?
B	it's not cheap yeah
A	and it would be much more fun to do it like where there's actual like rocks rather than
B	mm yeah
A	erm
B	remember remember doing it at Guides and things do you remember doing it?
A	yeah vaguely and I
B	yeah I didn't go to that
A	that was really fun actually
B	yeah I know I'd definitely like to do that
A	yeah well we can
B	it's like I said
A	we still need to do skydiving
B	yeah we never did that did we? did you sort it out?
A	no
B	probably will
A	erm
B	what?
A	the skydiving if we ring up
B	oh yes yeah cos you might not be here you seem to have
A	no I'm I'm not applying for anymore abroad
B	west Yorkshire Peru
