A	I don't know if I've put the volume up
B	yeah it wasn't that far really
A	no
B	no
A	yeah
B	plus like you said we haven't got a very big team at the moment
A	no
B	why?
A	well if it's about TV or famous people
B	mm yeah
A	you need a couple of those
B	yeah yeah you've got to mix it up a bit
A	you just told yourself that you've got here
A	yeah it's pathetic isn't it?
B	looks like a erm one of those flat pack cars that you put together yourselves
A	A kit car?
B	mm
A	yeah
B	I don't know
A	no it's a Toyota
B	mm?
A	well that's what the wheel says anyway
B	well you have to buy some sort of wheels
A	no but it looks like a Toyota
B	does it?
A	yeah
B	how old is that?
A	eighties?
B	mm
A	I don't understand those two seaters
B	I know
A	yeah
B	you know
A	mm
B	can't get out all on her own
A	mm
B	but she can't
A	mm
B	so it's a bit useless really
A	well it's big enough for her and her dog isn't it?
B	yeah
A	it looks nice
B	what's happened?  What's happened?
A	when she came to meet us at Heathrow at that hotel
B	oh yeah
A	and then they they and then we had to go to the pub
B	that was an absolute nightmare
A	and they were like okay do you mind walking? Cos we've only got a two seater
B	and then we got stuck at the bus as well
A	yeah we did
B	Cos nobody could come pick us up in these two seater cars
A	yeah yeah
B	know what I was going to say? Is what happened about his car the other day? Cos I didn't hear all the news
A	mm
B	Cos he said it
A	no
B	why was he parked behind a palette?
A	I don't know
B	oh my god
A	and I think it it went through half of the engine as well
B	really?
A	and it's destroyed it
B	oh really
A	which is good
B	why?
A	well cos he'd lose his no claims wouldn't he
B	mm
A	erm so they've
B	so they're going to pay for it?
A	yeah they've put it into the garage
B	mm
A	they'll pay for everything
B	yep
A	so
B	it just depends on how long it's going to take to fix it
A	mm
B	who's fixing it? Somebody at work?
A	no
B	okay
A	I don't know with
B	mm
A	things might go wrong more frequently
B	mm
A	I don't know
B	no who knows? He'll buy a new car then won't he?
A	no
B	oh okay
A	no no god no
B	what banger?
A	he bought a little thing
B	did he? I'm getting really confused now
A	he's got a little run around car
B	they picked us up in the nice car
A	yeah that big four by four looking thing
B	oh right
A	which they stuck on credit
B	mm
A	no
B	we're funny aren't we cos we're
A	I don't know
B	I do quite like it
A	but I don't
B	but I do feel like I'm missing out sometimes on like a car or something like that
A	yeah
B	that's because we haven't got any friends
A	any then I realised I haven't got any batteries
B	what without it being switched on?
A	no I think it was switched on but
B	but you haven't looked at it
A	I haven't looked at it
B	yeah that's true
A	and and I don't know anyone who lives around here so I'm not exactly phoning anyone up saying oh do you fancy a pint? or whatever
B	no
A	yeah I need to get out of here
B	well I think tomorrow
A	it is it is crunch day tomorrow
B	erm if they don't contact us tomorrow I'm going to phone them
A	yeah
B	I nearly thought about phoning them today but I thought I'd wait for London correspondence
A	yeah cos ten o'clock will be what? Two o'clock there
B	yeah
A	yeah
B	definitely
A	yeah yeah I'll phone
B	yeah
A	we have got his number haven't we?
B	yep yeah we have got his number
A	er
B	that's weird isn't it? There's that little bit of
A	mm
B	it's weird isn't it?
A	mm
B	it's cos I don't use it very often
A	yeah
B	I'm not really a phone person
A	mm
B	but it made me think
A	mm
B	erm cos I don't like phones and things like that
A	mm
B	I like face to face better
A	yeah well me too
B	I find there's oh there's
A	mm
B	you just always feel like I've said something weird or they've not understood me
B	oh and they just
A	mm
B	I don't know
A	mm
B	whereas on this Facebook and stuff and on the telephone I find it really hard
A	mm mm
B	I find it really hard to
A	well I'm absolutely sick of Facebook
B	no don't close it because it's good for the old correspondents
A	oh god
B	why?
A	just irritates me
B	yeah I know
A	just the crap people put on it
B	well it's annoying there's so many other people and they're using it and and then
A	and then
B	like some people if you if you they don't get a message from you or from somebody they're they're offended
A	mm
B	and it's like well I haven't been on it for for two weeks or
A	yeah
B	why would I have sent you a message?
A	and then I I keep getting sent all these fucking things saying oh poor little
B	mm
A	pass this on otherwise you're a selfless bastard
B	mm
A	it's like for god sake
B	yeah it's horrible that people
A	yeah that's what it's like
B	but that doesn't mean like
A	well
B	it's just
A	it's idiotic
B	oh dear that's not very nice at all is it
A	well they don't now in this country
B	even even people who are religious they say it's okay if you want to pray at home
A	mm
B	the whole history
A	and if you've had
B	yeah I know it's not good
