A	yeah so I think the interviews will be good practice anyway
B	yeah
A	won't they?
B	yeah
A	yeah
B	ah
A	yeah
B	ah
A	well we need to think of all the things involved in writing
B	there's quite a lot to to think about
A	yeah
B	like well you just don't don't know
A	yeah
B	or or the materials that we've done before
A	yeah
B	that I did with British Council
A	yeah I suppose so
B	all all of that sort of stuff
A	yep
B	that ooh without talking about I'm gonna completely forget
A	okay well that website you were looking at earlier
B	which one?
A	moodle
B	moodle?
A	yeah
B	yeah but I don't really understand Moodle
A	yeah I had a look on their website and it and the videos were shit
B	yeah
A	yeah
B	logged in as the demo and it didn't really show me any
A	no
B	it's just this is how you set up er questions
A	yeah
B	demonstrated on there
A	yeah
B	it it looks pretty new
A	yeah
B	I'm not sure
A	but apparently it's similar to Blackboard
B	mm
A	where you can
B	yeah
A	I don't know put different classes up
B	but it looks
A	and then put in the work that you're doing in the class put it on there for them to do as extra study
B	yeah but do you know how many extra hours that
A	what for the teacher?
B	yeah
A	yeah quite a lot
B	I mean I know it's better for the student
A	yeah God
B	definitely definitely
A	yeah well as
B	but
A	as long as they figure this into the pay scale of these jobs
B	the teacher needs to have some time to do that
A	yeah you need some down time
B	and you need to know the whole system so you can just type inn a question like de de de de de de done
A	yeah
B	Pf like
A	well like at the British Council like Patrick and he had that was his job doing stuff like that
B	yeah
A	so it could almost be the teacher and then these I don't think it's fair expecting people to do both under the same job title
B	well it's alright if you have less teaching hours and then
A	yeah
B	you've got time to put it up but
A	yeah but you know things like this always
B	no
A	get squished into your
B	yeah
A	thing don't they
B	ha
A	it's the same with anything
B	it can definitely be good but I er
A	yeah
B	it's basically putting a putting the lesson up
A	mm
B	write a question here
A	mm
B	so like then for say like you've got a multiple choice question
A	mm
B	and then you like have four you have four multiple-choice answers
A	mm
B	incorrect
A	yeah
B	or some of them
A	and
B	this is incorrect because la la la la la
A	yeah and and it shows as well um like each person
B	oh do they? I didn't see that bit
A	er well not an avatar but a you know just a picture
B	yeah
A	but they're and then you can have like quizzes where you can see
B	ah
A	so you can see which students got what right and what wrong
B	mm
A	but you can also keep it anonymous as well
B	yeah
A	and then you can have like chat rooms for the students which is good as well
B	yeah
A	forums where they can just post questions for anyone
B	yeah
A	so it's yeah I think it's a brilliant thing
B	it well it is
A	yeah
B	be able to just quickly
A	yeah
B	be able to quickly put something up at the end of each class or something
A	yeah yeah
B	any questions that have come up in the class might type it in
A	yeah
B	mm
A	innit
B	yeah this is for this module
A	yeah
B	yeah and you can improve it every time
A	yeah
B	well it's just collecting all the
A	yeah
B	collect it from all the teachers
A	yeah
B	I was thinking they're gonna have a fantastic database afterwards
A	who?
B	well Moodle
A	moodle
B	they'll have a fantastic database of um cos they do all sorts of subjects and all sorts of languages
A	oh yeah yeah
B	of all of this stuff that teachers create for them
A	mm
B	oh I'm
A	that was so
B	yeah
A	drab and
B	yeah
A	it was just I dunno it was horrible wasn't it
B	yeah
A	I don't know how new it is
B	well I think it looks quite new because I don't they haven't really set up the demos or stuff
A	no
B	mm
A	ah
B	they are? Daily Mail?
A	well they just
B	mm mm
A	er let's have a look
B	what did you find?
A	er there was a  there was a guy  who went to a garage sale
B	mm
A	and why don't we have garage sales here?
B	well people have um yard sales don't they? Oh no
A	no they don't
B	no
A	why don't they do it?
B	you can make one but not many people come
A	they don't really do it though do they
B	in the suburbs
A	no
B	mm
A	well maybe
B	well we have jumble sales instead
A	car boots and jumbles
B	yeah
A	but car boots have been shit now for a good ten years
B	it probably er it's probably not allowed or something that you can sell loads of stuff
A	yeah probably
B	outside your house
A	yeah
B	there's all sorts of you know if someone falls over what are you gonna do?
A	but the last ten
A	the last
B	mm they've been rubbish
A	and the car boots I've been to the last few years have all been rubbish
B	yeah we've either been going to the wrong ones or people have
A	because people got  people got  too savvy on
B	mm
A	like collecting stuff and picking up good stuff
B	mm
A	and I remember like when I used to go you still got the collectors going in but not like now
B	no
A	now they just clean up everything in ten minutes
B	yeah
A	like when we went what a few months ago
B	yeah
A	like in the first five minutes
B	mm
A	it's kind of the whole demographic of it has changed I think
B	A little bit yeah
A	and
B	yeah
