A	how was erm
B	yeah fine yeah they were
A	yeah
B	they went a bit loopy when erm
A	yeah was
B	well poor guy he's sort of in-between worlds isn't he?
A	yeah yeah too too young for the too old for the young ones and young for the yeah
B	he was more he was more of an adult I think when basically like we did them we we sort of got them out in the garden a little bit and gave them a erm a
A	oh lovely they like that yeah
B	yeah it's a a nice and easy one
A	yeah yeah yeah
B	without any erm just literally like we went and hid the
A	yeah
B	and erm you know and in fact it was good that they they liked it they enjoyed it and stuff but erm er
A	ah
B	and it was like he had to come and like ah I can't join in in anything so it's it
A	ah that's rubbish isn't it? yeah no that is rubbish
B	it is tough though because at the same time
A	no you know when there's that many to
B	he's not really the older one he's like he is an adult really I mean it terms of
A	no he's not oh come on
B	no I mean in terms of compared to them
A	yeah I know but even so you know
B	he's in the kitchen talking to us
A	he's still allowed I think he's still allowed to find something
B	it's quite sweet he arrived er early cos his mum dropped him off
A	oh right oh really
B	yeah so I cos I saw somebody walking down the drive and I thought oh right it's them but then didn't see a car so I thought oh okay and then I saw his mum and
A	no well I don't know yeah
B	you know but
B	yeah it did actually yeah it was good they seemed to like the sort of things
A	well that's er
B	yeah I fed them twice
A	really? oh that's really good no that's lovely that's good
B	well yeah I think you know we both figured that
A	absolutely yeah yeah yeah
B	they're going to eat well they didn't have anything to do at home
A	yeah no that's lovely I'm really I'm really pleased
A	no but it's it's really nice to have you know erm yeah hang out and cook together that's good excellent you did you erm work much over the weekend?
B	erm well I did probably about
A	right okay well bless you yeah
B	you know I I really didn't want to be doing it
A	no of course not I know I know who does?
B	cos you sort of you know tired and all the rest of it but I so I ended up having quite a late night cos I didn't want to do it so after work you know I haven't really eaten and so I I had some food and then er and the sort of watched a film you know
A	was that the only thing you watched just that Batman?
B	no I watched erm Serenity
A	oh no I told you I wanted to watch that again
B	really? oh right
A	yes you do
B	well I was I
A	you were taking liberties you were
B	I'm not
A	you are
B	I was looking through erm what was available on Amazon
A	yeah
B	and erm you know it was just really I've either seen or the good stuff or haven't seen all the other stuff cos it wasn't any good I didn't really find many things that I hadn't seen that I'd wanted to see or things that
A	yeah no that's fair enough that's fair enough so erm I've had an answer about erm er tiles erm he says have we got concrete floors so you're using any non-combustible tile but I think I think actually now I remember you sort of said you can put more or less anything down because you know it's already on the tile so I think I think
B	okay so well it's essentially double tile they'll be a bit that isn't double tiled
A	yeah yeah yeah yeah no I I think we'll erm I think we'll just go and get you some things
B	no no let's check though
A	well well the thing is everything I buy from those places I can take back anyway so I can just buy for
B	no no I know but but not all of it us some of it will be on carpet
A	yeah but I mean we're talking a fraction we're talking and inch so
B	okay but if but technically that might be
A	we'll see er er well I do when when he was looking at it he didn't seem to think it was a problem erm so you know
B	yeah I know I saw it
A	how big is it?
B	he said it's like really well but I mean they are they're grimy now it's probably one of those things
A	how did you know about it what have you been doing?
B	no I just I just looked at it erm
A	well that's Bush for you Bush yeah
B	house and like okay can I see the house?
A	yeah Bush are like that though aren't they don't bother doing those things
B	I know and it's really hard to fathom out the pictures so if a
A	oh no I think that's the fence
B	what?
A	that fence look like here
B	yeah yeah but like yeah but okay
A	and then a picture of the
B	and it's like okay where's that?
A	yeah yeah yeah mm
B	if you're going to go on about how great the house is inside
A	yeah where's the plan? oh it's a teeny bedroom that's not a bedroom
B	that's tiny
A	that's smaller than
B	that's really tiny
A	that's smaller than
B	one point six jeez that's er that's like shorter than you
A	yeah I know that's what I'm saying like you
B	good job the erm the one that
A	yeah
B	you probably don't want to go on your first offer do you?
A	no
B	yeah
A	so I'll erm I'll just er
B	do you want a can of something?
A	I don't know what are you going to have to drink?
B	a can of something
A	a can of something? er yeah I'll have a fizzy water please
B	run out of diet coke
A	yeah it is
B	oh erm could you put some rice on?
A	ah yes okay yeah yeah yeah yeah
B	cos we don't have noodles
A	no we were going to do noodles so I don't need to
B	have we got noodles?
A	yeah I ah I said to you that I got loads of noodles they were on cheap it's Chinese New Year
B	oh right cool oh they're the meaty ones as well that's nice
A	oh that's horrible er
B	ah rank oh jeez
A	oh god
B	so many shades of grey
A	gone off my food now
B	fry these fair a bit
A	so erm did you
B	yeah
A	that go alright?
B	yeah yeah it was good I invited
A	oh yeah?
B	em round possibly the weekend after next
A	er weekend after next oh er I've
B	yeah
A	something just drops off your radar and then you're you know you're being rude
B	yeah erm
A	that's interesting cos I logged on to er Facebook when I was at my sister's on her thing you get an alert and it says I logged on for your account's been logged into and it just says near
B	er okay cos it's on a device you don't normally do it?
A	yeah yeah yeah yeah
B	so did you see anyone else when you went down? just seeing your sister?
A	no no no no no no no
B	anyone on the man front?
A	no not really no no no no no that cat's going crazy again what's up with you? oh dear oh he's got wet feet as well oh
B	yeah
A	ah
B	ah he can dry his feet on the carpet
A	ah
B	yeah hopefully not our new sofa
A	no that's true where's the erm when's half-term?
B	I don't know should be up on the
A	yeah hold on a second erm I think it was the twelfth but er
B	why?
A	I was just erm gonna go and see
B	why?
A	cos she's coming to
B	no I mean is it oh right yeah yeah yeah so
A	well
B	oh I see in in the daytime
A	yes yes
B	oh Monday's a
A	yeah
B	how come she's here?
A	erm
B	just sort of catching up with people?
A	I dunno I shall put
B	bit of fish sauce
A	still
A	yeah erm so
B	yeah shall we sit down and sort out CP tonight?
A	erm I don't know
B	I know but it's just I'm gonna have to work like I'm choosing not to work today
A	yeah
B	erm and you know this week there's a clash of deadlines I can't really afford so it's fine but we risk losing you know spaces for things just saying
A	yeah yeah yeah I know I know I know I know
B	when is it? oh we're doing it bit later on April?
A	er yeah yeah yeah but
B	okay but still probably
A	yeah yeah but I mean I'm not I'm not interested in doing that much anyway
B	fair enough well I know but I thought the things we did last time actually worked really well
A	yeah some of them did and some of them didn't you know?
B	well what didn't?
A	well the entertainment thing was fine but I don't necessarily want to do that again and the oh have I got a drink?
B	you said something about fizzy water?
A	yeah
