A	gobbledygook
A	I can talk I can talk in different languages
A	did she?
B	just meeting with lots of er different nationalities over there in
A	yeah
B	in America
A	yeah
B	and she goes
A	yeah
B	and she thinks she's talking
C	yeah
B	she was convinced she was talking Spanish to us
A	oh right yeah yeah
A	yeah
B	it's er
A	ah
B	they're gonna be
C	yeah
B	cos er
A	mm
B	she's got a Chinese nanny
A	oh
B	so it's a one-to-one all the time and of course she can't speak any English
C	so
A	oh I see
B	so
A	so she'll grow up bilingual?
C	she probably will yeah
B	even though she's only she
A	well erm
C	are they?
B	oh yeah
A	it's a wonderful skill
B	German? mm?
A	yeah German English
B	mm
A	so if she's Chinese English that's even better with the
C	yeah
A	if she's Chinese English and grows up by the time she gets to be at university
C	yeah
A	look at the jobs that will be available to her if she's
C	yeah
A	bilingual Chinese English
C	yeah
B	yeah
C	yeah
A	fabulous
B	mm
C	there two there's two Chinese though there's Cantonese and Mandarin is it Mandarin?
B	I think so
A	no I'm
C	yeah there are yeah
A	or is that mandolin?
B	mm
C	no
C	no that's a nice tune
A	mm
C	you know it's
A	yeah they've got sugar in as well Tunes Tunes Tunes have got
B	mm?
C	well depends how sweet they are
A	no they are Tunes that you take for your
C	oh
B	Tunes? what?
C	Tunes
A	Tunes that you take for a sore throat
B	for your throat?
A	they they've got sugar in
B	ah
A	Tunes
B	course they have lots of
A	Tunes
B	lots of sugar
C	yeah
A	Tunes do you remember the advert
C	oh yeah
A	Tunes
C	yes
A	hey right oh I
C	mm
A	a A3 sign erm and yesterday I'd looked under that loads of times when I was looking for my two sticks I've lost
C	yeah yeah
A	cos I thought well I would put them there if I took em out of a pocket I would've put them on there in the bedroom
C	that's right yeah
A	you see? and I kept looking because all that was there was this thing I kept looking guess what was underneath there?
C	your two sticks
A	not the two sticks no but but my other backup disk
C	oh right
B	another one?
A	no the backup disk
A	I lost as well every time I lifted up
A	this piece of paper to see if my sticks were there I was looking at the
B	oh
A	the big external drive
A	but I never saw that because all I was focused on was a was a red thing
C	yeah
B	right
A	and and yeah
B	yeah
A	I never saw it
C	it's
B	mm
A	it it it it's strange you
C	you still haven't found your sticks though?
A	no
C	they're in the house somewhere
A	yeah I know but it's quite
B	you wouldn't have chucked them away
A	well but if er if if they'd been sort of in a bundle with something else or I'd
C	yeah
A	erm but but finding that that memory's good well that's cos yesterday I very nearly went out to Argos and I thought no I'm not shopping on Sunday very nearly went out there because they've got a similar one for thirty-five pound
C	oh right
A	five hundred gigabyte and that's what my other one is and I
C	no no
A	a while ago
B	mm
C	anyhow you found it
A	so
A	so that so that
C	how
A	that's a joyful moment
C	I mean it's it's er it's big enough to see ain't it?
A	well no it's only as big as my hand
C	yeah I know
B	yeah
A	it's shiny black
C	yeah
A	with the lead
B	but you just missed it
A	but I looked everywhere I I tore the place to bits
B	mm
A	I did and I and I still there's still one place I gotta it may have got kicked underneath where my cutter is
C	yeah
A	I can look under there
B	mm
C	lots of things yeah
A	yeah
C	that's very easy to lose something I mean
B	yeah
C	you walk walk around and someone come to the door you put put whatever it is down that you're you're then going to use
A	mm
C	you have a conversation you talk around and then you think wherever did I put that? and you look around for
A	mm
C	ages for it
A	yeah
B	mm
C	ages
A	waste loads of time
C	and and about three days later you you're doing something else and there it is oh you know
A	see I've got the vague recollection recollection that I probably have put it erm in my er just under the CD player in the car tucked it in there for a while
C	yeah
A	and then I found it one day and took it out and I put it just inside the front door on that little table and I can kind of remember it being there and thinking well actually that could drop off on the floor there and whatever was near it at the time I've just popped it in there so it might be in my in my toolbox
C	yeah
A	it might be somewhere in there but I've had a quick root in there erm then I've got another vague recollection of dropping it in you know I've got loads of those tubes that
C	yeah
A	you insert
C	yeah
A	for the signwriting? that er a tube was on the
B	yeah
A	other times the last time when you saw it
C	yeah it does yeah yeah
B	mm
C	yeah it's weird ain't it?
A	erm it is
C	yeah
A	but are you good at are you good at downloading stuff? you see I'm I'm a bit frightened I was talking to you about this the other day
B	yeah
A	what I need I've got the erm I've got on on
C	yeah
A	I've I've loaded on the Mind Your Own Business program
C	yeah
A	the accounting program I've got a backup I've got got I've backed up from the pink computer which is starting to go wrong
A	erm I've cos it's got a pink screen you know
B	mm
C	oh yeah
A	it's not reinstall it begins with an R whatever it is
C	yeah
A	I've done that and that's gone in and I it's now going but on the
C	oh I see yeah
A	cos I can't print from it
C	no
A	at the minute but I'm worried about I've got er I the only one going on the internet is the Windows seven
C	yeah
A	the new computer and when I go onto the Epson site and the
C	yeah
A	it says we have found your computer is Windows seven twenty-four no sixty-four bit or something like that
C	mm
A	I don't know how do I find out what
C	I think you're probably
A	will it be?
C	it's on the
A	mm
C	it's on the
A	will it come up on the properties for the
C	it should come up on the properties on
A	okay
C	when you press the
A	mm mm
C	er logo or whatever you call
A	mm
C	icon on the on the
A	mm
C	on the worktop or
A	mm
C	or whatever you call it the worktop
A	mm mm
C	you
A	mm
C	and it'll come up with the properties
B	mm
C	on there and that
A	okay so that but but then what what what what I'm frightened of is er you can
C	yeah
A	the this this thing
C	yeah
A	erm and you can select XP thirty-two or sixty-four bit
C	yeah
A	is the choice there
C	yeah
A	so his is probably a thirty-two isn't it then?
C	yeah it won't be sixty-four
A	yeah so erm and then if I select that and then put download will it download it and open it on my new computer and get all mixed up?
C	well it'll you have to have it downloaded to
A	when I select download will I get an option
C	yeah
A	of where to download it to?
C	yes of course yeah you'll get an option download it to your stick you see and then you take it out on a stick
C	and put it in your
A	but I'm worried that when I click this download thing it just gonna woof it into my computer and
C	well you just
A	and get all mixed up
C	you just cancel it you just cancel if that's going into your computer that ask you where you're going to go to
A	it will ask me where it's gotta go too will it?
C	yeah
A	it won't just woof it in and stick it where it thinks
C	no and and you put it in your stick or whatever
A	okay
C	in a CD or
A	alright see I've lost er I've lost all my confidence with these computers after what's happened
B	mm
A	er and and it and it
A	everything I do I have to think carefully before I do it
B	yeah
A	in case I'm doing the wrong thing yeah okay
C	you've always been like that though
B	yeah I get I get scared er
C	yeah
B	quite often
A	yeah
B	it says you will you will lose all your information if you do this and I think oh gosh
A	it's er
B	and it's okay really
C	it just says it'll
A	mm mm
C	all your er information you have not saved
A	yeah
B	yeah
C	it's it whatever you're working on that
B	mm
C	like supposing you're working on Word or or anything else and then you think oh I'll download something and that will wipe out unsaved information
B	mm
C	you have to save everything
B	but I do I do get scared and I come and ask you don't I?
C	yeah
A	mm
C	yeah
B	mm
C	I went on site to download something and Norton comes up
A	mm
C	get me out of here
A	oh
B	oh yeah
C	yeah
B	what did you go on?
C	huh?
B	what did you go on?
C	I went er through a legitimate bit but that send you to another bit
B	yeah
A	ah
C	and er and that
A	it's happened with Ebay apparently
C	this big
A	yeah
C	that's happened with Ebay too ain't it?
A	it has ain't it?
C	yeah
A	yeah
B	mm
A	yeah
C	and that flashed on the screen
B	mm that's
B	happened to me as well that
C	yeah
A	mm
B	mm
C	and er I got no idea what it was I was
A	I don't think this'll kind of get any better I think it's gonna get worse as more as people become wiser and
C	well everything get worse don't it?
C	there will always be some something
A	won't there?
B	mm
C	but I mean look well look in the year two thousand they said all the computers are going to
C	crash and whatever and all this
A	yeah yeah yeah yeah
C	planes will fall out the sky
A	yeah yeah
C	nothing happened
A	no
C	nothing happened at all
A	yeah
C	but
A	mm
C	I don't know why they did that er do you know there was people made
A	you've got chocolate ones there look
C	oh yeah
A	mm no thank you being good
B	you
C	ain't he good boy?
B	that's what you gotta say all the time is it?
B	are you practising are you?
A	yes I'm practising that's it yeah
C	yeah
B	I'll hide them out the way
C	no don't hide em
A	no that's alright
C	don't hide em
A	no I can look at them I can I can smell them
C	I might just go like that in a minute and eat one
A	mm mm mm
B	mm
C	now I've now I've finished my cup of tea
B	we only have we only have one a
A	you see I don't I could eat
A	a whole packet of those in two days
B	mm
C	well we saw you come out of
B	yeah
C	Morrison's
C	with your biscuits right?
A	when?
C	well this was a long while ago
A	yeah
C	cos
B	yeah you
C	and he'd ate the
A	oh right I sometimes eat them on the way home cos I'm hungry yeah
B	ah that's bad
A	yeah
C	well this is why you got
A	mm
C	high blood
A	well yeah but don't don't get rid of those
C	oh I love every one of em
A	when this is gone I might I won't have any to fit me cos the ones I've got now will be too big
B	ah
C	well you'll have to take em in
A	if she'd
C	mm
A	I would've still've gotten them
B	do you think you'll get?
A	and my shirts
B	you think you'll get down?
A	I think they will she said you will lose you you need to lose a stone
B	yeah and you think you will?
A	to be really good pardon?
A	and er that will come off if you stick to what I've told you to do it will
C	I thought
B	do you want to try my hoop?
A	pardon?
A	no I'm er what I'm er what I'm looking you haven't got an old bike have you here?
C	no we haven't no
B	no
C	not an old bike
A	cos the one that one that I had it's never
C	sit-up-and-beg one?
A	like like erm
C	yeah?
A	and
C	yeah
B	yeah yeah
A	oh isn't he? he's way up in the sky isn't he?
B	mm
C	yeah
B	mm
C	well the
A	yeah so is
B	yeah
C	they used to make them in nineteen twenty
A	yeah
B	mm
A	so I'm just got my eyes open is er is that a machine gun you got in the corner? no it's not it's a Hoover
B	mm
A	it looks like a machine gun from here
A	right it does I just saw the top of it it looks like the top of a submachine gun
C	it's a Dyson
B	submachine gun?
A	yeah if you look at that that bit it looks like the bit you
C	well er
A	grip on a submachine gun
A	it does
C	well I've never seen a submachine gun so
B	no we don't have one of those here
B	one of the things we don't have
A	you don't have one of those?
A	oh
C	no no
A	yeah
C	we've got a pop gun
A	so yeah
C	they're good have you ever made a pop gun?
A	erm no er we've had pop guns you know in the past
B	yeah we used to make them as kids
A	what we used to do and they were
C	oh right yeah
A	hawthorn berries
C	yeah
A	poke one in end they're lethal though when they go in your eye
C	I know
A	and so you open it push one in the end and and bang
C	yeah
A	yeah
C	yeah
B	mm
C	we used to do that
A	yeah
C	but we used to make a pop gun we used to cut down a lump of elderberry
A	mm
C	about an inch inch inch and a half diameter
A	yes
C	right? and inside the elderberry you cut it out to about six inches
A	mm
C	right? cut it off nice straight bit
A	mm
C	and inside the elderberry is this what we call pith
A	yes yeah
C	right?
A	yeah it's a soft wood isn't it?
C	and we used to heat a hot a poker up
A	mm
C	in the fire
A	yeah
C	at home this is er I'm ten years old right?
A	yeah yeah yeah
C	doing this
A	and burn it through
C	and you used to push it all the way through and make a lovely lovely
B	we used to just push it through didn't we?
C	yeah but you had to
A	think you probably could cos it's soft
C	you you could push it through
B	yeah
C	you
A	it it makes a harder surface doesn't it?
C	put this poker through it and that made it
A	mm
C	really shiny and beautiful
B	oh I see mm
A	mm
C	right?
A	mm
C	then we used to cut a piece of hazel
A	mm
C	and whittle it down
A	yeah
C	until it fitted inside the
A	yeah
C	hole in the
A	mm
C	and er we whittled that down so it left a handle at one end and
A	yeah
C	and er whittled down that end right?
A	mm
C	and then you chewed the end of the hazel right?
A	ah so it swelled a bit?
C	chewed and chewed and chewed and chewed it and chewed it and chewed it and chewed it we had good teeth when we were kids
A	yeah
C	and you chewed it until it was all wet and horrible and then you just got on a bit of concrete you kept beating it
A	yeah
C	until you made a beautiful brush
A	yeah
C	it
A	mm
C	and that fitted in the
A	yeah
C	in the middle of the pop gun
A	yeah
C	then you'd go to get the acorns
A	mm
C	and bite them in half
A	mm
C	have you ever bitten an acorn?
A	no they're a bit bitter are they?
C	oh they we're awful
A	yeah
C	but we used to bite em in half knock them down the end of the pop gun
A	mm mm
C	and then you had to have a belt a good belt on
C	and you just went boom and god they used to go
A	yeah
C	they were brilliant
A	yeah
C	and that was our
A	do you know that
B	mm
A	wouldn't that be fun if if if er
A	wouldn't that be fun?
C	yeah
B	it would be yeah
A	and that would appeal to a lot of people
C	yeah
B	mm
C	I think
A	but it'd have to be make your own it couldn't be a bought one it'd have an inventive made up
C	yeah
A	for it to make the
C	do you know we used we used
B	yeah
C	scrape all the bark off the edge scrape all the bark off
A	mm mm
B	yeah
C	and polish it
A	mm
C	god no they used to look really really good and you know ten-year-old kids doing that and that's what we used to do
C	every year we used to make a pop gun
A	you could make it safe
A	you could make it safe cos it could erm if you had tubes set up pointed at at an area big tube
C	yeah
A	that you could only fire it if
A	your pop gun was in looking through the tube then it could only go in one direction couldn't it?
C	health and safety what a load of rubbish there wouldn't be any kids about today if it was health and safety
A	I know I know
C	I mean look what we used to do
A	we learnt didn't we? yeah
C	we used to saw the end off a tree which you were you were sitting on one side
A	mm
B	yeah
C	they crashed the
A	people used to
C	yeah
A	they'd do daft things like that
C	yeah
A	yeah yeah
C	yeah
B	mm
A	yeah
C	well that er
A	what's the daft thing? oh a daft thing was
C	the whole point is that helps it come down better don't it?
B	yeah
A	these daft things pop up Facebook one of my old schoolmates posted this and he found it in erm in a on a in an army erm
C	yeah
A	yeah and on the back is is a four-by-four motorbike thing
C	oh right yeah
A	four-wheeled motorbike
C	yeah
A	and the
B	mm
A	and they actually go through the wheel the back wheel
C	oh right
A	and back up through where there's a gap in the in the wheel
C	yeah
B	mm
A	you see? you haven't got it have you?
B	no
A	so what happens when he drives off?
C	well that's right
B	mm
C	I'd sit back and wait
A	must be Irish mustn't he?
A	but imagine and and it's er the
C	yeah
A	the thing is stood there the moment it moves forward and that snaps it's gonna go off the back
C	course it is yeah
C	oh dear
A	it was like there was er there was another one erm somebody had taken a picture from er a the
B	mm
C	yeah
A	and the in this photograph the guys are just sweeping up after they put and you just see they've put these new black bollards in
C	yeah
A	right the way round there and where's their van? on
B	oh no
A	it's on the pavement side of the bollards
