A	we set off erm
B	yes
A	but we got where we turned down
B	and it's blocked at the
A	on main road?
B	yeah down here it's blocked this I think firemen are stopping people
A	oh well I don't know how we get back but we had to go to
B	oh
A	and we went to
B	yes that's where
B	the
A	oh that
B	yeah
A	so we had to come up the
B	yeah it said that on the television
A	ah that one so we'll be able to go back through
B	mm it at
A	it's
B	I don't know how
A	well the further down he got the better he'd be
B	yes yeah
A	I mean
B	mm yeah
A	er er down er
B	I think er
A	there than we had here probably
B	where is that place further down near
B	yes
A	yes that's bad
B	yeah that was flooded before wasn't it?
A	yeah well that's bad again we haven't heard much about oh motorway was blocked M6 going north when we come down
C	yeah
A	somebody had crashed going too fast obviously in aquaplane
B	yes well it's been warning people hasn't it to go slow
A	they they go crackers er
A	so we
B	but I wondered I er I opened the garage door
A	yeah
B	but I wondered whether you would er be able to get here because
C	mm
B	these different things I had the northern
A	yeah
B	news on the er yeah
A	well we came up from
B	no
A	but erm
C	no
A	how it is up
B	no I think we're lucky here aren't we for what they are?
A	well you're
B	in other places
A	we are
B	they're flooding again aren't they?
A	it's flooding down here down in these houses down in
B	yeah and
A	oh that's down at bottom that will
B	yeah that er
A	well the road's closed
B	he he said it was all flooded there
A	the road's closed can't couldn't get down that's where I come in but they
B	yeah yeah
A	the road was shut so there was no way that way
B	yes well that's what I thought and I thought well I'll open the garage door and if you can't get I'll just shut it again
A	we got
C	it was pretty bad there
A	well it was a pretty bad yeah you you got to go very slowly
B	it's frightening cos we went to
A	yeah
B	and er we were you needed a boat really
A	yeah
B	but we did get through and it didn't damage the car
A	no if you go slow it the big problem is when it goes
B	I'll let you put your own milk here more milk than
A	it goes up your air filters
B	yeah
A	knackers your engine
B	yeah
A	it's
B	there's just a few lost the er cars isn't there in the
A	oh yeah the go too fast through it
B	er now er can you remember
A	yeah
B	well she lives in the
A	yeah
B	and apparently she has a flat hers is the
A	aye
B	and they're all flooded
C	mm
B	a man's got a new Mini and it's
C	oh no
B	it's er no good it's it's er it's damaged it
A	oh it's flooded it?
B	yeah
A	gone into it?
B	it's got into the garage you see
A	well it's all as long as it doesn't get into car it's alright
B	well it's got into the car it's no good he said it's a write off
A	good grief
A	never used it?
B	mm?
A	I said it's written him off and he's not used it
B	no
A	good grief
B	it's it always did flood there then
A	yeah
B	it were at that old paper mill you know
A	oh well you're next at water aren't you?
B	do you want a mince pie? they're not right though
A	the
B	those are nice
A	oh
B	nice
C	these aren't mince pies
A	oh
B	I like those
A	I like shortbread mm
B	it it's terrible for people I think
A	oh it is when they get flooded it's awful
C	well not just getting flooded once are they?
A	no
B	no no
A	some'll be the fourth
B	awful for them isn't it?
A	some'll be the fourth time in er
C	mm
B	yeah
