A	what word is both a woman's undergarment and a mistake that reveals a subconscious intention?
B	Freudian slip
A	exactly
C	well I'm trying to get arts and literature and geography for once but it's not working
C	I just wanna try and get them
B	give me the dice
A	one
C	one sheet
A	sheet that's plenty
B	er I want the pink with the
A	pink is entertainment
B	flowers please
A	the entertainment of flowers
B	I found flowers really
C	whoops
B	I've seen all the answers
A	do
C	go don't go in thank thank you
B	yes please
C	erm what flowering plant plays a pivotal role in Spike Jonze Jones? Spike Jonze's is that Jonze?
B	yeah
A	that looks like a Jonze
C	Jonze er film Adaptation?
B	is that it?
C	yeah that's the question
B	Spike Jonze
C	do you want me to read it again?
B	yeah
C	what flowering plant plays a pivotal role in Spike Jonze's film Adaptation?
B	a rose?
C	no
B	oh
C	I was looking at the history question I wanted to choose this for history cos I thought it might be it
B	mm
A	mm
A	bloody hell that was a bit of a
B	alright it's three
B	but otherwise I would have asked for one for Christmas but they're rubbish
A	mm
B	Sherlock Holmes
A	no
C	am I reading it again?
B	yeah
C	okay
A	or
C	yellow
A	mm mm
C	oh this is easy
B	oh I'll read it
A	the Netherlands
C	what?
C	like is that a serious guess?
B	well wrong it's Japan
C	that was so obvious
A	oh yeah
C	that was such an easy question
A	oh yeah
C	and you completely messed it up
A	yeah I just heard wood and my mind immediately went to clogs
C	no you're think yeah
B	I said sandals
A	know you did I don't know why
A	clogs
C	you er you absolutely suck
B	the word sandals is in the question
B	I was thinking
A	clogs
B	that classic type of Dutch sandal
A	right just roll and get it wrong
B	right two
A	right orange on what?
C	no I'm gonna go for smiles whatever that means
A	sports and leisure of smiles okay
B	who was the smiliest footballer of all time?
C	wowee
A	which of the following would you not find
B	wow
A	in a smiler cocktail?
C	okay
B	what makes
A	vermouth
C	gin
B	bitters
A	vodka
B	oh
A	recipes vary but generally it's gin sweet and dry vermouth bitters and orange juice
C	oh okay well
A	it's weird cos
B	well
C	ah ha ha
A	wow
B	it is
B	science of
C	mm okay
B	yeah for some reason
A	he is
C	er what ah this is easy which recreational drug was Sherlock Holmes addicted to?
B	opium
C	yeah well
A	marijuana?
B	what?
A	what?
B	it's definitely opium
C	it is opium why
B	why?
A	cos
B	oh alright then
A	pretty sure he's addicted to opium
C	I don't I don't recall him ever being addicted to cocaine
C	but you know if if this says he's addicted to cocaine then
B	Holmes what are you doing in that toilet cubicle?
B	oh oh
C	that's weird
B	alright then
A	apparently he was
C	he was addicted to coke he's a he's a crack addict
B	cocaine isn't a party drug
A	er one fun fact someone in my French class casually asked erm me and the only other person there if we'd ever done cocaine before
C	had they?
A	and and we said no of course
A	no no it's a it's a kill you drug that's what it is
A	LSD
B	no not LSD erm
A	ecstasy
C	ecstasy
B	ecstasy and MDMA
A	morphine
B	alright
A	I just want it to be
B	oh you might get this
A	the Cincinnati Reds? oh okay so it's either football or baseball or like I'm gonna say baseball
B	correct
C	erm
B	my name is Michael Caine
C	I'm gonna go for soap
A	the science and nature of soap right
B	amber?
C	white?
A	orange
B	oh I was close
A	today the soap is made using tea tree oil rather than coal tar
C	I still don't see how that's science and nature but whatever
B	right er yeah it's my turn
A	cos colour can only be
C	you you should join their team
B	right I want
A	the entertainment of canals
B	yeah
C	I find canals so entertaining me personally
B	shut up and read the question
C	oh I'm reading okay
A	yeah we're going round in circles
C	pink
C	okay whatever who was shot dead in a contract killing beside London's Grand Union Canal on February twenty-third nineteen eighty-nine?
B	er?
C	oh okay now I understand it
A	oh okay
B	er
A	oh what's it?
B	Fagin?
C	no er
A	and returned in two thousand and one
C	that's why it's entertainment
B	wait what year was it?
C	he he said it said erm nineteen eighty-nine
A	oh fuck
B	I misheard I thought you said eighteen eighty-nine
C	no
B	er
B	I have dishonoured my family
C	oh
A	right
C	it's your it's your go
A	woo
B	two oh I guessed right
A	er shall I go for?
B	er what do you mean it's quite good I I didn't see it
B	I put my hand on it and then
A	it's gonna be arts and literature of reindeer
A	Santa was going
B	yeah
A	Herne the hunter? I dunno Yellowstone national park?
B	no Windsor
A	what?
B	Windsor Great Park
A	bloody Windsor bloody British
B	bloody Windsor
A	bloody toffs
B	huh what park is Herne the hunter said to haunt?
A	the orange of what
C	I
A	I was
C	one and three?
A	three and five
C	what?
A	honestly
A	everyone knows that
C	who waits until three to have tea? mm
A	okay
B	yeah five
C	Michael Caine alright
B	what?
C	from which film did Michael Caine born Maurice Micklewhite take his acting name Caine?
B	Citizen Kane?
C	The Caine Mutiny
B	er
C	er no
A	I'd probably guess Citizen Kane as well
C	oh my god there's a whole category on haggis
B	yeah
C	who's looking forward to asking?
C	yeah but that's more makes more sense than bloody haggis
A	does it?
B	wait
C	it's gonna be Spice Girls or some shit
A	hopefully not
B	ha ha ha it's not who plays base for the Red Hot Chili Peppers?
A	oh shit
B	I actually know this
A	well yeah you do but I've no idea
B	oh
A	erm
A	oh
C	ah
A	well that's not a spice
A	right er
C	my turn
A	have you just rolled one?
C	no
B	three three three
C	mm
A	the geography of haggis
A	it's not gonna be what you hope it is
A	which of these countries cannot lay claim to be origins of the haggis?
C	France?
A	New Zealand
C	mm
A	no one doubts that Scots exported the haggis to New Zealand
C	okay whatever
A	that's a
A	why would anyone else want to?
A	sports and leisure
B	decent
C	oh god this is so easy
B	jellyfish
C	well done
B	I was about to say butterflies but
A	da da da
B	finally
C	no this one
B	jesus fucking christ
C	mm got a lot
C	got a hard category of
C	well there's I'm doing another but it's fine
B	oh okay
A	I I was gonna try and make a joke about a celebrity who did
B	there was a there was a story about Sylvester Stallone which I only heard cos
B	and he didn't realise his microphone was still on
A	oh that's where that comes from is it?
B	yeah
A	I keep I keep on hearing it but I've no idea where it came from
B	you keep hearing it where?
A	like just on the
B	okay yeah
B	that's not my name
C	do you like showing him the answers?
A	I didn't see them but go on
B	Plato was the first to write about which legendary island?
A	which legendary island?
B	the question is
A	Atlantis?
B	correct
C	okay it's my go time to get my no points
A	I believe in you
C	okay
A	I mean I believe in you to an extent
B	history
C	hello? erm let's see the categories
B	beef
C	yeah sure why not
B	good bit of beef
C	I'd like the history of beef please?
B	yeah history of beef between me and
A	history full of beef
C	mm
A	what two colours appear on their dress uniforms when worn by beefeaters at the Tower of London on ceremonial occasions?
C	oh
A	well no but you tend to see them in this anyway
C	is this just what er?
A	actually erm
C	red and black?
A	red and gold
C	oh my god
A	there may be blue
C	I don't remember seeing them ever in blue but whatever
A	we never went to the tower though
C	yeah
A	tower of Blackpool of course
B	Blackpool
C	oh look there's a whales so shall we do some whale music?
A	can it just be some like
B	right yellow please oh no no fuck fuck fuck history
B	er alright I'll have the history of erm
C	erm what Italian entrepreneur er made tractors before entering the sports car business?
B	Mr Ferrari
C	Lamborghini
B	they're really difficult to get in but they have no problem just sliding out again do they?
C	no
C	ah
B	your turn
C	roll the dice
B	you son of a bitch
C	it's just like pink or pink
A	pink or green
B	pink or pinku
A	is what you mean
C	oh yeah
A	I'm gonna go for pink
C	oh I can't count I'm sorry
A	I'm gonna go for the entertainment of whales
C	yeah
A	like a car with a Doppler effect
B	oh fuck I thought you'd landed on green alright the the one for green I'll tell you is er what whale is the world's largest animal?
C	ah
B	alright so it's pink isn't it?
A	mm mm
B	so what New Zealand set two thousand and two
A	best actress? erm
B	you won't get this
A	no I dunno Blackfish
B	no
A	what what was it?
B	Whale Rider
A	ah I was gonna say Free Willy but then I remember that's actually a boy in that so
B	Free Willy
A	would have been wrong
C	Moby Dick
A	and obviously the answer to green was the cod
B	yeah it was
A	which is actually a type of whale
B	cod whale
C	so
A	the entertainment of
C	oh I wonder
B	buy or roll? mm
A	entertainment of the north
C	yeah
A	stones and sticks
C	hello I'd like the geography
A	the geography of the blues okay
C	yeah cos I'm just making myself suffer
A	which US mountain range extends from Georgia in the south to Pennsylvania in the north?
C	no I probably won't
A	but take a guess
C	mountain range?
A	mm mm
C	mm
A	ah you might've gotten the yellow one potentially
B	what's the category called?
A	the category?
B	yeah
A	er the blues
B	mm mm
C	I dunno
A	it is the Blue Ridge Mountains
B	Appalachian
A	but you you might have potentially gotten the yellow one but
C	what was the yellow one?
A	it was which word derived from black bile was used in the renaissance to mean mournful or despondent?
C	oh melancholy
A	exactly
B	right my turn
A	it is
B	woo
B	I want to go for the
A	the ballet
B	the ballet
A	the ballet
C	which hero of the ancient world's life provides the storyline for a nineteen fifty-six ballet by Aaron
B	can you read the question again?
C	erm
B	yeah
C	which hero of the ancient world's life provides the storyline for a nineteen fifty-six ballet by Aaron Catchetorian?
B	erm
C	Spartacus
B	Spartacus
A	I can't believe you didn't get that I mean honestly
B	I failed
A	you might as well be wearing clogs in Kyoto right now
B	neither of you have seen one punch man
A	woo
B	I watched all of the episodes in like an evening and then some of the morning
B	it takes it takes less than six hours to watch all of them
A	history
C	t'north
A	t'north
B	which war broke out in seventeen seventy-five under the prime minister of Lord North?
A	oh I dunno
A	I have no idea
B	yeah
A	the hundred years war
B	no it's the American Independence war
A	oh oh yeah
C	oh yeah
B	oh yeah
A	that was that was a pretty big thing
B	there was there was a that was
A	that was my second guess
B	yeah that was my er third guess
C	what was your second?
B	that was my seventeenth guess
A	I almost said
B	ha what was your second guess
B	have you seen the latest
A	no I haven't I haven't watched any of them in a while
B	don't worry clever boy it's not anything innuendo
B	arse and literature?
C	I said art art and literature or spring
A	hot spring
B	spring
A	okay
C	springu
A	springu
B	springu
A	daffodil
B	I have a friend from Norway who spent er a year living in Japan
A	mm
B	and actually I have a friend from England who teaches English in Japan so there you go
