A	what else did he say about his book then?
B	er he's gonna do the tales from
A	I dunno record?
B	erm yeah you know
B	criminal record check thing
A	ah
B	well they they didn't even have computers then I can't believe
A	but why does that come up on his criminal records check?
B	I don't know
A	because I thought in cos it was before nineteen
B	it was way er yeah
A	er act was in nineteen seventy or something wasn't it? like I think it was the late seventies
B	I er mm er
A	and then anything before that is not remembered so
B	I don't think he's researched it properly but you can't tell somebody because
A	but yeah
B	I felt like saying well just phone them up and say is this that I smoked some weed fifty years ago?
A	yeah
B	how old is he?
A	yeah he's sixty-five now
B	oh
A	but he
B	I don't know there must be more to the story than
A	he just got caught he has told me the story I've forgotten I think it was just
A	a bit of possession it was only cannabis
B	mm
A	but yeah it's screwing him up now with his visa
B	but
A	thirty-five years ago or something just silly ain't it but even worse than
B	mm
A	that now people are
B	oh yeah
A	cos it goes on their cos on the erm
B	I don't know if they changed it now because there was a big hoo-ha about it weren't there?
A	yeah but cos it doesn't divulge any information on the
B	oh which way are we going across this?
A	on the
B	doesn't it? they must have changed that by now er like that was how it was before isn't it?
A	well I remember it
B	but
A	was only a couple of years ago but er
B	I know all the people
B	yeah all the people who got an ASBO or whatever
A	yeah
B	started
A	I dunno do they count?
B	yeah I think so I think that's what er what started all the
A	really?
B	oh look an accident
A	mm
B	oh someone's come off their motorbike
A	oh
B	no they're alright
A	yeah remember last time?
B	what?
A	well the guy was
B	oh oh oh that makes me feel sick
B	oh my god that was horrible weren't it?
A	yeah
B	oh yeah oh oh he I remember the sound we were cos we were right at the back of the bus I remember that sound of him
A	yeah
B	going into that back of the bus
A	yeah
B	oh my god oh wow
A	it's just
B	it's just made my stomach turn
A	yeah
B	oh she's asleep shall we put her down?
A	er yeah okay
B	yeah she shouldn't sleep like that ready? you do er you can do the legs and I will do the
A	well I'll just pull her
B	hang on let me do the back oh there you go
A	oh huh
B	and you do the legs
A	the legs? oh this
B	gently
A	I have unclipped it
B	no you haven't
A	oh I unclipped something
B	oh
A	that's alright
B	you don't think she is too hot?
A	oi
B	do you think she's too hot?
A	er she's alright
B	in her jean shorts?
A	well when we get to the bar
B	I forgot the fan again
A	oh
B	oh man
A	gonna have to keep taking her indoors just to get a blow of air con or something
B	yeah
B	I can't believe that er she came round and stuffed all those she er well she's gonna find out now that the stuffing that she bought has only managed to stuff one and a half cushions cos those Thai cushions take a lot of stuffing
A	yeah yeah
B	bless her I think she
A	and they they were quite soft actually like when you sit on it it just kind of sinks away
B	if you want it harder you should tell her because she asked is it hard enough?
A	oh
B	she said something like that I thought it was alright did you want it harder?
A	yeah
B	well she's the one that's sewing it she's sewing it all up so
A	well no
B	you can't add more stuffing once she's sewn sewn it up
A	it's alright
B	the one in erm the one that's gonna go in the study is the blue one yeah?
A	yeah
B	maybe the green one as well maybe we won't bother doing the green one
A	well yeah I think the blue one will be enough
B	erm er the blue one? so if you want that one hard and we keep then we have to tell her before she
A	mm
B	buys some more stuffing and sews it all up for us
A	yeah
B	they're so sweet aren't they?
A	mm
A	did you see the construction work at er uni?
B	no where?
A	er across the river at uni
B	er
A	you know they destroyed all that
B	yeah
A	didn't you see it?
B	oh I didn't look that way
A	there's about a hundred cranes
B	I didn't go that way
A	oh
B	that's behind the teaching
A	bloody hell they built this road quickly
B	oh you if you drag her backwards it'll be alright
A	if I push her really quickly
B	no not quickly
A	do you wanna grab the front of it?
B	yeah I can't oh yeah I'll just grab those wheels just a little bit there oh
A	wow look at this
B	oh my god
A	they sure do build quickly don't they?
B	yeah
A	fuck built a whole road in
A	what? three weeks?
B	I dunno when's the last time we came down here?
A	er
B	watch out there's all these
A	er
B	oh
B	they need some traffic lights and stuff here don't they?
A	yeah think they'll have to once that road opens
B	mm
A	it's too dangerous
B	well good because I want a traffic light here
A	it's
B	yeah look they're all coming round there too oh where are we going? are we crossing or not?
A	so that road is gonna go to the theme park is it?
B	I'm confused at what you're doing
A	er just waiting for that traffic to
B	oh okay
B	the theme park what? what you reckon it's straight straight down that road?
A	well if you go straight down there yeah then you're
B	oh oh I don't like doing that I wouldn't like to do that on my own you know with the pram
A	mm
B	go across that road well well it depends on the traffic doesn't it? it's alright but
A	so what else did
B	oh just that he was worried about his he's gonna have his student visa come in but
A	oh yeah
B	it's only gonna last a year so he's gotta find another visa but he's got a whole year to sort this out oh and his
A	well he can't just keep renewing his student visa
B	his wife went out and bought loads and loads of beauty products
B	er cos he couldn't think what it was I don't think it is makeup I think it's like creams and stuff
A	mm
B	loads of stuff for her face and er she bought the most expensive stuff
A	yeah
B	and he said but you've got two jobs we've got no jobs
B	he said I'm unemployed
B	you're both employed so you can buy what you like
B	I was like yeah that's true
A	well she should go and get a job then
B	yeah well
A	she's just a party animal
B	mm
A	she spends all his money down the pub
B	what? buying champagne?
A	buying bottles of whisky and champagne for everyone
B	why does she do that? it's just all front isn't it?
A	yeah
A	that's what China is isn't it? it's all front at the moment it's
B	yeah
A	it reminds me a bit of nineties Britain where everyone's so image conscious
B	oh god yeah that changed didn't it?
A	yeah
B	like it's not like that anymore I don't think
A	oh no no not at all no I remember you know
B	when
A	no one would ever go in a charity shop and it was all about what
B	apart from
A	type of shoes you had and
B	me and
