A	I'm your bestie
B	mummy is my best mummy is the best
A	there you go
B	mummy is the best best best friend
B	you're the best mum in the whole entire universe
A	thank you
B	thank you
A	you're pretty good yourself you know?
B	do you think?
A	yes good idea
B	because I don't want it to go to waste
A	this bit?
B	yeah
A	yeah I know well I could try and freeze it but we do make ethically huge gingerbread things for your birthday
B	and
A	what?
B	has
A	yeah
B	I want
A	I know but he's very poorly today you're gonna see him at the weekend though
B	yeah
A	come on
B	okay mummy
A	so we're gonna have to have an early tea and I guess drive to the village hall
B	yeah
A	for your first Brownies woo
B	no that was just a bit of music that we did
A	oh okay
C	erm about three weeks
A	about three weeks? oh that'll be good
C	yeah
B	I don't think you noticed but I put my hand up for the Lego models and I said really softly I builded an ice
A	was this in assembly? what happened in assembly?
B	well she asked us what we what
A	who the headteacher?
B	how many Lego the headteacher asked us how many people like Lego and and loads of people shot their hands up
A	yeah
B	and and I don't think you remember the but I
A	what did they ask how many?
A	bless you
B	they asked them what the Lego models were
A	what you'd made yeah
B	yeah
A	did you put your hand up
B	some put their hands
C	yeah
A	yeah
B	you can say something
C	why do I have the chance to say something?
A	well who did speak and what did they say?
B	I I spoke I spoke
A	what you did speak?
B	yeah
A	but you just said that they might not have heard you?
B	yeah
A	yeah what what else were people saying?
B	like a Lego house or
C	a space station a Jedi starfighter
A	mm
C	it was mostly Star Wars Star Wars was basically the thing
B	and someone even made a Lego house
A	what just of their own design?
B	I don't think so
A	oh
C	yeah I would probably have said either Poe Dameron's X-Wing Fighter
A	mm
C	or a Clone or the Clone Base or a Clone Base
A	do you want some gingerbread in your packed lunch?
B	yeah
A	has someone eaten their giant chocolate gold coin?
B	no
C	no
A	but there's only one there though
A	well where's yours is yours in your secret stash
B	no
A	in your bedroom? no?
A	oh no it is here it's stuck to the bottom
B	mummy I know I I know why it is I was like mum I was like thinking mum it's stuck to the bottom
C	erm
A	or shall I just put a bit in?
C	just put it in I don't really mind
A	do you want a a stained glass window?
B	mm mm
A	no?
B	no too much sugar
A	you guys haven't eaten the sugar mice yet either
C	no I had it I I had one from a party once and I didn't like it although
A	you've had one when?
C	I had one from a party but I didn't like it but
A	well they might be different anyway
B	that's for later
A	okay
B	I think I'll have it at
A	yeah
A	it is cold and dark and I and I would rather not do that I don't think
C	neither would I
A	especially the walk back
C	I've never had any
A	are you not are you not eating them for snacks are you?
C	they were hidden and I couldn't find them at all
A	are you kidding there's three there did you not eat a snack yesterday?
C	no I couldn't find one
A	well do you know do you know how big your bag is? and how reasonably sized they are? come on you can definitely find them
C	okay
A	good grief
B	mm
A	stop that awful screeching
B	it's cute
A	you think that's cute do you?
B	yeah
A	right
A	don't forget your vitamin please thank you squeaker
B	I think
A	what would you like me to do with your Christmas chocolate should I put it away in a cupboard somewhere shall I leave it out there?
B	leave it
C	don't leave it out because then my friends will snaffle it
A	who will snaffle it?
C	my friends
A	your friends well no it's just there in the basket isn't it?
B	I think we should probably I probably should keep it there until my birthday and like put it in a cupboard somewhere so they don't get like jealous
A	say that again?
A	but
C	I'm inviting him to my party
A	the party in September you're talking about
C	yeah
A	in nine months' time?
C	yeah to my party
A	well you should have eaten your Easter your Christmas chocolate by then
C	yeah
C	yep
A	right
A	good grief
A	well before then you need to choose a a family day out that we're gonna do in the middle in between your birthdays don't you?
A	yeah but it's up to
A	why have you put your tablet on your tongue? nice
C	oh you put your Kindle on your tongue wow
A	mm well it's fallen down now so is there anywhere you would like to go somewhere new? shall I make it a magical mystery tour?
A	it could be water-based or theme park-based
B	huh oh oh oh I want
C	what?
B	Legoland
A	or we could go to Legoland then
B	yes mama that's where I wanted to to that's
A	but I think
A	there is you know that last year we went on a Friday because the school was closed on a random Friday?
B	yeah
A	the same thing is happening this summer on a on in June so I I do honestly think we should wait to don't tap the table I think we should wait to go to Legoland in
B	yeah cos I'm
A	the summer cos it was nice wasn't it?
B	yeah
A	quiet and it was sunny and warm
C	quiet?
A	it it was a very quiet day compared to like a normal day at Legoland yes
B	although let's not go to the waterpark again
A	why?
B	because I thought I'd lost you
A	you thought you'd lost me? can you eat your breakfast both of you?
B	I've got a
A	what a tooth?
B	a vitamin
A	a vitamin you thought you'd lost us in the waterpark? when did that happen?
B	erm when I think it must have been
A	in the waterpark?
B	oh wait that was when I went to the little waterpark and
A	I don't remember that
B	and then you were coming down to see me and then I and then I had
A	so you didn't lose we were still in the tiny tiny waterpark of Legoland and it's not like I'd left you and gone off trekking for a couple of miles before I realised you weren't there
B	like going to like Spain or
A	like going to Spain what?
B	like going to Spain or
A	yes I know
A	you say I speak
B	I speak
A	or my country is
A	I think you know more Spanish than I do
B	I don't know that much Spanish to be fair
A	so what about at some point and this has to be warm the wilder wood cos we didn't go last year?
B	I'm quite scared of what if the boat falls over and you'll go in the water?
A	has the boat ever fallen over?
B	yeah
A	when?
B	well one of my friends at school said that when they went to wilder wood the boat the boat fell over and they weren't in
A	they totally did not that's a complete lie isn't it?
C	does it I think
A	isn't it? that's you making that up
B	but not I'm do they actually sail on the water?
A	mm
B	or do they have like things
A	they don't
A	alright well don't do the water bit then don't do the river bit the lake bit you could do everything else can't you?
B	but how do we get across without doing the river bit?
A	we just walk
B	mm?
A	you know we go from the boat to erm a place where you dock the boat and then on the way back we always walk? so you don't think that bit can be used the other way?
B	oh yeah
A	oh yeah
C	yeah
B	mummy I like the broken bridge bit it's got glass
