A	so now this is it? starting
B	right now you say evaluating just to clarify what are
A	there there are two things that I'm I'm evaluating
B	yeah
A	your erm job as a unit convener
B	okay
A	and that's one of the questions
B	sure
B	okay sure
A	now actually that is the first question
B	right
A	can you tell me a little bit about your previous position before starting at
B	er okay so I'm a bit of a unique
A	okay so tell me about evaluation in that if were you involved what did you erm you know have second-hand experience with people?
B	the evaluation of what?
A	of whatever the business was so you know when you were working in recruitment or when you were working in you know your dad's company you know
B	right recruitment was pretty simple in the sense that did we find people for the specific jobs? and you'd evaluate you know and you'd know yourself if you found a good quality person because these were executive level jobs we're talking like two hundred thousand dollars minimum that's what we dealt in all the way up to about a million erm as a base salary and er so I was actually part of team and we'd all sort of basically pitch in depending er the the structure of it was pretty easy we had sort of one main person and there was like three or four quite
A	what kind of evaluation techniques were you using?
B	oh very subjective
A	right
B	because it's it's it's so subjective right? you can't er
A	okay that's fine that's that's good that's good to know so second question
B	mm mm
A	what sorts of evaluation activities oh no what sorts of evaluation activities are you currently involved in as a convener for your for your unit?
B	what sort of evaluation activities? very formal LEU LETs which I actually have down there ready and rocking for the unit er and I'm doing that across
A	mm sure and what's the difference between LETs and L
B	oh right
A	whatever exactly is the word
B	okay so
A	right
B	alright and LETs are learning evaluations of teaching
A	okay
B	alright learning experience of unit learner experience of teaching and they have different questions that they ask so the unit one asks very specific things you know what did you I can show you er which one is this? this this is an LEU alright so that's an LEU okay so it asks very very specific questions like you know erm how did this unit help you? do you did you think it was clear what was required of you within this unit? did you think it erm examined what you wanted it to
A	right?
B	all to do with the unit
A	mm mm
B	er you're not familiar with these?
A	no
B	right
A	I think you only really get to see these erm if you're a student or a convener I guess or?
B	yeah right
A	I wouldn't really have any reason to
B	I don't think I have any LETs with me unfortunately but LETs basically just ask similar sorts of questions except rather than about it being about the unit broadly
A	right
B	it asks very specific things about the teaching so if you're doing lecturing it would ask er what things about this lecture helped you learn what things about this er teacher in your tutorials helped you learn what what things do you think the teacher or lecturer could do more of to assist you in learning erm all that sort of stuff those sorts of questions so they're very very specific around the unit and the actual teaching side of things
A	yeah
B	that is the formal part yes it's very formal and I just happened to have this here so I showed you
A	cool thank you erm so with the informal part what's what would you say those activities involve?
B	the informal part is literally just me at the front and saying look I understand that you guys just filled out this formal part and it's completely anonymous and you know that's great but I find as well that and this is literally the spiel I give them I find as well that you know students tend to be much more open and they think that this is recorded and reflects poorly sometimes on teacher and all that sort of stuff like they kind of miss the mark erm and we're limited as to what we can tell them regarding this so at the end of it it all gets signed and sealed and then they know that this is separate then and I ask them very informally look what did you guys like about? and I I cover the unit or I have covered the unit since I started taking this two O one
A	yeah
B	you know what did you like about the unit? and they'll say I liked this assignment I didn't like this assignment
A	right yeah yeah
B	tell me why that is you know erm
